index,placename,longitude,latitude,needs to be Xed,needs Xed,needs Xing
0,Dingle,-10.264013499999999,52.14094,0.8881178926924767,0.06261718325212041,0.11760648400372724
1,Tralee,-9.6999325,52.27131,0.9147261143735091,0.0664430748435772,0.12279866723521984
2,Killarney,-9.5044265,52.059940000000005,0.9453243993392219,0.06618274250126084,0.13264873443897698
3,Bantry,-9.4539805,51.68035,0.8892851834547847,0.05833534452832367,0.12502206780432712
4,Mayo,-9.4289369,54.01526,0.8228468505615291,0.13960801533533035,0.12861828352513596
5,Ballycastle,-9.3724643,54.279669999999996,0.7027640695183547,0.18716932580385826,0.09256400781021394
6,Abbeyfeale,-9.2970823,52.386179999999996,0.8295342328909456,0.06176935635977697,0.10194019110939541
7,Ennistymon,-9.2934951,52.940369999999994,0.8055143627318022,0.05878202849087008,0.12498979235511878
8,Galway,-9.0567905,53.270669999999996,0.9541585118621533,0.0795537239957794,0.13814002487820612
9,Claremorris,-9.0017356,53.72388,0.8875120258730558,0.10433864235565653,0.1385829487606103
10,Clare,-8.9811351,52.90453,0.9206753947793335,0.07476055645594293,0.1363823887865983
11,Adare,-8.7925892,52.56363,0.8819042146746744,0.06578204601454114,0.11468679224832039
12,Charleville,-8.681017599999999,52.36206,0.8236618733845229,0.05617544849169781,0.11208949429452292
13,Mallow,-8.6539164,52.13898,0.8995323160293107,0.05985226085558115,0.1296967873734346
14,Limerick,-8.6267343,52.66384,0.962106850257017,0.06808728897380648,0.13657420304570222
15,Loughrea,-8.5660931,53.19891,0.8206758292709397,0.06680209149037493,0.10474713545029399
16,Sligo,-8.476088800000001,54.27661,0.6192482726114253,0.38700135275085834,0.10628369084606187
17,Cork,-8.4756035,51.898509999999995,0.9804122474009749,0.05253305911222261,0.15621547679055972
18,Nenagh,-8.19834,52.8635,0.9020009568705276,0.07250787942614849,0.13540391926252782
19,Roscommon,-8.1890955,53.627590000000005,0.8928524644299638,0.10046364586379108,0.121056409701884
20,Tipperary,-8.161851400000002,52.47379,0.9398854064569099,0.052890008910171184,0.1438422494202352
21,Donegal,-8.1096143,54.653830000000006,0.3645386905781166,0.6585631786609243,0.07629941095180255
22,Leitrim,-8.0020132,54.12469,0.6391077749774009,0.31406539807095574,0.12670082279560227
23,Athlone,-7.9406898,53.423930000000006,0.8748171863376872,0.08393861985586931,0.14440167933234785
24,Longford,-7.7932573000000005,53.727630000000005,0.8290766874222177,0.10653573771301686,0.16716308514287864
25,Offaly,-7.7122229,53.235690000000005,0.8668886492642294,0.06353874257700118,0.19298014760687293
26,Fermanagh,-7.6318728,54.343830000000004,0.3467021730107515,0.623774422150428,0.0709230147397074
