placename,where_is_x,where_is_x_at,where_to_is_x,where_x_about,where_x_to,longitude,latitude
Wexford,0.9953443,0.004471928,0.00018377786,0.00000000000,0.00000000000, -6.4633381,52.33692
Craigavon,0.9938948,0.005963199,0.00000000000,0.00014198092,0.00000000000, -6.4175653,54.44293
Stornoway,0.9951465,0.004567988,0.00000000000,0.00028549923,0.00000000000, -6.3848692,58.20943
Drogheda,0.9954315,0.004388171,0.00018033579,0.00000000000,0.00000000000, -6.3560985,53.71786
Rosslare,0.9949748,0.004872923,0.00000000000,0.00000000000,0.00015227885, -6.3414908,52.25131
Newry,0.9953222,0.004531590,0.00000000000,0.00014618031,0.00000000000, -6.3402300,54.17510
Scilly Isles,0.9937296,0.003544166,0.00018175209,0.00018175209,0.00236277717, -6.3274966,49.92773
Ballymena,0.9924007,0.007317863,0.00014072813,0.00014072813,0.00000000000, -6.2802213,54.86529
Banbridge,0.9955962,0.004246485,0.00000000000,0.00015727722,0.00000000000, -6.2704803,54.34873
Dublin,0.9954389,0.004376197,0.00018490972,0.00000000000,0.00000000000, -6.2603097,53.34981
Antrim,0.9932436,0.006456101,0.00015014188,0.00015014188,0.00000000000, -6.2072498,54.71953
Antrim,0.9932436,0.006456101,0.00015014188,0.00015014188,0.00000000000, -6.2072498,54.71953
Portree,0.9941087,0.005581186,0.00000000000,0.00031006587,0.00000000000, -6.1960231,57.41247
Islay,0.9920057,0.007609008,0.00038526625,0.00000000000,0.00000000000, -6.1770670,55.73625
Wicklow,0.9955492,0.004267920,0.00018291084,0.00000000000,0.00000000000, -6.0445890,52.98082
Kilkeel,0.9959058,0.003948023,0.00000000000,0.00014622306,0.00000000000, -6.0070040,54.06312
Mull,0.9933718,0.006628213,0.00000000000,0.00000000000,0.00000000000, -6.0008870,56.43920
Belfast,0.9955624,0.004141787,0.00014792097,0.00014792097,0.00000000000, -5.9301200,54.59728
Broadford,0.9933944,0.006291047,0.00000000000,0.00031455233,0.00000000000, -5.9096592,57.24139
Down,0.9957397,0.003966486,0.00014690688,0.00014690688,0.00000000000, -5.7156922,54.32875
Kyle of Lochalsh,0.9935007,0.006189802,0.00000000000,0.00030949009,0.00000000000, -5.7143293,57.28261
Campbeltown,0.9927906,0.006779004,0.00043041298,0.00000000000,0.00000000000, -5.6053740,55.42412
Penzance,0.9940959,0.003542449,0.00018166404,0.00018166404,0.00199830447, -5.5375920,50.11880
Oban,0.9937357,0.006264265,0.00000000000,0.00000000000,0.00000000000, -5.4710470,56.41516
Lochgilphead,0.9943754,0.005624568,0.00000000000,0.00000000000,0.00000000000, -5.4323449,56.03829
Helston,0.9940873,0.003547605,0.00018192844,0.00018192844,0.00200121286, -5.2749960,50.10159
Redruth,0.9940959,0.003542449,0.00018166404,0.00018166404,0.00199830447, -5.2266660,50.23302
Ullapool,0.9944705,0.005238465,0.00000000000,0.00029102582,0.00000000000, -5.1613130,57.89542
Ballachulish,0.9945621,0.005437876,0.00000000000,0.00000000000,0.00000000000, -5.1337200,56.67393
Fort William,0.9946374,0.005362584,0.00000000000,0.00000000000,0.00000000000, -5.1052179,56.81982
Achnasheen,0.9947841,0.004909071,0.00000000000,0.00030681691,0.00000000000, -5.0787658,57.57859
Newquay,0.9936986,0.003561644,0.00018264840,0.00018264840,0.00237442922, -5.0737190,50.41550
Falmouth,0.9940873,0.003547605,0.00018192844,0.00018192844,0.00200121286, -5.0662700,50.15257
Rothesay,0.9947841,0.005215851,0.00000000000,0.00000000000,0.00000000000, -5.0557930,55.83596
Truro,0.9940873,0.003547605,0.00018192844,0.00018192844,0.00200121286, -5.0510410,50.26320
Milford Haven,0.9931994,0.004675380,0.00063755180,0.00000000000,0.00148762087, -5.0426971,51.71431
Stranraer,0.9958791,0.003846136,0.00013736201,0.00013736201,0.00000000000, -5.0240550,54.90337
Fishguard,0.9936225,0.004251676,0.00053145945,0.00000000000,0.00159437834, -4.9759890,51.99393
Inchnadamph,0.9940493,0.005667377,0.00000000000,0.00028336883,0.00000000000, -4.9742950,58.15221
Haverfordwest,0.9932610,0.004696913,0.00061264082,0.00000000000,0.00142949525, -4.9713190,51.80047
Dunoon,0.9954389,0.004486283,0.00000000000,0.00007477139,0.00000000000, -4.9262140,55.95097
Pembroke,0.9933108,0.004598822,0.00062711215,0.00000000000,0.00146326168, -4.9086370,51.67404
Girvan,0.9955274,0.004472568,0.00000000000,0.00000000000,0.00000000000, -4.8542179,55.24016
Wadebridge,0.9936686,0.003578638,0.00018351991,0.00018351991,0.00238575885, -4.8364560,50.51665
Invergarry,0.9941217,0.005568889,0.00000000000,0.00030938273,0.00000000000, -4.8002610,57.07095
St Austell,0.9940787,0.003552775,0.00018219361,0.00018219361,0.00200412972, -4.7834252,50.34038
Greenock,0.9951014,0.004697325,0.00013420927,0.00006710464,0.00000000000, -4.7719830,55.95648
Helensburgh,0.9953563,0.004564976,0.00000000000,0.00007870649,0.00000000000, -4.7340140,56.00232
Bodmin,0.9936917,0.003565551,0.00018284878,0.00018284878,0.00237703419, -4.7188629,50.47150
Tenby,0.9934289,0.004517608,0.00061603751,0.00000000000,0.00143742086, -4.7035790,51.67274
Camelford,0.9938547,0.003500493,0.00015557745,0.00031115490,0.00217808432, -4.6823640,50.62206
Irvine,0.9958827,0.004117328,0.00000000000,0.00000000000,0.00000000000, -4.6696364,55.61157
Cardigan,0.9940241,0.004108438,0.00056024153,0.00000000000,0.00130723023, -4.6608640,52.08370
Holyhead,0.9953541,0.003931145,0.00000000000,0.00000000000,0.00071475371, -4.6330380,53.30944
Ayr,0.9959215,0.004078536,0.00000000000,0.00000000000,0.00000000000, -4.6291790,55.45856
Dumbarton,0.9951641,0.004631543,0.00013622184,0.00006811092,0.00000000000, -4.5645540,55.94529
Bude,0.9933703,0.003754194,0.00015975292,0.00031950583,0.00239629373, -4.5436780,50.82664
Isle of Man,0.9918029,0.008062674,0.00000000000,0.00013437790,0.00000000000, -4.5126331,54.27697
Kilmarnock,0.9962368,0.003763222,0.00000000000,0.00000000000,0.00000000000, -4.4987920,55.61472
Newton Stewart,0.9920304,0.007969601,0.00000000000,0.00000000000,0.00000000000, -4.4831640,54.96030
Liskeard,0.9940505,0.003203564,0.00018306078,0.00018306078,0.00237979009, -4.4647190,50.45552
Altnaharra,0.9933618,0.006349595,0.00000000000,0.00028861796,0.00000000000, -4.4426550,58.28023
