index,placename,longitude,latitude,masel,maself,mesel,meself,meseln,mesels,mesen,mysel,myself,myseln,mysels,mysen
39,Waterford,-7.110070200000001,52.25932,0.01,0.01,0.01,0.14696490800876166,0.01,0.01,0.01,0.01,0.3484874942083615,0.01,0.01,0.01
40,Monaghan,-6.9683132,54.2492,0.01,0.01,0.01,0.3179481717402861,0.01,0.01,0.01,0.01,0.17501156399656959,0.01,0.01,0.01
41,Carlow,-6.934135899999999,52.83651,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.32025470779076726,0.01,0.01,0.01
42,Kildare,-6.8194707999999995,53.21204,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3990076908880135,0.01,0.01,0.01
43,Dungannon,-6.7669352,54.508269999999996,0.01,0.01,0.01,0.16453743548390493,0.01,0.01,0.01,0.19728306143156413,0.12543096505686124,0.01,0.01,0.01
44,Cookstown,-6.7443895000000005,54.641819999999996,0.01,0.01,0.07205621821136449,0.14692636635773498,0.01,0.01,0.01,0.3523342061923038,0.14359078932489303,0.01,0.01,0.01
45,Coleraine,-6.6646103000000005,55.132580000000004,0.01,0.01,0.8814056550224538,0.06656414249986363,0.01,0.01,0.01,0.47886893734494446,0.09259626639961584,0.01,0.01,0.01
46,Meath,-6.656416900000001,53.60555,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3508963709594328,0.01,0.01,0.01
47,Armagh,-6.652792,54.350280000000005,0.01,0.4666349480771413,0.01,0.38647071655203613,0.01,0.01,0.01,0.01,0.13182034613332277,0.01,0.01,0.01
48,Armagh,-6.652792,54.350280000000005,0.01,0.4666349480771413,0.01,0.38647071655203613,0.01,0.01,0.01,0.01,0.13182034613332277,0.01,0.01,0.01
49,Magherafelt,-6.607980499999999,54.75536999999999,0.01,0.01,0.3822072410915668,0.051956025931931646,0.01,0.01,0.01,0.3737767211038804,0.12412729685205331,0.01,0.01,0.01
50,Louth,-6.4889423,53.925230000000006,0.01,0.01,0.01,0.2680107176085669,0.01,0.01,0.01,0.01,0.27362549213301546,0.01,0.01,0.01
51,Wexford,-6.4633381,52.33692,0.01,0.01,0.01,0.13993251872579976,0.01,0.01,0.01,0.01,0.3295834722503989,0.01,0.01,0.01
52,Craigavon,-6.4175653,54.442930000000004,0.01,0.5242437824757749,0.01,0.43418280413036925,0.01,0.01,0.01,0.01,0.15384420812604166,0.01,0.01,0.01
53,Drogheda,-6.3560985,53.717859999999995,0.01,0.01,0.01,0.10448042881542637,0.01,0.01,0.01,0.01,0.23428341715460146,0.01,0.01,0.01
54,Rosslare,-6.3414908,52.25131,0.01,0.01,0.01,0.030843806837815048,0.01,0.01,0.01,0.01,0.03633812960523768,0.01,0.01,0.01
55,Newry,-6.34023,54.1751,0.01,0.5237399432144593,0.01,0.31546583417390905,0.01,0.01,0.01,0.01,0.1889855568689365,0.01,0.01,0.01
56,Ballymena,-6.2802213,54.86529,0.01,0.01,0.33806077514140564,0.3063659838783906,0.01,0.01,0.01,0.4591722425176143,0.07924646209018396,0.01,0.01,0.01
57,Banbridge,-6.2704803,54.34873,0.01,0.44607580335109304,0.01,0.3694434719645617,0.01,0.01,0.01,0.01,0.12396058346217312,0.01,0.01,0.01
58,Dublin,-6.2603097000000005,53.34981,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7754416164792338,0.01,0.01,0.01
59,Antrim,-6.2072498,54.719530000000006,0.01,0.01,0.01,0.37198642314925773,0.01,0.01,0.01,0.29734518127149456,0.17563693770659508,0.01,0.01,0.01
60,Antrim,-6.2072498,54.719530000000006,0.01,0.01,0.01,0.37198642314925773,0.01,0.01,0.01,0.29734518127149456,0.17563693770659508,0.01,0.01,0.01
61,Wicklow,-6.044589,52.980819999999994,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.351426687192834,0.01,0.01,0.01
62,Kilkeel,-6.007004,54.06312,0.01,0.3255354007387217,0.01,0.12255044088185717,0.01,0.01,0.01,0.01,0.1218022846389453,0.01,0.01,0.01
63,Belfast,-5.93012,54.597280000000005,0.01,1.0,0.01,0.3764581074861885,0.01,0.01,0.01,0.01,0.47065528011429336,0.01,0.01,0.01
64,Down,-5.7156921999999994,54.32875,0.01,0.5551916044008992,0.01,0.2090063806849832,0.01,0.01,0.01,0.01,0.2405872507658499,0.01,0.01,0.01
65,Balivanich,-7.3743509000000005,57.472269999999995,0.09723750514702804,0.01,0.026962503656009006,0.02850708171043779,0.01,0.01,0.01,0.13183889688369385,0.014852148175504966,0.01,0.01,0.01
66,Western Isles,-7.0194034,57.759890000000006,0.17160398255843154,0.01,0.055513749557247215,0.05869391859418566,0.01,0.01,0.01247350788447029,0.2714462869205397,0.08365460874130032,0.01,0.01,0.01
67,Dunvegan,-6.581398200000001,57.4366,0.07255728418221861,0.01,0.02347222274561245,0.02481685604095026,0.01,0.01,0.01,0.11477242594643933,0.01,0.01,0.01,0.01
68,Stornoway,-6.384869200000001,58.209430000000005,0.3021141131866927,0.01,0.097733677866805,0.06089234451647775,0.01,0.01,0.016469998204025355,0.4778896094002826,0.10057868100885425,0.01,0.01,0.01
69,Scilly Isles,-6.327496599999999,49.92773,0.01,0.01,0.01,0.19999562597980078,0.01,0.01,0.01,0.01,0.11769717121640486,0.01,0.01,0.01
70,Portree,-6.1960231,57.41246999999999,0.18498083328281603,0.10804142366624322,0.04787292042023952,0.07592306291485502,0.01,0.01,0.016135009325742862,0.3511272379403459,0.12674160278822738,0.01,0.01,0.01
71,Islay,-6.177067,55.73625,0.3183433345869264,0.08451557330966925,0.09362165153830992,0.0466642979644878,0.01,0.01,0.012621634095754246,0.24415092286142848,0.06999627306894253,0.01,0.01,0.01
72,Mull,-6.0008870000000005,56.4392,0.32103583934246704,0.08523039456813476,0.09441349077161934,0.04705897826884029,0.01,0.01,0.012728386165401347,0.2462159182593282,0.07098221059173243,0.01,0.01,0.01
73,Broadford,-5.9096592,57.24139,0.07255728418221861,0.035315335744441685,0.015648148648340406,0.02481685604095026,0.01,0.01,0.01,0.08926744215623797,0.01166561263663756,0.01,0.01,0.01
74,Kyle of Lochalsh,-5.7143293,57.28261,0.07255728418221861,0.035315335744441685,0.015648148648340406,0.02481685604095026,0.01,0.01,0.01,0.08926744215623797,0.01166561263663756,0.01,0.01,0.01
75,Campbeltown,-5.605373999999999,55.424119999999995,0.35991112226432564,0.09009115319493866,0.12308416231974169,0.047481752261079584,0.01,0.01,0.01,0.2656798502540212,0.07295924833334701,0.01,0.01,0.01
76,Penzance,-5.537592,50.1188,0.01,0.01,0.01,0.32711565466006104,0.01,0.01,0.01,0.01,0.22211038205403114,0.01,0.01,0.01
77,Oban,-5.471047,56.41516,0.4278890808574931,0.11359839221557111,0.12583798079852465,0.06272204062570902,0.01,0.01,0.016964889241860927,0.32816617350962324,0.11010957704284181,0.01,0.01,0.01
78,Lochgilphead,-5.4323449,56.03829,0.2252638520449779,0.07309415585006067,0.08906660524245731,0.04586146856777313,0.01,0.01,0.010915949020391388,0.22435369372130992,0.05588671065207691,0.01,0.01,0.01
79,Helston,-5.274996,50.10159,0.01,0.01,0.01,0.24715530074858563,0.01,0.01,0.01,0.01,0.15643294807067526,0.01,0.01,0.01
80,Redruth,-5.226666000000001,50.23302,0.01,0.01,0.01,0.2761991179789028,0.01,0.01,0.01,0.01,0.1802888128268598,0.01,0.01,0.01
