index,placename,longitude,latitude,masel,maself,mesel,meself,meseln,mesels,mesen,mysel,myself,myseln,mysels,mysen
160,Kingsbridge,-3.777493,50.28395,0.01,0.01,0.01,0.2578844989026482,0.01,0.01,0.01,0.01,0.1652456429749265,0.01,0.01,0.01
161,Pitlochry,-3.729711,56.70436,0.08545794125503789,0.2495663327092975,0.036860766111740585,0.05010734266841492,0.01,0.01,0.01,0.12015903776247101,0.11431191900537312,0.01,0.01,0.01
162,Colwyn Bay,-3.72764,53.29318000000001,0.01,0.01,0.01,0.34182743566826623,0.01,0.01,0.01,0.045539629284795484,0.18598149981452433,0.01,0.01,0.01
163,Totnes,-3.685797,50.43374,0.01,0.01,0.01,0.21627471772775184,0.01,0.01,0.01,0.01,0.17703190007726802,0.01,0.01,0.12331255814213263
164,Grantown-on-Spey,-3.609628,57.33041,0.1586627654263247,0.01,0.034218184519044334,0.023257551697542938,0.01,0.01,0.01,0.2509756353286004,0.0888846211349979,0.01,0.01,0.01
165,Dumfries,-3.60512,55.070859999999996,0.4933756172066181,0.01,0.2721162096545854,0.11737403774920381,0.01,0.01,0.021164675360345428,0.4264647739565018,0.12340146440144377,0.01,0.01,0.01
166,Whitehaven,-3.589233,54.5497,0.17202774104001978,0.01,0.22260333725380438,0.1828207321130489,0.01,0.01,0.056269392968900545,0.13605829633795563,0.13042202598633093,0.01,0.01,0.14018244034480848
167,Dartmouth,-3.578807,50.35252,0.01,0.01,0.01,0.18599590279738712,0.01,0.01,0.01,0.01,0.1457266751514943,0.01,0.01,0.10604859790765182
168,Bridgend,-3.576945,51.504290000000005,0.01,0.01,0.01,0.02581245950441923,0.01,0.01,0.01,0.01,0.4082987041809174,0.01,0.01,0.01
169,Paignton,-3.564235,50.43508,0.01,0.01,0.01,0.24573993618866014,0.01,0.01,0.01,0.01,0.26703562458889185,0.01,0.01,0.16558766283257845
170,Workington,-3.5427519999999997,54.64357,0.19856991922523393,0.01,0.23859534663204976,0.18088128560874314,0.01,0.01,0.055672461339584804,0.16452935526978152,0.11736659591215447,0.01,0.01,0.13869532047197225
171,Llanidloes,-3.5401949999999998,52.447790000000005,0.01,0.01,0.01,0.17021236173469373,0.01,0.01,0.018086586595261193,0.01,0.11683793258294106,0.01,0.01,0.01
172,Exeter,-3.533899,50.71841,0.01,0.01,0.01,0.3351152269670652,0.01,0.01,0.01,0.01,0.4338713353235287,0.01,0.01,0.24839283573717696
173,Torquay,-3.525315,50.46192,0.01,0.01,0.01,0.25076228952468926,0.01,0.01,0.01,0.01,0.2734450814026478,0.01,0.01,0.16897188992944726
174,Thurso,-3.5220800000000003,58.59356999999999,0.21181084407611392,0.01,0.13704127347448666,0.015524126416691998,0.01,0.01,0.01,0.4095009445205434,0.11107609418754516,0.01,0.01,0.01
175,Livingston,-3.518068,55.90071,0.4310511694296209,0.5269464274570763,0.14268761533391602,0.09257418307325145,0.01,0.01,0.01,0.6765589805910138,0.20622783495932628,0.01,0.01,0.01
176,Rhyl,-3.4916339999999995,53.319140000000004,0.01,0.01,0.01,0.3002283597267506,0.01,0.01,0.01,0.04499733617269192,0.19442130604077185,0.01,0.01,0.01
177,Tiverton,-3.491207,50.90205,0.01,0.01,0.01,0.12161929864309957,0.01,0.01,0.01,0.01,0.2180827884433554,0.01,0.01,0.12878027692485802
178,Tiverton,-3.491207,50.90205,0.01,0.01,0.01,0.12161929864309957,0.01,0.01,0.01,0.01,0.2180827884433554,0.01,0.01,0.12878027692485802
179,Minehead,-3.481152,51.20428,0.01,0.01,0.01,0.028817473146036315,0.01,0.01,0.01,0.01,0.2030362127040537,0.01,0.01,0.01
180,Dunfermline,-3.452151,56.071740000000005,0.37454019755325596,0.5048239118056884,0.1677647899079363,0.10135737048306588,0.01,0.01,0.01,0.45573423661018336,0.21453559541177097,0.01,0.01,0.01
181,Perth,-3.4308381000000003,56.39499,0.12301176590219717,0.35923630788959793,0.0795884166221225,0.07212663009463335,0.01,0.01,0.01,0.21620249497594787,0.1796263507814384,0.01,0.01,0.01
182,Prestatyn,-3.4076129999999996,53.33651,0.01,0.01,0.01,0.2486984443623356,0.01,0.01,0.01,0.03975913146172609,0.1713187623082291,0.01,0.01,0.01
183,Builth Wells,-3.4045919999999996,52.15002,0.01,0.01,0.01,0.015279685246929669,0.01,0.01,0.01,0.01,0.22268779989474208,0.01,0.01,0.01
184,Braemar,-3.3979439,57.00646999999999,0.024185761394072875,0.01,0.015648148648340406,0.010635795886747353,0.01,0.01,0.01,0.10201993368151639,0.02331358336526626,0.01,0.01,0.01
185,Brecon,-3.391463,51.94895,0.01,0.01,0.01,0.017374188498874513,0.01,0.01,0.01,0.01,0.25959760476855104,0.01,0.01,0.01
186,Merthyr Tydfil,-3.381646,51.74873,0.01,0.01,0.01,0.028825805733104472,0.01,0.01,0.01,0.01,0.4614005655481534,0.01,0.01,0.01
187,Llandrindod Wells,-3.377742,52.2417,0.01,0.01,0.01,0.06895879616715689,0.01,0.01,0.020516970222844842,0.01,0.1758705612849248,0.01,0.01,0.01
188,Corwen,-3.369242,52.98005,0.01,0.01,0.01,0.21847811252543292,0.01,0.01,0.01,0.02757461190095163,0.09080565144820937,0.01,0.01,0.01
189,Cockermouth,-3.367985,54.66326,0.15954971846169214,0.01,0.19170990515554273,0.1754067325425735,0.01,0.01,0.04473248298361305,0.13219833303251644,0.0761699511135597,0.01,0.01,0.11144084370683092
190,Lockerbie,-3.349008,55.122240000000005,0.31620551269510727,0.01,0.24740447545413036,0.08731221220775702,0.01,0.01,0.019242644208259066,0.43426449801543243,0.1253511475681729,0.01,0.01,0.01
191,Blairgowrie,-3.3378318,56.58941,0.10198596647402836,0.29783380300231804,0.0659847578791632,0.05979837802315895,0.01,0.01,0.01,0.1433984493496068,0.1454281725895991,0.01,0.01,0.01
192,Elgin,-3.318485,57.64945,0.3302675696498744,0.01,0.07122752845363356,0.024206104861825953,0.01,0.01,0.01,0.638517269056951,0.22816284982555485,0.01,0.01,0.01
193,Newtown,-3.313106,52.51211,0.01,0.01,0.01,0.21588536686961407,0.01,0.01,0.01889156050525543,0.01,0.11273185890501507,0.01,0.01,0.01
194,Ruthin,-3.3103108,53.114869999999996,0.01,0.01,0.01,0.3248694149683809,0.01,0.01,0.01,0.038952372440161066,0.14263932182762387,0.01,0.01,0.01
195,Ruthin,-3.3103108,53.114869999999996,0.01,0.01,0.01,0.3248694149683809,0.01,0.01,0.01,0.038952372440161066,0.14263932182762387,0.01,0.01,0.01
196,Sidmouth,-3.2375599999999998,50.67865,0.01,0.01,0.01,0.13003016598392517,0.01,0.01,0.01,0.01,0.1961610622761176,0.01,0.01,0.12047558762800029
197,Barrow-in-Furness,-3.2188939999999997,54.10896999999999,0.01,0.01,0.29508508131364125,0.30456105530820765,0.01,0.01,0.04420221471044844,0.07125339550107068,0.1708587132043076,0.01,0.01,0.16517970071706262
198,Peebles,-3.1936419999999996,55.65306999999999,0.33047512857830674,0.31585093048340906,0.1321777062377635,0.023780929420935022,0.01,0.01,0.015723160101587186,0.39285571359477245,0.0939059556470403,0.01,0.01,0.01
199,Edinburgh,-3.1882669999999997,55.95325,0.6885742541451931,0.8417602572354759,0.35226092205335235,0.0633774965805157,0.01,0.01,0.01,0.8781141666143438,0.38249914110727046,0.01,0.01,0.01
200,Cardiff,-3.17909,51.48158,0.01,0.01,0.01,0.039887929518234784,0.01,0.01,0.01,0.01,0.6563397856328936,0.01,0.01,0.01
201,Llangollen,-3.1716599999999997,52.96921,0.01,0.01,0.01,0.2557121431336122,0.01,0.01,0.01,0.03227400229599259,0.11421855408848575,0.01,0.01,0.01
202,Kirkcaldy,-3.158137,56.11682,0.2204958398592526,0.5519340739114369,0.18342059832622265,0.0831120252620973,0.01,0.01,0.01,0.4318282359847926,0.2802757645234244,0.01,0.01,0.01
203,Welshpool,-3.146407,52.66035,0.01,0.01,0.01,0.25873003999923105,0.01,0.01,0.024055833622658198,0.01,0.16111029607796887,0.01,0.01,0.01
204,Mold,-3.1419029999999997,53.1672,0.01,0.01,0.01,0.4346881342957285,0.01,0.01,0.01,0.052119815908351824,0.20660099128834522,0.01,0.01,0.01
205,Mold,-3.1419029999999997,53.1672,0.01,0.01,0.01,0.4346881342957285,0.01,0.01,0.01,0.052119815908351824,0.20660099128834522,0.01,0.01,0.01
206,Taunton,-3.106849,51.01534,0.01,0.01,0.01,0.15539884661182554,0.01,0.01,0.01,0.01,0.31811357308747984,0.01,0.01,0.1645487804620977
207,Wick,-3.093716,58.43894,0.2031359119253253,0.01,0.08761907051398447,0.014888319765939621,0.01,0.01,0.01,0.3927294098765333,0.11351311349745924,0.01,0.01,0.01
208,John o' Groats,-3.0688997000000002,58.63734,0.07255728418221861,0.01,0.0469444454912249,0.01,0.01,0.01,0.01,0.14027740899699614,0.01,0.01,0.01,0.01
209,Dalkeith,-3.066606,55.893119999999996,0.4906180645149364,0.46890721506230765,0.1962288983300276,0.03530478561293862,0.01,0.01,0.02334235078532184,0.47034458038165644,0.176040288671747,0.01,0.01,0.01
210,Oswestry,-3.056412,52.85715,0.01,0.01,0.01,0.31260171031724643,0.01,0.01,0.01,0.04685181726371829,0.20435348660855354,0.01,0.01,0.01
211,Blackpool,-3.0356748,53.81751,0.01,0.01,0.17708170259420425,0.5917679958641986,0.01,0.01,0.01492083160994637,0.024052186590032512,0.2559983873700674,0.01,0.01,0.2230312027675301
212,Birkenhead,-3.023009,53.389990000000004,0.01,0.01,0.01,0.6783389544366423,0.01,0.01,0.01,0.07072517071671792,0.2705505828722957,0.01,0.01,0.01
213,Cupar,-3.010137,56.32023,0.12202727532460639,0.20363499679060637,0.10150901652586795,0.03066401912381963,0.01,0.01,0.01,0.16544997617504892,0.15262936789894274,0.01,0.01,0.01
214,Southport,-3.010113,53.64571,0.01,0.01,0.07477612707040124,0.5336534109296326,0.01,0.01,0.012601211766683747,0.020312989556879005,0.2266701844481402,0.01,0.01,0.03139306332541654
215,Bridgwater,-3.003632,51.12789,0.01,0.01,0.01,0.15229061425848278,0.01,0.01,0.01,0.01,0.3931280119704968,0.01,0.01,0.01
216,Langholm,-2.998913,55.153059999999996,0.08062098111905769,0.01,0.17021168080671797,0.17726716411917726,0.01,0.01,0.011103456922923395,0.161087655581761,0.0336814857884161,0.01,0.01,0.01
217,Newport,-2.997664,51.58415,0.01,0.01,0.01,0.08769369120161985,0.01,0.01,0.01,0.01,0.4510834955774705,0.01,0.01,0.01
218,Axminster,-2.9949369999999997,50.78273,0.01,0.01,0.01,0.10283653094345445,0.01,0.01,0.01,0.01,0.21962593793172788,0.01,0.01,0.12704017401456452
219,Wrexham,-2.9924939999999998,53.043040000000005,0.01,0.01,0.01,0.4534760875980096,0.01,0.01,0.01,0.06041391288080848,0.2619395161214049,0.01,0.01,0.01
220,Liverpool,-2.9915726,53.40837,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.1042622869498257,0.4209277634727667,0.01,0.01,0.01
221,Weston-super-Mare,-2.977255,51.347409999999996,0.01,0.01,0.01,0.11541774213233919,0.01,0.01,0.01,0.01,0.3602093178177763,0.01,0.01,0.01
222,Dundee,-2.9707209999999997,56.462019999999995,0.20452058026559725,0.39817985570228115,0.17643265381411455,0.05995921576549815,0.01,0.01,0.01,0.287568330076443,0.3563721919436466,0.01,0.01,0.01
223,Kirkwall,-2.9622491,58.984669999999994,0.2120102896688669,0.01,0.18289375171649105,0.01,0.01,0.01,0.01,0.40988653931371394,0.10658339516442497,0.01,0.01,0.01
224,Ambleside,-2.961333,54.428740000000005,0.01,0.01,0.26805394980538705,0.296905425631609,0.01,0.01,0.07026791086838001,0.11327095886340643,0.1328017260593751,0.01,0.01,0.15004849112591687
225,Orkney Islands,-2.9605206,58.980940000000004,0.21695047179476343,0.01,0.18715547148763595,0.01,0.01,0.01,0.01,0.4194375576078064,0.11015221520767192,0.01,0.01,0.01
226,Lyme Regis,-2.936639,50.725159999999995,0.01,0.01,0.01,0.12637373256454468,0.01,0.01,0.01,0.01,0.18933537352470176,0.01,0.01,0.11708782786095526
227,Carlisle,-2.932931,54.892469999999996,0.1296785981501915,0.01,0.636255733238021,0.6035330511475836,0.01,0.01,0.02827814106955478,0.18233598319568137,0.09678563123342335,0.7044255757591578,0.01,0.10567287294156928
228,Chester,-2.893075,53.19339,0.01,0.01,0.01,0.6337710652083879,0.01,0.01,0.01,0.07237160295205473,0.295961188467538,0.01,0.01,0.01
229,Forfar,-2.889062,56.64356,0.122918961748305,0.23931016814275696,0.10603783050666944,0.03603610228157256,0.01,0.01,0.01,0.3456630159535013,0.17407402181562318,0.01,0.01,0.01
230,Morecambe,-2.864968,54.074169999999995,0.01,0.01,0.1434710304528531,0.24703789216850078,0.01,0.01,0.06769733230889234,0.06235841042228737,0.1670160340301961,0.01,0.01,0.144559336412121
231,Selkirk,-2.838524,55.55066,0.25867852169742556,0.24500413303748808,0.15379448548328803,0.05841474514488958,0.01,0.01,0.0182945777077201,0.4423593269415061,0.13157313448192562,0.01,0.01,0.01
232,Galashiels,-2.814449,55.62373,0.24717961164039964,0.23411308390472305,0.14695793429135154,0.0558180629927824,0.01,0.01,0.017481337774957497,0.42269534370853895,0.1236540365674135,0.01,0.01,0.01
233,Lancaster,-2.8007399,54.046569999999996,0.01,0.01,0.18725588494093698,0.32242954529526385,0.01,0.01,0.08835737660508472,0.08138910893912352,0.23220005535955948,0.01,0.01,0.18867632288472228
234,St Andrews,-2.7967214,56.339780000000005,0.15855385298966299,0.2645893162721278,0.13189383800100554,0.03984271850122942,0.01,0.01,0.01,0.21497432545158374,0.21225723171863642,0.01,0.01,0.01
235,Hawick,-2.780914,55.42706,0.1522083497895418,0.21336013148557315,0.1812005621221563,0.09906276830493477,0.01,0.01,0.01593170473003795,0.34670296586879984,0.09896797414020109,0.01,0.01,0.01
236,Bridport,-2.758301,50.733579999999996,0.01,0.01,0.01,0.09813219082116191,0.01,0.01,0.01,0.01,0.2074483962788447,0.01,0.01,0.12122861870171213
237,Shrewsbury,-2.7553267999999997,52.7073,0.01,0.01,0.01,0.7110107447729968,0.01,0.01,0.07146740091451859,0.01,0.24327663981657593,0.01,0.01,0.01
238,Penrith,-2.752708,54.6641,0.01,0.01,0.45420806360645366,0.5624586934614618,0.01,0.01,0.03774711742657233,0.2433914467223288,0.09868561377495824,0.6268689789605365,0.01,0.09403838850302684
239,Kendal,-2.74629,54.32801,0.01,0.01,0.30252553233629204,0.2665467076836353,0.01,0.01,0.1472794569908421,0.127837538500265,0.16269332614241275,0.01,0.01,0.1693446400886167
240,Street,-2.7429189999999997,51.12468,0.01,0.01,0.01,0.0908957776498646,0.01,0.01,0.01,0.01,0.16673868748992132,0.01,0.01,0.09624775014450483
241,Glastonbury,-2.718454,51.14743,0.01,0.01,0.01,0.10484932532764597,0.01,0.01,0.01,0.01,0.19948467488859625,0.01,0.01,0.11102288717775445
242,Hereford,-2.715974,52.0564,0.01,0.01,0.01,0.1258495102629374,0.01,0.01,0.037443383558572754,0.01,0.35186876357339086,0.01,0.01,0.09328170440559788
243,Ludlow,-2.7139129,52.36775,0.01,0.01,0.01,0.2947502679200793,0.01,0.01,0.027404871136495902,0.01,0.1900240009945108,0.01,0.01,0.01
244,Preston,-2.70309,53.7632,0.01,0.01,0.24778300844503162,0.4940147902383344,0.01,0.01,0.01670247585798578,0.026924173957166675,0.3424297460409816,0.01,0.01,0.12483129254920908
245,Whitchurch,-2.682045,52.96872,0.01,0.01,0.01,0.2965741652333341,0.01,0.01,0.015756828847069176,0.03809970604592822,0.14166105737830678,0.01,0.01,0.01
246,Wells,-2.6445979,51.20935,0.01,0.01,0.01,0.11756516683181885,0.01,0.01,0.01,0.01,0.23935876785777052,0.01,0.01,0.01
247,Yeovil,-2.633308,50.94206,0.01,0.01,0.01,0.12428687652362726,0.01,0.01,0.01,0.01,0.2998999283192301,0.01,0.01,0.15353908221451495
248,Wigan,-2.6325074,53.54506,0.01,0.2351352272244086,0.10418789017660901,0.7081483736871808,0.01,0.01,0.01,0.01,0.3447212367768839,0.01,0.01,0.01
249,Warrington,-2.5969501,53.39004,0.01,0.24274181427431044,0.10755835178514389,0.6579511810164917,0.01,0.01,0.01,0.01,0.37921490100388816,0.01,0.01,0.01
250,Arbroath,-2.591543,56.55911,0.04409864575402327,0.25756609239562506,0.17119048717266339,0.038785138641902014,0.01,0.01,0.01,0.27902410045411474,0.2024907507959514,0.01,0.01,0.01
251,Bristol,-2.58791,51.45451,0.01,0.01,0.01,0.272911398439343,0.01,0.01,0.01,0.01,0.6171799812762297,0.01,0.01,0.01
252,Guernsey,-2.5852779999999997,49.46569,0.01,0.01,0.01,0.06682824917672617,0.01,0.01,0.01,0.01,0.022519402705361163,0.01,0.01,0.03810321635705706
253,Ross-on-Wye,-2.582446,51.91445,0.01,0.01,0.01,0.1025300067556202,0.01,0.01,0.01,0.01,0.28416335941699433,0.01,0.01,0.0759969090296759
254,Jedburgh,-2.5549369,55.47772,0.12667899723225673,0.01,0.1835928974469723,0.1314700659376329,0.01,0.01,0.013259537878126839,0.2564904342100782,0.06523894306269222,0.01,0.01,0.01
255,Sedbergh,-2.5281740000000004,54.32363,0.01,0.01,0.10231829834760896,0.21790486477862137,0.01,0.01,0.08966149090484105,0.044471740545328785,0.0849789915718104,0.01,0.01,0.10309443840516887
256,Sedbergh,-2.5281740000000004,54.32363,0.01,0.01,0.10231829834760896,0.21790486477862137,0.01,0.01,0.08966149090484105,0.044471740545328785,0.0849789915718104,0.01,0.01,0.10309443840516887
257,Nantwich,-2.524102,53.06718000000001,0.01,0.1297135031621677,0.01,0.34507728220003814,0.01,0.01,0.01937153485538782,0.09367998709264588,0.17900923432776092,0.01,0.01,0.01
258,Banff,-2.524038,57.666509999999995,0.20407206178938156,0.01,0.04401143171006578,0.014956932442018452,0.01,0.01,0.01,0.39453929952224975,0.12318558675413877,0.01,0.01,0.01
259,Dunbar,-2.516737,56.00209,0.26145090946912697,0.2776457148131128,0.13840225844028783,0.04180879339434153,0.01,0.01,0.01,0.3258412831708469,0.2000544351841465,0.01,0.01,0.01
260,Cinderford,-2.5009579,51.8253,0.01,0.01,0.01,0.0961103561573038,0.01,0.01,0.01,0.01,0.2634550824696982,0.01,0.01,0.07123855956730436
261,Banchory,-2.4909599,57.05386,0.22775041914625058,0.01,0.049118052327947,0.03338474911556306,0.01,0.01,0.01,0.3202308889004776,0.16282556470043275,0.01,0.01,0.01
262,Blackburn,-2.487529,53.748580000000004,0.01,0.01,0.23306965835136068,0.3168274182059662,0.01,0.01,0.04158710005634182,0.01,0.2985491085083484,0.01,0.01,0.06906988791212944
263,Market Drayton,-2.483485,52.90355,0.01,0.01,0.01,0.24504087809927094,0.01,0.01,0.013755811106519546,0.01,0.12604193272366726,0.01,0.01,0.01
264,Telford,-2.4672611,52.67759,0.01,0.01,0.01,0.5067511921980293,0.01,0.01,0.06388608977984364,0.01,0.2510097318450098,0.01,0.01,0.01
265,Montrose,-2.4661150000000003,56.70692,0.01,0.23653212125853712,0.104806883794565,0.03561777496000621,0.01,0.01,0.01,0.2989440713783946,0.19278938993443442,0.01,0.01,0.01
266,Turriff,-2.4623,57.53893000000001,0.21280065750338836,0.01,0.045893894163883994,0.031193344448886225,0.01,0.01,0.01,0.33661193331498285,0.13510502288489293,0.01,0.01,0.01
267,Weymouth,-2.457621,50.61443,0.01,0.01,0.01,0.14749640951840845,0.01,0.01,0.01,0.01,0.2743942384600921,0.01,0.01,0.15618103931797853
268,Crewe,-2.4438209,53.1004,0.01,0.1623961050958571,0.01,0.4075688032239532,0.01,0.01,0.024252384937215567,0.11728358774071695,0.24315124127440776,0.01,0.01,0.01
269,Fortuneswell,-2.4422189999999997,50.55919,0.01,0.01,0.01,0.08946630429943991,0.01,0.01,0.01,0.01,0.14811432316159143,0.01,0.01,0.09473410529143184
270,Dorchester,-2.4411810000000003,50.71116,0.01,0.01,0.01,0.12932000652706677,0.01,0.01,0.01,0.01,0.3628564497709935,0.01,0.01,0.19170817964231238
271,Alston,-2.438685,54.812169999999995,0.01,0.01,0.2422421465218236,0.2514954492271055,0.01,0.01,0.01,0.10413138533599807,0.01,0.26819650436522424,0.01,0.01
272,Kelso,-2.432207,55.600030000000004,0.1235404724837799,0.20616016911648324,0.1712796289410226,0.08795876334731031,0.01,0.01,0.015394080040115594,0.32879950681492454,0.10101083699004983,0.01,0.01,0.01
273,Wincanton,-2.416007,51.055690000000006,0.01,0.01,0.01,0.08258286988940704,0.01,0.01,0.01,0.01,0.18364179169124867,0.01,0.01,0.10201960499868074
274,Clitheroe,-2.3930830000000003,53.8711,0.01,0.01,0.16665476001751584,0.20655585502030813,0.01,0.01,0.11894620903945359,0.01,0.18826284121045264,0.01,0.01,0.049387919799838025
275,Sark,-2.3666256000000003,49.43007,0.01,0.01,0.01,0.05140634575781864,0.01,0.01,0.01,0.01,0.027125645005320005,0.01,0.01,0.03810321635705706
276,Bath,-2.3590167,51.38106,0.01,0.01,0.01,0.20051880829922233,0.01,0.01,0.01,0.01,0.4411122648841908,0.01,0.01,0.01
277,Kidderminster,-2.2496839,52.3886,0.01,0.01,0.01,0.3940731599975821,0.01,0.01,0.03256851037331645,0.01,0.22152587506652635,0.01,0.01,0.01
278,Manchester,-2.2426305,53.48076,0.01,0.6834254214574593,0.15141217876331667,0.463105933589456,0.01,0.01,0.07654756493512595,0.01,0.6604014685846803,0.01,0.01,0.01
279,Burnley,-2.2405035,53.78929,0.01,0.1729567112362294,0.2171374017715249,0.2604437856895385,0.01,0.01,0.1549770962358655,0.01,0.24902708525482806,0.01,0.01,0.12869676909450609
280,Gloucester,-2.238156,51.86424,0.01,0.01,0.01,0.21400768238272855,0.01,0.01,0.01,0.01,0.4282615868110489,0.01,0.01,0.11330426065426748
281,Newcastle-under-Lyme,-2.2273002,53.01321,0.01,0.29512626761830185,0.01,0.3036806906584919,0.01,0.01,0.022037221860687094,0.1065711454914867,0.22996203965959564,0.01,0.01,0.01
282,Worcester,-2.221575,52.19364,0.01,0.01,0.01,0.49404550806532993,0.01,0.01,0.045934660482704434,0.01,0.3407771035840942,0.01,0.01,0.11443579649836699
283,Trowbridge,-2.208853,51.31966,0.01,0.01,0.01,0.19396942391629562,0.01,0.01,0.01,0.01,0.42518335351572584,0.01,0.01,0.01
284,Shaftesbury,-2.198083,51.0046,0.01,0.01,0.01,0.0804286839040666,0.01,0.01,0.01,0.01,0.20806518365734467,0.01,0.01,0.11923009437096173
285,Alderney,-2.1973557,49.715,0.01,0.01,0.01,0.05140634575781864,0.01,0.01,0.01,0.01,0.027125645005320005,0.01,0.01,0.03810321635705706
286,Stoke-on-Trent,-2.179404,53.002669999999995,0.01,0.01,0.01,0.4742151639760096,0.01,0.01,0.030019337786633953,0.1451723468158479,0.3301264156606211,0.01,0.01,0.01
287,Colne,-2.176991,53.85564,0.01,0.12761588134311797,0.08481946571815947,0.2273989158111746,0.01,0.01,0.24299299736418312,0.01,0.14187963573932344,0.01,0.01,0.20178732652278683
288,Blandford Forum,-2.165353,50.85691,0.01,0.01,0.01,0.05743366379616214,0.01,0.01,0.01,0.01,0.18501004423710726,0.01,0.01,0.10642690216015695
289,Rochdale,-2.1561,53.60971,0.01,0.40548556183850604,0.22458724396173974,0.2747670247205681,0.01,0.01,0.045416707369322115,0.01,0.34552805721639457,0.01,0.01,0.01
290,Jersey,-2.13125,49.21444,0.01,0.01,0.01,0.05140634575781864,0.01,0.01,0.01,0.01,0.027125645005320005,0.01,0.01,0.03810321635705706
291,Wolverhampton,-2.12882,52.586969999999994,0.01,0.01,0.01,0.5430276492648622,0.01,0.01,0.04251692836298973,0.01,0.2948836570122339,0.01,0.01,0.01
292,Stafford,-2.12066,52.80669,0.01,0.01,0.01,0.6479931021781776,0.01,0.01,0.02835208446736543,0.01,0.26651126142735815,0.01,0.01,0.01
293,Macclesfield,-2.119287,53.25866,0.01,0.3581917592846357,0.01,0.21575072956173397,0.01,0.01,0.04011953037186569,0.1293443189609438,0.33201559219536475,0.01,0.01,0.01
294,Hexham,-2.1121439,54.97266,0.01,0.3156521852479926,0.5478038643454153,0.5624612350521058,0.01,0.01,0.01,0.14247891180507424,0.06463501312139112,0.5871404991522378,0.01,0.01
295,Aberdeen,-2.094278,57.149719999999995,0.4447275594021788,0.01,0.1918253493797644,0.06519029932447361,0.01,0.01,0.01,0.6253138949195398,0.34284898164611544,0.01,0.01,0.01
296,Dudley,-2.081112,52.51225,0.01,0.01,0.01,0.4968822948342897,0.01,0.01,0.04106525847567782,0.01,0.29147009566792664,0.01,0.01,0.01
297,Cheltenham,-2.0782533,51.899390000000004,0.01,0.01,0.01,0.1743001250009379,0.01,0.01,0.01,0.01,0.4132915566864848,0.01,0.01,0.10766173592217258
298,Bromsgrove,-2.061906,52.33559,0.01,0.01,0.01,0.4106130397077772,0.01,0.01,0.03593166686731161,0.01,0.256425267868228,0.01,0.01,0.01
299,Skipton,-2.0162787,53.96285,0.01,0.12751081872972234,0.09416626320446574,0.18240939486162688,0.01,0.01,0.395133621043296,0.015348200247263749,0.11113788793531988,0.01,0.01,0.3202219083692992
300,Fraserburgh,-2.007631,57.69335,0.22114247630585707,0.01,0.04769294193820161,0.016208064196367496,0.01,0.01,0.01,0.4275420992530413,0.13738581801288688,0.01,0.01,0.01
301,Berwick,-2.005395,55.77024,0.13846853828997852,0.01,0.24316994924797772,0.15078057604961778,0.01,0.01,0.017254230282740785,0.2850893510310641,0.11364793692759627,0.01,0.01,0.01
302,Poole,-1.987248,50.71505,0.01,0.01,0.01,0.12822668274710317,0.01,0.01,0.01,0.01,0.3593949567474214,0.01,0.01,0.19008740094576473
303,Walsall,-1.9829189999999999,52.586209999999994,0.01,0.01,0.01,0.5036822373479302,0.01,0.01,0.01,0.01,0.3044541410927817,0.01,0.01,0.01
304,Cirencester,-1.968243,51.71849,0.01,0.01,0.01,0.13511457044374878,0.01,0.01,0.01,0.01,0.38927346762717285,0.01,0.01,0.10014911774142116
305,Evesham,-1.9467700000000001,52.09215,0.01,0.01,0.01,0.20007232763333427,0.01,0.01,0.02976326422683941,0.01,0.2402640112314814,0.01,0.01,0.07414842762301814
306,Buxton,-1.91483,53.259080000000004,0.01,0.7500199780614414,0.01,0.20329280732334284,0.01,0.01,0.03360261279490102,0.10833394675807742,0.24353181412579392,0.01,0.01,0.01
307,Keighley,-1.9123580000000002,53.8678,0.01,0.153080443912374,0.11304933586430635,0.2189877801537206,0.01,0.01,0.5086611585466694,0.01842596048330039,0.1358787612074074,0.01,0.01,0.384435708059755
308,Birmingham,-1.8904009999999998,52.48624,0.01,0.01,0.01,0.7845788381044249,0.01,0.01,0.06865643005875698,0.01,0.5323820418801268,0.01,0.01,0.01
309,Bournemouth,-1.880769,50.719159999999995,0.01,0.01,0.01,0.1532997975189408,0.01,0.01,0.01,0.01,0.4387771246399254,0.01,0.01,0.227256600978752
310,Halifax,-1.8575400000000002,53.727019999999996,0.01,0.15110499746277548,0.11159047604227415,0.26166958639903976,0.01,0.01,0.5020970746309283,0.01818818028560241,0.11993190675242106,0.01,0.01,0.37947470758721746
311,Salisbury,-1.794472,51.06878,0.01,0.01,0.01,0.07227026826648703,0.01,0.01,0.01,0.01,0.36355626869246777,0.01,0.01,0.01
312,Ringwood,-1.7888169999999999,50.84495,0.01,0.01,0.01,0.10498779248534648,0.01,0.01,0.01,0.01,0.28581999387658213,0.01,0.01,0.1556373149255759
313,Huddersfield,-1.7850351000000002,53.645790000000005,0.01,0.20076158924135623,0.1037831779410519,0.4383542335880275,0.01,0.01,0.6221248872340029,0.02416523636450465,0.16562015756757545,0.01,0.01,0.5041788600729539
