,placename,masel,maself,mesel,meself,meseln,mesels,mesen,mysel,myself,myseln,mysels,mysen,longitude,latitude
42,Kildare,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,-6.8194707999999995,53.21204
43,Dungannon,0.01,0.01,0.01,0.4,0.01,0.01,0.01,0.4461538462224852,0.6470588235294117,0.01,0.01,0.01,-6.7669352,54.508269999999996
44,Cookstown,0.01,0.01,0.11111111111111112,0.3,0.01,0.01,0.01,0.6692307693337277,0.5882352941176471,0.01,0.01,0.01,-6.7443895000000005,54.641819999999996
45,Coleraine,0.01,0.01,1.0,0.1,0.01,0.01,0.01,0.6692307693337277,0.2352941176470588,0.01,0.01,0.01,-6.6646103000000005,55.132580000000004
46,Meath,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,-6.656416900000001,53.60555
47,Armagh,0.01,0.8000000720000029,0.01,0.73333334,0.01,0.01,0.01,0.01,0.4901961176470588,0.01,0.01,0.01,-6.652792,54.35028000000001
48,Armagh,0.01,0.8000000720000029,0.01,0.73333334,0.01,0.01,0.01,0.01,0.4901961176470588,0.01,0.01,0.01,-6.652792,54.35028000000001
49,Magherafelt,0.01,0.01,0.5555555555555556,0.1,0.01,0.01,0.01,0.6692307693337277,0.4705882352941177,0.01,0.01,0.01,-6.607980499999999,54.75536999999999
50,Louth,0.01,0.01,0.01,0.4,0.01,0.01,0.01,0.01,0.7647058823529412,0.01,0.01,0.01,-6.4889423,53.925230000000006
51,Wexford,0.01,0.01,0.01,0.2,0.01,0.01,0.01,0.01,0.8823529411764706,0.01,0.01,0.01,-6.4633381,52.33692
52,Craigavon,0.01,0.8000000720000029,0.01,0.73333334,0.01,0.01,0.01,0.01,0.4901961176470588,0.01,0.01,0.01,-6.4175653,54.442930000000004
53,Drogheda,0.01,0.01,0.01,0.2,0.01,0.01,0.01,0.01,0.8823529411764706,0.01,0.01,0.01,-6.3560985,53.717859999999995
54,Rosslare,0.01,0.01,0.01,0.2,0.01,0.01,0.01,0.01,0.8823529411764706,0.01,0.01,0.01,-6.3414908,52.25131
55,Newry,0.01,0.8000000720000029,0.01,0.53333334,0.01,0.01,0.01,0.01,0.6078431764705882,0.01,0.01,0.01,-6.34023,54.1751
56,Ballymena,0.01,0.01,0.4444444444444445,0.53333334,0.01,0.01,0.01,0.7435897451913214,0.254902,0.01,0.01,0.01,-6.2802213,54.86529
57,Banbridge,0.01,0.8000000720000029,0.01,0.73333334,0.01,0.01,0.01,0.01,0.4901961176470588,0.01,0.01,0.01,-6.2704803,54.34873
58,Dublin,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,-6.2603097000000005,53.34981
59,Antrim,0.01,0.01,0.01,0.6,0.01,0.01,0.01,0.4461538462224852,0.5294117647058824,0.01,0.01,0.01,-6.2072498,54.719530000000006
60,Antrim,0.01,0.01,0.01,0.6,0.01,0.01,0.01,0.4461538462224852,0.5294117647058824,0.01,0.01,0.01,-6.2072498,54.719530000000006
61,Wicklow,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,-6.044589,52.980819999999994
62,Kilkeel,0.01,0.8000000720000029,0.01,0.33333334,0.01,0.01,0.01,0.01,0.7254902352941176,0.01,0.01,0.01,-6.007004,54.06312
63,Belfast,0.01,0.8000000720000029,0.01,0.33333334,0.01,0.01,0.01,0.01,0.7254902352941176,0.01,0.01,0.01,-5.93012,54.59728000000001
64,Down,0.01,0.8000000720000029,0.01,0.33333334,0.01,0.01,0.01,0.01,0.7254902352941176,0.01,0.01,0.01,-5.7156921999999994,54.32875
65,Balivanich,0.620689694187193,0.01,0.11494252888888888,0.16091954,0.01,0.01,0.031830239086717005,0.6923076933372782,0.5064232941176472,0.01,0.01,0.01,-7.3743509000000005,57.472269999999995
66,Western Isles,0.5320197378747369,0.01,0.11494252888888888,0.16091954,0.01,0.01,0.031830239086717005,0.6923076933372782,0.5267071764705882,0.01,0.01,0.01,-7.0194034,57.75989000000001
67,Dunvegan,0.5320197378747369,0.01,0.11494252888888888,0.16091954,0.01,0.01,0.031830239086717005,0.6923076933372782,0.5267071764705882,0.01,0.01,0.01,-6.5813982000000015,57.4366
68,Stornoway,0.7093595990710766,0.01,0.15325670444444445,0.12643678,0.01,0.01,0.031830239086717005,0.923076924449704,0.425287411764706,0.01,0.01,0.01,-6.3848692000000025,58.20943000000001
69,Scilly Isles,0.01,0.01,0.01,0.53333334,0.01,0.01,0.01,0.01,0.6862744705882354,0.01,0.01,0.01,-6.327496599999999,49.92773
70,Portree,0.4433497815622807,0.20689656827586275,0.07662835333333333,0.16091954,0.01,0.01,0.031830239086717005,0.6923076933372782,0.5469911764705883,0.01,0.01,0.01,-6.1960231,57.41246999999999
71,Islay,0.9428571472653062,0.20000004800000198,0.18518518444444448,0.12222222,0.01,0.01,0.03076923047100592,0.5948717934761341,0.4248365882352941,0.01,0.01,0.01,-6.177067,55.73625
72,Mull,0.9428571472653062,0.20000004800000198,0.18518518444444448,0.12222222,0.01,0.01,0.03076923047100592,0.5948717934761341,0.4248365882352941,0.01,0.01,0.01,-6.0008870000000005,56.4392
73,Broadford,0.5320197378747369,0.20689656827586275,0.07662835333333333,0.16091954,0.01,0.01,0.031830239086717005,0.5384615377751479,0.5672751764705882,0.01,0.01,0.01,-5.9096592,57.24139
74,Kyle of Lochalsh,0.5320197378747369,0.20689656827586275,0.07662835333333333,0.16091954,0.01,0.01,0.031830239086717005,0.5384615377751479,0.5672751764705882,0.01,0.01,0.01,-5.7143293,57.28261
75,Campbeltown,1.0,0.20000004800000198,0.22839506222222225,0.11666666,0.01,0.01,0.01,0.6072649568626561,0.40196082352941176,0.01,0.01,0.01,-5.605373999999999,55.424119999999995
76,Penzance,0.01,0.01,0.01,0.53333334,0.01,0.01,0.01,0.01,0.6862744705882354,0.01,0.01,0.01,-5.537592,50.1188
77,Oban,0.9428571472653062,0.20000004800000198,0.18518518444444448,0.12222222,0.01,0.01,0.03076923047100592,0.5948717934761341,0.4248365882352941,0.01,0.01,0.01,-5.471047,56.41516
78,Lochgilphead,0.7714285890612249,0.20000004800000198,0.2037037044444444,0.13888888,0.01,0.01,0.03076923047100592,0.6320512836357002,0.4346404705882353,0.01,0.01,0.01,-5.4323449,56.03829
79,Helston,0.01,0.01,0.01,0.53333334,0.01,0.01,0.01,0.01,0.6862744705882354,0.01,0.01,0.01,-5.274996,50.10159
80,Redruth,0.01,0.01,0.01,0.53333334,0.01,0.01,0.01,0.01,0.6862744705882354,0.01,0.01,0.01,-5.226666000000002,50.23302
81,Ullapool,0.5320197378747369,0.01,0.07662835333333333,0.05747126,0.01,0.01,0.031830239086717005,1.0,0.5267071764705882,0.01,0.01,0.01,-5.161313,57.895419999999994
82,Ballachulish,0.7980295553835328,0.20689656827586275,0.03831417555555555,0.16091954,0.01,0.01,0.031830239086717005,0.6153846133254438,0.5064232941176472,0.01,0.01,0.01,-5.133719999999999,56.67393000000001
83,Fort William,0.7980295553835328,0.20689656827586275,0.03831417555555555,0.16091954,0.01,0.01,0.031830239086717005,0.6153846133254438,0.5064232941176472,0.01,0.01,0.01,-5.1052179,56.81981999999999
84,Achnasheen,0.3546798252498246,0.01,0.07662835333333333,0.12643678,0.01,0.01,0.031830239086717005,0.8461538444378697,0.5672751764705882,0.01,0.01,0.01,-5.078765799999998,57.57859000000001
