,placename,masel,maself,mesel,meself,meseln,mesels,mesen,mysel,myself,myseln,mysels,mysen,longitude,latitude
161,Pitlochry,0.2615012288343138,0.6101695444067817,0.07532956666666665,0.13559322,0.01,0.01,0.01,0.302477183123458,0.6809571764705882,0.01,0.01,0.01,-3.729711,56.70436
162,Colwyn Bay,0.01,0.01,0.01,0.6,0.01,0.01,0.01,0.07435897585759367,0.6274509411764706,0.01,0.01,0.01,-3.72764,53.29318000000001
163,Totnes,0.01,0.01,0.01,0.43333334,0.01,0.01,0.01,0.01,0.7058823529411765,0.01,0.01,0.24489795693461056,-3.685797,50.43374
164,Grantown-on-Spey,0.5320197378747369,0.01,0.07662835333333333,0.06896552,0.01,0.01,0.01,0.6923076933372782,0.6146044705882353,0.01,0.01,0.01,-3.609628,57.33041
165,Dumfries,0.8714285684897959,0.01,0.3209876533333333,0.18333334,0.01,0.01,0.03076923047100592,0.6196581202491782,0.3464051764705883,0.01,0.01,0.01,-3.60512,55.070859999999996
166,Whitehaven,0.34285716783673525,0.01,0.29629629555555553,0.32222222,0.01,0.01,0.09230769141301774,0.2230769231112426,0.4379084705882352,0.01,0.01,0.24489795693461056,-3.589233,54.5497
167,Dartmouth,0.01,0.01,0.01,0.43333334,0.01,0.01,0.01,0.01,0.7058823529411765,0.01,0.01,0.24489795693461056,-3.578807,50.35252
168,Bridgend,0.01,0.01,0.01,0.03333334,0.01,0.01,0.01,0.01,0.9803921176470588,0.01,0.01,0.01,-3.576945,51.50429000000001
169,Paignton,0.01,0.01,0.01,0.36666666,0.01,0.01,0.01,0.01,0.7450979999999999,0.01,0.01,0.24489795693461056,-3.564235,50.43508
170,Workington,0.4000000205714291,0.01,0.3209876533333333,0.32222222,0.01,0.01,0.09230769141301774,0.2726495721957922,0.3986928235294118,0.01,0.01,0.24489795693461056,-3.5427519999999997,54.64357
171,Llanidloes,0.01,0.01,0.01,0.46666666,0.01,0.01,0.04615384709112425,0.01,0.7058823529411765,0.01,0.01,0.01,-3.5401949999999998,52.44779000000001
172,Exeter,0.01,0.01,0.01,0.33333334,0.01,0.01,0.01,0.01,0.7647058823529412,0.01,0.01,0.24489795693461056,-3.533899,50.71841
173,Torquay,0.01,0.01,0.01,0.36666666,0.01,0.01,0.01,0.01,0.7450979999999999,0.01,0.01,0.24489795693461056,-3.525315,50.46192
174,Thurso,0.5320197378747369,0.01,0.22988505777777776,0.03448276,0.01,0.01,0.01,0.8461538444378697,0.5131845882352942,0.01,0.01,0.01,-3.5220800000000003,58.59356999999999
175,Livingston,0.6142857054693875,0.600000024000001,0.1358024688888889,0.11666666,0.01,0.01,0.01,0.7931623942758711,0.4509803529411765,0.01,0.01,0.01,-3.518068,55.90071
176,Rhyl,0.01,0.01,0.01,0.53333334,0.01,0.01,0.01,0.07435897585759367,0.6666667058823529,0.01,0.01,0.01,-3.4916339999999995,53.319140000000004
177,Tiverton,0.01,0.01,0.01,0.23333334,0.01,0.01,0.01,0.01,0.8235294117647058,0.01,0.01,0.24489795693461056,-3.491207,50.90205
178,Tiverton,0.01,0.01,0.01,0.23333334,0.01,0.01,0.01,0.01,0.8235294117647058,0.01,0.01,0.24489795693461056,-3.491207,50.90205
179,Minehead,0.01,0.01,0.01,0.06666666,0.01,0.01,0.01,0.01,0.9607843529411764,0.01,0.01,0.01,-3.481152,51.20428
180,Dunfermline,0.5571428527346938,0.600000024000001,0.16666666666666666,0.13333334,0.01,0.01,0.01,0.5576923077781065,0.5,0.01,0.01,0.01,-3.452151,56.07174000000001
181,Perth,0.25714286302040834,0.600000024000001,0.11111111111111112,0.13333334,0.01,0.01,0.01,0.3717948703648915,0.6470588235294117,0.01,0.01,0.01,-3.4308381000000003,56.39499
182,Prestatyn,0.01,0.01,0.01,0.5,0.01,0.01,0.01,0.07435897585759367,0.6862744705882354,0.01,0.01,0.01,-3.4076129999999996,53.33651
183,Builth Wells,0.01,0.01,0.01,0.03333334,0.01,0.01,0.01,0.01,0.9803921176470588,0.01,0.01,0.01,-3.4045919999999996,52.15002
184,Braemar,0.1773399126249123,0.01,0.07662835333333333,0.06896552,0.01,0.01,0.01,0.6153846133254438,0.7160243529411764,0.01,0.01,0.01,-3.3979439,57.00646999999999
185,Brecon,0.01,0.01,0.01,0.03333334,0.01,0.01,0.01,0.01,0.9803921176470588,0.01,0.01,0.01,-3.391463,51.94895
186,Merthyr Tydfil,0.01,0.01,0.01,0.03333334,0.01,0.01,0.01,0.01,0.9803921176470588,0.01,0.01,0.01,-3.381646,51.74873
187,Llandrindod Wells,0.01,0.01,0.01,0.16666666,0.01,0.01,0.04615384709112425,0.01,0.8823529411764706,0.01,0.01,0.01,-3.377742,52.2417
188,Corwen,0.01,0.01,0.01,0.63333334,0.01,0.01,0.01,0.07435897585759367,0.6078431764705882,0.01,0.01,0.01,-3.369242,52.98005
189,Cockermouth,0.4000000205714291,0.01,0.3209876533333333,0.38888888,0.01,0.01,0.09230769141301774,0.2726495721957922,0.3594771764705881,0.01,0.01,0.24489795693461056,-3.367985,54.66326
190,Lockerbie,0.6142857054693875,0.01,0.3209876533333333,0.15,0.01,0.01,0.03076923047100592,0.6940170961067718,0.40522870588235305,0.01,0.01,0.01,-3.349008,55.12224000000001
191,Blairgowrie,0.25714286302040834,0.600000024000001,0.11111111111111112,0.13333334,0.01,0.01,0.01,0.2974358989688363,0.6666667058823529,0.01,0.01,0.01,-3.3378318,56.58941
192,Elgin,0.5320197378747369,0.01,0.07662835333333333,0.03448276,0.01,0.01,0.01,0.8461538444378697,0.5943204705882352,0.01,0.01,0.01,-3.318485,57.64945
193,Newtown,0.01,0.01,0.01,0.56666666,0.01,0.01,0.04615384709112425,0.01,0.6470588235294117,0.01,0.01,0.01,-3.313106,52.51211
194,Ruthin,0.01,0.01,0.01,0.66666666,0.01,0.01,0.01,0.07435897585759367,0.5882352941176471,0.01,0.01,0.01,-3.3103108,53.114869999999996
195,Ruthin,0.01,0.01,0.01,0.66666666,0.01,0.01,0.01,0.07435897585759367,0.5882352941176471,0.01,0.01,0.01,-3.3103108,53.114869999999996
196,Sidmouth,0.01,0.01,0.01,0.26666666,0.01,0.01,0.01,0.01,0.8039215294117648,0.01,0.01,0.24489795693461056,-3.2375599999999998,50.67865
197,Barrow-in-Furness,0.01,0.01,0.3333333333333333,0.45555556,0.01,0.01,0.06153846094201184,0.09914529816909927,0.4640522352941177,0.01,0.01,0.24489795693461056,-3.2188939999999997,54.10896999999999
198,Peebles,0.7857143151020415,0.600000024000001,0.2098765422222222,0.05,0.01,0.01,0.03076923047100592,0.7683760675028269,0.40522870588235305,0.01,0.01,0.01,-3.1936419999999996,55.65306999999999
199,Edinburgh,0.6142857054693875,0.600000024000001,0.2098765422222222,0.05,0.01,0.01,0.01,0.6444444425606838,0.4901961176470588,0.01,0.01,0.01,-3.1882669999999997,55.95325
200,Cardiff,0.01,0.01,0.01,0.03333334,0.01,0.01,0.01,0.01,0.9803921176470588,0.01,0.01,0.01,-3.17909,51.48158
201,Llangollen,0.01,0.01,0.01,0.63333334,0.01,0.01,0.01,0.07435897585759367,0.6078431764705882,0.01,0.01,0.01,-3.1716599999999997,52.96921
202,Kirkcaldy,0.2999999897142855,0.600000024000001,0.16666666666666666,0.1,0.01,0.01,0.01,0.4833333319205128,0.5980391764705882,0.01,0.01,0.01,-3.158137,56.11682
203,Welshpool,0.01,0.01,0.01,0.53333334,0.01,0.01,0.04615384709112425,0.01,0.6666667058823529,0.01,0.01,0.01,-3.146407,52.66035
204,Mold,0.01,0.01,0.01,0.66666666,0.01,0.01,0.01,0.07435897585759367,0.5882352941176471,0.01,0.01,0.01,-3.1419029999999997,53.1672
205,Mold,0.01,0.01,0.01,0.66666666,0.01,0.01,0.01,0.07435897585759367,0.5882352941176471,0.01,0.01,0.01,-3.1419029999999997,53.1672
206,Taunton,0.01,0.01,0.01,0.21875,0.01,0.01,0.01,0.01,0.8345588235294118,0.01,0.01,0.2295918369221157,-3.106849,51.01534
207,Wick,0.5320197378747369,0.01,0.15325670444444445,0.03448276,0.01,0.01,0.01,0.8461538444378697,0.5537525882352942,0.01,0.01,0.01,-3.093716,58.43894
208,John o' Groats,0.5320197378747369,0.01,0.22988505777777776,0.03448276,0.01,0.01,0.01,0.8461538444378697,0.5131845882352942,0.01,0.01,0.01,-3.0688997000000002,58.63734
209,Dalkeith,0.7857143151020415,0.600000024000001,0.2098765422222222,0.05,0.01,0.01,0.03076923047100592,0.6196581202491782,0.4444444705882354,0.01,0.01,0.01,-3.066606,55.893119999999996
210,Oswestry,0.01,0.01,0.01,0.53333334,0.01,0.01,0.01,0.07435897585759367,0.6666667058823529,0.01,0.01,0.01,-3.056412,52.85715
211,Blackpool,0.01,0.01,0.1481481488888889,0.65555556,0.01,0.01,0.01538461662011834,0.024786326773044046,0.4836601176470588,0.01,0.01,0.24489795693461056,-3.0356748,53.81751
212,Birkenhead,0.01,0.01,0.01,0.76666666,0.01,0.01,0.01,0.07435897585759367,0.5294117647058824,0.01,0.01,0.01,-3.023009,53.389990000000004
213,Cupar,0.2999999897142855,0.3999999759999991,0.16666666666666666,0.06666666,0.01,0.01,0.01,0.33461538466686386,0.6764705882352939,0.01,0.01,0.01,-3.010137,56.32023
214,Southport,0.01,0.01,0.07407407333333334,0.7,0.01,0.01,0.01538461662011834,0.024786326773044046,0.5294117647058824,0.01,0.01,0.040816329829237816,-3.010113,53.64571
215,Bridgwater,0.01,0.01,0.01,0.1875,0.01,0.01,0.01,0.01,0.8897058823529411,0.01,0.01,0.01,-3.003632,51.12789
216,Langholm,0.2714285890612249,0.01,0.3827160488888888,0.52777778,0.01,0.01,0.03076923047100592,0.4461538462224852,0.29411764705882354,0.01,0.01,0.01,-2.998913,55.153059999999996
217,Newport,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.9411764705882352,0.01,0.01,0.01,-2.997664,51.58415
218,Axminster,0.01,0.01,0.01,0.2,0.01,0.01,0.01,0.01,0.8431372941176469,0.01,0.01,0.24489795693461056,-2.9949369999999997,50.78273
219,Wrexham,0.01,0.01,0.01,0.6,0.01,0.01,0.01,0.07435897585759367,0.6274509411764706,0.01,0.01,0.01,-2.9924939999999998,53.04304000000001
220,Liverpool,0.01,0.01,0.01,0.76666666,0.01,0.01,0.01,0.07435897585759367,0.5294117647058824,0.01,0.01,0.01,-2.9915726,53.40837
221,Weston-super-Mare,0.01,0.01,0.01,0.15625,0.01,0.01,0.01,0.01,0.9080882352941176,0.01,0.01,0.01,-2.977255,51.347409999999996
222,Dundee,0.25714286302040834,0.3999999759999991,0.1481481488888889,0.06666666,0.01,0.01,0.01,0.2974358989688363,0.7058823529411765,0.01,0.01,0.01,-2.9707209999999997,56.462019999999995
223,Kirkwall,0.5320197378747369,0.01,0.3065134088888889,0.01,0.01,0.01,0.01,0.8461538444378697,0.4929005882352942,0.01,0.01,0.01,-2.9622491,58.984669999999994
224,Ambleside,0.01,0.01,0.3333333333333333,0.48888888,0.01,0.01,0.10769230803313608,0.17350427402669294,0.40522870588235305,0.01,0.01,0.24489795693461056,-2.961333,54.42874000000001
225,Orkney Islands,0.5320197378747369,0.01,0.3065134088888889,0.01,0.01,0.01,0.01,0.8461538444378697,0.4929005882352942,0.01,0.01,0.01,-2.9605206,58.980940000000004
226,Lyme Regis,0.01,0.01,0.01,0.26666666,0.01,0.01,0.01,0.01,0.8039215294117648,0.01,0.01,0.24489795693461056,-2.936639,50.725159999999995
227,Carlisle,0.17142855820408134,0.01,0.5617283955555555,0.70555556,0.01,0.01,0.03076923047100592,0.19829059633819854,0.15359482352941173,1.0,0.01,0.12244898214077468,-2.932931,54.892469999999996
228,Chester,0.01,0.01,0.01,0.7,0.01,0.01,0.01,0.07435897585759367,0.5686274117647061,0.01,0.01,0.01,-2.893075,53.19339
229,Forfar,0.25714286302040834,0.3999999759999991,0.1481481488888889,0.06666666,0.01,0.01,0.01,0.5948717934761341,0.6274509411764706,0.01,0.01,0.01,-2.889062,56.64356
230,Morecambe,0.01,0.01,0.18518518444444448,0.42222222,0.01,0.01,0.10769230803313608,0.09914529816909927,0.5424836470588236,0.01,0.01,0.24489795693461056,-2.864968,54.074169999999995
231,Selkirk,0.5285714520816331,0.3999999759999991,0.2098765422222222,0.10555556,0.01,0.01,0.03076923047100592,0.7435897451913214,0.4575163529411765,0.01,0.01,0.01,-2.838524,55.55066
232,Galashiels,0.5285714520816331,0.3999999759999991,0.2098765422222222,0.10555556,0.01,0.01,0.03076923047100592,0.7435897451913214,0.4575163529411765,0.01,0.01,0.01,-2.814449,55.62373
233,Lancaster,0.01,0.01,0.18518518444444448,0.42222222,0.01,0.01,0.10769230803313608,0.09914529816909927,0.5424836470588236,0.01,0.01,0.24489795693461056,-2.8007399,54.046569999999996
234,St Andrews,0.2999999897142855,0.3999999759999991,0.16666666666666666,0.06666666,0.01,0.01,0.01,0.33461538466686386,0.6764705882352939,0.01,0.01,0.01,-2.7967214,56.33978000000001
235,Hawick,0.3571428424489793,0.3999999759999991,0.2839506177777778,0.20555556,0.01,0.01,0.03076923047100592,0.6692307693337277,0.4183007058823529,0.01,0.01,0.01,-2.780914,55.42706
236,Bridport,0.01,0.01,0.01,0.2,0.01,0.01,0.01,0.01,0.8431372941176469,0.01,0.01,0.24489795693461056,-2.758301,50.733579999999996
237,Shrewsbury,0.01,0.01,0.01,0.82222222,0.01,0.01,0.07692307756213017,0.01,0.4836601176470588,0.01,0.01,0.01,-2.7553267999999997,52.7073
238,Penrith,0.01,0.01,0.4506172844444445,0.73888888,0.01,0.01,0.04615384709112425,0.2974358989688363,0.1993463529411765,1.0,0.01,0.12244898214077468,-2.752708,54.6641
239,Kendal,0.01,0.01,0.3333333333333333,0.38888888,0.01,0.01,0.19999999944615385,0.17350427402669294,0.4248365882352941,0.01,0.01,0.24489795693461056,-2.74629,54.32801
240,Street,0.01,0.01,0.01,0.21875,0.01,0.01,0.01,0.01,0.8345588235294118,0.01,0.01,0.2295918369221157,-2.7429189999999997,51.12468
241,Glastonbury,0.01,0.01,0.01,0.21875,0.01,0.01,0.01,0.01,0.8345588235294118,0.01,0.01,0.2295918369221157,-2.718454,51.14743
242,Hereford,0.01,0.01,0.01,0.16666666,0.01,0.01,0.04615384709112425,0.01,0.8627450588235295,0.01,0.01,0.12244898214077468,-2.715974,52.0564
243,Ludlow,0.01,0.01,0.01,0.53333334,0.01,0.01,0.04615384709112425,0.01,0.6666667058823529,0.01,0.01,0.01,-2.7139129,52.36775
244,Preston,0.01,0.01,0.18518518444444448,0.48888888,0.01,0.01,0.01538461662011834,0.024786326773044046,0.5816992941176471,0.01,0.01,0.12244898214077468,-2.70309,53.7632
245,Whitchurch,0.01,0.01,0.01,0.62222222,0.01,0.01,0.03076923047100592,0.07435897585759367,0.6013071764705882,0.01,0.01,0.01,-2.682045,52.96872
246,Wells,0.01,0.01,0.01,0.21875,0.01,0.01,0.01,0.01,0.8713235294117647,0.01,0.01,0.01,-2.6445979,51.20935
247,Yeovil,0.01,0.01,0.01,0.1875,0.01,0.01,0.01,0.01,0.8529411764705882,0.01,0.01,0.2295918369221157,-2.633308,50.94206
248,Wigan,0.01,0.20000004800000198,0.07407407333333334,0.66666666,0.01,0.01,0.01,0.01,0.5490196470588234,0.01,0.01,0.01,-2.6325074,53.54506
249,Warrington,0.01,0.20000004800000198,0.07407407333333334,0.6,0.01,0.01,0.01,0.01,0.5882352941176471,0.01,0.01,0.01,-2.5969501,53.39004
250,Arbroath,0.08571430481632697,0.3999999759999991,0.22222222222222224,0.06666666,0.01,0.01,0.01,0.4461538462224852,0.6666667058823529,0.01,0.01,0.01,-2.591543,56.55911
251,Bristol,0.01,0.01,0.01,0.21875,0.01,0.01,0.01,0.01,0.8713235294117647,0.01,0.01,0.01,-2.58791,51.45451
252,Guernsey,0.01,0.01,0.01,0.43333334,0.01,0.01,0.01,0.01,0.7058823529411765,0.01,0.01,0.24489795693461056,-2.5852779999999997,49.46569
253,Ross-on-Wye,0.01,0.01,0.01,0.16666666,0.01,0.01,0.01,0.01,0.8823529411764706,0.01,0.01,0.12244898214077468,-2.582446,51.91445
254,Jedburgh,0.3571428424489793,0.01,0.3456790133333333,0.32777778,0.01,0.01,0.03076923047100592,0.5948717934761341,0.3725490588235295,0.01,0.01,0.01,-2.5549369,55.47772
255,Sedbergh,0.01,0.01,0.18518518444444448,0.52222222,0.01,0.01,0.19999999944615385,0.09914529816909927,0.4444444705882354,0.01,0.01,0.24489795693461056,-2.5281740000000004,54.32363
256,Sedbergh,0.01,0.01,0.18518518444444448,0.52222222,0.01,0.01,0.19999999944615385,0.09914529816909927,0.4444444705882354,0.01,0.01,0.24489795693461056,-2.5281740000000004,54.32363
257,Nantwich,0.01,0.20000004800000198,0.01,0.58888888,0.01,0.01,0.03076923047100592,0.1487179472536489,0.5816992941176471,0.01,0.01,0.01,-2.524102,53.06718000000001
258,Banff,0.5320197378747369,0.01,0.07662835333333333,0.03448276,0.01,0.01,0.01,0.8461538444378697,0.5943204705882352,0.01,0.01,0.01,-2.524038,57.666509999999995
259,Dunbar,0.4714285993469394,0.3999999759999991,0.16666666666666666,0.06666666,0.01,0.01,0.01,0.4833333319205128,0.5980391764705882,0.01,0.01,0.01,-2.516737,56.00209
260,Cinderford,0.01,0.01,0.01,0.16666666,0.01,0.01,0.01,0.01,0.8823529411764706,0.01,0.01,0.12244898214077468,-2.5009579,51.8253
261,Banchory,0.5142857260408167,0.01,0.07407407333333334,0.06666666,0.01,0.01,0.01,0.5948717934761341,0.6470588235294117,0.01,0.01,0.01,-2.4909599,57.05386
262,Blackburn,0.01,0.01,0.2098765422222222,0.37777778,0.01,0.01,0.04615384709112425,0.01,0.6339869411764706,0.01,0.01,0.08163265231153688,-2.487529,53.748580000000004
263,Market Drayton,0.01,0.01,0.01,0.58888888,0.01,0.01,0.03076923047100592,0.01,0.6405228235294118,0.01,0.01,0.01,-2.483485,52.90355
264,Telford,0.01,0.01,0.01,0.65555556,0.01,0.01,0.07692307756213017,0.01,0.5816992941176471,0.01,0.01,0.01,-2.4672611,52.67759
265,Montrose,0.01,0.3999999759999991,0.1481481488888889,0.06666666,0.01,0.01,0.01,0.5205128220800788,0.7058823529411765,0.01,0.01,0.01,-2.4661150000000003,56.70692
266,Turriff,0.5320197378747369,0.01,0.07662835333333333,0.06896552,0.01,0.01,0.01,0.6923076933372782,0.6146044705882353,0.01,0.01,0.01,-2.4623,57.53893000000001
267,Weymouth,0.01,0.01,0.01,0.23333334,0.01,0.01,0.01,0.01,0.8235294117647058,0.01,0.01,0.24489795693461056,-2.457621,50.61443
268,Crewe,0.01,0.20000004800000198,0.01,0.55555556,0.01,0.01,0.03076923047100592,0.1487179472536489,0.6013071764705882,0.01,0.01,0.01,-2.4438209,53.1004
269,Fortuneswell,0.01,0.01,0.01,0.23333334,0.01,0.01,0.01,0.01,0.8235294117647058,0.01,0.01,0.24489795693461056,-2.4422189999999997,50.55919
270,Dorchester,0.01,0.01,0.01,0.16666666,0.01,0.01,0.01,0.01,0.8627450588235295,0.01,0.01,0.24489795693461056,-2.4411810000000003,50.71116
271,Alston,0.01,0.01,0.5617283955555555,0.77222222,0.01,0.01,0.01,0.2974358989688363,0.16013070588235295,1.0,0.01,0.01,-2.438685,54.812169999999995
272,Kelso,0.2999999897142855,0.3999999759999991,0.2777777777777778,0.18888888,0.01,0.01,0.03076923047100592,0.6568376059472056,0.4477124705882352,0.01,0.01,0.01,-2.432207,55.600030000000004
273,Wincanton,0.01,0.01,0.01,0.1875,0.01,0.01,0.01,0.01,0.8529411764705882,0.01,0.01,0.2295918369221157,-2.416007,51.05569000000001
274,Clitheroe,0.01,0.01,0.2098765422222222,0.34444444,0.01,0.01,0.18461538559526625,0.01,0.594771294117647,0.01,0.01,0.08163265231153688,-2.3930830000000003,53.8711
275,Sark,0.01,0.01,0.01,0.33333334,0.01,0.01,0.01,0.01,0.7647058823529412,0.01,0.01,0.24489795693461056,-2.3666256000000003,49.43007
276,Bath,0.01,0.01,0.01,0.21875,0.01,0.01,0.01,0.01,0.8713235294117647,0.01,0.01,0.01,-2.3590167,51.38106
277,Kidderminster,0.01,0.01,0.01,0.6,0.01,0.01,0.04615384709112425,0.01,0.6274509411764706,0.01,0.01,0.01,-2.2496839,52.3886
278,Manchester,0.01,0.3999999759999991,0.07407407333333334,0.3,0.01,0.01,0.04615384709112425,0.01,0.7254902352941176,0.01,0.01,0.01,-2.2426305,53.48076
279,Burnley,0.01,0.20000004800000198,0.2098765422222222,0.33333334,0.01,0.01,0.18461538559526625,0.01,0.5686274117647061,0.01,0.01,0.16326530462307373,-2.2405035,53.78929
280,Gloucester,0.01,0.01,0.01,0.23333334,0.01,0.01,0.01,0.01,0.8431372941176469,0.01,0.01,0.12244898214077468,-2.238156,51.86424
281,Newcastle-under-Lyme,0.01,0.3999999759999991,0.01,0.45555556,0.01,0.01,0.03076923047100592,0.1487179472536489,0.6405228235294118,0.01,0.01,0.01,-2.2273002,53.01321
282,Worcester,0.01,0.01,0.01,0.53333334,0.01,0.01,0.04615384709112425,0.01,0.6470588235294117,0.01,0.01,0.12244898214077468,-2.221575,52.19364
283,Trowbridge,0.01,0.01,0.01,0.21875,0.01,0.01,0.01,0.01,0.8713235294117647,0.01,0.01,0.01,-2.208853,51.31966
284,Shaftesbury,0.01,0.01,0.01,0.16666666,0.01,0.01,0.01,0.01,0.8627450588235295,0.01,0.01,0.24489795693461056,-2.198083,51.0046
285,Alderney,0.01,0.01,0.01,0.33333334,0.01,0.01,0.01,0.01,0.7647058823529412,0.01,0.01,0.24489795693461056,-2.1973557,49.715
286,Stoke-on-Trent,0.01,0.01,0.01,0.52222222,0.01,0.01,0.03076923047100592,0.1487179472536489,0.6405228235294118,0.01,0.01,0.01,-2.179404,53.002669999999995
287,Colne,0.01,0.20000004800000198,0.11111111111111112,0.39444444,0.01,0.01,0.3923076933514793,0.01,0.4673202352941177,0.01,0.01,0.34693877416076635,-2.176991,53.85564
288,Blandford Forum,0.01,0.01,0.01,0.13333334,0.01,0.01,0.01,0.01,0.8823529411764706,0.01,0.01,0.24489795693461056,-2.165353,50.85691
289,Rochdale,0.01,0.3999999759999991,0.18518518444444448,0.3,0.01,0.01,0.04615384709112425,0.01,0.6666667058823529,0.01,0.01,0.01,-2.1561,53.60971
290,Jersey,0.01,0.01,0.01,0.33333334,0.01,0.01,0.01,0.01,0.7647058823529412,0.01,0.01,0.24489795693461056,-2.13125,49.21444
291,Wolverhampton,0.01,0.01,0.01,0.63333334,0.01,0.01,0.04615384709112425,0.01,0.6078431764705882,0.01,0.01,0.01,-2.12882,52.586969999999994
292,Stafford,0.01,0.01,0.01,0.75555556,0.01,0.01,0.03076923047100592,0.01,0.5424836470588236,0.01,0.01,0.01,-2.12066,52.80669
293,Macclesfield,0.01,0.3999999759999991,0.01,0.26666666,0.01,0.01,0.04615384709112425,0.1487179472536489,0.7450979999999999,0.01,0.01,0.01,-2.119287,53.25866
294,Hexham,0.01,0.3999999759999991,0.5802469133333333,0.78888888,0.01,0.01,0.01,0.18589743741321504,0.1307189411764706,1.0,0.01,0.01,-2.1121439,54.97266
295,Aberdeen,0.5142857260408167,0.01,0.1481481488888889,0.06666666,0.01,0.01,0.01,0.5948717934761341,0.6078431764705882,0.01,0.01,0.01,-2.094278,57.149719999999995
296,Dudley,0.01,0.01,0.01,0.6,0.01,0.01,0.04615384709112425,0.01,0.6274509411764706,0.01,0.01,0.01,-2.081112,52.51225
297,Cheltenham,0.01,0.01,0.01,0.2,0.01,0.01,0.01,0.01,0.8627450588235295,0.01,0.01,0.12244898214077468,-2.0782533,51.899390000000004
298,Bromsgrove,0.01,0.01,0.01,0.56666666,0.01,0.01,0.04615384709112425,0.01,0.6470588235294117,0.01,0.01,0.01,-2.061906,52.33559
299,Skipton,0.01,0.20000004800000198,0.1234567911111111,0.31666666,0.01,0.01,0.6384615398887574,0.024786326773044046,0.3627450588235293,0.01,0.01,0.5510204086130779,-2.0162787,53.96285
300,Fraserburgh,0.5320197378747369,0.01,0.07662835333333333,0.03448276,0.01,0.01,0.01,0.8461538444378697,0.5943204705882352,0.01,0.01,0.01,-2.007631,57.69335
301,Berwick,0.2999999897142855,0.01,0.3518518511111112,0.28888888,0.01,0.01,0.03076923047100592,0.5081196586935569,0.4281045882352941,0.01,0.01,0.01,-2.005395,55.77024
302,Poole,0.01,0.01,0.01,0.16666666,0.01,0.01,0.01,0.01,0.8627450588235295,0.01,0.01,0.24489795693461056,-1.987248,50.71505
303,Walsall,0.01,0.01,0.01,0.6,0.01,0.01,0.01,0.01,0.6470588235294117,0.01,0.01,0.01,-1.9829189999999999,52.586209999999994
304,Cirencester,0.01,0.01,0.01,0.16666666,0.01,0.01,0.01,0.01,0.8823529411764706,0.01,0.01,0.12244898214077468,-1.968243,51.71849
305,Evesham,0.01,0.01,0.01,0.33333334,0.01,0.01,0.04615384709112425,0.01,0.7647058823529412,0.01,0.01,0.12244898214077468,-1.9467700000000001,52.09215
306,Buxton,0.01,1.0,0.01,0.3,0.01,0.01,0.04615384709112425,0.1487179472536489,0.6666667058823529,0.01,0.01,0.01,-1.91483,53.259080000000004
307,Keighley,0.01,0.20000004800000198,0.1234567911111111,0.31666666,0.01,0.01,0.6846153842106508,0.024786326773044046,0.34313729411764715,0.01,0.01,0.5510204086130779,-1.9123580000000002,53.8678
308,Birmingham,0.01,0.01,0.01,0.56666666,0.01,0.01,0.04615384709112425,0.01,0.6470588235294117,0.01,0.01,0.01,-1.8904009999999998,52.48624
309,Bournemouth,0.01,0.01,0.01,0.16666666,0.01,0.01,0.01,0.01,0.8627450588235295,0.01,0.01,0.24489795693461056,-1.880769,50.719159999999995
310,Halifax,0.01,0.20000004800000198,0.1234567911111111,0.38333334,0.01,0.01,0.6846153842106508,0.024786326773044046,0.3039215294117647,0.01,0.01,0.5510204086130779,-1.8575400000000002,53.727019999999996
311,Salisbury,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.9411764705882352,0.01,0.01,0.01,-1.794472,51.06878
312,Ringwood,0.01,0.01,0.01,0.16666666,0.01,0.01,0.01,0.01,0.8627450588235295,0.01,0.01,0.24489795693461056,-1.7888169999999999,50.84495
313,Huddersfield,0.01,0.20000004800000198,0.08641975333333332,0.48333334,0.01,0.01,0.6384615398887574,0.024786326773044046,0.2843137647058823,0.01,0.01,0.5510204086130779,-1.7850351000000002,53.64579000000001
314,Peterhead,0.5320197378747369,0.01,0.07662835333333333,0.06896552,0.01,0.01,0.01,0.6153846133254438,0.6348884705882352,0.01,0.01,0.01,-1.784066,57.50812
315,Swindon,0.01,0.01,0.01,0.3,0.01,0.01,0.01,0.01,0.8039215294117648,0.01,0.01,0.12244898214077468,-1.7797176,51.55577
316,Bradford,0.01,0.20000004800000198,0.08641975333333332,0.45,0.01,0.01,0.6384615398887574,0.024786326773044046,0.2647058823529412,0.01,0.01,0.7959183655476885,-1.759398,53.79598000000001
317,Ashbourne,0.01,0.01,0.01,0.45555556,0.01,0.01,0.3538461545704142,0.01,0.5816992941176471,0.01,0.01,0.01,-1.7321790000000001,53.016630000000006
318,Marlborough,0.01,0.01,0.01234568,0.21111112,0.01,0.9,0.01,0.024786326773044046,0.8496731764705882,0.01,0.9,0.01,-1.7270619999999999,51.42007
319,Stratford-upon-Avon,0.01,0.01,0.01,0.23333334,0.01,0.01,0.01,0.01,0.8627450588235295,0.01,0.01,0.01,-1.7082979999999999,52.19173
320,Alnwick,0.17142855820408134,0.3999999759999991,0.5617283955555555,0.66111112,0.01,0.01,0.01,0.08675213478257722,0.2124183529411764,0.01,0.01,0.01,-1.7062990000000002,55.41274
