,placename,should_have,should_of,longitude,latitude
142,Airdrie,0.9808010719564207,0.04139811,-3.9625660000000003,55.86626999999999
143,Swansea,0.8100884,0.540814518819676,-3.9436459999999998,51.62144
144,Stirling,0.9692957205910572,0.04139811,-3.9369029,56.116519999999994
145,Tregaron,0.8100884,0.5206813254961082,-3.934385,52.22
146,Castle Douglas,0.8100884,0.4460619560046582,-3.9314139999999997,54.940419999999996
147,Dolgellau,0.8100884,0.6626956009708211,-3.8844,52.74215
148,Aberfeldy,0.8100884,0.2596137252215203,-3.866969,56.62175
149,Machynlleth,0.8100884,0.6175133632677714,-3.853485,52.59027
150,Brora,0.8100884,0.3634843847476441,-3.852548000000001,58.012159999999994
151,Llandudno,0.8100884,0.9792637636523828,-3.827609,53.324059999999996
152,Aviemore,0.8100884,0.3491136324689784,-3.823812,57.19449
153,Dalbeattie,0.8100884,0.5207140498049166,-3.8225269999999996,54.934219999999996
154,Falkirk,0.9654583590044,0.04139811,-3.7839131,56.00188000000001
155,Kingsbridge,0.8100884,0.5393811132931058,-3.777493,50.28395
156,Pitlochry,0.8100884,0.2702435368648429,-3.729711,56.70436
157,Colwyn Bay,0.8100884,0.9801989651442344,-3.72764,53.29318000000001
158,Totnes,0.8100884,0.5531255923285062,-3.685797,50.43374
159,Grantown-on-Spey,0.8100884,0.3350434590267751,-3.609628,57.33041
160,Dumfries,0.8100884,0.4399072945918366,-3.60512,55.070859999999996
161,Whitehaven,0.8100884,0.8103039825685822,-3.589233,54.5497
162,Dartmouth,0.8100884,0.5695235684040738,-3.578807,50.35252
163,Bridgend,0.8100884,0.3980680537688674,-3.576945,51.50429000000001
164,Paignton,0.8100884,0.5801803809688618,-3.564235,50.43508
165,Workington,0.8100884,0.7897189109807901,-3.5427519999999997,54.64357
166,Llanidloes,0.8100884,0.5858502378067442,-3.5401949999999998,52.44779000000001
167,Exeter,0.8100884,0.5720201099631043,-3.533899,50.71841
168,Torquay,0.8100884,0.5768978499927111,-3.525315,50.46192
169,Thurso,0.8100884,0.3635456586591989,-3.5220800000000003,58.59356999999999
170,Livingston,0.9480767741653108,0.05192290664582902,-3.518068,55.90071
171,Rhyl,0.8100884,0.9808988344153342,-3.4916339999999995,53.319140000000004
172,Tiverton,0.8100884,0.551633875585006,-3.491207,50.90205
173,Minehead,0.8100884,0.3948218158018685,-3.481152,51.20428
174,Dunfermline,0.9074434310685554,0.09255666742641827,-3.452151,56.07174000000001
175,Perth,0.8685776040561967,0.13142210351991687,-3.4308381000000003,56.39499
176,Prestatyn,0.8100884,0.9942022759554776,-3.4076129999999996,53.33651
177,Builth Wells,0.8100884,0.5728229328724098,-3.4045919999999996,52.15002
178,Braemar,0.8100884,0.3517244397729633,-3.3979439,57.00646999999999
179,Brecon,0.8100884,0.565186452809493,-3.391463,51.94895
180,Merthyr Tydfil,0.8100884,0.4139173253331601,-3.381646,51.74873
181,Llandrindod Wells,0.8100884,0.5548689361131938,-3.377742,52.2417
182,Corwen,0.8100884,0.8360454221486336,-3.369242,52.98005
183,Cockermouth,0.8100884,0.7892912729453124,-3.367985,54.66326
184,Lockerbie,0.8100884,0.4443357823819997,-3.349008,55.12224000000001
185,Blairgowrie,0.8100884,0.2891138816046627,-3.3378318,56.58941
186,Elgin,0.8100884,0.3516802686894689,-3.318485,57.64945
187,Newtown,0.8100884,0.7234294267623572,-3.313106,52.51211
188,Ruthin,0.8100884,1.0,-3.3103108,53.114869999999996
189,Sidmouth,0.8100884,0.5571530390008447,-3.2375599999999998,50.67865
190,Barrow-in-Furness,0.8100884,0.7563579594979445,-3.2188939999999997,54.10896999999999
191,Peebles,0.9299908762503076,0.07000907998568479,-3.1936419999999996,55.65306999999999
192,Edinburgh,0.900585468661098,0.0994144301408391,-3.1882669999999997,55.95325
193,Cardiff,0.8100884,0.4190578698427651,-3.17909,51.48158
194,Llangollen,0.8100884,0.9496246299577579,-3.1716599999999997,52.96921
195,Kirkcaldy,0.8791227733505707,0.12087720001117745,-3.158137,56.11682
196,Welshpool,0.8100884,0.7884372762197633,-3.146407,52.66035
197,Mold,0.8100884,0.9902580540685034,-3.1419029999999997,53.1672
198,Taunton,0.8100884,0.41458393162370144,-3.106849,51.01534
199,Wick,0.8100884,0.3554113112314071,-3.093716,58.43894
200,John o' Groats,0.8100884,0.36841356792936936,-3.0688997000000002,58.63734
201,Dalkeith,0.9059358240159984,0.09406434232051038,-3.066606,55.893119999999996
202,Oswestry,0.8100884,0.7865634392036547,-3.056412,52.85715
203,Blackpool,0.8100884,0.8104241063688171,-3.0356748,53.81751
204,Birkenhead,0.8100884,0.9944745745250684,-3.023009,53.389990000000004
205,Cupar,0.8606557653007979,0.13934448361411034,-3.010137,56.32023
206,Southport,0.8100884,0.9785179052806328,-3.010113,53.64571
207,Bridgwater,0.8100884,0.4598652849287388,-3.003632,51.12789
208,Langholm,0.8100884,0.6317182046474579,-2.998913,55.153059999999996
209,Newport,0.8100884,0.4159707420439024,-2.997664,51.58415
210,Axminster,0.8100884,0.6009253707324151,-2.9949369999999997,50.78273
211,Wrexham,0.8100884,0.9427420883428402,-2.9924939999999998,53.04304000000001
212,Liverpool,0.8100884,0.9928801061452684,-2.9915726,53.40837
213,Weston-super-Mare,0.8100884,0.4525949669878385,-2.977255,51.347409999999996
214,Dundee,0.854153326128601,0.14584679030754455,-2.9707209999999997,56.462019999999995
215,Kirkwall,0.8100884,0.3625714707994462,-2.9622491,58.984669999999994
216,Ambleside,0.8100884,0.8268932544493445,-2.961333,54.42874000000001
217,Orkney Islands,0.8100884,0.3625714707994462,-2.9605206,58.980940000000004
218,Lyme Regis,0.8100884,0.5930462863801226,-2.936639,50.725159999999995
219,Carlisle,0.8100884,0.7151599400593011,-2.932931,54.892469999999996
220,Chester,0.8100884,0.9758901298165252,-2.893075,53.19339
221,Forfar,0.8100884,0.1980816552305532,-2.889062,56.64356
222,Morecambe,0.8100884,0.7535293941390494,-2.864968,54.074169999999995
223,Selkirk,0.8887124739501794,0.11128722684713067,-2.838524,55.55066
224,Galashiels,0.8839930376699758,0.11600666471622602,-2.814449,55.62373
225,Lancaster,0.8100884,0.7671120696475642,-2.8007399,54.046569999999996
226,St Andrews,0.8558407148171719,0.14415946838485005,-2.7967214,56.33978000000001
227,Hawick,0.8100884,0.2054841497520932,-2.780914,55.42706
228,Bridport,0.8100884,0.606615158425045,-2.758301,50.733579999999996
229,Shrewsbury,0.8100884,0.7664114597028081,-2.7553267999999997,52.7073
230,Penrith,0.8100884,0.8021748198563834,-2.752708,54.6641
231,Kendal,0.8100884,0.7512811802567377,-2.74629,54.32801
232,Street,0.8100884,0.5669583461969269,-2.7429189999999997,51.12468
233,Glastonbury,0.8100884,0.5593925668011888,-2.718454,51.14743
234,Hereford,0.8100884,0.6068020775222714,-2.715974,52.0564
235,Ludlow,0.8100884,0.7127960464186913,-2.7139129,52.36775
236,Preston,0.8100884,0.8124392773853143,-2.70309,53.7632
237,Whitchurch,0.8100884,0.8133604060776987,-2.682045,52.96872
238,Wells,0.8100884,0.56615774530859,-2.6445979,51.20935
239,Yeovil,0.8100884,0.588338901291432,-2.633308,50.94206
240,Wigan,0.8100884,0.9009735481870498,-2.6325074,53.54506
241,Warrington,0.8100884,0.9056218813851542,-2.5969501,53.39004
242,Arbroath,0.8321391657997421,0.1678610927158449,-2.591543,56.55911
243,Bristol,0.8100884,0.5543809668417238,-2.58791,51.45451
244,Guernsey,0.8100884,0.5793871194831176,-2.5852779999999997,49.46569
245,Ross-on-Wye,0.8100884,0.5834910575439464,-2.582446,51.91445
246,Jedburgh,0.8100884,0.2335794502114118,-2.5549369,55.47772
247,Sedbergh,0.8100884,0.6882982652412964,-2.5281740000000004,54.32363
248,Nantwich,0.8100884,0.794846190698553,-2.524102,53.06718000000001
249,Banff,0.8100884,0.3460774091504844,-2.524038,57.666509999999995
250,Dunbar,0.8566776757668491,0.14332203581561126,-2.516737,56.00209
251,Cinderford,0.8100884,0.5671142916685324,-2.5009579,51.8253
252,Banchory,0.8100884,0.3771423396332117,-2.4909599,57.05386
253,Blackburn,0.8100884,0.7787512848162911,-2.487529,53.748580000000004
254,Market Drayton,0.8100884,0.8196127690791641,-2.483485,52.90355
255,Telford,0.8100884,0.7743215176807219,-2.4672611,52.67759
256,Montrose,0.8100884,0.200526282299684,-2.4661150000000003,56.70692
257,Turriff,0.8100884,0.34726632503655397,-2.4623,57.53893000000001
258,Weymouth,0.8100884,0.6171468644759113,-2.457621,50.61443
259,Crewe,0.8100884,0.7610703273003221,-2.4438209,53.1004
260,Fortuneswell,0.8100884,0.6182415128057425,-2.4422189999999997,50.55919
261,Dorchester,0.8100884,0.619381746232412,-2.4411810000000003,50.71116
262,Alston,0.8100884,0.6697427741393119,-2.438685,54.812169999999995
263,Kelso,0.8270204392193296,0.17297968635164018,-2.432207,55.600030000000004
264,Wincanton,0.8100884,0.5491386133713816,-2.416007,51.05569000000001
265,Clitheroe,0.8100884,0.6663537881585809,-2.3930830000000003,53.8711
266,Sark,0.8100884,0.5799373726756736,-2.3666256000000003,49.43007
267,Bath,0.8100884,0.5041704976889299,-2.3590167,51.38106
268,Kidderminster,0.8100884,0.6715096174790903,-2.2496839,52.3886
269,Manchester,0.8100884,0.5933341390964926,-2.2426305,53.48076
270,Burnley,0.8100884,0.6608110578536828,-2.2405035,53.78929
271,Gloucester,0.8100884,0.5169962720548207,-2.238156,51.86424
272,Newcastle-under-Lyme,0.8100884,0.7526025420593219,-2.2273002,53.01321
273,Worcester,0.8100884,0.5914128989663899,-2.221575,52.19364
274,Trowbridge,0.8100884,0.5047515898391695,-2.208853,51.31966
275,Shaftesbury,0.8100884,0.5463315275485151,-2.198083,51.0046
276,Alderney,0.8100884,0.6176252049898512,-2.1973557,49.715
277,Stoke-on-Trent,0.8100884,0.7519329730741559,-2.179404,53.002669999999995
278,Colne,0.8100884,0.5746591975339608,-2.176991,53.85564
279,Blandford Forum,0.8100884,0.6120447676624575,-2.165353,50.85691
280,Rochdale,0.8100884,0.6033489896032985,-2.1561,53.60971
281,Jersey,0.8100884,0.6142568905375237,-2.13125,49.21444
282,Wolverhampton,0.8100884,0.6955484503255429,-2.12882,52.586969999999994
283,Stafford,0.8100884,0.8300812485333822,-2.12066,52.80669
284,Macclesfield,0.8100884,0.4860059476094589,-2.119287,53.25866
285,Hexham,0.8100884,0.667034534582558,-2.1121439,54.97266
286,Aberdeen,0.8100884,0.3791912449680484,-2.094278,57.149719999999995
287,Dudley,0.8100884,0.6698781827504512,-2.081112,52.51225
288,Cheltenham,0.8100884,0.5315119270342181,-2.0782533,51.899390000000004
289,Bromsgrove,0.8100884,0.6276766851756526,-2.061906,52.33559
290,Skipton,0.8100884,0.429222807765896,-2.0162787,53.96285
291,Fraserburgh,0.8100884,0.34455337210198805,-2.007631,57.69335
292,Berwick,0.8100884,0.19320896524860207,-2.005395,55.77024
293,Poole,0.8100884,0.537062333411553,-1.987248,50.71505
294,Walsall,0.8100884,0.675751926845683,-1.9829189999999999,52.586209999999994
295,Cirencester,0.8100884,0.5464759589114656,-1.968243,51.71849
296,Evesham,0.8100884,0.4900148774403935,-1.9467700000000001,52.09215
297,Buxton,0.8100884,0.4922408711130204,-1.91483,53.259080000000004
298,Keighley,0.8100884,0.4303064133248538,-1.9123580000000002,53.8678
299,Birmingham,0.8100884,0.6739541772142523,-1.8904009999999998,52.48624
300,Bournemouth,0.8100884,0.58010503425784,-1.880769,50.719159999999995
301,Halifax,0.8100884,0.4346490503048714,-1.8575400000000002,53.727019999999996
302,Salisbury,0.8100884,0.5088824614874948,-1.794472,51.06878
303,Ringwood,0.8100884,0.5681076697093764,-1.7888169999999999,50.84495
304,Huddersfield,0.8100884,0.4080814902623298,-1.7850351000000002,53.64579000000001
305,Peterhead,0.8100884,0.34990143990325456,-1.784066,57.50812
306,Swindon,0.8100884,0.5014871717006103,-1.7797176,51.55577
307,Bradford,0.8100884,0.4071639976042574,-1.759398,53.79598000000001
308,Ashbourne,0.8100884,0.7745383330600698,-1.7321790000000001,53.016630000000006
309,Marlborough,0.8100884,0.5097573317433539,-1.7270619999999999,51.42007
310,Stratford-upon-Avon,0.8100884,0.5109259801048323,-1.7082979999999999,52.19173
311,Alnwick,0.8100884,0.6617443066604406,-1.7062990000000002,55.41274
312,Otley,0.8100884,0.3892929562945309,-1.691786,53.90583
313,Bishop Auckland,0.8100884,0.7801318331773991,-1.6787880000000002,54.663819999999994
314,Burton upon Trent,0.8100884,0.6916731784225605,-1.6371358999999999,52.81403
315,Newcastle,0.8100884,0.6977485877541733,-1.61778,54.97825
316,Durham,0.8100884,0.7720071145071373,-1.5848520000000001,54.77525
317,Ashington,0.8100884,0.6921183232899107,-1.5659829,55.18298000000001
318,Darlington,0.8100884,0.8807740309042718,-1.559458,54.52361
319,Leeds,0.8100884,0.4262828720227024,-1.5490774,53.80076
320,Harrogate,0.8100884,0.3666837582723989,-1.5418120000000002,53.99211999999999
321,Leamington Spa,0.8100884,0.570229834402204,-1.5200789,52.28519
322,Coventry,0.8100884,0.5822192535423559,-1.519693,52.40682
323,Blyth,0.8100884,0.7028580239702196,-1.510277,55.12696
324,Wakefield,0.8100884,0.3903886819678622,-1.505924,53.6833
325,Andover,0.8100884,0.4478590996303701,-1.4919233,51.2112
326,Witney,0.8100884,0.3776246528513074,-1.4850543999999999,51.785940000000004
327,Barnsley,0.8100884,0.2542806055613145,-1.479726,53.55263000000001
328,Derby,0.8100884,0.6414104581100232,-1.4746186000000001,52.92253
329,Sheffield,0.8100884,0.2224805228078669,-1.470085,53.38113000000001
330,Nuneaton,0.8100884,0.597166721263293,-1.465382,52.52049
331,Northallerton,0.8100884,0.6586655282737018,-1.429959,54.337959999999995
332,South Shields,0.8100884,0.7143567131461831,-1.427406,54.99941999999999
333,Chesterfield,0.8100884,0.2436230523228705,-1.421629,53.23505
334,Southampton,0.8100884,0.5768563722679663,-1.4043508999999998,50.9097
335,Wetherby,0.8100884,0.35346408018937003,-1.384816,53.92706
336,Sunderland,0.8100884,0.7676019916041275,-1.383801,54.90687
337,Rotherham,0.8100884,0.21868894702803013,-1.3635008999999998,53.4326
338,Castleford,0.8100884,0.39174202740559866,-1.345968,53.72346999999999
339,Thirsk,0.8100884,0.5986127182420179,-1.341377,54.23385
340,Banbury,0.8100884,0.3219742050299148,-1.339775,52.0629
341,Stockton,0.8100884,0.80552017342537,-1.3289821000000002,54.57046
342,Newbury,0.8100884,0.4380997815349385,-1.3231138999999998,51.40141
343,Isle of Wight,0.8100884,0.5913263748165571,-1.304734,50.69385
344,Abingdon,0.8100884,0.29787153958109513,-1.2879528999999998,51.67078
345,Shetland Islands,0.8100884,0.3417637931109944,-1.2659409,60.52965
346,Rugby,0.8100884,0.5078791180192771,-1.265032,52.37088
347,Oxford,0.8100884,0.2817127337624976,-1.2577263,51.75202
348,Middlesbrough,0.8100884,0.8852410337245549,-1.234956,54.57423000000001
349,Hartlepool,0.8100884,0.7903910386567681,-1.212926,54.69174
350,Loughborough,0.8100884,0.6083883984918538,-1.206166,52.7721
351,Mansfield,0.8100884,0.6012396856985006,-1.198674,53.1472
352,Nottingham,0.8100884,0.6291038286431296,-1.1581086,52.95478000000001
353,Bicester,0.8100884,0.32555219746090336,-1.1535898999999998,51.8996
354,Leicester,0.8100884,0.5468801647258211,-1.1397591999999999,52.63688000000001
355,Doncaster,0.8100884,0.2585605546164337,-1.128462,53.522819999999996
356,Worksop,0.8100884,0.28757206838841864,-1.122745,53.3093
357,Basingstoke,0.8100884,0.38149938608254,-1.0923964,51.26654
358,Portsmouth,0.8100884,0.5697871135577283,-1.0879769,50.81977
359,York,0.8100884,0.3649746201438321,-1.0872979,53.95997
360,Selby,0.8100884,0.4039854302758437,-1.067189,53.783519999999996
361,Helmsley,0.8100884,0.6653497040167069,-1.0562636,54.24651
362,Towcester,0.8100884,0.4831140883199468,-0.9896879999999999,52.13511
363,Reading,0.8100884,0.4024739173455333,-0.9781303,51.45426
364,Retford,0.8100884,0.3270891626313981,-0.9455030000000001,53.32136
365,Petersfield,0.8100884,0.5540257801566121,-0.93899,51.00759
366,Northampton,0.8100884,0.5023191502183809,-0.9026559999999999,52.24048
367,Melton Mowbray,0.8100884,0.5383165632473018,-0.887126,52.7664
368,Aylesbury,0.8100884,0.32134496909202503,-0.8084,51.81561
369,Newark-on-Trent,0.8100884,0.5955039762391889,-0.80657,53.07004000000001
370,Malton,0.8100884,0.599634443883702,-0.7978970000000001,54.13684
371,Chichester,0.8100884,0.4732681114067447,-0.774936,50.83761
372,Gainsborough,0.8100884,0.5877792213432521,-0.774465,53.400569999999995
373,Milton Keynes,0.8100884,0.4503099214246252,-0.7594171,52.040620000000004
374,Aldershot,0.8100884,0.4239005962086263,-0.7557509,51.24837
375,High Wycombe,0.8100884,0.2800269605210841,-0.748229,51.628609999999995
376,Midhurst,0.8100884,0.5751153178382161,-0.737274,50.9869
377,Kettering,0.8100884,0.5234960873914114,-0.7302489999999999,52.39632
378,Wellingborough,0.8100884,0.4811541984917864,-0.693964,52.30242
379,Corby,0.8100884,0.5594322938427463,-0.6842333,52.4923
380,Bognor Regis,0.8100884,0.4532564558967555,-0.673061,50.783
