,placename,coalescence,no_coalescence,yod-dropping,longitude,latitude
70,Portree,0.0625000006640625,0.94117647,0.01,-6.1960231,57.41246999999999
71,Islay,0.01,1.0,0.01,-6.177067,55.73625
72,Mull,0.0625000006640625,0.94117647,0.01,-6.0008870000000005,56.4392
73,Broadford,0.0625000006640625,0.94117647,0.01,-5.9096592,57.24139
74,Kyle of Lochalsh,0.0625000006640625,0.94117647,0.01,-5.7143293,57.28261
75,Campbeltown,0.01,1.0,0.01,-5.605373999999999,55.424119999999995
76,Penzance,0.01,0.17647059,0.82352941,-5.537592,50.1188
77,Oban,0.0625000006640625,0.94117647,0.01,-5.471047,56.41516
78,Lochgilphead,0.0625000006640625,0.94117647,0.01,-5.4323449,56.03829
79,Helston,0.01,0.17647059,0.82352941,-5.274996,50.10159
80,Redruth,0.01,0.17647059,0.82352941,-5.226666000000002,50.23302
81,Ullapool,0.0625000006640625,0.94117647,0.01,-5.161313,57.895419999999994
82,Ballachulish,0.0625000006640625,0.94117647,0.01,-5.133719999999999,56.67393000000001
83,Fort William,0.0625000006640625,0.94117647,0.01,-5.1052179,56.81981999999999
84,Achnasheen,0.0625000006640625,0.94117647,0.01,-5.078765799999998,57.57859000000001
85,Newquay,0.01,0.17647059,0.82352941,-5.0737190000000005,50.4155
86,Falmouth,0.01,0.17647059,0.82352941,-5.066269999999999,50.152570000000004
87,Rothesay,0.0625000006640625,0.94117647,0.01,-5.055793,55.83596
88,Truro,0.01,0.17647059,0.82352941,-5.0510410000000014,50.2632
89,Milford Haven,0.125000001328125,0.23529412,0.64705882,-5.0426971,51.71431
90,Stranraer,0.01,0.94117647,0.05882353,-5.0240550000000015,54.903369999999995
91,Fishguard,0.125000001328125,0.47058824,0.41176471,-4.975989,51.99393
92,Inchnadamph,0.0625000006640625,0.94117647,0.01,-4.974295,58.15221
93,Haverfordwest,0.125000001328125,0.29411765,0.58823529,-4.971319,51.80048
94,Dunoon,0.0625000006640625,0.94117647,0.01,-4.926214,55.95097
95,Pembroke,0.125000001328125,0.23529412,0.64705882,-4.9086370000000015,51.67404000000001
96,Girvan,0.01,1.0,0.01,-4.8542179,55.240159999999996
97,Wadebridge,0.01,0.17647059,0.82352941,-4.836456,50.51665
98,Invergarry,0.0625000006640625,0.94117647,0.01,-4.800261,57.07095
99,St Austell,0.01,0.17647059,0.82352941,-4.7834252,50.340379999999996
100,Greenock,0.0625000006640625,0.94117647,0.01,-4.7719830000000005,55.956480000000006
101,Helensburgh,0.0625000006640625,0.94117647,0.01,-4.734014,56.00232
102,Bodmin,0.01,0.17647059,0.82352941,-4.7188629,50.4715
103,Tenby,0.125000001328125,0.35294118,0.52941176,-4.703579,51.67274000000001
104,Camelford,0.01,0.17647059,0.82352941,-4.682364,50.62206
105,Irvine,0.01,1.0,0.01,-4.6696364,55.61156999999999
106,Cardigan,0.125000001328125,0.64705882,0.23529412,-4.660864,52.0837
107,Holyhead,0.1875000019921875,0.70588235,0.11764706,-4.633038,53.30944
108,Ayr,0.01,1.0,0.01,-4.629179,55.45856
109,Dumbarton,0.0625000006640625,0.94117647,0.01,-4.564554,55.94529
110,Bude,0.0625000006640625,0.01,0.94117647,-4.543678,50.82664000000001
111,Isle of Man,0.01,0.88235294,0.11764706,-4.5126330999999995,54.27697
112,Kilmarnock,0.0625000006640625,0.94117647,0.01,-4.498792,55.61472
113,Newton Stewart,0.01,0.94117647,0.05882353,-4.483164,54.9603
