,placename,aint,am_not,amnt,arent,ent,int,m_not,longitude,latitude
67,Islay,0.13787029468713358,0.32027755597703433,0.01,0.02507348669531504,0.01,0.01,0.7781285552035051,-6.177067,55.73625
68,Wicklow,0.06718709847892021,0.4457257982472881,0.5873573365963002,0.015078803130121669,0.01,0.01,0.7164577444809883,-6.044589,52.98082
69,Kilkeel,0.1665466973099086,0.28473577618050616,0.060987318834421024,0.017918379276381582,0.01,0.01,0.7787542232593772,-6.007004,54.06312
70,Mull,0.1955798623764192,0.3593317868903245,0.15427489997856453,0.011331684288937615,0.01,0.01,0.6855191755318895,-6.0008870000000005,56.4392
71,Belfast,0.08544412133213895,0.2769667027901424,0.051429263046413286,0.02549841988224325,0.01,0.12697401859286994,0.8610567963311972,-5.93012,54.59728000000001
72,Broadford,0.1943726193051456,0.3381151583335801,0.01,0.03956086146407642,0.01,0.01,0.7023854669250839,-5.9096592,57.24139
73,Down,0.2425521000444743,0.475346359371401,0.01,0.01,0.01,0.01,0.5547106118078375,-5.7156922,54.32875
74,Kyle of Lochalsh,0.16940118401382911,0.3198697028758007,0.01,0.036222858381913615,0.01,0.01,0.7433929930909051,-5.7143293,57.28261
75,Campbeltown,0.08981238031495946,0.2861244516890423,0.07474789709806533,0.013176783539000923,0.01,0.01,0.8542938500173369,-5.6053739999999985,55.42412
76,Penzance,0.10239382179590112,0.3530657532226939,0.01,0.046566091807621016,0.01,0.01,0.7782384053201855,-5.537592,50.1188
77,Oban,0.21673376530044847,0.3428843527479218,0.16669351740479374,0.01224384740014953,0.01,0.01,0.6773539685981497,-5.471047,56.41516
78,Lochgilphead,0.15738218055799544,0.34483221874153897,0.10806313728508206,0.02381211762555311,0.01,0.01,0.7332600362409873,-5.4323449,56.03829
79,Helston,0.10528586244126747,0.34642562456524945,0.01,0.04618815510877368,0.01,0.01,0.781041971341538,-5.274996,50.10159
80,Redruth,0.10528586244126747,0.34642562456524945,0.01,0.04618815510877368,0.01,0.01,0.781041971341538,-5.226666000000002,50.23302
81,Ullapool,0.19339389390334025,0.43133404937273057,0.02709491071921412,0.02388186055063073,0.01,0.01,0.6299541208599645,-5.161313,57.89542
82,Ballachulish,0.17107436696685618,0.32360043348170825,0.062334715367920734,0.01,0.01,0.01,0.7482416817193169,-5.1337199999999985,56.67393000000001
83,Fort William,0.21477079755183148,0.32055347686731145,0.06158067656005261,0.01,0.01,0.01,0.7076907499515224,-5.1052179,56.81981999999999
84,Achnasheen,0.19079967149980084,0.4456241794425043,0.02746871470548789,0.024211337261633763,0.01,0.01,0.6204898168941846,-5.078765799999998,57.57859000000001
85,Newquay,0.12701778634033456,0.32737801207897377,0.01,0.049659171366089334,0.01,0.01,0.7742083388656391,-5.0737190000000005,50.4155
86,Falmouth,0.10637047447178882,0.3415015332383054,0.01,0.045834303965360035,0.01,0.01,0.7841932368626429,-5.0662699999999985,50.15257
87,Rothesay,0.16607243361639132,0.3110396602693897,0.09375293244212132,0.03148009206010112,0.01,0.01,0.7508207714152794,-5.055793,55.83596
88,Truro,0.12478497222895706,0.3516614617170386,0.01,0.04553021289079842,0.01,0.01,0.7576754186961088,-5.0510410000000014,50.2632
89,Milford Haven,0.3046092139756799,0.2484022882947308,0.01,0.0274001551731892,0.01,0.01,0.6725387126139462,-5.0426971,51.71431
90,Stranraer,0.13520473915254885,0.4415776841889637,0.01,0.041488170040348084,0.01816867239130509,0.01,0.6703445759355664,-5.0240550000000015,54.90337
91,Fishguard,0.2883998488163491,0.25125771929739954,0.01,0.02790063090107147,0.01,0.01,0.6859834116771636,-4.975989,51.99393
92,Inchnadamph,0.1872864422044357,0.4622332850844951,0.026764502500838963,0.011795317298713016,0.01,0.01,0.6145817910536144,-4.974295,58.15221
93,Haverfordwest,0.3008418180559931,0.23449153509614976,0.01,0.02815226724726448,0.01,0.01,0.6875623877021371,-4.971319,51.80047
94,Dunoon,0.2040436303240334,0.3708349207683346,0.09188613370551127,0.022497171434024143,0.01,0.01,0.6668866853061627,-4.926214,55.95097
95,Pembroke,0.30082865481878523,0.2624300466481985,0.01,0.027213206270367,0.01,0.01,0.6646667577308211,-4.9086370000000015,51.67404000000001
96,Girvan,0.1224734690598593,0.2800060810529958,0.09453708566605902,0.0238075445926278,0.01,0.01,0.8223475256500028,-4.8542179,55.24016
97,Wadebridge,0.1179716419347829,0.3671700988561512,0.01,0.038405656164038834,0.01,0.01,0.7540255291671148,-4.836456,50.51665
98,Invergarry,0.20925278787201265,0.3407753893722575,0.01,0.02686355016987356,0.01,0.01,0.6899924633267761,-4.800261,57.07095
99,St Austell,0.12442530612995505,0.3641720570562605,0.01,0.040390891439373036,0.01,0.01,0.7494462121291726,-4.7834252,50.34038
100,Greenock,0.2018430467861133,0.3361958833935124,0.12370360687226445,0.020191521515758613,0.01,0.01,0.6970343334151645,-4.7719830000000005,55.956480000000006
101,Helensburgh,0.1953862853586571,0.33783269250333386,0.13531889769207545,0.02208742730700293,0.01,0.01,0.7007673269454694,-4.734014,56.00232
102,Bodmin,0.1780504955329683,0.32757126004332515,0.01,0.055196200762798485,0.01,0.01,0.7217181322423472,-4.7188629,50.4715
103,Tenby,0.3145289714623921,0.267048592619742,0.01,0.027049158069693224,0.01,0.01,0.6473620210893124,-4.703579,51.67274000000001
104,Camelford,0.3004084959017325,0.3172262360693249,0.01,0.04025195453624093,0.01,0.01,0.6148702670122019,-4.682364,50.62206
105,Irvine,0.11755719353975415,0.2707289157055364,0.09762844446760288,0.02689099213655654,0.01,0.01,0.8336611324496283,-4.6696364,55.61156999999999
106,Cardigan,0.2458893678306937,0.3602959598889336,0.01,0.02816883607837967,0.01,0.01,0.6371335423988018,-4.660864,52.0837
107,Holyhead,0.24670810182731864,0.2591001649095225,0.01,0.01,0.01,0.01,0.7305042311399298,-4.633038,53.30944
108,Ayr,0.13534972833885267,0.2947480416276553,0.10696251145741098,0.02356959073079427,0.01,0.01,0.7968126272231516,-4.629179,55.45856
109,Dumbarton,0.199213883730868,0.3205393535757993,0.12845810357613327,0.02096757403372008,0.01,0.01,0.7121306051022037,-4.564554,55.94529
110,Bude,0.17691177872598254,0.4934248614482138,0.01,0.01,0.025183241545363368,0.01,0.5959512112646995,-4.543678,50.82664000000001
111,Isle of Man,0.21630325001294545,0.3609441385928929,0.01,0.03695588896054473,0.01,0.01,0.6626751273544952,-4.5126331,54.27697
112,Kilmarnock,0.10105359131342492,0.2857662023433641,0.14749850576544912,0.029547135710091838,0.01,0.01,0.8338980266142958,-4.498792,55.61472
113,Newton Stewart,0.21431695623368813,0.3649734103201991,0.16844383720140074,0.03149340840029609,0.023642956637136496,0.01,0.6496526348266894,-4.483164,54.9603
114,Liskeard,0.25164489651130656,0.3387015619901118,0.01,0.030326067036546788,0.011183593685833174,0.01,0.6463867430968748,-4.4647190000000005,50.45552
115,Altnaharra,0.18258523075106428,0.5047229205405248,0.02445804281949248,0.010778842945715008,0.01,0.01,0.5843548598169223,-4.442655,58.28023
116,Pwllheli,0.2304547946849557,0.2981942395801685,0.01,0.01,0.015590022152965791,0.01,0.7108649407143688,-4.417633900000001,52.88882
117,Lairg,0.1798746685598499,0.4706978444642094,0.09439641916134772,0.015600453836553431,0.01,0.01,0.6099795487739297,-4.402414,58.02206
118,Launceston,0.2513584025250186,0.31009971503101724,0.01,0.031839963582784486,0.011741886223220666,0.01,0.6698134745018766,-4.360451599999998,50.63683
119,Carmarthen,0.30795412805410083,0.28855572465230866,0.01,0.036754081873681864,0.01,0.30885238698139056,0.6276252983863498,-4.312131,51.85762
120,Llangefni,0.2345481743025541,0.28076299761924944,0.01,0.01,0.01,0.01,0.724483489527462,-4.311401999999998,53.25579000000001
121,Caernarfon,0.2400151764381925,0.2780130894206442,0.01,0.01,0.014260603879273009,0.01,0.7184875835935517,-4.273911,53.13955
122,Cumnock,0.15888491894688292,0.31813804954818103,0.11176088408844148,0.012313464867006069,0.01,0.01,0.7578702832509142,-4.265828900000002,55.45355
123,Aberaeron,0.15362001121778818,0.4902939688493008,0.10733577663901554,0.01,0.01,0.17666796752437527,0.6188544829832622,-4.2581619,52.24279
124,Alness,0.17853298624974048,0.4914038528798539,0.026101409889261584,0.017254630442714962,0.01,0.01,0.5970506676499051,-4.256825,57.69595
125,Glasgow,0.1405835669565966,0.34111354460399546,0.08512793239699185,0.01023177779591125,0.01,0.01,0.7571978094931526,-4.251806,55.86424
126,Dalwhinnie,0.17402099633123155,0.24388926512725084,0.01,0.039708502906272536,0.01,0.01,0.8008054401598658,-4.242783,56.9366
127,Inverness,0.18334918245166265,0.4503288430452205,0.026018034448373896,0.01719951443856237,0.01,0.01,0.626492409356938,-4.224721,57.47776999999999
128,Saltash,0.2544709273936161,0.32544243220073715,0.01,0.027349499935699705,0.011272477208395968,0.01,0.6556657346919076,-4.21643,50.40921
129,Bideford,0.18553689311790145,0.3892733945434491,0.01,0.01276425429331655,0.02683092209085744,0.01,0.6726208613968538,-4.206666,51.01668
130,Invergordon,0.1863472065142538,0.4723731194492881,0.09471963965212886,0.015653870770248497,0.01,0.01,0.6021620413399426,-4.172882,57.68811
131,Llanelli,0.27855965148393724,0.3169123085978235,0.01,0.02353610765462046,0.03865136383664023,0.09888946432188593,0.6332305199922439,-4.160248,51.68089000000001
132,Plymouth,0.2295253346341709,0.3462314580128322,0.01,0.026970753681335655,0.011116371610577713,0.01,0.663156557431074,-4.1426565,50.37546
133,Tavistock,0.2361419906782987,0.3189576597499281,0.01,0.029465971779317906,0.01214481074233333,0.01,0.6782222621291252,-4.141654,50.55112
134,Porthmadog,0.2008706126373853,0.2498979793129375,0.01,0.01,0.01883567349527492,0.01,0.7795823976173032,-4.133384,52.92784
135,Bangor,0.20294004774577146,0.2556903660091184,0.01,0.01,0.01,0.01,0.7765362061208484,-4.129263,53.22739
136,Tywyn,0.15993091236236068,0.38252946543456456,0.11494291235326573,0.01,0.01,0.18918883357321006,0.6994863790631406,-4.087249,52.58701
137,Aberystwyth,0.16212268814597258,0.3977738936812393,0.11671192170775233,0.01,0.01,0.19210051220427668,0.6864533791328712,-4.08292,52.4153
138,Lampeter,0.15343359654968325,0.4553181541248394,0.10435125693883512,0.01,0.01,0.17175563497340665,0.6511657007816558,-4.078509,52.1129
139,Barnstaple,0.19769440092994395,0.4450516694304685,0.01,0.013176568698527923,0.027697621913013608,0.01,0.6138978546749827,-4.058338,51.07816
140,Tain,0.1735145988527658,0.4796592451640357,0.09354120969715646,0.015459117343025509,0.01,0.01,0.6088963311016247,-4.05523,57.8115
141,Okehampton,0.06138675671869534,0.4896947049598473,0.01,0.031884936585909116,0.013404656967071864,0.01,0.7075407806617945,-4.004263,50.73831
142,Llandeilo,0.2847629238066339,0.4629941056500285,0.01,0.018575688818778455,0.03253897236373585,0.4162545983494037,0.5035558005160081,-3.99143,51.88469
143,Motherwell,0.09747532014009168,0.3049008510488782,0.01,0.01,0.01,0.01,0.8377551985373688,-3.9810968,55.78321
144,Golspie,0.17773583609059596,0.4782726364786478,0.09284812179299086,0.01534457398718316,0.01,0.01,0.6059599897218492,-3.976086,57.97341
145,Airdrie,0.09819900782099547,0.2726796522868594,0.01,0.01,0.011369747632877104,0.01,0.8634706332429379,-3.962566,55.86626999999999
146,Swansea,0.3549044915191488,0.2812622502330344,0.01,0.013237469242032536,0.03478204654652845,0.08898982213175957,0.5921360689514871,-3.943646,51.62144
147,Stirling,0.14343776329499058,0.4032572903167728,0.13623540443439947,0.03335553604624578,0.011685756137007012,0.01,0.6911960385182264,-3.9369029,56.11652
148,Tregaron,0.15502683219437452,0.4693495868305703,0.11763587824932913,0.01,0.01,0.19362128983468505,0.6338160688750675,-3.934385,52.22
149,Tregaron,0.15502683219437452,0.4693495868305703,0.11763587824932913,0.01,0.01,0.19362128983468505,0.6338160688750675,-3.934385,52.22
150,Castle Douglas,0.2256448897361109,0.45648016802812896,0.14452275355349148,0.06015380244236292,0.037189841010975486,0.01,0.5506824557901052,-3.931414,54.94042
151,Dolgellau,0.14338452961510595,0.4065054177175889,0.1142502331342744,0.01,0.01,0.1880487269508196,0.6989313971693049,-3.8844,52.74215
152,Aberfeldy,0.12258380795998372,0.4671020314804722,0.047124426329033235,0.01,0.01,0.01,0.6775106244167196,-3.866969,56.62175
153,Machynlleth,0.15540837249638376,0.4288582248882709,0.11714711277293699,0.01,0.010048435188591243,0.1928168124645656,0.6651405460601534,-3.853485,52.59027
154,Brora,0.18129958898759704,0.4966109841545855,0.12393036666590565,0.01489555686016311,0.01,0.01,0.5857265534478138,-3.852548000000001,58.01216
155,Llandudno,0.2072452974093104,0.17294004903882387,0.01,0.01,0.01,0.01,0.8411271195102401,-3.827609,53.32406
156,Llandudno,0.2072452974093104,0.17294004903882387,0.01,0.01,0.01,0.01,0.8411271195102401,-3.827609,53.32406
157,Aviemore,0.15432763200621766,0.3828294992615701,0.01,0.028678488025161406,0.01,0.01,0.7085695508849615,-3.823812,57.19449
158,Dalbeattie,0.2206072414258689,0.4775850733113654,0.14532496772986125,0.06048770303638897,0.037396273679481916,0.01,0.5378949469901543,-3.822527,54.93422
159,Falkirk,0.12630803620470962,0.3679868384701926,0.12423002636475708,0.02433293508478696,0.010655980496027562,0.01,0.7414787354054555,-3.7839131,56.00188000000001
160,Kingsbridge,0.2278158559903133,0.3637557070154178,0.01,0.027071937621198968,0.01,0.01,0.6505600923123068,-3.777493,50.28395
161,Pitlochry,0.13504223124613748,0.42999348491414296,0.0487023377948382,0.01,0.01,0.01,0.6960036527551845,-3.729711,56.70436
162,Colwyn Bay,0.2056728712940285,0.15853796604852582,0.01,0.01,0.01,0.01,0.8546606538852073,-3.72764,53.29318000000001
163,Totnes,0.14966242587815004,0.4153124956223538,0.01,0.03613119957480066,0.01,0.01,0.6823144177800539,-3.685797,50.43374
164,Grantown-on-Spey,0.13542222293200454,0.42430834337464907,0.14290576042247946,0.03148982045670752,0.01,0.01,0.6842754811673918,-3.609628,57.33041
165,Dumfries,0.21627595565344104,0.3232513700166884,0.07758775507523896,0.13487438259236406,0.029948324667861518,0.01,0.6492065478311299,-3.60512,55.07086
166,Whitehaven,0.2527764509686352,0.35197435577696584,0.01,0.10142160484816742,0.01,0.01,0.611268138403505,-3.589233,54.5497
167,Dartmouth,0.1493736089676489,0.41893092883721217,0.01,0.03602326619802238,0.01,0.01,0.6796312092778447,-3.578807,50.35252
168,Bridgend,0.6000248746467823,0.2995455974485297,0.01,0.01,0.016701623378242738,0.01,0.34252699208410503,-3.576945,51.50429000000001
169,Paignton,0.08544276629301459,0.5413768808377706,0.01,0.03166334156074347,0.01,0.01,0.6435984605700185,-3.564235,50.43508
170,Workington,0.3135978660069561,0.5013482576336391,0.01,0.08454852812404264,0.04443101261582461,0.01,0.4239660477169809,-3.542752,54.64357
171,Llanidloes,0.16417586278486673,0.36545314293758496,0.01,0.07423446238861714,0.01,0.01,0.697142273095032,-3.540195,52.44779000000001
172,Exeter,0.0592887690001892,0.5630247864914275,0.01,0.03348190747394382,0.01,0.01,0.6507559120855188,-3.533899,50.71841
173,Torquay,0.08291765088481631,0.5471463028323056,0.01,0.03175671397639108,0.01,0.01,0.6412581754755325,-3.525315,50.46192
174,Thurso,0.209196360171335,0.5878437729718782,0.15092575063283845,0.012093474684020332,0.01,0.01,0.4818857157594794,-3.5220800000000003,58.59356999999999
175,Livingston,0.0890361364737333,0.36351790752987295,0.15313715893946214,0.01,0.01,0.01,0.7878450368284456,-3.518068,55.90071
176,Rhyl,0.18165896472107249,0.1849601183508864,0.01,0.01,0.01,0.01,0.8563790917974449,-3.4916339999999995,53.31914
177,Tiverton,0.055375803163145235,0.5673970360378172,0.01,0.042076309834819,0.01,0.01,0.6479313312592356,-3.491207,50.90205
178,Tiverton,0.055375803163145235,0.5673970360378172,0.01,0.042076309834819,0.01,0.01,0.6479313312592356,-3.491207,50.90205
179,Minehead,0.3097654282093012,0.6473012227096097,0.01,0.03890218480398292,0.01,0.01,0.33152478648480543,-3.481152,51.20428
180,Dunfermline,0.1882657483372944,0.4534285036498949,0.04395284794252132,0.01,0.01,0.01,0.6242294969533305,-3.452151,56.07174000000001
181,Perth,0.19805716426123024,0.3778920884076713,0.2752099525242162,0.02021451510006641,0.01,0.01,0.6581789143178628,-3.4308381000000003,56.39499
182,Prestatyn,0.1892136949932756,0.2348498992653363,0.01,0.01,0.01,0.01,0.8061011710022439,-3.407613,53.33651
183,Builth Wells,0.20098453271233827,0.6206890375011279,0.01,0.07026280563854519,0.01,0.01,0.4498935409086612,-3.404592,52.15002
184,Braemar,0.059792166034879635,0.4260682432852935,0.3698625513137453,0.08150060060242648,0.01,0.01,0.7278783357420768,-3.3979439,57.00646999999999
185,Brecon,0.7147155797075146,0.2704735482232325,0.01,0.01,0.01,0.01,0.25636533665239913,-3.391463,51.94895
186,Merthyr Tydfil,0.8779167822079491,0.07441941215416027,0.01,0.010888722001814562,0.01,0.01,0.25732915202396434,-3.381646,51.74873
187,Llandrindod Wells,0.19242455698689628,0.3571071962418725,0.01,0.08016585112684667,0.01,0.01,0.6741024051444237,-3.377742,52.2417
188,Corwen,0.278899185573092,0.31910486348747924,0.01,0.010078250047823274,0.01,0.01,0.6452404810097798,-3.369242,52.98005
189,Cockermouth,0.2038834453418352,0.3299786497168796,0.01,0.11686934399205702,0.02489833494077885,0.01,0.6672955187838933,-3.367985,54.66326
190,Lockerbie,0.2054330293690212,0.2719334143068713,0.08177689723492353,0.1141256914247557,0.03156530417225771,0.01,0.7094149191741945,-3.349008,55.12224000000001
191,Blairgowrie,0.1175432559944753,0.2565501644387461,0.3843740455173791,0.011682519050572415,0.010232114660018577,0.01,0.8338483552571871,-3.3378318,56.58941
192,Elgin,0.19543187274634005,0.611075898568587,0.31330649586372944,0.03068367169609398,0.01,0.01,0.4610839245339251,-3.318485,57.64945
193,Newtown,0.15238498984446566,0.29812167112296706,0.01,0.0808074988526065,0.01,0.01,0.7624601076913222,-3.313106,52.51211
