placename,bap,bap (only if crusty),bap (only if soft),barm,barmcake,batch,breadbun,breadcake,breadroll,bun,butty,cake,cob,cob (only if crusty),cookie,dinner roll,flour bap,flourcake,Glasgow (only if browner on top),morning roll,muffin,oven bottom bread,rhol bara,roll,roll (only if crusty),roll (only if soft),softie,split,stottie,stottiecake,teacake,longitude,latitude
Limerick,0.23076923,0.000000000,0.076923077,0.000000000,0.0000000000,0.038461538,0.000000000,0.000000000,0.320512821,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0512820513,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.20512821,0.000000000,0.0769230769,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -8.6267343,52.66384
Loughrea,0.21794872,0.000000000,0.092307692,0.015384615,0.0000000000,0.015384615,0.000000000,0.000000000,0.269230769,0.015384615,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0512820513,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.24615385,0.000000000,0.0769230769,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -8.5660931,53.19891
Sligo,0.71794872,0.000000000,0.000000000,0.076923077,0.0000000000,0.000000000,0.000000000,0.000000000,0.025641026,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0000000000,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.17948718,0.000000000,0.0000000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -8.4760888,54.27661
Cork,0.17307692,0.000000000,0.076923077,0.000000000,0.0000000000,0.038461538,0.019230769,0.000000000,0.314102564,0.076923077,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0256410256,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.19871795,0.000000000,0.0769230769,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -8.4756035,51.89851
Nenagh,0.25641026,0.000000000,0.092307692,0.015384615,0.0000000000,0.015384615,0.000000000,0.000000000,0.269230769,0.015384615,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0512820513,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.20769231,0.000000000,0.0769230769,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -8.1983400,52.86350
Roscommon,0.52564103,0.000000000,0.015384615,0.015384615,0.0000000000,0.015384615,0.000000000,0.000000000,0.076923077,0.015384615,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0512820513,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.20769231,0.000000000,0.0769230769,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -8.1890955,53.62759
Tipperary,0.17948718,0.000000000,0.076923077,0.000000000,0.0000000000,0.038461538,0.000000000,0.000000000,0.320512821,0.076923077,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0256410256,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.20512821,0.000000000,0.0769230769,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -8.1618514,52.47379
Donegal,0.71794872,0.000000000,0.000000000,0.102564103,0.0000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0000000000,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.17948718,0.000000000,0.0000000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -8.1096143,54.65383
Leitrim,0.67948718,0.000000000,0.000000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.025641026,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0000000000,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.21794872,0.000000000,0.0769230769,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -8.0020132,54.12469
Athlone,0.32051282,0.000000000,0.015384615,0.015384615,0.0000000000,0.015384615,0.000000000,0.000000000,0.179487179,0.015384615,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0512820513,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.31025641,0.000000000,0.0769230769,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -7.9406898,53.42393
