,placename,dont_have,dont_have_negc,havent,havent_got,havent_got_negc,havent_negc,longitude,latitude
49,Armagh,0.5314703584463661,0.01,0.7284788646079059,0.3783702239160941,0.01,0.01,-6.652792,54.350280000000005
50,Armagh,0.5314703584463661,0.01,0.7284788646079059,0.3783702239160941,0.01,0.01,-6.652792,54.350280000000005
51,Magherafelt,0.6932705401124192,0.6695859937477607,0.5205119035140984,0.22432713566950307,0.01,0.01,-6.607980499999999,54.75536999999999
52,Dunvegan,0.9044447150094337,0.01,0.40709858305818925,0.019856542343467027,0.01,0.01,-6.581398200000001,57.4366
53,Louth,0.7997818388129494,0.2664900695158333,0.3697015690573568,0.1432870111486045,0.01,0.01,-6.4889423,53.925230000000006
54,Wexford,0.7570464101648297,0.01,0.5045109775877528,0.16810088084377467,0.01,0.01,-6.4633381,52.33692
55,Craigavon,0.7087965418057682,0.5719532002423973,0.5183805313853876,0.20890909556044646,0.01,0.01,-6.4175653,54.442930000000004
56,Stornoway,0.8671598907263438,0.01,0.3482516649938661,0.07586331907497143,0.01,0.01,-6.384869200000001,58.209430000000005
57,Drogheda,0.7883534435432417,0.2488283512172275,0.3616883763873115,0.1585931773492435,0.01,0.01,-6.3560985,53.717859999999995
58,Rosslare,0.7550995878105008,0.01,0.478112543621703,0.1761962749145939,0.01,0.01,-6.3414908,52.25131
59,Newry,0.7417698334084312,0.5707111834129711,0.5873362448241967,0.15565492647232682,0.01,0.01,-6.34023,54.1751
60,Scilly Isles,0.38166904206811614,0.01,0.23254291861539894,0.6566082407153357,0.08410091891589909,0.01,-6.327496599999999,49.92773
61,Ballymena,0.7280408745504675,0.5788821641789331,0.45454738794831306,0.20074373544683882,0.01,0.01,-6.2802213,54.86529
62,Banbridge,0.7522154757430363,0.6147660747118817,0.5077310512203265,0.16036403583222975,0.01,0.01,-6.2704803,54.34873
63,Dublin,0.8085649596264795,0.24427223373156026,0.29309692840670426,0.15060355758311167,0.01,0.01,-6.2603097000000005,53.34981
64,Antrim,0.7268547826842423,0.6205726015061154,0.5325614733972918,0.18396250566410996,0.01,0.01,-6.2072498,54.719530000000006
65,Antrim,0.7268547826842423,0.6205726015061154,0.5325614733972918,0.18396250566410996,0.01,0.01,-6.2072498,54.719530000000006
66,Portree,0.8955164855559302,0.01,0.3993372815872016,0.031864545167081246,0.01,0.01,-6.1960231,57.41246999999999
67,Islay,0.8693243760406331,0.01,0.15640769905619864,0.11589770935840314,0.01,0.01,-6.177067,55.73625
68,Wicklow,0.8097379730315907,0.24819388680255675,0.29937627511523424,0.1477796922161486,0.01,0.01,-6.044589,52.980819999999994
69,Kilkeel,0.7399519273136499,0.5430010394584759,0.5540590106805235,0.16569419249194037,0.01,0.01,-6.007004,54.06312
70,Mull,0.8557358549436737,0.01,0.18927923347645204,0.12426815967743574,0.01,0.01,-6.0008870000000005,56.4392
71,Belfast,0.7784661269414125,0.6133313812788951,0.4307735557196669,0.1472065447456345,0.01,0.01,-5.93012,54.597280000000005
72,Broadford,0.8955164855559302,0.01,0.3993372815872016,0.031864545167081246,0.01,0.01,-5.9096592,57.24139
73,Down,0.7715301830642024,0.6027809662287515,0.4959214278144207,0.14097210389289982,0.01,0.01,-5.7156921999999994,54.32875
74,Kyle of Lochalsh,0.8939190449484914,0.01,0.4031878843877825,0.0328515328106834,0.01,0.01,-5.7143293,57.28261
75,Campbeltown,0.8580389096673812,0.01,0.1354081822185757,0.13355663623789646,0.01,0.01,-5.605373999999999,55.424119999999995
76,Penzance,0.38166904206811614,0.01,0.23254291861539894,0.6566082407153357,0.08410091891589909,0.01,-5.537592,50.1188
77,Oban,0.8879565122484466,0.01,0.13898955940679858,0.0982901626703319,0.01,0.01,-5.471047,56.41516
78,Lochgilphead,0.8898964839802869,0.01,0.10579928866430367,0.10341250224294989,0.01,0.01,-5.4323449,56.03829
79,Helston,0.3787964515021082,0.01,0.23214623408171603,0.6600111737564335,0.083999999916,0.01,-5.274996,50.10159
80,Redruth,0.38166904206811614,0.01,0.23254291861539894,0.6566082407153357,0.08410091891589909,0.01,-5.226666000000001,50.23302
81,Ullapool,0.8680193324566617,0.01,0.46519026452735507,0.04894942757551194,0.01,0.01,-5.161313,57.895419999999994
82,Ballachulish,0.8504941945645296,0.01,0.17072585970111784,0.13442048364619094,0.01,0.01,-5.133719999999999,56.673930000000006
83,Fort William,0.9040324320924261,0.01,0.15376872480804768,0.07649039421846549,0.01,0.01,-5.1052179,56.81981999999999
84,Achnasheen,0.8761183251971817,0.01,0.41339707692912264,0.05109917909021398,0.01,0.01,-5.078765799999999,57.578590000000005
85,Newquay,0.389151478784712,0.01,0.23254291861539894,0.6479867020027475,0.08410091891589909,0.01,-5.0737190000000005,50.4155
86,Falmouth,0.3862698578526974,0.01,0.23214623408171603,0.6513999684901647,0.083999999916,0.01,-5.066269999999999,50.152570000000004
87,Rothesay,0.8937110351383999,0.01,0.09952023329045101,0.10040941616638256,0.01,0.01,-5.055793,55.83596
88,Truro,0.389151478784712,0.01,0.23254291861539894,0.6479867020027475,0.08410091891589909,0.01,-5.051041000000001,50.2632
89,Milford Haven,0.2845711214500153,0.5694745454793614,0.3491219949718225,0.7352939181963486,0.01,0.01,-5.0426971,51.71431
90,Stranraer,0.824057642383182,0.5615651682750762,0.33426554495478583,0.11712803531082126,0.01,0.01,-5.024055000000001,54.903369999999995
91,Fishguard,0.3364434121455935,0.4771901965821725,0.2766597449863406,0.6934777977832821,0.01,0.01,-4.975989,51.99393
92,Inchnadamph,0.8711877453573801,0.01,0.4115028835982655,0.05720021802136534,0.01,0.01,-4.974295,58.15221
93,Haverfordwest,0.2867443257383805,0.5750820531283878,0.35352506543215,0.731698991157835,0.01,0.01,-4.971319,51.800470000000004
94,Dunoon,0.893808500812889,0.01,0.11029697815371894,0.09790789691655344,0.01,0.01,-4.926214,55.95097
95,Pembroke,0.2845711214500153,0.5694745454793614,0.3491219949718225,0.7352939181963486,0.01,0.01,-4.908637000000001,51.674040000000005
96,Girvan,0.8713375248763231,0.01,0.1857344835312715,0.1070767494838569,0.01,0.01,-4.8542179,55.240159999999996
97,Wadebridge,0.39184470759830586,0.01,0.23656290016031822,0.6439397584477987,0.08512363291487637,0.01,-4.836456,50.51665
98,Invergarry,0.8810102924375046,0.01,0.40513563474348596,0.04729381572300596,0.01,0.01,-4.800261,57.07095
99,St Austell,0.390006561027992,0.01,0.2515685459026594,0.6427887632238961,0.083999999916,0.01,-4.7834252,50.340379999999996
100,Greenock,0.8951228861547988,0.01,0.06181008306728542,0.10714233816396833,0.01,0.01,-4.7719830000000005,55.956480000000006
101,Helensburgh,0.8933641445269604,0.01,0.06203589981272358,0.1091185380125331,0.01,0.01,-4.734014,56.00232
102,Bodmin,0.3718430696767473,0.01,0.26238096307863845,0.6611874643958058,0.08659793791340206,0.01,-4.7188629,50.4715
103,Tenby,0.27175204981523576,0.5713315260360197,0.3505801088465199,0.7497034426486374,0.01,0.01,-4.703579,51.672740000000005
104,Camelford,0.4273461902909864,0.01,0.23886740601365272,0.6022178948523758,0.09106677990893323,0.01,-4.682364,50.62206
105,Irvine,0.8879216363521435,0.01,0.14214392088437813,0.09763111842728678,0.01,0.01,-4.6696364,55.61156999999999
106,Cardigan,0.4049561762565521,0.01,0.2553568840085943,0.6290290259689911,0.01,0.01,-4.660864,52.0837
107,Holyhead,0.4080570171081841,0.01,0.6130348281542984,0.546164904652609,0.01,0.01,-4.633038,53.30944
108,Ayr,0.8772614449768908,0.01,0.15211119234672868,0.10770486514798734,0.01,0.01,-4.629179,55.45856
109,Dumbarton,0.9141486217637429,0.01,0.040242463608899895,0.0900011600011094,0.01,0.01,-4.564554,55.94529
110,Bude,0.4046721868152299,0.4574630173317309,0.2611698200840041,0.6140154254672736,0.0913838099086162,0.01,-4.543678,50.826640000000005
111,Isle of Man,0.7267096740442683,0.5389183173671528,0.3832101268192798,0.21891057991695426,0.01,0.01,-4.5126330999999995,54.27697
112,Kilmarnock,0.9002555593579972,0.01,0.045942556052630056,0.10474569621827796,0.01,0.01,-4.498792,55.61472
113,Newton Stewart,0.8333181270273566,0.01,0.11669674319553872,0.1661890138745533,0.01,0.01,-4.483164,54.9603
114,Liskeard,0.4036545579838247,0.01,0.30744317047746456,0.6144877500761284,0.08768267191231734,0.01,-4.4647190000000005,50.45552
115,Altnaharra,0.870759892843809,0.01,0.41244823225563026,0.05748374195475723,0.01,0.01,-4.442655,58.28023
116,Pwllheli,0.46292334122296735,0.01,0.39137003886987265,0.5320845435216234,0.01,0.01,-4.417633900000001,52.888819999999996
117,Lairg,0.8698992055457658,0.01,0.4143494661745225,0.058053983143493935,0.01,0.01,-4.402414,58.022059999999996
118,Launceston,0.4275096710549056,0.4641280299149305,0.30927810957200796,0.5768313082469548,0.09271523090728476,0.01,-4.360451599999999,50.636829999999996
119,Carmarthen,0.25375546453915376,0.5732006485301396,0.40499844848099076,0.7583380775692348,0.01,0.01,-4.312131,51.857620000000004
120,Llangefni,0.3936987351571146,0.01,0.6078661139767294,0.5638549395111269,0.01,0.01,-4.311401999999999,53.255790000000005
121,Caernarfon,0.3996902273067686,0.01,0.6424690180137411,0.5492802593178354,0.01,0.01,-4.273911,53.13955
122,Cumnock,0.9003458630180666,0.01,0.07246628011518468,0.09876176967874786,0.01,0.01,-4.265828900000001,55.45355
123,Aberaeron,0.35957703011191133,0.01,0.20308804399386696,0.692903968592351,0.01,0.01,-4.2581619,52.24279
124,Alness,0.8840507232544693,0.01,0.42209815932808636,0.040030156440842485,0.01,0.01,-4.256825,57.69595
125,Glasgow,0.9201341974667024,0.01,0.04316035844005946,0.08245724186755084,0.01,0.01,-4.251806,55.86424
126,Dalwhinnie,0.8699281649953747,0.01,0.1912764459862595,0.10747236260579807,0.01,0.01,-4.242783,56.9366
127,Inverness,0.8773701207609055,0.01,0.47039565450374593,0.03702125780072043,0.01,0.01,-4.224721,57.47776999999999
128,Saltash,0.46708789691183306,0.01,0.275472928437262,0.5474583076836027,0.1076923048923077,0.01,-4.21643,50.409209999999995
129,Bideford,0.43630960703272453,0.46711841565552326,0.30471056450107675,0.5723952099740147,0.01,0.01,-4.206666,51.01668
130,Invergordon,0.8899372763232835,0.01,0.42209815932808636,0.033247540612865945,0.01,0.01,-4.1728819999999995,57.688109999999995
131,Llanelli,0.1632621667833867,0.59560905841798,0.4430039473259134,0.8537246853438686,0.01,0.01,-4.160248,51.680890000000005
132,Plymouth,0.4805266384898488,0.01,0.28190260383928606,0.5304534018440824,0.10954616389045384,0.01,-4.1426565,50.37546
133,Tavistock,0.4550722164597418,0.01,0.3078484331988684,0.5557342859048598,0.07632200792367799,0.01,-4.141654,50.551120000000004
134,Porthmadog,0.4179813893498358,0.01,0.4541293226863672,0.5699561578423878,0.01,0.01,-4.1333839999999995,52.92784
135,Bangor,0.36612466825082113,0.01,0.6064031121535569,0.5959513772600243,0.01,0.01,-4.129263,53.22739
136,Tywyn,0.4276625644931618,0.01,0.3278948162691383,0.5867850362942568,0.01,0.01,-4.087249,52.58701
137,Aberystwyth,0.4392261038610422,0.01,0.24004023849822026,0.5929370966166108,0.01,0.01,-4.08292,52.4153
138,Lampeter,0.36897016771880825,0.01,0.24057069420456992,0.6737717003718211,0.01,0.01,-4.0785089999999995,52.1129
139,Barnstaple,0.4767612872568771,0.43199094957852846,0.21456493082776015,0.5464880401302258,0.01,0.01,-4.058338,51.07816
140,Tain,0.847650874840062,0.01,0.41244823225563026,0.08411084443882802,0.01,0.01,-4.05523,57.8115
141,Okehampton,0.45465681962342136,0.3244098094169608,0.3065360028480878,0.5504508091536968,0.06480481693519519,0.01,-4.004263,50.73831
142,Llandeilo,0.17903883898141232,0.6090672134381427,0.4364743603148305,0.8367179855032512,0.01,0.01,-3.9914300000000003,51.88469
143,Motherwell,0.9274020851426503,0.01,0.04462166081094754,0.07375891990800505,0.01,0.01,-3.9810968,55.78321
144,Golspie,0.847650874840062,0.01,0.41244823225563026,0.08411084443882802,0.01,0.01,-3.976086,57.97341
145,Airdrie,1.0,0.01,0.01,0.01,0.01,0.01,-3.9625660000000003,55.86626999999999
146,Swansea,0.2070345305626509,0.5630690865203452,0.36143065849470735,0.822037818045448,0.01,0.01,-3.9436459999999998,51.62144
147,Stirling,0.9370907336923268,0.01,0.17600307986072647,0.03347006850895509,0.01,0.01,-3.9369029,56.116519999999994
148,Tregaron,0.3779634780859485,0.01,0.15420475570842787,0.6825550221033494,0.01,0.01,-3.934385,52.22
149,Tregaron,0.3779634780859485,0.01,0.15420475570842787,0.6825550221033494,0.01,0.01,-3.934385,52.22
150,Castle Douglas,0.637180757099658,0.01,0.2541850226396178,0.36170876164661026,0.01,0.01,-3.9314139999999997,54.940419999999996
151,Dolgellau,0.3771806387707242,0.01,0.3867788633195593,0.6318991048042166,0.01,0.01,-3.8844,52.74215
152,Aberfeldy,0.9098946965906011,0.01,0.06825385583063952,0.08869308204114126,0.01,0.01,-3.866969,56.62175
153,Machynlleth,0.3523546056579294,0.01,0.24633416812587577,0.6916390184187581,0.01,0.01,-3.853485,52.59027
154,Brora,0.847650874840062,0.01,0.41244823225563026,0.08411084443882802,0.01,0.01,-3.8525480000000005,58.012159999999994
155,Llandudno,0.3644742910150659,0.01,0.45418538842649037,0.6315968873793925,0.01,0.01,-3.827609,53.324059999999996
156,Llandudno,0.3644742910150659,0.01,0.45418538842649037,0.6315968873793925,0.01,0.01,-3.827609,53.324059999999996
157,Aviemore,0.8840507232544693,0.01,0.42209815932808636,0.040030156440842485,0.01,0.01,-3.823812,57.19449
158,Dalbeattie,0.6259718931414995,0.01,0.3030702046004594,0.3637871119176462,0.01,0.01,-3.8225269999999996,54.934219999999996
159,Falkirk,0.9367998936285167,0.01,0.1879255954540914,0.031162444897704814,0.01,0.01,-3.7839131,56.00188000000001
160,Kingsbridge,0.46999878868538725,0.01,0.29848137591282436,0.540702099551776,0.07456062592543937,0.01,-3.777493,50.28395
161,Pitlochry,0.8794256188992486,0.01,0.08450744984851566,0.12019760706804858,0.01,0.01,-3.729711,56.70436
162,Colwyn Bay,0.3795341389872976,0.01,0.3500487953213981,0.637329689645345,0.01,0.01,-3.72764,53.29318000000001
163,Totnes,0.4797248042668171,0.01,0.296520159420925,0.5299490363756326,0.07419183792580816,0.01,-3.685797,50.43374
164,Grantown-on-Spey,0.8806730549759341,0.01,0.4162649107515639,0.045215393691926155,0.01,0.01,-3.609628,57.33041
165,Dumfries,0.6252282892096162,0.01,0.2598043182661728,0.37423533842736356,0.01,0.01,-3.60512,55.070859999999996
166,Whitehaven,0.5036652387270671,0.01,0.2855676911914572,0.5085945031160543,0.01,0.01,-3.589233,54.5497
167,Dartmouth,0.49192794266153544,0.01,0.2929289254094531,0.5167185653244059,0.07351654092648346,0.01,-3.578807,50.35252
168,Bridgend,0.16961736470876915,0.01,0.3441871416138374,0.8805049596416131,0.01,0.01,-3.576945,51.504290000000005
169,Paignton,0.49574747609054903,0.01,0.29048074300442317,0.5128841032594023,0.07305618592694382,0.01,-3.564235,50.43508
170,Workington,0.49743397479033213,0.01,0.2715637349960214,0.5188787579254932,0.01,0.01,-3.5427519999999997,54.64357
171,Llanidloes,0.41427177727256204,0.01,0.20355561996569632,0.6297783443472443,0.01,0.01,-3.5401949999999998,52.447790000000005
172,Exeter,0.49951874377021527,0.42363489625064854,0.23460776932612284,0.5159938247611835,0.01,0.01,-3.533899,50.71841
173,Torquay,0.5034961529083852,0.01,0.28967148001188386,0.5041429046736348,0.072904012927096,0.01,-3.525315,50.46192
174,Thurso,0.8485906556886479,0.01,0.4105610471422884,0.08344641819249152,0.01,0.01,-3.5220800000000003,58.59356999999999
175,Livingston,0.887095513558472,0.01,0.09196263949994542,0.10970747269270201,0.01,0.01,-3.518068,55.90071
176,Rhyl,0.25504338156690576,0.01,0.43886566771674473,0.761084729128977,0.01,0.01,-3.4916339999999995,53.319140000000004
177,Tiverton,0.4873022155224522,0.4414234653821887,0.1670205196076978,0.5446890158300146,0.01,0.01,-3.491207,50.90205
178,Tiverton,0.4873022155224522,0.4414234653821887,0.1670205196076978,0.5446890158300146,0.01,0.01,-3.491207,50.90205
179,Minehead,0.4704699246774059,0.01,0.2076933330907702,0.5641070684253188,0.01,0.01,-3.481152,51.20428
180,Dunfermline,0.9088820500300961,0.01,0.08638668799927074,0.08584008209636061,0.01,0.01,-3.452151,56.071740000000005
181,Perth,0.899245715324874,0.01,0.03932416052074585,0.10737663470725471,0.01,0.01,-3.4308381000000003,56.39499
182,Prestatyn,0.35757477999381576,0.01,0.4018513056293046,0.6465787340616906,0.08915304291084697,0.01,-3.4076129999999996,53.33651
183,Builth Wells,0.26849800413341673,0.01,0.22282010931783464,0.761863002684938,0.61674008838326,0.01,-3.4045919999999996,52.15002
184,Braemar,0.8832607219248261,0.01,0.14115796341004777,0.1032204006054682,0.01,0.01,-3.3979439,57.00646999999999
185,Brecon,0.01,0.01,0.4222074260173391,1.0,1.0,0.01,-3.391463,51.94895
186,Merthyr Tydfil,0.01,0.01,0.5991781254529849,0.9752585720691324,0.8615384601384616,0.01,-3.381646,51.74873
187,Llandrindod Wells,0.38883790710991833,0.01,0.24511731173451407,0.6346568074107172,0.29681978870318027,0.01,-3.377742,52.2417
188,Corwen,0.4107390358122521,0.01,0.2285295568417586,0.6283127889709693,0.01,0.01,-3.369242,52.98005
189,Cockermouth,0.5066057127340928,0.01,0.27138797925930164,0.5083497654863826,0.01,0.01,-3.367985,54.66326
190,Lockerbie,0.6192486299533503,0.01,0.30809153580182713,0.37042100505466985,0.01,0.01,-3.349008,55.122240000000005
191,Blairgowrie,0.8710202164983544,0.01,0.043117451316195037,0.1390582994024936,0.01,0.01,-3.3378318,56.58941
192,Elgin,0.8428246112972376,0.01,0.4873289485090559,0.07307239156815179,0.01,0.01,-3.318485,57.64945
193,Newtown,0.43164059641519403,0.01,0.14642649208511657,0.6224299723332739,0.01,0.01,-3.313106,52.51211
194,Ruthin,0.3649491637102599,0.01,0.3262096555692541,0.6594199068748383,0.01,0.01,-3.3103108,53.114869999999996
195,Ruthin,0.3649491637102599,0.01,0.3262096555692541,0.6594199068748383,0.01,0.01,-3.3103108,53.114869999999996
196,Sidmouth,0.48572937487758433,0.01,0.29457014312884255,0.5272653183743782,0.01,0.01,-3.2375599999999998,50.67865
197,Barrow-in-Furness,0.41988586240151116,0.42399370539535314,0.19572214842103403,0.6163635217432754,0.01,0.01,-3.2188939999999997,54.10896999999999
198,Peebles,0.9213993828834708,0.01,0.07281521813230775,0.07442539131559232,0.01,0.01,-3.1936419999999996,55.65306999999999
199,Edinburgh,0.9251532126149858,0.01,0.04459898526189659,0.076355234175807,0.01,0.01,-3.1882669999999997,55.95325
200,Cardiff,0.4842919897228208,0.01,0.3831257530596777,0.5092901449814811,0.01,0.01,-3.17909,51.48158
201,Llangollen,0.41753205079300665,0.01,0.1539530101767087,0.6370178922546622,0.01,0.01,-3.1716599999999997,52.96921
202,Kirkcaldy,0.9116855115873612,0.01,0.05681827377988551,0.08916458140949142,0.01,0.01,-3.158137,56.11682
203,Welshpool,0.43737923831665276,0.01,0.16763780923314692,0.6111155303338137,0.01,0.01,-3.146407,52.66035
204,Mold,0.3407163322265427,0.01,0.367837917311838,0.6781137571072493,0.01,0.01,-3.1419029999999997,53.1672
205,Mold,0.3407163322265427,0.01,0.367837917311838,0.6781137571072493,0.01,0.01,-3.1419029999999997,53.1672
206,Taunton,0.42322896617567446,0.01,0.2703211278562371,0.6046569469840025,0.01,0.01,-3.106849,51.01534
207,Wick,0.8557311840647049,0.01,0.4025419792229172,0.07699658956803432,0.01,0.01,-3.093716,58.43894
208,John o' Groats,0.8670468554552909,0.01,0.39595151944953544,0.06541929052782132,0.01,0.01,-3.0688997000000002,58.63734
209,Dalkeith,0.9198327700772283,0.01,0.04889390581590119,0.08153379774280935,0.01,0.01,-3.066606,55.893119999999996
210,Oswestry,0.4378618958101284,0.01,0.2409252485068612,0.5943126648978534,0.01,0.01,-3.056412,52.85715
211,Blackpool,0.49690491989909646,0.3353483459658833,0.1807738794248639,0.5327475704471042,0.01,0.01,-3.0356748,53.81751
212,Birkenhead,0.3403043607014665,0.18745541276446318,0.4878456305592725,0.6443073851526244,0.074893006925107,0.01,-3.023009,53.389990000000004
213,Cupar,0.8641446826558122,0.01,0.02551853849952153,0.15088187891332186,0.01,0.01,-3.010137,56.32023
214,Southport,0.4255628487005774,0.01,0.3017277829631754,0.595005185201371,0.01,0.01,-3.010113,53.64571
215,Bridgwater,0.4034857835570736,0.01,0.3544994828162067,0.6087447937639661,0.01,0.01,-3.003632,51.12789
216,Langholm,0.5774894150097764,0.01,0.3264250975631278,0.41447345547538644,0.01,0.01,-2.998913,55.153059999999996
217,Newport,0.4715261661082892,0.01,0.3907098421205591,0.5223182527089507,0.01,0.01,-2.997664,51.58415
218,Axminster,0.39986304982862564,0.01,0.3088873488434305,0.6230307833007058,0.01,0.01,-2.9949369999999997,50.78273
219,Wrexham,0.38993712062731767,0.01,0.15185811962370177,0.6692786246240358,0.01,0.01,-2.9924939999999998,53.043040000000005
220,Liverpool,0.3253416670117925,0.19030592969299595,0.49675472591783854,0.6594562174570444,0.07603185792396815,0.01,-2.9915726,53.40837
221,Weston-super-Mare,0.49015612257258345,0.01,0.23134381745409358,0.5361809297468094,0.01,0.01,-2.977255,51.347409999999996
222,Dundee,0.8760133861163418,0.01,0.037408440794287096,0.13457053389795573,0.01,0.01,-2.9707209999999997,56.462019999999995
223,Kirkwall,0.8670468554552909,0.01,0.39595151944953544,0.06541929052782132,0.01,0.01,-2.9622491,58.984669999999994
