index,placename,longitude,latitude,needs to be Xed,needs Xed,needs Xing
0,Dingle,-10.264013499999999,52.14094,0.09645258534616385,0.01,0.079259518512564
1,Tralee,-9.6999325,52.27131,0.16529654146246522,0.01,0.12274619755078306
2,Killarney,-9.5044265,52.059940000000005,0.27545428028649577,0.01,0.19232956408079388
3,Bantry,-9.4539805,51.68035,0.10456204836381139,0.01,0.08761564010900051
4,Mayo,-9.4289369,54.01526,0.15732448057366785,0.01,0.10193257865218483
5,Ballycastle,-9.3724643,54.279669999999996,0.01,0.01,0.01677957031734665
6,Abbeyfeale,-9.2970823,52.386179999999996,0.01,0.01,0.02322916982399457
7,Ennistymon,-9.2934951,52.940369999999994,0.01,0.01,0.022023333187602467
8,Galway,-9.0567905,53.270669999999996,0.3856832600469397,0.01,0.2309329172258941
9,Claremorris,-9.0017356,53.72388,0.24854923601513326,0.01,0.17841354343648233
10,Clare,-8.9811351,52.90453,0.24364199409561174,0.01,0.16857797671615496
11,Adare,-8.7925892,52.56363,0.08694833465278057,0.01,0.07325596609172826
12,Charleville,-8.681017599999999,52.36206,0.01,0.01,0.02406812345964058
13,Mallow,-8.6539164,52.13898,0.13512556028741743,0.01,0.11224257848536964
14,Limerick,-8.6267343,52.66384,0.3567849677679273,0.01,0.24357403142879425
15,Loughrea,-8.5660931,53.19891,0.01,0.01,0.023302651886574408
16,Sligo,-8.476088800000001,54.27661,0.2599837685879482,0.1047771198825248,0.16512257298932945
17,Cork,-8.4756035,51.898509999999995,0.4574829295818471,0.01,0.3328888328586442
18,Nenagh,-8.19834,52.8635,0.18482975635248275,0.01,0.1402210950132636
19,Roscommon,-8.1890955,53.627590000000005,0.19853619006653342,0.01,0.12433316804093761
20,Tipperary,-8.161851400000002,52.47379,0.25336841170430635,0.01,0.19178076630649502
21,Donegal,-8.1096143,54.653830000000006,0.2911778171947558,0.07397918870099428,0.1465254251090038
22,Leitrim,-8.0020132,54.12469,0.16825138040069865,0.07874795278200176,0.09968992906097036
23,Athlone,-7.9406898,53.423930000000006,0.17847487772188936,0.031354864806998804,0.10141745217622843
24,Longford,-7.7932573000000005,53.727630000000005,0.19222521362669762,0.04100027696806451,0.11101799955966461
25,Offaly,-7.7122229,53.235690000000005,0.24668963052316395,0.041267253665588664,0.15454439952599752
26,Fermanagh,-7.6318728,54.343830000000004,0.12896035008761172,0.10011428673974522,0.09300771992238341
27,Enniskillen,-7.631533599999999,54.343819999999994,0.17463174468105874,0.12269471182048253,0.12032642583120315
28,Doon,-7.60964,54.185930000000006,0.08981350789711603,0.05821686521902583,0.05992681679364723
29,Westmeath,-7.4653217000000005,53.534530000000004,0.18213684074817038,0.04442091658453857,0.08767148479969224
30,Strabane,-7.4633103,54.82739,0.18441698170144227,0.14888172200665625,0.11686255857974703
31,Balivanich,-7.3743509000000005,57.472269999999995,0.01765293070990146,0.09637181185039026,0.0210050643060966
32,Cavan,-7.3633319,53.98972,0.2159109224823321,0.12025858410023767,0.10939468555942322
33,Mullingar,-7.340186800000001,53.525819999999996,0.17772111695013373,0.043918439901665274,0.08204188880112655
34,Laois,-7.332300699999999,52.9943,0.23844127885150168,0.06272279055184175,0.14154600922682267
35,Omagh,-7.309959700000001,54.59771,0.19659946766621728,0.2156870648636843,0.12190715866217848
36,Derry,-7.308574799999999,54.99661,0.32169669003198853,0.2332539472303366,0.17837323555310847
37,Derry,-7.308574799999999,54.99661,0.32169669003198853,0.2332539472303366,0.17837323555310847
38,Kilkenny,-7.2447879,52.65415,0.27913890616348336,0.04863842976102061,0.16564244716618126
39,Tyrone,-7.131232000000001,54.491209999999995,0.1335995945934952,0.1580064129484496,0.0951086453794746
40,Waterford,-7.110070200000001,52.25932,0.31527739533103794,0.01,0.20365596032648076
41,Western Isles,-7.0194034,57.759890000000006,0.11724430353829701,0.21778051823197905,0.04150403788796437
42,Monaghan,-6.9683132,54.2492,0.20467487602999399,0.22588928408682074,0.09091414631111176
43,Carlow,-6.934135899999999,52.83651,0.2519511258058232,0.05648642347830396,0.14412330318394487
44,Kildare,-6.8194707999999995,53.21204,0.3243645620325253,0.06929457582356435,0.1593222081191784
45,Dungannon,-6.7669352,54.508269999999996,0.13767399667138594,0.3090267307779896,0.06524510900613432
46,Cookstown,-6.7443895000000005,54.641819999999996,0.17988210737117255,0.3077940643933245,0.08422135625968413
47,Coleraine,-6.6646103000000005,55.132580000000004,0.2749196495089713,0.3765876750975228,0.10262025470810096
48,Meath,-6.656416900000001,53.60555,0.28140204768397564,0.08241673915420876,0.13300395159161008
49,Armagh,-6.652792,54.350280000000005,0.19541291562888144,0.38331558400281296,0.109233176285261
50,Armagh,-6.652792,54.350280000000005,0.19541291562888144,0.38331558400281296,0.109233176285261
51,Magherafelt,-6.607980499999999,54.75536999999999,0.19535017208939617,0.35069198139501634,0.0835383888109107
52,Dunvegan,-6.581398200000001,57.4366,0.01,0.08598092118543932,0.01
53,Louth,-6.4889423,53.925230000000006,0.2803878323913671,0.14313890632281728,0.14611657032328668
54,Wexford,-6.4633381,52.33692,0.29743122809453826,0.042705285055689504,0.17351106389801702
55,Craigavon,-6.4175653,54.442930000000004,0.22624924246098346,0.49475088344210116,0.12739925658824552
56,Stornoway,-6.384869200000001,58.209430000000005,0.18587242197935383,0.12759564654683545,0.04718803177417495
57,Drogheda,-6.3560985,53.717859999999995,0.20486328814826074,0.06520229369721126,0.1005535175601506
58,Rosslare,-6.3414908,52.25131,0.01,0.01,0.01
59,Newry,-6.34023,54.1751,0.227265760431672,0.46625053520521986,0.12442265890503239
60,Scilly Isles,-6.327496599999999,49.92773,0.11553279575514368,0.01,0.1696917061021343
61,Ballymena,-6.2802213,54.86529,0.22133768582059163,0.38688990427956654,0.11609336661028355
62,Banbridge,-6.2704803,54.34873,0.17866128176537271,0.442660183765131,0.12238410908469717
63,Dublin,-6.2603097000000005,53.34981,0.6609787485328782,0.1265153308092691,0.3141001979258806
64,Antrim,-6.2072498,54.719530000000006,0.2441743818917389,0.4195673225076859,0.13153152227233048
65,Antrim,-6.2072498,54.719530000000006,0.2441743818917389,0.4195673225076859,0.13153152227233048
66,Portree,-6.1960231,57.41246999999999,0.17203613816277166,0.26304439522345474,0.07773077825184399
67,Islay,-6.177067,55.73625,0.11596275674721992,0.2471915887380992,0.1258741550867335
68,Wicklow,-6.044589,52.980819999999994,0.2827042903362974,0.06156405741886964,0.13235622178964013
69,Kilkeel,-6.007004,54.06312,0.11574276327942465,0.25130341518454075,0.058400011741297254
70,Mull,-6.0008870000000005,56.4392,0.10237210160963146,0.45152770357195204,0.19672479819174699
71,Belfast,-5.93012,54.597280000000005,0.497973889636201,0.9039363135612751,0.28307766115300725
72,Broadford,-5.9096592,57.24139,0.01,0.08598092118543932,0.011095939988191108
73,Down,-5.7156921999999994,54.32875,0.2412918191997312,0.5383389148151164,0.1549136076830172
74,Kyle of Lochalsh,-5.7143293,57.28261,0.01,0.08545017475681507,0.01
75,Campbeltown,-5.605373999999999,55.424119999999995,0.12691950264980653,0.3576377898292615,0.12139026085033497
76,Penzance,-5.537592,50.1188,0.23067561011587387,0.01,0.33819721766081573
77,Oban,-5.471047,56.41516,0.16725717190327513,0.5885967320523673,0.22155743777544637
78,Lochgilphead,-5.4323449,56.03829,0.08099980451220674,0.31866593456551917,0.15368235739889294
