,placename,emself,emselfs,emsels,emselves,emsens,theirsel,theirself,theirselfs,theirseln,theirselns,theirsels,theirselves,theirsen,theirsens,them,themsel,themself,themselfs,themseln,themselns,themsels,themselves,themsen,themsens,theyselves,theysens,longitude,latitude
24,Longford,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,-7.7932573,53.72763000000001
25,Offaly,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,-7.7122229,53.23569000000001
26,Fermanagh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,-7.6318728,54.34383
27,Enniskillen,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,-7.631533599999999,54.34382
28,Doon,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,-7.60964,54.185930000000006
29,Westmeath,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,-7.4653217,53.53453
30,Strabane,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2,0.8484719915629204,0.01,0.01,0.01,0.01,-7.4633103,54.82739
31,Cavan,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,-7.3633319,53.98972
32,Mullingar,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,-7.3401868000000015,53.52582
33,Laois,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,-7.3323006999999985,52.99429
34,Omagh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,-7.309959700000001,54.59771
35,Derry,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8,0.3938879662516819,0.01,0.01,0.01,0.01,-7.308574799999999,54.99661
36,Derry,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8,0.3938879662516819,0.01,0.01,0.01,0.01,-7.308574799999999,54.99661
37,Kilkenny,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,-7.2447879,52.65415
38,Tyrone,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,-7.1312320000000025,54.49121
39,Waterford,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,-7.110070200000001,52.25932
40,Monaghan,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,-6.9683132,54.2492
41,Carlow,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,-6.9341358999999985,52.83651
42,Kildare,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,-6.8194708,53.21204
43,Dungannon,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2,0.8484719915629204,0.01,0.01,0.01,0.01,-6.7669352,54.50827
44,Cookstown,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.4,0.696943983125841,0.01,0.01,0.01,0.01,-6.7443895000000005,54.64182
45,Coleraine,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.2423599578146025,0.01,0.01,0.01,0.01,-6.6646103000000005,55.13258
46,Meath,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,-6.656416900000001,53.60555
47,Armagh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.33333333333333337,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8484719915629204,0.01,0.01,0.01,0.01,-6.652792,54.35028000000001
48,Armagh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.33333333333333337,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8484719915629204,0.01,0.01,0.01,0.01,-6.652792,54.35028000000001
49,Magherafelt,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.6,0.5454159746887614,0.01,0.01,0.01,0.01,-6.607980499999999,54.75536999999999
50,Louth,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,-6.4889423,53.925230000000006
51,Wexford,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,-6.4633381,52.33692
52,Craigavon,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5454159746887614,0.01,0.01,0.01,0.01,-6.4175653,54.44293
53,Drogheda,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,-6.3560985,53.71786
54,Rosslare,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,-6.3414908,52.25131
55,Newry,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5454159746887614,0.01,0.01,0.01,0.01,-6.34023,54.1751
56,Ballymena,0.01,0.01,0.01,0.01,0.01,0.8035714314413266,0.01,0.5980582531704025,0.01,0.01,0.01,0.16666666666666669,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.6,0.3181239620331423,0.01,0.01,0.01,0.01,-6.2802213,54.86529
57,Banbridge,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5454159746887614,0.01,0.01,0.01,0.01,-6.2704803,54.34873
58,Dublin,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,-6.2603097000000005,53.34981
59,Antrim,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.6666666666666667,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2,0.5454159746887614,0.01,0.01,0.01,0.01,-6.2072498,54.719530000000006
60,Antrim,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.6666666666666667,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2,0.5454159746887614,0.01,0.01,0.01,0.01,-6.2072498,54.719530000000006
61,Wicklow,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,-6.044589,52.98082
62,Kilkeel,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5454159746887614,0.01,0.01,0.01,0.01,-6.007004,54.06312
63,Belfast,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5454159746887614,0.01,0.01,0.01,0.01,-5.93012,54.59728000000001
64,Down,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5454159746887614,0.01,0.01,0.01,0.01,-5.7156922,54.32875
65,Balivanich,0.01,0.01,0.01,0.01,0.01,0.8774630549195109,0.01,0.06874232272620405,0.01,0.01,0.335507919815118,0.14367816,0.18456285855220056,0.050462574097109685,0.01,0.21651964824751496,0.4827586219310345,0.9310344849310344,0.01,0.01,0.17241379399999998,0.3163822991041664,0.01,0.01,0.01,0.01,-7.3743509,57.47227
66,Western Isles,0.01,0.01,0.01,0.01,0.01,0.7389162508532723,0.27586206979310346,0.06874232272620405,0.01,0.01,0.29356943287876874,0.18199233666666667,0.18456285855220056,0.050462574097109685,0.01,0.14434642937431227,0.4827586219310345,0.9310344849310344,0.01,0.01,0.155172414,0.3337992314499413,0.01,0.01,0.01,0.01,-7.0194034,57.75989000000001
67,Dunvegan,0.01,0.01,0.01,0.01,0.01,0.7389162508532723,0.27586206979310346,0.06874232272620405,0.01,0.01,0.29356943287876874,0.18199233666666667,0.18456285855220056,0.050462574097109685,0.01,0.14434642937431227,0.4827586219310345,0.9310344849310344,0.01,0.01,0.155172414,0.3337992314499413,0.01,0.01,0.01,0.01,-6.5813982000000015,57.4366
68,Stornoway,0.01,0.01,0.5172414517241452,0.01,0.01,0.5541872001935257,0.27586206979310346,0.06874232272620405,0.01,0.01,0.5731593652472229,0.20114942666666666,0.18456285855220056,0.050462574097109685,0.01,0.14434642937431227,0.06896551227586205,0.05172413405172414,0.01,0.01,0.293103448,0.3250907652770538,0.01,0.01,0.01,0.01,-6.3848692000000025,58.20943000000001
69,Scilly Isles,1.0,0.01,0.01,0.8358333403395835,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3,0.01,0.01,0.01,0.01,0.27999999711999995,0.4500000004500001,0.01,0.01,0.01,0.6312818966457758,0.01,0.01,1.0,0.01,-6.327496599999999,49.92773
70,Portree,0.01,0.01,0.01,0.01,0.01,0.7389162508532723,0.27586206979310346,0.06874232272620405,0.01,0.01,0.29356943287876874,0.18199233666666667,0.18456285855220056,0.050462574097109685,0.01,0.14434642937431227,0.4827586219310345,0.6206896536206897,0.01,0.01,0.155172414,0.3860503315432825,0.01,0.01,0.01,0.01,-6.1960231,57.41246999999999
