,placename,emself,emselfs,emsels,emselves,emsens,theirsel,theirself,theirselfs,theirseln,theirselns,theirsels,theirselves,theirsen,theirsens,them,themsel,themself,themselfs,themseln,themselns,themsels,themselves,themsen,themsens,theyselves,theysens,longitude,latitude
97,Wadebridge,1.0,0.01,0.01,0.8358333403395835,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3,0.01,0.01,0.01,0.01,0.27999999711999995,0.4500000004500001,0.01,0.01,0.01,0.6312818966457758,0.01,0.01,1.0,0.01,-4.836456,50.51665
98,Invergarry,0.01,0.01,0.01,0.01,0.01,0.6927339881883356,0.27586206979310346,0.06874232272620405,0.01,0.01,0.4473438947084456,0.3160919533333333,0.18456285855220056,0.050462574097109685,0.01,0.21651964824751496,0.06896551227586205,0.36206896536206895,0.01,0.01,0.137931034,0.3773418653703951,0.01,0.01,0.01,0.01,-4.800261,57.07095
99,St Austell,1.0,0.01,0.01,0.8358333403395835,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.35555555666666666,0.01,0.01,0.01,0.01,0.27999999711999995,0.4500000004500001,0.01,0.01,0.01,0.6060271780635932,0.01,0.01,1.0,0.01,-4.7834252,50.34038
100,Greenock,0.01,0.01,0.01,0.01,0.01,0.9821428588647958,0.01,0.19935275504385586,0.01,0.01,0.9459459417384952,0.20370370333333326,0.01,0.01,0.01,0.20930232636019472,0.01,1.0,0.01,0.01,0.1,0.21289624574206287,0.01,0.01,0.01,0.01,-4.7719830000000005,55.956480000000006
101,Helensburgh,0.01,0.01,0.01,0.01,0.01,0.9821428588647958,0.01,0.19935275504385586,0.01,0.01,0.9459459417384952,0.1481481466666667,0.01,0.01,0.01,0.3023255815900487,0.01,1.0,0.01,0.01,0.122222222,0.20447795570533256,0.01,0.01,0.01,0.01,-4.734014,56.00232
102,Bodmin,1.0,0.01,0.01,0.8358333403395835,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3,0.01,0.01,0.01,0.01,0.27999999711999995,0.4500000004500001,0.01,0.01,0.01,0.6312818966457758,0.01,0.01,1.0,0.01,-4.7188629,50.4715
103,Tenby,0.01,0.01,0.01,0.01,0.01,0.01,0.2666666618666667,0.1329018327088489,0.01,0.01,0.01,0.37037037,0.01,0.01,0.01,0.01,0.5333333301333334,0.4500000004500001,0.01,0.01,0.01,0.6548528359982059,0.01,0.01,0.01,0.01,-4.703579,51.67274000000001
104,Camelford,1.0,0.01,0.01,0.8358333403395835,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3,0.01,0.01,0.01,0.01,0.27999999711999995,0.4500000004500001,0.01,0.01,0.01,0.6312818966457758,0.01,0.01,1.0,0.01,-4.682364,50.62206
105,Irvine,0.01,0.01,0.01,0.01,0.01,0.9821428588647958,0.01,0.19935275504385586,0.01,0.01,0.7837837815485755,0.20370370333333326,0.01,0.01,0.01,0.16279069455922118,0.01,1.0,0.01,0.01,0.188888888,0.20447795570533256,0.01,0.01,0.01,0.01,-4.6696364,55.61156999999999
106,Cardigan,0.01,0.01,0.01,0.01,0.01,0.01,0.2666666618666667,0.1329018327088489,0.01,0.01,0.01,0.48148148,0.01,0.01,0.01,0.01,0.5333333301333334,0.4500000004500001,0.01,0.01,0.01,0.6043435503618488,0.01,0.01,0.01,0.01,-4.660864,52.0837
107,Holyhead,0.01,0.01,0.01,0.5086206965215518,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5172413800000001,0.01,0.01,0.01,0.01,0.20689654882758607,0.01,0.01,0.01,0.01,0.6864937024959693,0.01,0.01,0.01,0.01,-4.633038,53.30944
108,Ayr,0.01,0.01,0.01,0.01,0.01,0.9821428588647958,0.01,0.19935275504385586,0.01,0.01,0.7837837815485755,0.20370370333333326,0.01,0.01,0.01,0.16279069455922118,0.01,1.0,0.01,0.01,0.188888888,0.20447795570533256,0.01,0.01,0.01,0.01,-4.629179,55.45856
109,Dumbarton,0.01,0.01,0.01,0.01,0.01,0.9821428588647958,0.01,0.19935275504385586,0.01,0.01,0.9459459417384952,0.20370370333333326,0.01,0.01,0.01,0.16279069455922118,0.01,1.0,0.01,0.01,0.122222222,0.20447795570533256,0.01,0.01,0.01,0.01,-4.564554,55.94529
110,Bude,1.0,0.01,0.01,0.8358333403395835,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3,0.01,0.01,0.01,0.01,0.27999999711999995,0.4500000004500001,0.01,0.01,0.01,0.6312818966457758,0.01,0.01,1.0,0.01,-4.543678,50.82664000000001
111,Isle of Man,0.01,0.01,0.01,0.24583333886458336,0.01,0.01,0.19999999040000005,0.01,0.01,0.01,0.4189189174726076,0.3148148133333333,0.01,0.01,0.01,0.41860465272038944,0.0999999964,0.01,0.01,0.01,0.20555555600000008,0.4443972518880392,0.01,0.01,0.01,0.01,-4.5126331,54.27697
112,Kilmarnock,0.01,0.01,0.01,0.01,0.01,0.9821428588647958,0.01,0.19935275504385586,0.01,0.01,0.7837837815485755,0.20370370333333326,0.01,0.01,0.01,0.16279069455922118,0.01,1.0,0.01,0.01,0.188888888,0.20447795570533256,0.01,0.01,0.01,0.01,-4.498792,55.61472
113,Newton Stewart,0.01,0.01,0.01,0.01,0.01,0.5803571431441327,0.01,0.19935275504385586,0.01,0.01,0.7972972961139517,0.18518518666666667,0.01,0.01,0.01,0.01,0.01,0.7000000027,0.01,0.01,0.20555555600000008,0.31391481701477697,0.01,0.01,0.01,0.01,-4.483164,54.9603
114,Liskeard,1.0,0.01,0.01,0.8358333403395835,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.35555555666666666,0.01,0.01,0.01,0.01,0.27999999711999995,0.4500000004500001,0.01,0.01,0.01,0.6060271780635932,0.01,0.01,1.0,0.01,-4.4647190000000005,50.45552
115,Altnaharra,0.01,0.01,0.5172414517241452,0.01,0.01,0.2770935920610485,0.27586206979310346,0.06874232272620405,0.01,0.01,0.6570363439847862,0.25862069000000004,0.18456285855220056,0.050462574097109685,0.01,0.01,0.06896551227586205,0.05172413405172414,0.01,0.01,0.293103448,0.3250907652770538,0.01,0.01,0.01,0.01,-4.442655,58.28023
116,Pwllheli,0.01,0.01,0.01,0.5086206965215518,0.01,0.01,0.1379310228965518,0.01,0.01,0.01,0.01,0.4789272033333333,0.01,0.01,0.16666665216666682,0.01,0.27586207310344835,0.05172413405172414,0.01,0.01,0.01,0.6690767701501945,0.01,0.01,0.01,0.01,-4.417633900000001,52.88882
117,Lairg,0.01,0.01,0.5172414517241452,0.01,0.01,0.2770935920610485,0.27586206979310346,0.06874232272620405,0.01,0.01,0.6570363439847862,0.25862069000000004,0.18456285855220056,0.050462574097109685,0.01,0.01,0.06896551227586205,0.05172413405172414,0.01,0.01,0.293103448,0.3250907652770538,0.01,0.01,0.01,0.01,-4.402414,58.02206
118,Launceston,1.0,0.01,0.01,0.8358333403395835,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.35555555666666666,0.01,0.01,0.01,0.01,0.27999999711999995,0.4500000004500001,0.01,0.01,0.01,0.6060271780635932,0.01,0.01,1.0,0.01,-4.360451599999998,50.63683
119,Carmarthen,0.01,0.01,0.01,0.01,0.01,0.01,0.2666666618666667,0.1329018327088489,0.01,0.01,0.01,0.37037037,0.01,0.01,0.01,0.01,0.5333333301333334,0.4500000004500001,0.01,0.01,0.01,0.6548528359982059,0.01,0.01,0.01,0.01,-4.312131,51.85762
120,Llangefni,0.01,0.01,0.01,0.5086206965215518,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5172413800000001,0.01,0.01,0.01,0.01,0.20689654882758607,0.01,0.01,0.01,0.01,0.6864937024959693,0.01,0.01,0.01,0.01,-4.311401999999998,53.25578
121,Caernarfon,0.01,0.01,0.01,0.5086206965215518,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5172413800000001,0.01,0.01,0.01,0.01,0.20689654882758607,0.01,0.01,0.01,0.01,0.6864937024959693,0.01,0.01,0.01,0.01,-4.273911,53.13955
122,Cumnock,0.01,0.01,0.01,0.01,0.01,0.9821428588647958,0.01,0.19935275504385586,0.01,0.01,0.7837837815485755,0.20370370333333326,0.01,0.01,0.01,0.16279069455922118,0.01,1.0,0.01,0.01,0.188888888,0.20447795570533256,0.01,0.01,0.01,0.01,-4.265828900000002,55.45355
123,Aberaeron,0.01,0.01,0.01,0.01,0.01,0.01,0.2666666618666667,0.1329018327088489,0.01,0.01,0.01,0.48148148,0.01,0.01,0.01,0.01,0.5333333301333334,0.4500000004500001,0.01,0.01,0.01,0.6043435503618488,0.01,0.01,0.01,0.01,-4.2581619,52.24279
124,Alness,0.01,0.01,0.5172414517241452,0.01,0.01,0.2770935920610485,0.27586206979310346,0.06874232272620405,0.01,0.01,0.6570363439847862,0.25862069000000004,0.18456285855220056,0.050462574097109685,0.01,0.01,0.06896551227586205,0.05172413405172414,0.01,0.01,0.224137932,0.3773418653703951,0.01,0.01,0.01,0.01,-4.256825,57.69595
125,Glasgow,0.01,0.01,0.01,0.01,0.01,0.9821428588647958,0.01,0.19935275504385586,0.01,0.01,0.9459459417384952,0.20370370333333326,0.01,0.01,0.01,0.16279069455922118,0.01,1.0,0.01,0.01,0.122222222,0.20447795570533256,0.01,0.01,0.01,0.01,-4.251806,55.86424
126,Dalwhinnie,0.01,0.01,0.01,0.01,0.01,0.2770935920610485,0.27586206979310346,0.1374846574135732,0.01,0.01,0.43336439906299584,0.5076628366666667,0.18456285855220056,0.050462574097109685,0.01,0.14434642937431227,0.06896551227586205,0.4137930994137931,0.01,0.01,0.166666666,0.3076736814032706,0.01,0.01,0.01,0.01,-4.242783,56.9366
127,Inverness,0.01,0.01,0.5172414517241452,0.01,0.01,0.2770935920610485,0.27586206979310346,0.06874232272620405,0.01,0.01,0.6570363439847862,0.25862069000000004,0.18456285855220056,0.050462574097109685,0.01,0.01,0.06896551227586205,0.05172413405172414,0.01,0.01,0.224137932,0.3773418653703951,0.01,0.01,0.01,0.01,-4.224721,57.47776999999999
128,Saltash,1.0,0.01,0.01,0.8358333403395835,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.35555555666666666,0.01,0.01,0.01,0.01,0.27999999711999995,0.4500000004500001,0.01,0.01,0.01,0.6060271780635932,0.01,0.01,1.0,0.01,-4.21643,50.40921
129,Bideford,1.0,0.01,0.01,0.3441666626104167,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.41111111,0.01,0.01,0.01,0.01,0.27999999711999995,0.4500000004500001,0.01,0.01,0.01,0.6312818966457758,0.01,0.01,1.0,0.01,-4.206666,51.01668
130,Invergordon,0.01,0.01,0.5172414517241452,0.01,0.01,0.2770935920610485,0.27586206979310346,0.06874232272620405,0.01,0.01,0.6570363439847862,0.25862069000000004,0.18456285855220056,0.050462574097109685,0.01,0.01,0.06896551227586205,0.05172413405172414,0.01,0.01,0.224137932,0.3773418653703951,0.01,0.01,0.01,0.01,-4.172882,57.68811
131,Llanelli,0.01,0.01,0.01,0.01,0.01,0.01,0.2666666618666667,0.1329018327088489,0.01,0.01,0.01,0.48148148,0.01,0.01,0.01,0.01,0.5333333301333334,0.4500000004500001,0.01,0.01,0.01,0.6043435503618488,0.01,0.01,0.01,0.01,-4.160248,51.68089000000001
132,Plymouth,1.0,0.01,0.01,0.8358333403395835,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.35555555666666666,0.01,0.01,0.01,0.01,0.27999999711999995,0.4500000004500001,0.01,0.01,0.01,0.6060271780635932,0.01,0.01,1.0,0.01,-4.1426565,50.37546
133,Tavistock,1.0,0.01,0.01,0.8358333403395835,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.35555555666666666,0.01,0.01,0.01,0.01,0.27999999711999995,0.4500000004500001,0.01,0.01,0.01,0.6060271780635932,0.01,0.01,1.0,0.01,-4.141654,50.55112
134,Porthmadog,0.01,0.01,0.01,0.5086206965215518,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.4597701133333334,0.01,0.01,0.01,0.01,0.20689654882758607,0.01,0.01,0.01,0.01,0.71261925254264,0.01,0.01,0.01,0.01,-4.133384,52.92784
135,Bangor,0.01,0.01,0.01,0.5086206965215518,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5172413800000001,0.01,0.01,0.01,0.01,0.20689654882758607,0.01,0.01,0.01,0.01,0.6864937024959693,0.01,0.01,0.01,0.01,-4.129263,53.22739
136,Tywyn,0.01,0.01,0.01,0.9833333407083334,0.01,0.01,0.13333334293333324,0.01,0.01,0.01,0.01,0.51851852,0.01,0.01,0.16111112222777765,0.01,0.8666666674666668,0.050000004050000005,0.01,0.01,0.01,0.5285795461433092,0.01,0.01,0.01,0.01,-4.087249,52.58701
137,Aberystwyth,0.01,0.01,0.01,0.01,0.01,0.01,0.4000000047999999,0.1329018327088489,0.01,0.01,0.01,0.6111111100000001,0.01,0.01,0.16111112222777765,0.01,1.0,0.35000000135,0.01,0.01,0.01,0.486488399015674,0.01,0.01,0.01,0.01,-4.08292,52.4153
138,Lampeter,0.01,0.01,0.01,0.01,0.01,0.01,0.2666666618666667,0.1329018327088489,0.01,0.01,0.01,0.48148148,0.01,0.01,0.01,0.01,0.5333333301333334,0.4500000004500001,0.01,0.01,0.01,0.6043435503618488,0.01,0.01,0.01,0.01,-4.078509,52.1129
139,Barnstaple,0.01,0.01,0.01,0.01,0.01,0.01,0.2666666618666667,0.01,0.01,0.01,0.01,0.4444444433333333,0.01,0.01,0.01,0.01,0.13333333253333335,0.15000000315,0.01,0.01,0.01,0.7137804116712932,0.01,0.01,1.0,0.01,-4.058338,51.07816
140,Tain,0.01,0.01,0.5172414517241452,0.01,0.01,0.2770935920610485,0.27586206979310346,0.06874232272620405,0.01,0.01,0.6570363439847862,0.25862069000000004,0.01,0.01,0.01,0.01,0.06896551227586205,0.05172413405172414,0.01,0.01,0.224137932,0.41217588158995305,0.01,0.01,0.01,0.01,-4.05523,57.8115
141,Okehampton,1.0,0.01,0.01,0.8358333403395835,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3,0.01,0.01,0.01,0.01,0.27999999711999995,0.4500000004500001,0.01,0.01,0.01,0.6312818966457758,0.01,0.01,1.0,0.01,-4.004263,50.73831
142,Llandeilo,0.01,0.01,0.01,0.01,0.01,0.01,0.2666666618666667,0.1329018327088489,0.01,0.01,0.01,0.37037037,0.01,0.01,0.01,0.01,0.5333333301333334,0.4500000004500001,0.01,0.01,0.01,0.6548528359982059,0.01,0.01,0.01,0.01,-3.99143,51.88469
143,Motherwell,0.01,0.01,0.01,0.01,0.01,0.848214292315051,0.01,0.19935275504385586,0.01,0.01,0.9054054029072316,0.3148148133333333,0.01,0.01,0.01,0.16279069455922118,0.01,1.0,0.01,0.01,0.105555556,0.1918506721782456,0.01,0.01,0.01,0.01,-3.9810968,55.78321
144,Golspie,0.01,0.01,0.5172414517241452,0.01,0.01,0.2770935920610485,0.27586206979310346,0.06874232272620405,0.01,0.01,0.6570363439847862,0.25862069000000004,0.01,0.01,0.01,0.01,0.06896551227586205,0.05172413405172414,0.01,0.01,0.293103448,0.3599247814966117,0.01,0.01,0.01,0.01,-3.976086,57.97341
145,Airdrie,0.01,0.01,0.01,0.01,0.01,0.848214292315051,0.19999999040000005,0.01,0.01,0.01,0.824324320379839,0.3425925933333334,0.01,0.01,0.01,0.16279069455922118,0.01,0.7000000027,0.01,0.01,0.222222222,0.17922323712314978,0.01,0.01,0.01,0.01,-3.962566,55.86626999999999
146,Swansea,0.01,0.01,0.01,0.01,0.01,0.01,0.2666666618666667,0.1329018327088489,0.01,0.01,0.01,0.48148148,0.01,0.01,0.01,0.01,0.5333333301333334,0.4500000004500001,0.01,0.01,0.01,0.6043435503618488,0.01,0.01,0.01,0.01,-3.943646,51.62144
147,Stirling,0.01,0.01,0.01,0.01,0.01,0.5803571431441327,0.4666666522666667,0.06645092233500698,0.01,0.01,0.6891891893206719,0.4537037033333334,0.01,0.01,0.01,0.16279069455922118,0.3999999976,0.4500000004500001,0.01,0.01,0.233333334,0.1539686700689756,0.01,0.01,0.01,0.01,-3.9369029,56.11652
148,Tregaron,0.01,0.01,0.01,0.01,0.01,0.01,0.4000000047999999,0.1329018327088489,0.01,0.01,0.01,0.5,0.01,0.01,0.16111112222777765,0.01,0.8000000072000001,0.5000000045,0.01,0.01,0.01,0.5369976846520311,0.01,0.01,0.01,0.01,-3.934385,52.22
149,Tregaron,0.01,0.01,0.01,0.01,0.01,0.01,0.4000000047999999,0.1329018327088489,0.01,0.01,0.01,0.5,0.01,0.01,0.16111112222777765,0.01,0.8000000072000001,0.5000000045,0.01,0.01,0.01,0.5369976846520311,0.01,0.01,0.01,0.01,-3.934385,52.22
150,Castle Douglas,0.01,0.01,0.01,0.01,0.01,0.4017857157206633,0.01,0.19935275504385586,0.01,0.01,0.5810810776625273,0.1481481466666667,0.01,0.01,0.01,0.41860465272038944,0.01,0.6000000035999999,0.01,0.01,0.272222222,0.305496678506055,0.01,0.01,0.01,0.01,-3.931414,54.94042
151,Dolgellau,0.01,0.01,0.01,0.5,0.01,0.01,0.13559323091525416,0.01,0.01,0.01,0.01,0.4708097933333334,0.01,0.01,0.16384182019774,0.01,0.4745762778983051,0.05084746205084747,0.01,0.01,0.01,0.6490029457044839,0.01,0.01,0.01,0.01,-3.8844,52.74215
152,Aberfeldy,0.01,0.01,0.01,0.01,0.01,0.4017857157206633,0.2666666618666667,0.06645092233500698,0.01,0.01,0.4729729708692476,0.5,0.01,0.01,0.01,0.3023255815900487,0.01,0.35000000135,0.01,0.01,0.183333334,0.3097056719964119,0.01,0.01,0.01,0.01,-3.866969,56.62175
153,Machynlleth,0.01,0.01,0.01,1.0,0.01,0.01,0.13559323091525416,0.01,0.01,0.01,0.01,0.5273069666666668,0.01,0.01,0.16384182019774,0.01,0.4745762778983051,0.05084746205084747,0.01,0.01,0.01,0.5719547416144399,0.01,0.01,0.01,0.01,-3.853485,52.59027
154,Brora,0.01,0.01,0.5172414517241452,0.01,0.01,0.2770935920610485,0.27586206979310346,0.06874232272620405,0.01,0.01,0.6570363439847862,0.25862069000000004,0.01,0.01,0.01,0.01,0.06896551227586205,0.05172413405172414,0.01,0.01,0.293103448,0.3599247814966117,0.01,0.01,0.01,0.01,-3.852548000000001,58.01216
155,Llandudno,0.01,0.01,0.01,0.5086206965215518,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.40229885,0.01,0.01,0.01,0.01,0.20689654882758607,0.01,0.01,0.01,0.01,0.7387448025893104,0.01,0.01,0.01,0.01,-3.827609,53.32406
156,Llandudno,0.01,0.01,0.01,0.5086206965215518,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.40229885,0.01,0.01,0.01,0.01,0.20689654882758607,0.01,0.01,0.01,0.01,0.7387448025893104,0.01,0.01,0.01,0.01,-3.827609,53.32406
157,Aviemore,0.01,0.01,0.5172414517241452,0.01,0.01,0.2770935920610485,0.27586206979310346,0.06874232272620405,0.01,0.01,0.7409133275872143,0.4885057466666667,0.01,0.01,0.01,0.01,0.06896551227586205,0.05172413405172414,0.01,0.01,0.120689656,0.3599247814966117,0.01,0.01,0.01,0.01,-3.823812,57.19449
158,Dalbeattie,0.01,0.01,0.01,0.01,0.01,0.4017857157206633,0.01,0.19935275504385586,0.01,0.01,0.5810810776625273,0.1481481466666667,0.01,0.01,0.01,0.41860465272038944,0.01,0.4500000004500001,0.01,0.01,0.272222222,0.3307512455602294,0.01,0.01,0.01,0.01,-3.822527,54.93422
159,Falkirk,0.01,0.01,0.01,0.01,0.01,0.4017857157206633,0.19999999040000005,0.06645092233500698,0.01,0.01,0.6351351359240319,0.4166666666666667,0.01,0.01,0.01,0.16279069455922118,0.6000000024000001,0.4500000004500001,0.01,0.01,0.266666666,0.1708050986144279,0.01,0.01,0.01,0.01,-3.7839131,56.00188000000001
160,Kingsbridge,1.0,0.01,0.01,0.8358333403395835,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.35555555666666666,0.01,0.01,0.01,0.01,0.27999999711999995,0.4500000004500001,0.01,0.01,0.01,0.6060271780635932,0.01,0.01,1.0,0.01,-3.777493,50.28395
161,Pitlochry,0.01,0.01,0.01,0.01,0.01,0.4085956461021273,0.27118643783050844,0.06757720955970761,0.01,0.01,0.3985341267058721,0.56497175,0.01,0.01,0.01,0.3074497462602781,0.01,0.35593220735593223,0.01,0.01,0.118644068,0.34937131029299456,0.01,0.01,0.01,0.01,-3.729711,56.70436
162,Colwyn Bay,0.01,0.01,0.01,0.5086206965215518,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5172413800000001,0.01,0.01,0.01,0.01,0.20689654882758607,0.01,0.01,0.01,0.01,0.6864937024959693,0.01,0.01,0.01,0.01,-3.72764,53.29318000000001
163,Totnes,1.0,0.01,0.01,0.8358333403395835,0.01,0.5357142822704082,0.01,0.01,0.01,0.01,0.01,0.3,0.01,0.01,0.01,0.01,0.27999999711999995,0.4500000004500001,0.01,0.01,0.01,0.5807724594814107,0.01,0.01,1.0,0.01,-3.685797,50.43374
164,Grantown-on-Spey,0.01,0.01,0.5172414517241452,0.01,0.01,0.2770935920610485,0.27586206979310346,0.06874232272620405,0.01,0.01,0.6570363439847862,0.4885057466666667,0.01,0.01,0.01,0.01,0.06896551227586205,0.05172413405172414,0.01,0.01,0.189655172,0.3337992314499413,0.01,0.01,0.01,0.01,-3.609628,57.33041
165,Dumfries,0.01,0.01,0.01,0.01,0.01,0.4017857157206633,0.01,0.19935275504385586,0.01,0.01,0.7432432427173118,0.24074074,0.01,0.01,0.01,0.09302325522985397,0.01,0.54999999955,0.01,0.01,0.327777778,0.2381508127962372,0.01,0.01,0.01,0.01,-3.60512,55.07086
166,Whitehaven,0.01,0.01,0.01,0.24583333886458336,0.01,0.01,0.19999999040000005,0.01,1.0,0.01,0.4594594563038714,0.17592592666666668,0.01,0.01,0.01,0.41860465272038944,0.0999999964,0.01,0.01,0.01,0.305555556,0.4065152497787693,0.01,0.01,0.01,0.01,-3.589233,54.5497
167,Dartmouth,1.0,0.01,0.01,0.8358333403395835,0.01,0.5357142822704082,0.01,0.01,0.01,0.01,0.01,0.3,0.01,0.01,0.01,0.01,0.27999999711999995,0.4500000004500001,0.01,0.01,0.01,0.5807724594814107,0.01,0.01,1.0,0.01,-3.578807,50.35252
168,Bridgend,0.01,0.01,0.01,0.01,0.01,0.01,0.2666666618666667,0.1329018327088489,0.01,0.01,0.01,0.4259259266666667,0.01,0.01,0.01,0.01,0.5333333301333334,0.4500000004500001,0.01,0.01,0.01,0.6295982689440316,0.01,0.01,0.01,0.01,-3.576945,51.50429000000001
169,Paignton,1.0,0.01,0.01,0.8358333403395835,0.01,0.5357142822704082,0.01,0.01,0.01,0.01,0.01,0.3,0.01,0.01,0.01,0.01,0.27999999711999995,0.4500000004500001,0.01,0.01,0.01,0.5807724594814107,0.01,0.01,1.0,0.01,-3.564235,50.43508
170,Workington,0.01,0.01,0.01,0.24583333886458336,0.01,0.01,0.19999999040000005,0.01,1.0,0.01,0.5405405388312636,0.17592592666666668,0.01,0.01,0.01,0.41860465272038944,0.0999999964,0.15000000315,0.01,0.01,0.305555556,0.35600596414241203,0.01,0.01,0.01,0.01,-3.542752,54.64357
171,Llanidloes,0.01,0.01,0.01,0.4916666629791667,0.01,0.01,0.13333334293333324,0.1329018327088489,0.01,0.01,0.01,0.6666666666666667,0.01,0.01,0.16111112222777765,0.01,0.8666666674666668,0.35000000135,0.01,0.01,0.01,0.4443972518880392,0.01,0.01,0.01,0.01,-3.540195,52.44779000000001
172,Exeter,0.01,0.01,0.01,0.7375000018437501,0.01,0.5357142822704082,0.01,0.01,0.01,0.01,0.01,0.27777777666666664,0.01,0.01,0.01,0.01,0.01,0.4500000004500001,0.01,0.01,0.01,0.6464346974894838,0.01,0.01,1.0,0.01,-3.533899,50.71841
173,Torquay,1.0,0.01,0.01,0.8358333403395835,0.01,0.5357142822704082,0.01,0.01,0.01,0.01,0.01,0.3,0.01,0.01,0.01,0.01,0.27999999711999995,0.4500000004500001,0.01,0.01,0.01,0.5807724594814107,0.01,0.01,1.0,0.01,-3.525315,50.46192
174,Thurso,0.01,0.01,0.5172414517241452,0.01,0.01,0.2770935920610485,0.01,0.06874232272620405,0.01,0.01,0.6570363439847862,0.2203065133333333,0.01,0.01,0.01,0.01,0.06896551227586205,0.05172413405172414,0.01,0.01,0.327586206,0.3686332476694993,0.01,0.01,0.01,0.01,-3.5220800000000003,58.59356999999999
175,Livingston,0.01,0.01,0.01,0.01,0.01,0.4017857157206633,0.19999999040000005,0.06645092233500698,0.01,0.01,0.7162162135865594,0.4722222233333334,0.01,0.01,0.01,0.16279069455922118,0.6000000024000001,0.6000000035999999,0.01,0.01,0.233333334,0.12029566145006255,0.01,0.01,0.01,0.01,-3.518068,55.90071
176,Rhyl,0.01,0.01,0.01,0.5086206965215518,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.40229885,0.01,0.01,0.01,0.01,0.20689654882758607,0.01,0.01,0.01,0.01,0.7387448025893104,0.01,0.01,0.01,0.01,-3.4916339999999995,53.31914
177,Tiverton,0.01,0.01,0.01,0.7375000018437501,0.01,0.5357142822704082,0.01,0.01,0.01,0.01,0.01,0.27777777666666664,0.01,0.01,0.01,0.01,0.01,0.2999999973,0.01,0.01,0.01,0.6716892645436582,0.01,0.01,1.0,0.01,-3.491207,50.90205
178,Tiverton,0.01,0.01,0.01,0.7375000018437501,0.01,0.5357142822704082,0.01,0.01,0.01,0.01,0.01,0.27777777666666664,0.01,0.01,0.01,0.01,0.01,0.2999999973,0.01,0.01,0.01,0.6716892645436582,0.01,0.01,1.0,0.01,-3.491207,50.90205
179,Minehead,0.01,0.01,0.01,0.01,0.01,0.01,0.2666666618666667,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.01,0.01,0.13333333253333335,0.4500000004500001,0.01,0.01,0.01,0.6632711260349363,0.01,0.01,0.01,0.01,-3.481152,51.20428
180,Dunfermline,0.01,0.01,0.01,0.01,0.01,0.4017857157206633,0.4666666522666667,0.06645092233500698,0.01,0.01,0.5540540533966398,0.4166666666666667,0.01,0.01,0.01,0.3023255815900487,0.6000000024000001,0.35000000135,0.01,0.01,0.2,0.22131438425078487,0.01,0.01,0.01,0.01,-3.452151,56.07174000000001
181,Perth,0.01,0.01,0.01,0.01,0.01,0.2678571491709184,0.4666666522666667,0.06645092233500698,0.01,0.01,0.4324324320379839,0.5833333333333334,0.01,0.01,0.01,0.2325581422606815,0.01,0.35000000135,0.01,0.01,0.15,0.32233310705150736,0.01,0.01,0.01,0.01,-3.4308381000000003,56.39499
182,Prestatyn,0.01,0.01,0.01,0.5086206965215518,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5172413800000001,0.01,0.01,0.01,0.01,0.20689654882758607,0.01,0.01,0.01,0.01,0.6864937024959693,0.01,0.01,0.01,0.01,-3.407613,53.33651
183,Builth Wells,0.01,0.01,0.01,0.01,0.01,0.01,0.2666666618666667,0.1329018327088489,0.01,0.01,0.01,0.48148148,0.01,0.01,0.01,0.01,0.5333333301333334,0.4500000004500001,0.01,0.01,0.01,0.6043435503618488,0.01,0.01,0.01,0.01,-3.404592,52.15002
184,Braemar,0.01,0.01,0.01,0.01,0.01,0.2770935920610485,0.27586206979310346,0.06874232272620405,0.01,0.01,0.7409133275872143,0.54597701,0.01,0.01,0.01,0.01,0.06896551227586205,0.05172413405172414,0.01,0.01,0.120689656,0.3599247814966117,0.01,0.01,0.01,0.01,-3.3979439,57.00646999999999
185,Brecon,0.01,0.01,0.01,0.01,0.01,0.01,0.2666666618666667,0.1329018327088489,0.01,0.01,0.01,0.5370370366666667,0.01,0.01,0.01,0.01,0.5333333301333334,0.4500000004500001,0.01,0.01,0.01,0.579088831779666,0.01,0.01,0.01,0.01,-3.391463,51.94895
