placename,gone,went,longitude,latitude
Penzance,1.0000000,0.000000000, -5.5375920,50.11880
Oban,0.5793991,0.420600858, -5.4710470,56.41516
Lochgilphead,0.5793991,0.420600858, -5.4323449,56.03829
Helston,1.0000000,0.000000000, -5.2749960,50.10159
Redruth,1.0000000,0.000000000, -5.2266660,50.23302
Ullapool,0.6498906,0.350109409, -5.1613130,57.89542
Ballachulish,0.6322314,0.367768595, -5.1337200,56.67393
Fort William,0.6372180,0.362781955, -5.1052179,56.81982
Achnasheen,0.6459075,0.354092527, -5.0787658,57.57859
Newquay,1.0000000,0.000000000, -5.0737190,50.41550
Falmouth,1.0000000,0.000000000, -5.0662700,50.15257
Rothesay,0.5793991,0.420600858, -5.0557930,55.83596
Truro,1.0000000,0.000000000, -5.0510410,50.26320
Milford Haven,0.9868421,0.013157895, -5.0426971,51.71431
Stranraer,0.6276151,0.372384937, -5.0240550,54.90337
Fishguard,0.9868421,0.013157895, -4.9759890,51.99393
Inchnadamph,0.6902655,0.309734513, -4.9742950,58.15221
Haverfordwest,0.9868421,0.013157895, -4.9713190,51.80048
Dunoon,0.5793991,0.420600858, -4.9262140,55.95097
Pembroke,0.9868421,0.013157895, -4.9086370,51.67404
Girvan,0.6048387,0.395161290, -4.8542179,55.24016
Wadebridge,1.0000000,0.000000000, -4.8364560,50.51665
Invergarry,0.6653696,0.334630350, -4.8002610,57.07095
St Austell,1.0000000,0.000000000, -4.7834252,50.34038
Greenock,0.5793991,0.420600858, -4.7719830,55.95648
Helensburgh,0.5793991,0.420600858, -4.7340140,56.00232
Bodmin,1.0000000,0.000000000, -4.7188629,50.47150
Tenby,0.9868421,0.013157895, -4.7035790,51.67274
Camelford,1.0000000,0.000000000, -4.6823640,50.62206
Irvine,0.5739130,0.426086957, -4.6696364,55.61157
Cardigan,0.9868421,0.013157895, -4.6608640,52.08370
Holyhead,0.9454545,0.054545455, -4.6330380,53.30944
Ayr,0.5739130,0.426086957, -4.6291790,55.45856
Dumbarton,0.5896328,0.410367171, -4.5645540,55.94529
Bude,1.0000000,0.000000000, -4.5436780,50.82664
Isle of Man,0.9569892,0.043010753, -4.5126331,54.27697
Kilmarnock,0.5739130,0.426086957, -4.4987920,55.61472
Newton Stewart,0.6276151,0.372384937, -4.4831640,54.96030
Liskeard,1.0000000,0.000000000, -4.4647190,50.45552
Altnaharra,0.7123894,0.287610619, -4.4426550,58.28023
Pwllheli,0.9451827,0.054817276, -4.4176339,52.88882
Lairg,0.7123894,0.287610619, -4.4024140,58.02206
Launceston,1.0000000,0.000000000, -4.3604516,50.63683
Carmarthen,0.9868421,0.013157895, -4.3121310,51.85762
Llangefni,0.9426087,0.057391304, -4.3114020,53.25578
Caernarfon,0.9413854,0.058614565, -4.2739110,53.13955
Cumnock,0.5665236,0.433476395, -4.2658289,55.45355
Aberaeron,0.9871795,0.012820513, -4.2581619,52.24279
Alness,0.7123894,0.287610619, -4.2568250,57.69595
Glasgow,0.5896328,0.410367171, -4.2518060,55.86424
Dalwhinnie,0.6770428,0.322957198, -4.2427830,56.93660
Inverness,0.6956522,0.304347826, -4.2247210,57.47777
Saltash,1.0000000,0.000000000, -4.2164300,50.40921
Bideford,1.0000000,0.000000000, -4.2066660,51.01668
Invergordon,0.7123894,0.287610619, -4.1728820,57.68811
Llanelli,0.9868766,0.013123360, -4.1602480,51.68089
Plymouth,1.0000000,0.000000000, -4.1426565,50.37546
Tavistock,1.0000000,0.000000000, -4.1416540,50.55112
Porthmadog,0.9426087,0.057391304, -4.1333840,52.92784
Bangor,0.9413854,0.058614565, -4.1292630,53.22739
Tywyn,0.9719626,0.028037383, -4.0872490,52.58701
Aberystwyth,0.9800000,0.020000000, -4.0829200,52.41530
Lampeter,0.9870130,0.012987013, -4.0785090,52.11290
Barnstaple,0.9876289,0.012371134, -4.0583380,51.07816
Tain,0.7123894,0.287610619, -4.0552300,57.81150
Okehampton,1.0000000,0.000000000, -4.0042630,50.73831
