placename,dinner,supper,tea,longitude,latitude
Skipton,0.1474359,0.012820513,0.83974359, -2.0162787,53.96285
Fraserburgh,0.5897436,0.083333333,0.32692308, -2.0076310,57.69335
Berwick,0.3562500,0.018750000,0.62500000, -2.0053950,55.77024
Poole,0.6645299,0.119658120,0.21581197, -1.9872480,50.71505
Walsall,0.5426829,0.012195122,0.44512195, -1.9829190,52.58621
Cirencester,0.5801688,0.124472574,0.29535865, -1.9682430,51.71849
Evesham,0.5487805,0.024390244,0.42682927, -1.9467700,52.09215
Buxton,0.2530864,0.000000000,0.74691358, -1.9148300,53.25908
Keighley,0.2115385,0.038461538,0.75000000, -1.9123580,53.86780
Birmingham,0.7063492,0.015873016,0.27777778, -1.8904010,52.48624
Bournemouth,0.6497890,0.143459916,0.20675105, -1.8807690,50.71916
Halifax,0.1772152,0.012658228,0.81012658, -1.8575400,53.72702
Salisbury,0.6132479,0.202991453,0.18376068, -1.7944720,51.06878
Ringwood,0.6434599,0.175105485,0.18143460, -1.7888170,50.84495
Huddersfield,0.1562500,0.000000000,0.84375000, -1.7850351,53.64579
Peterhead,0.5897436,0.070512821,0.33974359, -1.7840660,57.50812
Swindon,0.5354167,0.197916667,0.26666667, -1.7797176,51.55577
Bradford,0.1858974,0.012820513,0.80128205, -1.7593980,53.79598
Ashbourne,0.3641975,0.012345679,0.62345679, -1.7321790,53.01663
Marlborough,0.5473251,0.207818930,0.24485597, -1.7270620,51.42007
Stratford-upon-Avon,0.5596708,0.053497942,0.38683128, -1.7082980,52.19173
Alnwick,0.2469136,0.049382716,0.70370370, -1.7062990,55.41274
Otley,0.2974684,0.018987342,0.68354430, -1.6917860,53.90583
Bishop Auckland,0.3269231,0.025641026,0.64743590, -1.6787880,54.66382
Burton upon Trent,0.5493827,0.024691358,0.42592593, -1.6371359,52.81403
Newcastle,0.2321429,0.023809524,0.74404762, -1.6177800,54.97825
Durham,0.2440476,0.023809524,0.73214286, -1.5848520,54.77525
Ashington,0.2560976,0.024390244,0.71951220, -1.5659829,55.18298
Darlington,0.3051948,0.012987013,0.68181818, -1.5594580,54.52361
Leeds,0.3396624,0.010548523,0.64978903, -1.5490774,53.80076
Harrogate,0.3846154,0.019230769,0.59615385, -1.5418120,53.99212
Leamington Spa,0.5987654,0.055555556,0.34567901, -1.5200789,52.28519
Coventry,0.6234568,0.061728395,0.31481481, -1.5196930,52.40682
Blyth,0.2439024,0.024390244,0.73170732, -1.5102770,55.12696
Wakefield,0.2207792,0.000000000,0.77922078, -1.5059240,53.68330
Andover,0.6582278,0.196202532,0.14556962, -1.4919233,51.21120
Witney,0.5312500,0.181250000,0.28750000, -1.4850544,51.78594
Barnsley,0.2337662,0.012987013,0.75324675, -1.4797260,53.55263
Derby,0.6000000,0.025000000,0.37500000, -1.4746186,52.92253
Sheffield,0.2307692,0.006410256,0.76282051, -1.4700850,53.38113
Nuneaton,0.5875000,0.081250000,0.33125000, -1.4653820,52.52049
Northallerton,0.2435897,0.038461538,0.71794872, -1.4299590,54.33796
South Shields,0.2352941,0.023529412,0.74117647, -1.4274060,54.99942
Chesterfield,0.2435897,0.000000000,0.75641026, -1.4216290,53.23505
Southampton,0.6772152,0.158227848,0.16455696, -1.4043509,50.90970
Wetherby,0.3625000,0.012500000,0.62500000, -1.3848160,53.92706
Sunderland,0.2588235,0.035294118,0.70588235, -1.3838010,54.90687
Rotherham,0.2402597,0.012987013,0.74675325, -1.3635009,53.43260
Castleford,0.3164557,0.000000000,0.68354430, -1.3459680,53.72347
Thirsk,0.2435897,0.070512821,0.68589744, -1.3413770,54.23385
Banbury,0.6111111,0.117283951,0.27160494, -1.3397750,52.06290
Stockton,0.3125000,0.012500000,0.67500000, -1.3289821,54.57046
Newbury,0.6626506,0.162650602,0.17469880, -1.3231139,51.40141
Isle of Wight,0.6898734,0.132911392,0.17721519, -1.3047340,50.69385
Isle of Wight,0.6898734,0.132911392,0.17721519, -1.3047340,50.69385
Abingdon,0.6341463,0.170731707,0.19512195, -1.2879529,51.67078
Shetland Islands,0.6025641,0.083333333,0.31410256, -1.2659409,60.52965
Rugby,0.5967078,0.059670782,0.34362140, -1.2650320,52.37088
Oxford,0.5864198,0.154320988,0.25925926, -1.2577263,51.75202
Middlesbrough,0.3125000,0.012500000,0.67500000, -1.2349560,54.57423
Hartlepool,0.2621951,0.024390244,0.71341463, -1.2129260,54.69174
Loughborough,0.7037037,0.024691358,0.27160494, -1.2061660,52.77210
Mansfield,0.6346154,0.000000000,0.36538462, -1.1986740,53.14720
Nottingham,0.7000000,0.000000000,0.30000000, -1.1581086,52.95478
