placename,dinner,supper,tea,longitude,latitude
Bicester,0.6481481,0.111111111,0.24074074, -1.1535899,51.89960
Leicester,0.7104167,0.041666667,0.24791667, -1.1397592,52.63688
Doncaster,0.2012987,0.025974026,0.77272727, -1.1284620,53.52282
Worksop,0.3525641,0.012820513,0.63461538, -1.1227450,53.30930
Basingstoke,0.7151899,0.094936709,0.18987342, -1.0923964,51.26654
Portsmouth,0.6812500,0.125000000,0.19375000, -1.0879769,50.81977
York,0.3089431,0.028455285,0.66260163, -1.0872979,53.95997
Selby,0.2845528,0.004065041,0.71138211, -1.0671890,53.78352
Helmsley,0.2139918,0.078189300,0.70781893, -1.0562636,54.24651
Towcester,0.7721519,0.018987342,0.20886076, -0.9896880,52.13511
Reading,0.6890244,0.091463415,0.21951220, -0.9781303,51.45426
Retford,0.3717949,0.012820513,0.61538462, -0.9455030,53.32136
Petersfield,0.6750000,0.137500000,0.18750000, -0.9389900,51.00759
Northampton,0.7884615,0.019230769,0.19230769, -0.9026560,52.24048
Melton Mowbray,0.7062500,0.000000000,0.29375000, -0.8871260,52.76640
Aylesbury,0.7500000,0.031250000,0.21875000, -0.8084000,51.81561
Newark-on-Trent,0.6687500,0.025000000,0.30625000, -0.8065700,53.07004
Malton,0.2113821,0.065040650,0.72357724, -0.7978970,54.13684
Chichester,0.6543210,0.148148148,0.19753086, -0.7749360,50.83761
Gainsborough,0.2756410,0.038461538,0.68589744, -0.7744650,53.40057
Milton Keynes,0.7682927,0.073170732,0.15853659, -0.7594171,52.04062
Aldershot,0.6518987,0.113924051,0.23417722, -0.7557509,51.24837
High Wycombe,0.8125000,0.062500000,0.12500000, -0.7482290,51.62861
Midhurst,0.6543210,0.135802469,0.20987654, -0.7372740,50.98690
Kettering,0.7799145,0.042735043,0.17735043, -0.7302490,52.39632
Wellingborough,0.7756410,0.032051282,0.19230769, -0.6939640,52.30242
Corby,0.7350427,0.029914530,0.23504274, -0.6842333,52.49230
Bognor Regis,0.6829268,0.134146341,0.18292683, -0.6730610,50.78300
Scunthorpe,0.2437500,0.012500000,0.74375000, -0.6544130,53.58865
Grantham,0.6392405,0.025316456,0.33544304, -0.6435820,52.91252
Whitby,0.1875000,0.062500000,0.75000000, -0.6133470,54.48634
Slough,0.8269231,0.051282051,0.12179487, -0.5950406,51.51054
Guildford,0.7160494,0.111111111,0.17283951, -0.5704090,51.23622
Woking,0.7687500,0.093750000,0.13750000, -0.5600349,51.31677
Lincoln,0.5320513,0.025641026,0.44230769, -0.5405790,53.23069
Bedford,0.7812500,0.068750000,0.15000000, -0.4667782,52.13864
Heathrow,0.8209877,0.086419753,0.09259259, -0.4542955,51.47002
Driffield,0.2480159,0.027777778,0.72420635, -0.4433770,54.00600
Beverley,0.2108434,0.024096386,0.76506024, -0.4350930,53.84196
Luton,0.8554217,0.018072289,0.12650602, -0.4200255,51.87867
Scarborough,0.2088353,0.052208835,0.73895582, -0.3997520,54.28311
Worthing,0.6913580,0.111111111,0.19753086, -0.3728820,50.81787
Dorking,0.7987805,0.115853659,0.08536585, -0.3323780,51.23220
Hull,0.2283951,0.012345679,0.75925926, -0.3274198,53.76762
Horsham,0.7261905,0.130952381,0.14285714, -0.3258580,51.06288
Biggleswade,0.7716049,0.067901235,0.16049383, -0.2642200,52.08694
Peterborough,0.6623377,0.038961039,0.29870130, -0.2405299,52.56950
Welwyn Garden City,0.9166667,0.012820513,0.07051282, -0.2086610,51.80317
Bridlington,0.2134146,0.036585366,0.75000000, -0.1988020,54.08535
Stevenage,0.8703704,0.000000000,0.12962963, -0.1966120,51.90376
Crawley,0.7621951,0.109756098,0.12804878, -0.1872275,51.10914
Huntingdon,0.6329114,0.107594937,0.25949367, -0.1825520,52.33146
Hove,0.7048193,0.108433735,0.18674699, -0.1687490,50.82793
Spalding,0.5519481,0.077922078,0.37012987, -0.1537024,52.79010
Brighton,0.7073171,0.109756098,0.18292683, -0.1371630,50.82253
London,0.8187500,0.131250000,0.05000000, -0.1277583,51.50735
Grimsby,0.2625000,0.025000000,0.71250000, -0.0807840,53.56747
Boston,0.4743590,0.038461538,0.48717949, -0.0265770,52.97894
Royston,0.7926829,0.085365854,0.12195122, -0.0240660,52.04814
Louth_Lincs,0.3037975,0.037974684,0.65822785, -0.0077110,53.36596
Lewes,0.7469880,0.108433735,0.14457831,  0.0087800,50.87387
Chatteris,0.6187500,0.062500000,0.31875000,  0.0540120,52.45610
Uckfield,0.7469880,0.096385542,0.15662651,  0.0959130,50.96641
Cambridge,0.6791667,0.091666667,0.22916667,  0.1218170,52.20534
Bishop's Stortford,0.8888889,0.017094017,0.09401709,  0.1536502,51.87216
Wisbech,0.5299145,0.106837607,0.36324786,  0.1587970,52.66632
Sevenoaks,0.8625000,0.025000000,0.11250000,  0.1908980,51.27241
Tunbridge Wells,0.8375000,0.037500000,0.12500000,  0.2636950,51.13238
Eastbourne,0.7621951,0.085365854,0.15243902,  0.2904720,50.76803
Brentwood,0.8679654,0.030303030,0.10173160,  0.3071749,51.62047
Skegness,0.4025974,0.051948052,0.54545455,  0.3378810,53.14640
Downham Market,0.5295359,0.080168776,0.39029536,  0.3854720,52.60661
King's Lynn,0.5042735,0.126068376,0.36965812,  0.4022963,52.75168
Bexhill,0.7716049,0.061728395,0.16666667,  0.4662071,50.84991
Chelmsford,0.8766234,0.025974026,0.09740260,  0.4685497,51.73559
Mildenhall,0.5729167,0.116666667,0.31041667,  0.5156095,52.34757
Medway,0.8831169,0.012987013,0.10389610,  0.5417861,51.40474
Braintree,0.8076923,0.038461538,0.15384615,  0.5509269,51.88009
Gillingham,0.8766234,0.012987013,0.11038961,  0.5514380,51.38632
Hastings,0.7865854,0.048780488,0.16463415,  0.5734530,50.85426
Maldon,0.8831169,0.025974026,0.09090909,  0.6714480,51.73180
Southend,0.8831169,0.025974026,0.09090909,  0.7077123,51.54593
Bury St Edmunds,0.6054852,0.092827004,0.30168776,  0.7104932,52.24292
Thetford,0.5864979,0.124472574,0.28902954,  0.7516570,52.41286
Ashford,0.7654321,0.037037037,0.19753086,  0.8750190,51.14647
Faversham,0.8062500,0.025000000,0.16875000,  0.8893580,51.31599
Colchester,0.7121212,0.056277056,0.23160173,  0.8918740,51.89593
New Romney,0.7439024,0.048780488,0.20731707,  0.9394730,50.98512
