index,placename,longitude,latitude,dont_have,dont_have_negc,havent,havent_got,havent_got_negc,havent_negc
46,Cookstown,-6.7443895000000005,54.641819999999996,0.1668019247267543,0.01,0.47502953215226573,0.2195711558162457,0.01,0.01
47,Coleraine,-6.6646103000000005,55.132580000000004,0.25787808574129734,0.01,0.5153825714265561,0.2957747492846766,0.01,0.01
48,Meath,-6.656416900000001,53.60555,0.28487420654770246,0.18519815562457925,0.35954297735491847,0.14900978525683556,0.01,0.01
49,Armagh,-6.652792,54.350280000000005,0.1839069129659403,0.01,0.539554030916326,0.23988561442663603,0.01,0.01
50,Armagh,-6.652792,54.350280000000005,0.1839069129659403,0.01,0.539554030916326,0.23988561442663603,0.01,0.01
51,Magherafelt,-6.607980499999999,54.75536999999999,0.1963159715622654,0.40653662821408504,0.3849979244504323,0.15347701412514642,0.01,0.01
52,Dunvegan,-6.581398200000001,57.4366,0.014202028902150993,0.01,0.05550394418441228,0.01,0.01,0.01
53,Louth,-6.4889423,53.925230000000006,0.2874731525239469,0.20865586458730614,0.3742029518466431,0.14710998053495056,0.01,0.01
54,Wexford,-6.4633381,52.33692,0.29765362392508354,0.01,0.5206091184249061,0.17238369726920585,0.01,0.01
55,Craigavon,-6.4175653,54.442930000000004,0.23544206827872208,0.39572098261076194,0.44398523796733264,0.1680261341181005,0.01,0.01
56,Stornoway,-6.384869200000001,58.209430000000005,0.1927069743948603,0.01,0.24095129273480476,0.0669843079396346,0.01,0.01
57,Drogheda,-6.3560985,53.717859999999995,0.20724498830507662,0.15190155087877757,0.2750920374451389,0.1189085722427709,0.01,0.01
58,Rosslare,-6.3414908,52.25131,0.01,0.01,0.07032512835945966,0.024931410495053413,0.01,0.01
59,Newry,-6.34023,54.1751,0.23886319394564215,0.3944821674180076,0.49870877168679595,0.13527477756679732,0.01,0.01
60,Scilly Isles,-6.327496599999999,49.92773,0.0995330139611308,0.01,0.11784116533824297,0.2732683526305387,0.042329702114817354,0.01
61,Ballymena,-6.2802213,54.86529,0.22840798649374486,0.38858799040175207,0.37965343658461653,0.15762390701686244,0.01,0.01
62,Banbridge,-6.2704803,54.34873,0.19384328973301734,0.36192106037480376,0.3630800991949561,0.11493759687078857,0.01,0.01
63,Dublin,-6.2603097000000005,53.34981,0.6680435840666772,0.3928012796800052,0.6784684626374988,0.3319444191707031,0.01,0.01
64,Antrim,-6.2072498,54.719530000000006,0.2520442689117497,0.44959951240787466,0.47916608639008473,0.16082206440448676,0.01,0.01
65,Antrim,-6.2072498,54.719530000000006,0.2520442689117497,0.44959951240787466,0.47916608639008473,0.16082206440448676,0.01,0.01
66,Portree,-6.1960231,57.41246999999999,0.18988237401632913,0.01,0.26765369946082146,0.043781637944281825,0.01,0.01
67,Islay,-6.177067,55.73625,0.13811252317170675,0.01,0.0815476357384629,0.06509211267527686,0.01,0.01
68,Wicklow,-6.044589,52.980819999999994,0.2867202296492411,0.19323854314837974,0.3084100419052625,0.14927521609460717,0.01,0.01
69,Kilkeel,-6.007004,54.06312,0.12128290307448084,0.23328895639122763,0.27452775944395413,0.08092879102054304,0.01,0.01
70,Mull,-6.0008870000000005,56.4392,0.1388885029740711,0.01,0.09978785012038958,0.06913098770441518,0.01,0.01
71,Belfast,-5.93012,54.597280000000005,0.5289840199786641,0.8094508474417551,0.7583107896255672,0.2651657990310389,0.01,0.01
72,Broadford,-5.9096592,57.24139,0.01393968140257785,0.01,0.05388409820445612,0.01,0.01,0.01
73,Down,-5.7156921999999994,54.32875,0.26105639429131827,0.4416698120653229,0.4540842692000207,0.13498433939183113,0.01,0.01
74,Kyle of Lochalsh,-5.7143293,57.28261,0.013892742135250486,0.01,0.05468774994897922,0.01,0.01,0.01
75,Campbeltown,-5.605373999999999,55.424119999999995,0.15106554910477338,0.01,0.07865456988113863,0.0780328090299251,0.01,0.01
76,Penzance,-5.537592,50.1188,0.20824208985030554,0.01,0.22447321090919203,0.45866658715681535,0.06923505527192053,0.01
77,Oban,-5.471047,56.41516,0.2120634871017431,0.01,0.1146907267666686,0.0844845423427334,0.01,0.01
78,Lochgilphead,-5.4323449,56.03829,0.11108022913686134,0.01,0.04116557382985091,0.04954393206664571,0.01,0.01
79,Helston,-5.274996,50.10159,0.13960885357211392,0.01,0.15715131622994993,0.34367905352329,0.05224842320860396,0.01
80,Redruth,-5.226666000000001,50.23302,0.1646998588773393,0.01,0.1817629117056232,0.38440735273968996,0.0584584104334515,0.01
81,Ullapool,-5.161313,57.895419999999994,0.12919493851318983,0.01,0.22883993917285098,0.03625763229523114,0.01,0.01
82,Ballachulish,-5.133719999999999,56.673930000000006,0.012616744360226946,0.01,0.01,0.018269448217521838,0.01,0.01
83,Fort William,-5.1052179,56.81981999999999,0.20406934502304455,0.01,0.11908784849405982,0.06985233228029011,0.01,0.01
84,Achnasheen,-5.078765799999999,57.578590000000005,0.013369684977985583,0.01,0.05681849046440774,0.01,0.01,0.01
85,Newquay,-5.0737190000000005,50.4155,0.20155659724802005,0.01,0.21708084935086622,0.44049302074187524,0.06736981769416617,0.01
86,Falmouth,-5.066269999999999,50.152570000000004,0.2225196177619246,0.01,0.23757929328922692,0.47858919095688035,0.0725419768537534,0.01
87,Rothesay,-5.055793,55.83596,0.19674012354990136,0.01,0.07960812810615386,0.07979286232423631,0.01,0.01
88,Truro,-5.051041000000001,50.2632,0.33551136780282065,0.01,0.34806679677260627,0.6656245050401939,0.10042013718423705,0.01
89,Milford Haven,-5.0426971,51.71431,0.12123578826267664,0.29310309959118575,0.21661010169221614,0.36001448837551114,0.01,0.01
90,Stranraer,-5.024055000000001,54.903369999999995,0.17447580460940015,0.2987068213214977,0.21637979769738638,0.0817222247729614,0.01,0.01
91,Fishguard,-4.975989,51.99393,0.0865451398204337,0.19694955194928496,0.12917357174539387,0.2697738030678156,0.01,0.01
92,Inchnadamph,-4.974295,58.15221,0.013224804596141223,0.01,0.05642315709619387,0.01,0.01,0.01
93,Haverfordwest,-4.971319,51.800470000000004,0.14043198497439283,0.32516208945689823,0.24576272590924064,0.3955141033652646,0.01,0.01
94,Dunoon,-4.926214,55.95097,0.17413356701733665,0.01,0.07515788757629152,0.07036547437677361,0.01,0.01
95,Pembroke,-4.908637000000001,51.674040000000005,0.19694888365601845,0.4082456432181955,0.32131414407256526,0.5086767509097095,0.01,0.01
96,Girvan,-4.8542179,55.240159999999996,0.16515355467322201,0.01,0.11550030733342258,0.07187029490766153,0.01,0.01
97,Wadebridge,-4.836456,50.51665,0.15736012453360423,0.01,0.1763314767186151,0.3636922431621293,0.05708795413629025,0.01
98,Invergarry,-4.800261,57.07095,0.013513430765453987,0.01,0.05509426109861542,0.01,0.01,0.01
99,St Austell,-4.7834252,50.340379999999996,0.17570996751579332,0.01,0.20562822431722666,0.3940027497285805,0.060897868869028246,0.01
100,Greenock,-4.7719830000000005,55.956480000000006,0.30603787155263723,0.01,0.09751530829238264,0.12448749469893558,0.01,0.01
101,Helensburgh,-4.734014,56.00232,0.1879106038458136,0.01,0.05158831072408468,0.08079149220476763,0.01,0.01
102,Bodmin,-4.7188629,50.4715,0.1398471141950656,0.01,0.17702821641228764,0.3457110232713445,0.054082435175048446,0.01
103,Tenby,-4.703579,51.672740000000005,0.13904983913884375,0.3230414716784699,0.24383434517933192,0.4045221805026728,0.01,0.01
104,Camelford,-4.682364,50.62206,0.09419686537933639,0.01,0.11261491361528103,0.23882683090874365,0.04357420311413615,0.01
105,Irvine,-4.6696364,55.61156999999999,0.3319168702542011,0.01,0.18738721278319084,0.127481754670382,0.01,0.01
106,Cardigan,-4.660864,52.0837,0.11959254067470236,0.01,0.14852255140952494,0.2925058412351955,0.01,0.01
107,Holyhead,-4.633038,53.30944,0.13510949408467127,0.01,0.38124471369676427,0.2789309361630105,0.01,0.01
108,Ayr,-4.629179,55.45856,0.36050466312128543,0.01,0.21572660609770364,0.1465713283042461,0.01,0.01
109,Dumbarton,-4.564554,55.94529,0.2881929520150269,0.01,0.07080310796811062,0.10541292073792019,0.01,0.01
110,Bude,-4.543678,50.826640000000005,0.15217643152536292,0.2596711511772058,0.18620899680973652,0.3380246491424954,0.05958024505978528,0.01
111,Isle of Man,-4.5126330999999995,54.27697,0.3162631760734812,0.4679642854131276,0.43402630854812896,0.2232629736562327,0.01,0.01
112,Kilmarnock,-4.498792,55.61472,0.31370809742503003,0.01,0.08533864405888829,0.12541345939331833,0.01,0.01
113,Newton Stewart,-4.483164,54.9603,0.13275065707197564,0.01,0.05955905403871691,0.08357745851721016,0.01,0.01
114,Liskeard,-4.4647190000000005,50.45552,0.15757539772240725,0.01,0.2231767002869283,0.3470251420674857,0.058571732502471024,0.01
115,Altnaharra,-4.442655,58.28023,0.01321223255845939,0.01,0.05662045895697245,0.01,0.01,0.01
116,Pwllheli,-4.417633900000001,52.888819999999996,0.124175409951059,0.01,0.224899781876265,0.2509105275656095,0.01,0.01
117,Lairg,-4.402414,58.022059999999996,0.013186942083821405,0.01,0.05701726175248118,0.01,0.01,0.01
118,Launceston,-4.360451599999999,50.636829999999996,0.14302359444906493,0.25030839764047086,0.20447342600191853,0.3024937070195195,0.057432010354314424,0.01
119,Carmarthen,-4.312131,51.857620000000004,0.18580292134290305,0.39921192023842034,0.35580769224084324,0.5078643047697994,0.01,0.01
120,Llangefni,-4.311401999999999,53.255790000000005,0.1882679641494094,0.01,0.4914521787743972,0.36803362393964606,0.01,0.01
121,Caernarfon,-4.273911,53.13955,0.17556577365546272,0.01,0.48887805873332224,0.3401207853799012,0.01,0.01
122,Cumnock,-4.265828900000001,55.45355,0.23392534859160985,0.01,0.07707712075589741,0.09221480970136048,0.01,0.01
123,Aberaeron,-4.2581619,52.24279,0.10390157977002207,0.01,0.10825638851602093,0.29807309542212157,0.01,0.01
124,Alness,-4.256825,57.69595,0.19151659438602642,0.01,0.28558616724811375,0.04844282692246967,0.01,0.01
125,Glasgow,-4.251806,55.86424,0.6909728649645165,0.01,0.21085658524652573,0.23289352583838455,0.01,0.01
126,Dalwhinnie,-4.242783,56.9366,0.013187793029603363,0.01,0.010460130021498709,0.013972046292372956,0.01,0.01
127,Inverness,-4.224721,57.47776999999999,0.3507131734560353,0.01,0.5400333407788844,0.08677269650616921,0.01,0.01
128,Saltash,-4.21643,50.409209999999995,0.14933597131798904,0.01,0.18639034630549833,0.2924632300959276,0.06757613537000534,0.01
129,Bideford,-4.206666,51.01668,0.17317978698233463,0.2863021720885578,0.23594992946704244,0.3438839682304227,0.01,0.01
130,Invergordon,-4.1728819999999995,57.688109999999995,0.1951547559253194,0.01,0.28953713397539754,0.04584787980889848,0.01,0.01
131,Llanelli,-4.160248,51.680890000000005,0.20552791587805663,0.4651983499070916,0.4394605187237867,0.6377055695956086,0.01,0.01
132,Plymouth,-4.1426565,50.37546,0.3746785560752908,0.01,0.4331280108826835,0.5897844206583515,0.13813378079732075,0.01
133,Tavistock,-4.141654,50.551120000000004,0.17516309143210482,0.01,0.23830374207416838,0.3350030577833225,0.05375309090592255,0.01
134,Porthmadog,-4.1333839999999995,52.92784,0.15665067233599922,0.01,0.3182882813599395,0.3207140937030544,0.01,0.01
135,Bangor,-4.129263,53.22739,0.24632774450534847,0.01,0.6187451384998559,0.4831694943243354,0.01,0.01
136,Tywyn,-4.087249,52.58701,0.07916743109624305,0.01,0.13690262885240212,0.21029081851551507,0.01,0.01
137,Aberystwyth,-4.08292,52.4153,0.22905914678307407,0.01,0.2444994835320281,0.43976546514018866,0.01,0.01
138,Lampeter,-4.0785089999999995,52.1129,0.11858054207213123,0.01,0.14207097970446944,0.31491783469600265,0.01,0.01
139,Barnstaple,-4.058338,51.07816,0.2365027509333776,0.3278786952618144,0.2248484186046445,0.41283575193580757,0.01,0.01
140,Tain,-4.05523,57.8115,0.12390866305690121,0.01,0.1978329750328859,0.04823572643657454,0.01,0.01
141,Okehampton,-4.004263,50.73831,0.12183313160630703,0.1559394886796052,0.17529457772313173,0.25639040243047784,0.0357795379484295,0.01
142,Llandeilo,-3.9914300000000003,51.88469,0.14541004126321025,0.36979287741817274,0.3259084043501388,0.4824832454984966,0.01,0.01
143,Motherwell,-3.9810968,55.78321,0.4077525157141059,0.01,0.1152773617636396,0.13145749073776225,0.01,0.01
144,Golspie,-3.976086,57.97341,0.012533196124366104,0.01,0.05662045895697245,0.010246597939418933,0.01,0.01
145,Airdrie,-3.9625660000000003,55.86626999999999,0.35860417071705347,0.01,0.049506203383706794,0.05568662492209943,0.01,0.01
146,Swansea,-3.9436459999999998,51.62144,0.34078727521663776,0.6415999513872773,0.5563930024616971,0.9068504774795806,0.01,0.01
147,Stirling,-3.9369029,56.116519999999994,0.37962188759895515,0.01,0.24781253238810902,0.0887509780635289,0.01,0.01
148,Tregaron,-3.934385,52.22,0.11582228008250953,0.01,0.0904947595974065,0.3125806449264071,0.01,0.01
149,Tregaron,-3.934385,52.22,0.11582228008250953,0.01,0.0904947595974065,0.3125806449264071,0.01,0.01
150,Castle Douglas,-3.9314139999999997,54.940419999999996,0.1382484085550911,0.01,0.14814425532956557,0.17808608815917085,0.01,0.01
151,Dolgellau,-3.8844,52.74215,0.08323285688807291,0.01,0.17308315832074617,0.23728060927338607,0.01,0.01
152,Aberfeldy,-3.866969,56.62175,0.19367516892514067,0.01,0.057265024983903394,0.07236252384244708,0.01,0.01
153,Machynlleth,-3.853485,52.59027,0.10827779910031987,0.01,0.136053063655616,0.30643843264584303,0.01,0.01
154,Brora,-3.8525480000000005,58.012159999999994,0.10056931777777041,0.01,0.1682411110326482,0.04027489438560358,0.01,0.01
155,Llandudno,-3.827609,53.324059999999996,0.20442282713513202,0.01,0.40546036846846184,0.4397982547490866,0.01,0.01
156,Llandudno,-3.827609,53.324059999999996,0.20442282713513202,0.01,0.40546036846846184,0.4397982547490866,0.01,0.01
157,Aviemore,-3.823812,57.19449,0.1694617231022009,0.01,0.25745237621033396,0.04283647145965218,0.01,0.01
158,Dalbeattie,-3.8225269999999996,54.934219999999996,0.09447541778214336,0.01,0.12932012390394612,0.13844738304050028,0.01,0.01
159,Falkirk,-3.7839131,56.00188000000001,0.38037688968018024,0.01,0.26131672238796017,0.08702184413655513,0.01,0.01
160,Kingsbridge,-3.777493,50.28395,0.15717557057796253,0.01,0.2095486436741171,0.2997438547895281,0.048390349288653225,0.01
161,Pitlochry,-3.729711,56.70436,0.13209451441364142,0.01,0.041369047981682144,0.06405430388591084,0.01,0.01
162,Colwyn Bay,-3.72764,53.29318000000001,0.18811138941170844,0.01,0.2955519978157955,0.4133726932533536,0.01,0.01
163,Totnes,-3.685797,50.43374,0.16546007503298077,0.01,0.21657475309257077,0.3044339870905937,0.04970069781908735,0.01
164,Grantown-on-Spey,-3.609628,57.33041,0.11437568707027931,0.01,0.18479776986389007,0.030696926189003184,0.01,0.01
165,Dumfries,-3.60512,55.070859999999996,0.250212282611723,0.01,0.2601187445315317,0.2926389771187897,0.01,0.01
166,Whitehaven,-3.589233,54.5497,0.20046526143325763,0.01,0.24462319836085245,0.3360731539912474,0.01,0.01
167,Dartmouth,-3.578807,50.35252,0.1332836873651199,0.01,0.1771788413210636,0.25336242019932,0.042353474600699624,0.01
168,Bridgend,-3.576945,51.504290000000005,0.2503999370138882,0.01,0.4135155118186365,0.7632060270739066,0.01,0.01
169,Paignton,-3.564235,50.43508,0.24874183324678364,0.01,0.3024594929653189,0.40328976016682455,0.06571795198387019,0.01
170,Workington,-3.5427519999999997,54.64357,0.19691367938912985,0.01,0.23085979964040718,0.33828224931698275,0.01,0.01
171,Llanidloes,-3.5401949999999998,52.447790000000005,0.09712337897128626,0.01,0.09894663784587829,0.25517558101451177,0.01,0.01
172,Exeter,-3.533899,50.71841,0.40960557916186663,0.4976964355262534,0.40265557935415364,0.617403962367498,0.01,0.01
173,Torquay,-3.525315,50.46192,0.25629646992566174,0.01,0.30891233359448433,0.4057268264119421,0.0669213888000464,0.01
174,Thurso,-3.5220800000000003,58.59356999999999,0.17388642881400526,0.01,0.259947582389902,0.06494586962773614,0.01,0.01
175,Livingston,-3.518068,55.90071,0.36682156415123607,0.01,0.154106124638913,0.15005916029394167,0.01,0.01
176,Rhyl,-3.4916339999999995,53.319140000000004,0.1716673975538686,0.01,0.359100799880274,0.4802678536503779,0.01,0.01
177,Tiverton,-3.491207,50.90205,0.17671935197496222,0.26886762324062213,0.13704402136504654,0.3266936475642158,0.01,0.01
178,Tiverton,-3.491207,50.90205,0.17671935197496222,0.26886762324062213,0.13704402136504654,0.3266936475642158,0.01,0.01
179,Minehead,-3.481152,51.20428,0.13296716249149962,0.01,0.1289257753005371,0.2764694842687624,0.01,0.01
180,Dunfermline,-3.452151,56.071740000000005,0.3515754398876722,0.01,0.13980419233174518,0.12422496707865484,0.01,0.01
181,Perth,-3.4308381000000003,56.39499,0.22857116392467772,0.01,0.05063528056082829,0.09513535516547275,0.01,0.01
182,Prestatyn,-3.4076129999999996,53.33651,0.1530773105651994,0.01,0.28657019050730353,0.3633214627895086,0.059519865647839926,0.01
183,Builth Wells,-3.4045919999999996,52.15002,0.1276860472492887,0.01,0.1491201686639593,0.3880295689540513,0.37945515890632836,0.01
184,Braemar,-3.3979439,57.00646999999999,0.013579557487671307,0.01,0.01,0.013293988269014345,0.01,0.01
185,Brecon,-3.391463,51.94895,0.12896186959573602,0.01,0.3170493138638138,0.5720929535527617,0.6995977497672229,0.01
186,Merthyr Tydfil,-3.381646,51.74873,0.260030451026701,0.01,0.7660375848895263,0.9391826297739313,1.0,0.01
187,Llandrindod Wells,-3.377742,52.2417,0.11777667002097843,0.01,0.1422228146625025,0.29402653266830847,0.16483768160202558,0.01
188,Corwen,-3.369242,52.98005,0.08774899987778322,0.01,0.10253446441067757,0.2398193812564444,0.01,0.01
189,Cockermouth,-3.367985,54.66326,0.1449575613511894,0.01,0.17557735843533231,0.26327826050714115,0.01,0.01
190,Lockerbie,-3.349008,55.122240000000005,0.22033366133055476,0.01,0.2700009960096201,0.2620953111610617,0.01,0.01
191,Blairgowrie,-3.3378318,56.58941,0.17487004471317946,0.01,0.035750004152053975,0.09041927759044412,0.01,0.01
192,Elgin,-3.318485,57.64945,0.31034764602865506,0.01,0.506173434181763,0.10403594958274565,0.01,0.01
193,Newtown,-3.313106,52.51211,0.10588889228803894,0.01,0.07611756469341902,0.2644573524191935,0.01,0.01
194,Ruthin,-3.3103108,53.114869999999996,0.14920513527747728,0.01,0.22985827576548426,0.3620461756196205,0.01,0.01
195,Ruthin,-3.3103108,53.114869999999996,0.14920513527747728,0.01,0.22985827576548426,0.3620461756196205,0.01,0.01
196,Sidmouth,-3.2375599999999998,50.67865,0.16056642771611804,0.01,0.20915684820761823,0.29565323845364155,0.01,0.01
197,Barrow-in-Furness,-3.2188939999999997,54.10896999999999,0.23828948145664663,0.3312453737911323,0.21585737780356912,0.47378710041554195,0.01,0.01
198,Peebles,-3.1936419999999996,55.65306999999999,0.19433919515707782,0.01,0.0600480006810933,0.06521592460051706,0.01,0.01
199,Edinburgh,-3.1882669999999997,55.95325,0.6378777991576472,0.01,0.19475041727759482,0.2069960290362352,0.01,0.01
200,Cardiff,-3.17909,51.48158,0.497675583573127,0.01,0.7292849372074329,0.7300893921046474,0.01,0.01
201,Llangollen,-3.1716599999999997,52.96921,0.11541100734738156,0.01,0.08776711471859898,0.2874633064204541,0.01,0.01
202,Kirkcaldy,-3.158137,56.11682,0.3915005030339448,0.01,0.12425158644500961,0.14039328400865264,0.01,0.01
203,Welshpool,-3.146407,52.66035,0.15491024681790644,0.01,0.12449769657619922,0.3361088468810084,0.01,0.01
204,Mold,-3.1419029999999997,53.1672,0.22080063319314738,0.01,0.361167953013679,0.5032611846629746,0.01,0.01
205,Mold,-3.1419029999999997,53.1672,0.22080063319314738,0.01,0.361167953013679,0.5032611846629746,0.01,0.01
206,Taunton,-3.106849,51.01534,0.2581322705576235,0.01,0.30421202517492635,0.4959958207153985,0.01,0.01
207,Wick,-3.093716,58.43894,0.16442391543763937,0.01,0.2425709522926447,0.05865213158788641,0.01,0.01
208,John o' Groats,-3.0688997000000002,58.63734,0.013103128499275838,0.01,0.053177462441332174,0.01,0.01,0.01
209,Dalkeith,-3.066606,55.893119999999996,0.3229483753760543,0.01,0.0904786473257857,0.11093237361894707,0.01,0.01
210,Oswestry,-3.056412,52.85715,0.20210570345780984,0.01,0.2189475184955903,0.39974243058204706,0.01,0.01
211,Blackpool,-3.0356748,53.81751,0.3600340387855684,0.3537492539851632,0.2906805611146873,0.5681233986927352,0.01,0.01
212,Birkenhead,-3.023009,53.389990000000004,0.32507347451008733,0.1938186483907065,0.6516134816705575,0.6585556055151145,0.08894143964936249,0.01
213,Cupar,-3.010137,56.32023,0.18056966432442928,0.01,0.026986634715610688,0.09882684340303455,0.01,0.01
214,Southport,-3.010113,53.64571,0.28258455048488523,0.01,0.36252073491923975,0.5260177355896682,0.01,0.01
215,Bridgwater,-3.003632,51.12789,0.3023231381610178,0.01,0.44749849329048064,0.573160351185963,0.01,0.01
216,Langholm,-2.998913,55.153059999999996,0.09422372637905016,0.01,0.14301491302666963,0.15874573051489868,0.01,0.01
217,Newport,-2.997664,51.58415,0.34347909836684265,0.01,0.5301083145850127,0.5419282722348827,0.01,0.01
218,Axminster,-2.9949369999999997,50.78273,0.1647990327371469,0.01,0.23323642495623514,0.3636838557958115,0.01,0.01
219,Wrexham,-2.9924939999999998,53.043040000000005,0.2744034989589015,0.01,0.20567562645556217,0.5793734016488592,0.01,0.01
220,Liverpool,-2.9915726,53.40837,0.5094043540724226,0.2900702160280796,1.0,1.0,0.13311032156684896,0.01
221,Weston-super-Mare,-2.977255,51.347409999999996,0.2806734021171176,0.01,0.27934488570608157,0.4641696103523429,0.01,0.01
222,Dundee,-2.9707209999999997,56.462019999999995,0.42341810158471016,0.01,0.11493318601327208,0.1956657003580915,0.01,0.01
223,Kirkwall,-2.9622491,58.984669999999994,0.17570212405116362,0.01,0.2513299037031327,0.056624351646721,0.01,0.01
224,Ambleside,-2.961333,54.428740000000005,0.21019146034089337,0.01,0.30334776694443394,0.41345857993274776,0.01,0.01
