,placename,forget,forgetten,forgot,forgotten,longitude,latitude
35,Derry,0.01,0.01,0.2396467368002773,0.9298246,-7.308574799999999,54.99661
36,Derry,0.01,0.01,0.2396467368002773,0.9298246,-7.308574799999999,54.99661
37,Kilkenny,0.01,0.01,0.01,1.0,-7.2447879,52.65415
38,Tyrone,0.01,0.01,0.4765068614007733,0.8604651,-7.131232000000002,54.49121
39,Waterford,0.01,0.01,0.01,1.0,-7.110070200000001,52.25932
40,Monaghan,0.01,0.01,0.4878522661150449,0.8571429,-6.9683132,54.2492
41,Carlow,0.01,0.01,0.01,1.0,-6.9341358999999985,52.83651
42,Kildare,0.01,0.01,0.01,1.0,-6.8194708,53.21204
43,Dungannon,0.01,0.01,0.4553287794307313,0.8666666999999999,-6.7669352,54.50827
44,Cookstown,0.01,0.01,0.4553287794307313,0.8666666999999999,-6.7443895000000005,54.64182
45,Coleraine,0.01,0.01,0.3035525310037073,0.9111111,-6.6646103000000005,55.13258
46,Meath,0.01,0.01,0.17625629510551033,0.9483871,-6.656416900000001,53.60555
47,Armagh,0.01,0.01,0.4878522661150449,0.8571429,-6.652792,54.35028000000001
48,Armagh,0.01,0.01,0.4878522661150449,0.8571429,-6.652792,54.35028000000001
49,Magherafelt,0.01,0.01,0.3386742945167019,0.9008264,-6.607980499999999,54.75536999999999
50,Louth,0.01,0.01,0.7065446695130864,0.7931034,-6.4889423,53.925230000000006
51,Wexford,0.01,0.01,0.01,1.0,-6.4633381,52.33692
52,Craigavon,0.01,0.01,0.4268707413880791,0.875,-6.4175653,54.44293
53,Drogheda,0.01,0.01,0.4792934736005547,0.8596490999999999,-6.3560985,53.71786
54,Rosslare,0.01,0.01,0.01,1.0,-6.3414908,52.25131
55,Newry,0.01,0.01,0.7588813104344386,0.7777778000000001,-6.34023,54.1751
56,Ballymena,0.01,0.01,0.5754155100034768,0.8315018,-6.2802213,54.86529
57,Banbridge,0.01,0.01,0.5580878021207554,0.8365759,-6.2704803,54.34873
58,Dublin,0.01,0.01,0.13326696233214033,0.9609756,-6.2603097000000005,53.34981
59,Antrim,0.01,0.01,0.571230674152864,0.8327273000000001,-6.2072498,54.719530000000006
60,Antrim,0.01,0.01,0.571230674152864,0.8327273000000001,-6.2072498,54.719530000000006
61,Wicklow,0.01,0.01,0.13370175579448856,0.9608483,-6.044589,52.98082
62,Kilkeel,0.01,0.01,0.6609611578701526,0.8064515999999999,-6.007004,54.06312
63,Belfast,0.01,0.01,0.541239896951354,0.8415094000000001,-5.93012,54.59728000000001
64,Down,0.01,0.01,0.583971877892156,0.8289963,-5.7156922,54.32875
65,Balivanich,0.01,0.01,0.3189803225906587,0.9065934,-7.3743509,57.47227
66,Western Isles,0.01,0.01,0.3699546311531155,0.8916666999999999,-7.0194034,57.75989000000001
67,Dunvegan,0.01,0.01,0.2374040603740023,0.9304813,-6.5813982000000015,57.4366
68,Stornoway,0.01,0.01,0.356344284434698,0.8956521999999999,-6.384869200000002,58.20943000000001
69,Scilly Isles,0.01,0.01,0.09646797245174303,0.9717514000000002,-6.327496599999999,49.92773
70,Portree,0.01,0.01,0.2898644938103572,0.9151194,-6.1960231,57.41246999999999
71,Islay,0.01,0.01,0.7342176751874961,0.785,-6.177067,55.73625
72,Mull,0.01,0.01,0.7483678597203027,0.7808564,-6.0008870000000005,56.4392
73,Broadford,0.01,0.01,0.29455231999296244,0.9137466,-5.9096592,57.24139
74,Kyle of Lochalsh,0.01,0.01,0.2969535532874186,0.9130435,-5.7143293,57.28261
75,Campbeltown,0.01,0.01,0.7342176751874961,0.785,-5.6053739999999985,55.42412
76,Penzance,0.01,0.01,0.05723407771280881,0.9832402,-5.537592,50.1188
77,Oban,0.01,0.01,0.7427550900152577,0.7825,-5.471047,56.41516
78,Lochgilphead,0.01,0.01,0.7492017261013597,0.7806122,-5.4323449,56.03829
79,Helston,0.01,0.01,0.05723407771280881,0.9832402,-5.274996,50.10159
80,Redruth,0.01,0.01,0.05723407771280881,0.9832402,-5.226666000000002,50.23302
81,Ullapool,0.01,0.01,0.5294150993196739,0.8449721,-5.161313,57.89542
82,Ballachulish,0.01,0.01,0.7122723528217129,0.7914262,-5.1337199999999985,56.67393000000001
83,Fort William,0.01,0.01,0.7554740964759976,0.7787755000000001,-5.1052179,56.81981999999999
84,Achnasheen,0.01,0.01,0.5028170566210572,0.8527607,-5.078765799999998,57.57859000000001
85,Newquay,0.01,0.01,0.09646797245174303,0.9717514000000002,-5.0737190000000005,50.4155
86,Falmouth,0.01,0.01,0.04656770482427797,0.9863636,-5.0662699999999985,50.15257
