,placename,dont_got_any,dont_got_none,dont_have,dont_have_negc,got_none,have_none,havent,havent_got,havent_got_negc,havent_negc,not_got_any,not_got_none,longitude,latitude
34,Llangollen,0.01,0.01,0.3470630944369242,0.25930457494188736,0.11456320836407585,0.3044186489793633,0.22736787517516235,0.7832113386846306,0.01,0.01,0.3969928203159072,0.01,-3.17166,52.96921
35,Pembroke,0.01,0.01,0.3473407976166024,0.6212908460127121,0.4117382119980237,0.22305509865132536,0.1828058690342764,0.8787519388618201,0.01,0.01,0.22426438128093448,0.01,-4.9086370000000015,51.67404000000001
36,Rhyl,0.062399408424959765,0.01,0.3474405328607047,0.1495728500621829,0.3304135281425909,0.33268723224449426,0.3547449862407617,0.7209575858513552,0.1329082643075812,0.01,0.30160267070024754,0.01,-3.4916339999999995,53.31914
37,Caernarfon,0.06952683362781073,0.01,0.348139594571658,0.01,0.3681542338205701,0.3044319117909728,0.3056671908208252,0.7599075574467964,0.14808939721579184,0.01,0.285229768653023,0.01,-4.273911,53.13955
38,Prestatyn,0.06296064602518425,0.01,0.3481912921981882,0.1509181902452286,0.3333853591310123,0.3204352601510494,0.3386808842549441,0.7295667823575893,0.13410367812948776,0.01,0.3155863406319876,0.01,-3.407613,53.33651
39,Corwen,0.01,0.01,0.348663890854873,0.01,0.21024816883722028,0.33613889562767096,0.2511241829556303,0.748061339737771,0.01,0.01,0.3790919347464144,0.01,-3.369242,52.98005
40,Shrewsbury,0.01,0.01,0.3565457201456503,0.01,0.27555906308373346,0.18955410294074526,0.18982267734297176,0.8443060323381643,0.36947714216120814,0.01,0.4036922216400092,0.01,-2.7553268,52.7073
41,Gainsborough,0.01,0.01,0.3570562913952733,0.5069873082246925,0.2519907540268323,0.19489421741413832,0.2986368445120368,0.7721288745616995,0.5406017919363045,0.01,0.4732882239293319,0.01,-0.774465,53.40057
42,Lincoln,0.01,0.01,0.3599138433891317,0.5388011725496641,0.07141423642882827,0.21164014992975366,0.15103230547051422,0.8288160998066756,0.8617875363858353,0.01,0.43458117466370816,0.01,-0.540579,53.23069
43,Stoke-on-Trent,0.01,0.01,0.3682197762179022,0.01,0.22433538785565765,0.3143514951654052,0.22062444861013505,0.7196148569598425,0.4511926066193942,0.01,0.4360931494620972,0.01,-2.179404,53.00267
44,Ramsgate,0.09606404643842564,0.01,0.3692043186275701,0.01,0.12716811470073794,0.3371114795965973,0.1824878410207659,0.7607682100330927,0.2046126076635519,0.01,0.3324746706567837,0.01,1.419895,51.33555
45,Whitchurch,0.01,0.01,0.3732783660988014,0.01,0.0947675776770809,0.32469755457746946,0.1852535946456612,0.7437447235899329,0.19060048047713207,0.01,0.4245113520115121,0.01,-2.682045,52.96872
46,Market Drayton,0.01,0.01,0.37398932283886815,0.01,0.14281063671214272,0.2822824165775814,0.18928873126002727,0.7621837517458699,0.3829688544370135,0.01,0.4264801182874773,0.01,-2.483485,52.90355
47,Nantwich,0.01,0.01,0.3754771164802427,0.01,0.1929037849813072,0.3537724368117002,0.17595787943342292,0.6958363058936663,0.3581317857948109,0.01,0.4364457940105769,0.8335279456596246,-2.524102,53.06718000000001
48,Porthmadog,0.01,0.01,0.3760123927903316,0.01,0.4070974337478376,0.2312661786307447,0.2634785202840178,0.7979758136467452,0.01,0.01,0.29819757182364864,0.01,-4.133384,52.92784
49,Oswestry,0.01,0.01,0.3831324827167515,0.01,0.11725099539925304,0.3392905128909197,0.1844140086625416,0.7244132974654184,0.01,0.01,0.4261265835300423,0.01,-3.056412,52.85715
50,Doncaster,0.01,0.01,0.38478360425787145,0.34999640187543835,0.3092634178965304,0.19107905968665104,0.3301676746471773,0.7034140798127283,0.3110016646048906,0.01,0.5706925645373709,0.01,-1.128462,53.52282
51,Chesterfield,0.01,0.01,0.38828440282607657,0.3653988717392827,0.36323252515875054,0.2372815634922117,0.21324519599543806,0.6780393910812406,0.6493761837797656,0.01,0.5980814264717921,0.01,-1.421629,53.23505
52,Warrington,0.01,0.01,0.3966040606884389,0.20879709440669425,0.3151824828946472,0.24274470887128816,0.2904176839459281,0.6747648297041643,0.18553404352992425,0.01,0.5327772644097449,0.8636363693147726,-2.5969501,53.39004
53,Margate,0.01,0.01,0.3993046897982284,0.01,0.12713177522222235,0.36480356376413264,0.19117285904194448,0.7096244339873923,0.2045541198049622,0.01,0.33237964085082106,0.01,1.3868339,51.38965
54,Maldon,0.08409109803363643,0.01,0.4004562201165992,0.01,0.14100344820285488,0.29060919626028703,0.11463191956238565,0.7799066947786304,0.01,0.6496575013788483,0.3437243585141111,0.01,0.6714479999999999,51.7318
55,Crewe,0.01,0.01,0.4005747129066104,0.01,0.1820477549674777,0.3036971920161873,0.20776529566332927,0.679433315700369,0.3379771810398,0.01,0.4911833983271834,0.7866194208651979,-2.4438209,53.1004
56,Barnstaple,0.01,0.01,0.4056534328367774,0.4970071134137318,0.3568214316277826,0.236211607825992,0.22181890497847925,0.7974642594865532,0.01,0.01,0.23043913374686856,0.01,-4.058338,51.07816
57,Welshpool,0.01,0.01,0.4057517955775197,0.01,0.24260102419506496,0.27907894771919634,0.211490300153254,0.7626356447431711,0.01,0.01,0.3046362396664277,0.01,-3.146407,52.66035
58,Rotherham,0.01,0.01,0.4098089155073206,0.34110257087308704,0.3390802491331455,0.17095757499820052,0.2998803933790196,0.6999886018960761,0.3030987543785829,0.01,0.5646820601348571,0.01,-1.3635008999999998,53.4326
59,Newcastle-under-Lyme,0.01,0.01,0.4098112030129196,0.01,0.21135685652568964,0.3013217491449152,0.19780359670472508,0.6943341950273024,0.42508959520497597,0.01,0.4331932411600855,0.01,-2.2273002,53.01321
60,Southport,0.05261014922104405,0.01,0.41189466311218814,0.12610780255022666,0.2925069596550836,0.26500017328296577,0.2497593746971007,0.7156062717991256,0.11205753058285216,0.01,0.3786052039777959,0.01,-3.010113,53.64571
61,Sheffield,0.01,0.01,0.41262437739816377,0.34539346025659,0.34334571218172266,0.17258843429509824,0.294986919961473,0.6942380518695359,0.30691159380362915,0.01,0.5717854870037034,0.01,-1.470085,53.38113000000001
62,Faversham,0.07282184282912874,0.01,0.41294371317973816,0.01,0.1349606421652885,0.3168578999704086,0.1419027258970167,0.7613691047691341,0.15510763608822178,0.01,0.2781066489185065,0.01,0.889358,51.31599
63,Canterbury,0.0733944960293578,0.01,0.4139488431397934,0.01,0.1360219150629407,0.3137859928714053,0.14376667699929355,0.7632517571069092,0.15632736468523492,0.01,0.2737242148927305,0.01,1.0789089,51.28023
64,Pwllheli,0.01,0.01,0.4141377911022437,0.01,0.4550729289299433,0.26755643026426984,0.27088146056592155,0.7089025036827162,0.01,0.01,0.3333394605373129,0.01,-4.417633900000001,52.88882
65,Magherafelt,0.01,0.01,0.4157578025672217,0.01,0.01,0.4503766905086254,0.6146763971821703,0.5958299870509073,0.01,0.01,0.06961719136767924,0.01,-6.607980499999999,54.75536999999999
66,Clacton,0.07668314643067327,0.01,0.4191465133610912,0.01,0.11504691929290935,0.2358469804776745,0.17546565124204488,0.7786069481269368,0.01,0.5924263585344489,0.3614903804343608,0.01,1.153035,51.78953
67,Newtown,0.01,0.01,0.4228161298424781,0.01,0.42890903814871295,0.2454775811830695,0.13335523433204935,0.7897642406509596,0.01,0.01,0.2570518477559773,0.01,-3.313106,52.51211
68,Craigavon,0.01,0.01,0.4234662389336203,0.01,0.01,0.7427667024784795,0.7392547145433723,0.3486593320388608,0.01,0.01,0.01,0.01,-6.4175653,54.44293
69,Worksop,0.01,0.01,0.4243185635196841,0.346284474291853,0.3059835242052952,0.17152694283528253,0.25644148930021177,0.6942010155902075,0.46155499481481604,0.01,0.5732605331677668,0.01,-1.122745,53.3093
70,Wigan,0.1008605136403442,0.01,0.42864835411684665,0.01,0.4183551551086368,0.2295284837207319,0.23163366374128325,0.6376604741671699,0.21482889250833329,0.01,0.5747702358280963,1.0,-2.6325074,53.54506
71,Leitrim,0.01,0.01,0.4295747938843084,0.01,0.6037895982446031,1.0,0.7373669684511245,0.07966559111967778,0.01,0.01,0.01,0.01,-8.0020132,54.12469
72,Ashbourne,0.01,0.01,0.4301041226798404,0.22954589010212104,0.20283109001177627,0.2755186492459525,0.1990962840658169,0.6725211366298074,0.6119133595322201,0.01,0.4671481565305592,0.01,-1.732179,53.016630000000006
73,Skegness,0.01,0.01,0.4350378147550519,0.1811516181231272,0.12005171503657346,0.11938043342068574,0.14281303758164166,0.8615888231261178,0.01,0.01,0.3754255039034181,0.01,0.337881,53.1464
74,Dover,0.01,0.01,0.4366075010968594,0.01,0.1264877169004284,0.3211179283888151,0.18681576946726847,0.7237275972081397,0.2035178344670865,0.01,0.27082843734071865,0.01,1.3134027,51.12788
75,Chelmsford,0.08481992403392798,0.01,0.4370087295788657,0.01,0.14222555776429208,0.2424526604267027,0.16289438394387673,0.7767794218974405,0.01,0.01,0.30874322469595666,0.01,0.4685497,51.73559
76,Llanidloes,0.01,0.01,0.44358576567616176,0.01,0.34939412259418856,0.245016248610404,0.10559479088420068,0.7769489321609242,0.312318169227328,0.01,0.255930070188901,0.01,-3.540195,52.44779000000001
77,Cromer,0.01,0.01,0.4448525862767053,0.01,0.32881103275463563,0.2153129490361469,0.12124629816956126,0.7915508506099598,0.01,0.01,0.2930659201971851,0.01,1.301866,52.93145
78,Burton upon Trent,0.01,0.01,0.4468980737830356,0.2486825971299329,0.27467579580789203,0.28203422205278994,0.27412116684866056,0.6513627889497449,0.4419514176122204,0.01,0.3760876043324707,0.01,-1.6371359,52.81403
79,Holt,0.01,0.01,0.4479718289110519,0.01,0.3266160303981295,0.21332559336086315,0.16074132064708765,0.7842694173150199,0.01,0.01,0.27103301848622496,0.01,1.086747,52.90936
80,Middlesbrough,0.01,0.01,0.44922995699032003,0.2294804916210008,0.5238310030105278,0.21072534916517605,0.2543462116459489,0.7201498926250236,0.20391300771048526,0.01,0.2799233954743343,0.01,-1.234956,54.57423000000001
81,Retford,0.01,0.01,0.4501628017734573,0.4174354847406698,0.2628083985205162,0.14619237341679353,0.2576908182646296,0.7191180165323904,0.4451124636177429,0.01,0.4832141770852705,0.01,-0.945503,53.32136
82,Sheringham,0.01,0.01,0.4510261063863955,0.01,0.3266160303981295,0.21332559336086315,0.1402715885335991,0.7876332184889542,0.01,0.01,0.27103301848622496,0.01,1.2109589,52.94442
83,Dolgellau,0.01,0.01,0.4604460544417185,0.01,0.4193217318621523,0.2749701420120552,0.17788757339458872,0.6851254643014106,0.01,0.01,0.3386545794174935,0.01,-3.8844,52.74215
84,Folkestone,0.01,0.01,0.4622865814464082,0.01,0.12111476710086044,0.317769968195911,0.17483923893196435,0.6956426590617496,0.1948727779041923,0.01,0.2920808979733817,0.01,1.169456,51.0814
85,Colchester,0.07190242082876097,0.01,0.4629106129737256,0.01,0.1840210731612891,0.21017510910162115,0.15203376484545972,0.7492006966246999,0.01,0.5554921513364971,0.3646969521878409,0.01,0.891874,51.89593
86,Felixstowe,0.01,0.01,0.4630355107794127,0.01,0.2381419433374568,0.2337122009869132,0.1482994386068868,0.7018396096305614,0.01,0.7188631444700024,0.446968976625424,0.01,1.351255,51.96173
87,Kidderminster,0.01,0.01,0.4634962144069846,0.2964922292389119,0.3364884481379153,0.2864422741123248,0.20259660068330265,0.6893376230246939,0.16795490841953567,0.01,0.26875787446774657,0.01,-2.2496839,52.3886
88,Lowestoft,0.01,0.01,0.4652827562795462,0.01,0.2983358653839824,0.21291684550357368,0.1198892324818662,0.7623535643463278,0.01,0.7914069599908424,0.3117491806434823,0.01,1.7534490000000005,52.48114
89,Reeth,0.01,0.01,0.4687803523399123,0.01,0.4901585397596594,0.16857413445158606,0.2615547750703448,0.7343950030551151,0.2628872333689889,0.01,0.2761842802731348,0.01,-1.9428115,54.38946
90,Stockton,0.01,0.01,0.4688105474138146,0.2371846662629733,0.4366267516562707,0.1883773116614104,0.23296806899394146,0.7289471427291534,0.21075880669882607,0.01,0.2893210396900159,0.01,-1.3289821000000002,54.57046
91,Dudley,0.01,0.01,0.4716859419513429,0.31145487015522194,0.3792702000797422,0.2946174311999979,0.25467740969579,0.6584065853830352,0.17643081716502176,0.01,0.2488842963797516,0.01,-2.081112,52.51225
92,Down,0.01,0.01,0.4719183525201678,0.01,0.25272252526372146,0.6093278886936865,0.2533202980126247,0.3554760734045955,0.01,0.01,0.5126356853068458,0.01,-5.7156922,54.32875
93,Bridgend,0.08004545643201819,0.01,0.4728159697170858,0.1918708882567483,0.2543110986727595,0.16078673132342866,0.2275080080413575,0.7972709653811063,0.01,0.01,0.2065820179502305,0.01,-3.576945,51.50429000000001
94,Ashford,0.01,0.01,0.4740191976619863,0.01,0.12177795146397835,0.3150952123249508,0.17631751801573586,0.6891336967356576,0.1959398548005364,0.01,0.2772122024484274,0.01,0.8750190000000001,51.14647
95,Walsall,0.01,0.01,0.4742497782263322,0.3135464537210508,0.38181716607577576,0.292349223825608,0.2256905583595588,0.6600312938924,0.17761563912021522,0.01,0.26811799768421457,0.01,-1.982919,52.58621
96,Ipswich,0.01,0.01,0.4743023908551013,0.01,0.22605695397064626,0.20817455726202247,0.14879668030452808,0.7094193487399552,0.01,0.8603960277621617,0.44525466725615537,0.01,1.14822,52.05674000000001
97,Leicester,0.01,0.01,0.4750362226511549,0.2550886682996689,0.1690508982211714,0.1902876230642293,0.12500573793492056,0.7614280100895894,0.01,0.01,0.3810130086790997,0.01,-1.1397592,52.63688000000001
98,Harwich,0.01,0.01,0.4757878969908784,0.01,0.1975134278153844,0.1990222841893957,0.17719869923583434,0.7253661628288179,0.01,0.7517563883343381,0.3977434002971917,0.01,1.260297,51.93473
99,Bromsgrove,0.01,0.01,0.4790173973950803,0.3271408408239226,0.3300191313788239,0.26840231772631423,0.21347928227564253,0.6844771026604344,0.16472580251371474,0.01,0.26359071974427084,0.01,-2.061906,52.33559
100,Tywyn,0.01,0.01,0.481163992648872,0.01,0.5366119134065365,0.13589596623914652,0.3364626453767332,0.7108357974636548,0.01,0.01,0.3124374775762642,0.01,-4.087249,52.58701
101,Wolverhampton,0.01,0.01,0.4814000632266554,0.3117803725707978,0.3796665984059734,0.2790284290699504,0.21052947011041093,0.675324707390718,0.2285608898685252,0.01,0.24041273413414674,0.01,-2.12882,52.58697
102,Sevenoaks,0.01,0.01,0.4819499795725752,0.3292423710799218,0.4444684285991073,0.22222887214116432,0.2029266488463861,0.7213250764433844,0.1950399755299252,0.35371749917357376,0.2090033577373542,0.01,0.190898,51.27241
103,Birmingham,0.01,0.01,0.4823132354616438,0.3107638369433845,0.3526852695143889,0.2850804699434032,0.2405907909647848,0.6573837290101295,0.1760393832799726,0.01,0.2613869548451898,0.01,-1.890401,52.48624
104,Great Yarmouth,0.01,0.01,0.4848194265955471,0.01,0.3015227086602181,0.20438839110765145,0.12218607761882802,0.751196574159279,0.01,0.01,0.3150792869342661,0.01,1.728047,52.59823000000001
105,Boston,0.01,0.01,0.4849004042937395,0.4792906487702488,0.12705309157779876,0.01,0.13114280621492025,0.8781085657809167,0.01,0.01,0.4295352567760438,0.01,-0.026577,52.97894
106,Hunstanton,0.01,0.01,0.4870497445542501,0.01,0.2608465559514992,0.1666926813272942,0.1546279553661183,0.7848325199292975,0.01,0.01,0.2743558482210393,0.01,0.491032,52.93891
107,Sligo,0.01,0.01,0.487280325118596,0.01,0.01,0.8981410070139613,0.6510303429971147,0.18989750071124767,0.01,0.01,0.01,0.01,-8.476088800000001,54.27661
108,Braintree,0.08209806363283922,0.01,0.4880004318810568,0.01,0.16664292961848085,0.23188373246176444,0.14212716846028053,0.7263000817418398,0.01,0.6342600169427536,0.31353251729632764,0.01,0.5509269,51.88009
109,Hereford,0.01,0.01,0.4914069852185965,0.01,0.3008854111716364,0.13479255363107795,0.2589286636932947,0.7773452959339808,0.500816432536912,0.01,0.1964286329472948,0.01,-2.715974,52.0564
110,Bishop's Stortford,0.01,0.01,0.4938427211800602,0.7226559144690958,0.1845815551304138,0.3011530648424858,0.131855030740766,0.7023675403768509,0.01,0.01,0.21587888209129308,0.01,0.1536502,51.87216
111,Barnsley,0.01,0.01,0.4951191493041182,0.2979835884444589,0.2962169224011135,0.13084929980352378,0.30667188521051536,0.679428377529792,0.1323919286969846,0.01,0.4599190643370958,0.01,-1.479726,53.55263000000001
112,Longford,0.01,0.01,0.4953332598281538,0.01,0.50930344024998,0.9486925800234064,0.7241275096240156,0.06108567393380612,0.01,0.01,0.01,0.01,-7.7932573,53.72763000000001
113,Horncastle,0.01,0.01,0.4972959396318126,0.15291437417942322,0.050669242425509416,0.09775691865564416,0.1115451788820568,0.8216345888816787,0.2038162137933944,0.7392675598290052,0.3597306794307673,0.01,-0.11245,53.20731
114,Darlington,0.01,0.01,0.4993190095832761,0.24522481352070105,0.3972563293408241,0.18556073034771225,0.24720216453456714,0.7059419696427475,0.21790318182180893,0.01,0.2625005491062965,0.01,-1.559458,54.52361
115,Mansfield,0.01,0.01,0.4994539724135977,0.21155764322398246,0.2336704083134052,0.23949611979451305,0.12502727914684664,0.6408600055851718,0.5639611341470296,0.01,0.4818892138353744,0.01,-1.198674,53.1472
116,King's Lynn,0.01,0.01,0.5036762502476224,0.01,0.19231923978344687,0.12007576464441007,0.13689110544808072,0.7983565566761395,0.01,0.01,0.32509205050064577,0.01,0.4022963,52.75168000000001
117,Stevenage,0.12571713845028687,0.01,0.5040404211389311,0.6026939583441475,0.18306468213675767,0.19396295476781414,0.19169608818030792,0.7523666182490798,0.01,0.01,0.19879710905904946,0.01,-0.196612,51.90376
118,Melton Mowbray,0.01,0.01,0.5048245780581547,0.17227808320112356,0.228342249033868,0.2359960704755152,0.12131903233993645,0.6663684784277025,0.15308378442101725,0.01,0.4374491181485581,0.01,-0.887126,52.7664
119,Taunton,0.01,0.01,0.5054024019723794,0.01,0.5407496767699016,0.1957725621086137,0.2388268493467739,0.7254119668803953,0.01,0.01,0.1485365294846296,0.01,-3.106849,51.01534
120,Cookstown,0.01,0.01,0.5071752188113485,0.01,0.01,0.2502989797632155,0.962236890961329,0.5306903270207725,0.01,0.01,0.07407543600912095,0.01,-6.7443895000000005,54.64182
121,Tunbridge Wells,0.01,0.01,0.5072410989725901,0.4173377494489957,0.2458450231994433,0.15708600700063186,0.15556476044163875,0.7761493516433979,0.2472268006003441,0.01,0.2233692972287658,0.01,0.263695,51.13238
122,Yeovil,0.01,0.01,0.5082823715211047,0.4385117963517071,0.29060796614744056,0.26435302805317923,0.17199409712532304,0.704621412129336,0.01,0.01,0.18012026954558755,0.01,-2.633308,50.94206
123,Bideford,0.01,0.01,0.5083391016599518,0.4494001602182248,0.1737305957414935,0.2189161017197669,0.2342337723457877,0.7277191507193149,0.09983260198759956,0.01,0.1831942768550482,0.01,-4.206666,51.01668
124,Bridport,0.01,0.01,0.5093963867476566,0.2984068261517089,0.2636779217341039,0.2322027064133359,0.22298094987208208,0.720097235602033,0.01,0.01,0.16714316579660446,0.01,-2.758301,50.73358
125,Machynlleth,0.01,0.01,0.5103754391438876,0.01,0.4049013638913505,0.23728902798919785,0.15299097657797206,0.6519541600711015,0.01,0.01,0.3878470932046836,0.01,-3.853485,52.59027
126,Spalding,0.01,0.01,0.510547002063788,0.3155132002847411,0.06969836364707098,0.01635937820740108,0.14111358161299806,0.8564145273722291,0.01,0.01,0.3887944710180423,0.01,-0.1537024,52.7901
127,Dereham,0.01,0.01,0.5112524687904173,0.01,0.3383435851880108,0.207753612949836,0.18297773877498186,0.7154640726423032,0.01,0.01,0.2551679866628413,0.01,0.937827,52.68162
128,Brentwood,0.07809110403123645,0.01,0.5113572365468365,0.06239542635883365,0.19641403627258186,0.2622397756385478,0.1839973203652273,0.6832750108513779,0.01,0.01,0.2586212876476453,0.01,0.30717490000000003,51.62047000000001
129,New Romney,0.01,0.01,0.5122534812403956,0.01,0.12490897338704755,0.27809456717913994,0.16033370878924688,0.6717051795261836,0.20097768297261884,0.01,0.3012311167301274,0.01,0.939473,50.98512
130,Ballymena,0.01,0.01,0.5124337366815709,0.01,0.01,0.6223856932251693,0.5392900359982017,0.3726543059890032,0.01,0.01,0.10370560951053052,0.01,-6.2802213,54.86529
131,Scunthorpe,0.01,0.01,0.512947510439032,0.3901375788330567,0.15512980888725758,0.14867778432402315,0.20936731789404409,0.7201377487565637,0.41600465412348697,0.7544511166763795,0.3379826310518745,0.01,-0.654413,53.58865
