index,placename,longitude,latitude,a_load_of,a_lot_of,bare,loads_of,lots_of
96,Girvan,-4.8542179,55.240159999999996,0.01,0.6979822307838531,0.01,0.3711731427026515,0.22247173473310036
97,Wadebridge,-4.836456,50.51665,0.40867352937926515,0.18926413746321116,0.19851612189816484,0.32088756568367544,0.8049460464547366
98,Invergarry,-4.800261,57.07095,0.2871381849994234,0.2970220355796179,0.01,0.20042687429664466,0.5770780495474938
99,St Austell,-4.7834252,50.340379999999996,0.4071515190774354,0.21119757385900445,0.19777679744001878,0.31286973436178894,0.798215706472724
100,Greenock,-4.7719830000000005,55.956480000000006,0.20705478971289185,0.5493956210218784,0.01,0.39842136240047843,0.4457132607457108
101,Helensburgh,-4.734014,56.00232,0.2019014714169297,0.5166516997674692,0.01,0.3837097707475068,0.4232088641433925
102,Bodmin,-4.7188629,50.4715,0.4125893596059901,0.17128032940232998,0.20041826490327913,0.33705714443192764,0.8031834332460097
103,Tenby,-4.703579,51.672740000000005,0.6826694992618532,0.3436321748110096,0.0668466162796077,0.6874612387900751,0.3959375104028665
104,Camelford,-4.682364,50.62206,0.4225334884626346,0.11009639682268553,0.20524869840846283,0.30433630541915185,0.84339026346727
105,Irvine,-4.6696364,55.61156999999999,0.01,0.6987120188839158,0.01,0.5259494133258816,0.23332829640140046
106,Cardigan,-4.660864,52.0837,0.5035284397177627,0.35417377693189595,0.05274512286768749,0.42034299560807764,0.5293555190460452
107,Holyhead,-4.633038,53.30944,0.6888199761908019,0.30327100448609606,0.1772941680838359,0.24383328583043698,0.6622585090019042
108,Ayr,-4.629179,55.45856,0.01,0.6553439424252515,0.01,0.541764872020015,0.289867877753354
109,Dumbarton,-4.564554,55.94529,0.2929046565015483,0.5521722467052531,0.04768658298224239,0.3949430561211865,0.4161667082015689
110,Bude,-4.543678,50.826640000000005,0.29623207403181406,0.14730741717549264,0.2038539048419016,0.39261670695027057,0.8216924826153785
111,Isle of Man,-4.5126330999999995,54.27697,0.3466093119723497,0.6408264523839403,0.01,0.30863924560650297,0.38727391968045227
112,Kilmarnock,-4.498792,55.61472,0.01,0.6244345841952026,0.01,0.5877327436538363,0.2773707373283607
113,Newton Stewart,-4.483164,54.9603,0.02223324820827716,0.7318292294279347,0.01,0.36704702095790803,0.15702211743537103
114,Liskeard,-4.4647190000000005,50.45552,0.3675570257591503,0.16594146201255178,0.16555850318460577,0.3139373951742087,0.8460647107237287
115,Altnaharra,-4.442655,58.28023,0.3375128268252135,0.3283334918573487,0.01,0.136294252011166,0.5699991554019799
116,Pwllheli,-4.417633900000001,52.888819999999996,0.6239473290475559,0.32805829825979127,0.05404696994643243,0.2529510229130542,0.6405695264049092
117,Lairg,-4.402414,58.022059999999996,0.34538637766968516,0.3526696969065715,0.01,0.1506117808356667,0.5319520824755536
118,Launceston,-4.360451599999999,50.636829999999996,0.3129668686170746,0.1565015316991282,0.19579095831431992,0.3593684672810644,0.8192668151947358
119,Carmarthen,-4.312131,51.857620000000004,0.6567701940576451,0.36267984625332517,0.06623029069677062,0.6478147635972701,0.43792784623728526
120,Llangefni,-4.311401999999999,53.255790000000005,0.6943331963535707,0.32803917764045387,0.17871320563220225,0.27467738185257556,0.658345569103358
121,Caernarfon,-4.273911,53.13955,0.7252902105346966,0.2912323230666906,0.09334058902350807,0.28638726193933695,0.6955791644569181
122,Cumnock,-4.265828900000001,55.45355,0.1064956135936704,0.5720251764814487,0.01,0.6132639803137307,0.268891038451108
123,Aberaeron,-4.2581619,52.24279,0.5708075390774481,0.3367986238137885,0.01,0.2909692786519806,0.6112179532700289
124,Alness,-4.256825,57.69595,0.3814502953454228,0.41923545216179653,0.01,0.21619194299765318,0.6158456096216791
125,Glasgow,-4.251806,55.86424,0.26110750505190616,0.6218848950978663,0.0752160223398055,0.43937911308471905,0.45191674753544897
126,Dalwhinnie,-4.242783,56.9366,0.28527095777573214,0.3307498442541006,0.01,0.23958156532450625,0.5149537817023102
127,Inverness,-4.224721,57.47776999999999,0.3837768726302074,0.45275349064775966,0.01,0.25814563879123026,0.6416571753146428
128,Saltash,-4.21643,50.409209999999995,0.2518684120762104,0.20230314436200877,0.1527197340334636,0.3632029799810709,0.7789991270415239
129,Bideford,-4.206666,51.01668,0.16993264323137214,0.1120603239430015,0.12757110762876675,0.5098360222009547,0.8389491571217824
130,Invergordon,-4.1728819999999995,57.688109999999995,0.3816736483720602,0.4202457909769363,0.01,0.21659809732701457,0.6165689273844117
131,Llanelli,-4.160248,51.680890000000005,0.6719803506871104,0.3973249373488304,0.2032923572024629,0.6252867113904259,0.407486008246276
132,Plymouth,-4.1426565,50.37546,0.25559150391113317,0.24963435437215234,0.1549772244548863,0.3756295046852329,0.8470732274069431
133,Tavistock,-4.141654,50.551120000000004,0.2671339884393494,0.2162755956704792,0.20825482646959662,0.3589701557649828,0.7756829976152633
134,Porthmadog,-4.1333839999999995,52.92784,0.6431627917824779,0.3037739213251922,0.09989636377155771,0.31200742783036883,0.6585549616752967
135,Bangor,-4.129263,53.22739,0.7017761586202127,0.3515646313218703,0.18062893665738824,0.2574001319786149,0.6792047561555705
136,Tywyn,-4.087249,52.58701,0.4473952962110616,0.28511109476099045,0.01,0.29267425353966015,0.6534400801943246
137,Aberystwyth,-4.08292,52.4153,0.43260009938153327,0.3322874931805083,0.01,0.3331889113025023,0.7037003582111651
138,Lampeter,-4.0785089999999995,52.1129,0.5189805341440238,0.3344796366957263,0.02337640983217382,0.3533257732597718,0.59533257783658
139,Barnstaple,-4.058338,51.07816,0.1396852610618145,0.13840902717820988,0.2696500886376867,0.4703538019990095,0.8511955245492373
140,Tain,-4.05523,57.8115,0.36625261536001846,0.4163195745460235,0.01,0.20398459123387425,0.575350098221676
141,Okehampton,-4.004263,50.73831,0.1645873153225689,0.15003897074417827,0.17727927998288998,0.4480069877784648,0.7761051628360041
142,Llandeilo,-3.9914300000000003,51.88469,0.6433768722573804,0.38821659779929824,0.02264030438133838,0.5960769533851443,0.4194373669854541
143,Motherwell,-3.9810968,55.78321,0.28577547622830635,0.5747110663802442,0.05516643656993016,0.4512383800417572,0.41099776113675496
144,Golspie,-3.976086,57.97341,0.3494625326587967,0.3408413384964813,0.01,0.15802407923353984,0.5413800314391142
145,Airdrie,-3.9625660000000003,55.86626999999999,0.23353939859482534,0.6042930047928651,0.09740094397654751,0.3660723112593655,0.39800811841186845
146,Swansea,-3.9436459999999998,51.62144,0.8015202497770278,0.4057564117576349,0.154097451837039,0.6651999971061647,0.4395731390711641
147,Stirling,-3.9369029,56.116519999999994,0.10070121250624486,0.44343208178052057,0.07559798385228558,0.43814312189122756,0.5814914886870599
148,Tregaron,-3.934385,52.22,0.3941851222267805,0.20714401465124344,0.01,0.33850506980112355,0.770694676063195
149,Tregaron,-3.934385,52.22,0.3941851222267805,0.20714401465124344,0.01,0.33850506980112355,0.770694676063195
150,Castle Douglas,-3.9314139999999997,54.940419999999996,0.3377568353137896,0.5791629142901304,0.01,0.26325874563533264,0.3782547247738355
151,Dolgellau,-3.8844,52.74215,0.4589635775724,0.3160100392112877,0.01,0.31013631669809477,0.6140574761188122
152,Aberfeldy,-3.866969,56.62175,0.06756722825901139,0.41648625596471234,0.01,0.2720833278244196,0.6247694257156455
153,Machynlleth,-3.853485,52.59027,0.43885407306863333,0.277396932344132,0.01,0.27797180330613275,0.7102169024640205
154,Brora,-3.8525480000000005,58.012159999999994,0.44397923377160153,0.37617165553575155,0.01,0.17235955295203065,0.6085271489722461
155,Llandudno,-3.827609,53.324059999999996,0.5410535500462101,0.31457651825869204,0.16807341004855494,0.2770556786285603,0.7066644245943907
156,Llandudno,-3.827609,53.324059999999996,0.5410535500462101,0.31457651825869204,0.16807341004855494,0.2770556786285603,0.7066644245943907
157,Aviemore,-3.823812,57.19449,0.3746143826880705,0.44317780568041076,0.01,0.20902157701677973,0.5758672708430866
158,Dalbeattie,-3.8225269999999996,54.934219999999996,0.32687093028671,0.5484762093722285,0.01,0.2879848440572545,0.35983355356028923
159,Falkirk,-3.7839131,56.00188000000001,0.08770936643453513,0.4892071957570596,0.01,0.5170772171788868,0.49617006609717296
160,Kingsbridge,-3.777493,50.28395,0.22138070978170601,0.2080266836040564,0.13475187499481514,0.3795211012500211,0.7757168763762627
161,Pitlochry,-3.729711,56.70436,0.106082480443974,0.4408882670091024,0.01,0.346302418287395,0.5021040265390155
162,Colwyn Bay,-3.72764,53.29318000000001,0.5736566328886625,0.3174316488326522,0.17820126365563796,0.2975219995449137,0.6735263634348151
163,Totnes,-3.685797,50.43374,0.22482076094688072,0.2115345109317509,0.13684579661775545,0.3851586897743714,0.7735233945784203
164,Grantown-on-Spey,-3.609628,57.33041,0.45748821695958575,0.41213522167083877,0.01,0.14518639224208693,0.5914223875461673
165,Dumfries,-3.60512,55.070859999999996,0.4512058083687689,0.5847456731220131,0.01,0.41760254892653137,0.3517895872343451
166,Whitehaven,-3.589233,54.5497,0.33227399767957455,0.5495371648683177,0.01,0.2904860687071513,0.4569882148282078
167,Dartmouth,-3.578807,50.35252,0.22235724601935541,0.20210431428102005,0.13534628181185793,0.375706435374365,0.7625523031790146
168,Bridgend,-3.576945,51.504290000000005,0.7417905111536975,0.326709425489779,0.30374934615939053,0.7085773542967756,0.4483838476933586
169,Paignton,-3.564235,50.43508,0.22723555363463008,0.23335638581388973,0.13831565196534742,0.3594971453733029,0.817002446805924
170,Workington,-3.5427519999999997,54.64357,0.36392350737084933,0.5221419381077362,0.01,0.2902241042780748,0.48402564079831645
171,Llanidloes,-3.5401949999999998,52.447790000000005,0.5094021341714515,0.18197126322175375,0.06555706284434208,0.30427136874204697,0.7737496894897402
172,Exeter,-3.533899,50.71841,0.11717652263964463,0.2751582718840889,0.06089971838344456,0.39112552324133043,0.8523806808060799
173,Torquay,-3.525315,50.46192,0.10430245466973986,0.2332030614755283,0.12648702638052411,0.3827277227949292,0.8244063810087711
174,Thurso,-3.5220800000000003,58.59356999999999,0.35853696821274267,0.4373145938940749,0.01,0.17452540687875928,0.609942203234344
175,Livingston,-3.518068,55.90071,0.1210488420028735,0.5532079677688106,0.045436635857110184,0.4744181113175846,0.4302233850629897
176,Rhyl,-3.4916339999999995,53.319140000000004,0.33541931251394647,0.28035880482442405,0.22382626906394285,0.2892244330894906,0.7412944649138257
177,Tiverton,-3.491207,50.90205,0.16185470898005724,0.14869809083821037,0.0792436135388976,0.43412399061048607,0.8455173055743489
178,Tiverton,-3.491207,50.90205,0.16185470898005724,0.14869809083821037,0.0792436135388976,0.43412399061048607,0.8455173055743489
179,Minehead,-3.481152,51.20428,0.8227143150610058,0.17452770855074246,0.3135632458067203,0.48123242957595974,0.6373493841199572
180,Dunfermline,-3.452151,56.071740000000005,0.15222334544686633,0.49599209576352693,0.0167233832288154,0.32815845052516845,0.5737625065815833
181,Perth,-3.4308381000000003,56.39499,0.27430278801429836,0.5353816350765258,0.01,0.5104112365238447,0.34749088179862253
182,Prestatyn,-3.4076129999999996,53.33651,0.3681908687613786,0.315359785308486,0.3517903129929739,0.33449433157351177,0.6265727906612232
183,Builth Wells,-3.4045919999999996,52.15002,0.4793157826976245,0.01,0.0899574727700112,0.5741970209993977,0.8801492181898493
184,Braemar,-3.3979439,57.00646999999999,0.11578907327337072,0.475109158752986,0.01,0.35826578240827284,0.29592336959625076
185,Brecon,-3.391463,51.94895,0.568738287432323,0.029413540627648088,0.09488017330626898,1.0,0.6169519653575781
186,Merthyr Tydfil,-3.381646,51.74873,0.5882806554677541,0.2563261647988924,0.08832630835286699,0.9640298186644195,0.4615054842759427
187,Llandrindod Wells,-3.377742,52.2417,0.4099959274817063,0.2067984986853114,0.10552813396518161,0.3170364288560093,0.7657045091732779
188,Corwen,-3.369242,52.98005,0.35747999593544366,0.3294939805704097,0.09471735938164613,0.2489329064678249,0.6323557396538702
189,Cockermouth,-3.367985,54.66326,0.30624483793911694,0.5319756516565245,0.01,0.2525733169355317,0.4595346942502906
190,Lockerbie,-3.349008,55.122240000000005,0.3747931952529218,0.48342224346205703,0.01,0.4478599836267259,0.44661602349681345
191,Blairgowrie,-3.3378318,56.58941,0.08484581048226825,0.48255267119693557,0.01,0.4292071961943392,0.4439205283163033
192,Elgin,-3.318485,57.64945,0.4702694930345115,0.4998786460605518,0.01,0.14734271824059175,0.6209450360341249
193,Newtown,-3.313106,52.51211,0.5094004888910693,0.16310600782588583,0.07822124147907651,0.1346170719639272,0.8981555729214521
194,Ruthin,-3.3103108,53.114869999999996,0.45831189315864773,0.34329010764887125,0.1795105801038428,0.24445603748654748,0.6569293221013467
195,Ruthin,-3.3103108,53.114869999999996,0.45831189315864773,0.34329010764887125,0.1795105801038428,0.24445603748654748,0.6569293221013467
196,Sidmouth,-3.2375599999999998,50.67865,0.11026259874647615,0.22292537829425663,0.05730637063587289,0.3809653819852478,0.7842177820106118
197,Barrow-in-Furness,-3.2188939999999997,54.10896999999999,0.3627611368777137,0.4109197672599353,0.29550755164338344,0.2980116726978888,0.5985124991289579
198,Peebles,-3.1936419999999996,55.65306999999999,0.08867608634112141,0.4249390375566177,0.01736622587827872,0.2689848763768696,0.6109080908138197
199,Edinburgh,-3.1882669999999997,55.95325,0.09427333579546736,0.5421937416321798,0.018462384863293376,0.2858832775115721,0.648064293631217
200,Cardiff,-3.17909,51.48158,0.5461272668707061,0.384862141965983,0.3445799470191025,0.48809061860542063,0.6045759049785757
201,Llangollen,-3.1716599999999997,52.96921,0.30645623136673583,0.3449849784954835,0.11268319017618415,0.3603660302814964,0.5831157878535695
202,Kirkcaldy,-3.158137,56.11682,0.1520414161546365,0.5016144427410395,0.016703396496545866,0.3092307031728506,0.5948538826942747
203,Welshpool,-3.146407,52.66035,0.32550962133573397,0.20596650375337386,0.17454656616543227,0.0514552017032198,0.9455175861052343
204,Mold,-3.1419029999999997,53.1672,0.382945563692652,0.3842781785133279,0.10297907622587002,0.4218448849720925,0.5836685281324698
205,Mold,-3.1419029999999997,53.1672,0.382945563692652,0.3842781785133279,0.10297907622587002,0.4218448849720925,0.5836685281324698
206,Taunton,-3.106849,51.01534,0.4371374099128935,0.11419179062328544,0.09683584698596769,0.28329252143038647,0.9948131236424231
207,Wick,-3.093716,58.43894,0.44848227832122645,0.44490963049817245,0.01,0.14261796323030348,0.6004448401246395
208,John o' Groats,-3.0688997000000002,58.63734,0.4259807778063153,0.3570491138605958,0.01,0.11150742238502467,0.5392389823756297
209,Dalkeith,-3.066606,55.893119999999996,0.0925935811566823,0.47790203054183444,0.018133424425110675,0.23921193411159763,0.6384213443456606
210,Oswestry,-3.056412,52.85715,0.41314412983282,0.257172209039156,0.09625462540747184,0.12268942669946568,0.8816570974149874
211,Blackpool,-3.0356748,53.81751,0.23714862795375358,0.3288239580572327,0.3974650128846138,0.5618307734338874,0.6034447843495611
212,Birkenhead,-3.023009,53.389990000000004,0.974656357797226,0.3896258524000301,0.6656943008607772,0.7161394953350025,0.3095210549421754
213,Cupar,-3.010137,56.32023,0.22359897303814003,0.4948556310720346,0.01,0.4602947683713668,0.3998587715100804
214,Southport,-3.010113,53.64571,0.3481159816284205,0.2473925485182635,0.6119090163988924,0.5522986683806645,0.6263042382228049
215,Bridgwater,-3.003632,51.12789,0.5524552803002581,0.14746640906780462,0.0820358635000417,0.45089988320356267,0.8745859455768047
216,Langholm,-2.998913,55.153059999999996,0.5258547395240223,0.34412990549798,0.01,0.3268575993733905,0.5609346586587697
217,Newport,-2.997664,51.58415,0.49067393591064584,0.32589398665573094,0.3567938761884406,0.5013668715966878,0.6118108916030596
