placename,how,it_being,that,the fact that,longitude,latitude
Nuneaton,0.4166667,0.24031008,0.3081395,0.03488372, -1.4653820,52.52049
Northallerton,0.3537285,0.25621415,0.3212237,0.06883365, -1.4299590,54.33796
South Shields,0.3482490,0.24902724,0.3560311,0.04669261, -1.4274060,54.99942
Chesterfield,0.3795918,0.23265306,0.3061224,0.08163265, -1.4216290,53.23505
Southampton,0.2707182,0.28176796,0.3646409,0.08287293, -1.4043509,50.90970
Wetherby,0.3008850,0.26991150,0.3584071,0.07079646, -1.3848160,53.92706
Sunderland,0.3365759,0.26070039,0.3560311,0.04669261, -1.3838010,54.90687
Rotherham,0.3545817,0.23505976,0.3227092,0.08764940, -1.3635009,53.43260
Castleford,0.3220339,0.26694915,0.3432203,0.06779661, -1.3459680,53.72347
Thirsk,0.3578337,0.25918762,0.3133462,0.06963250, -1.3413770,54.23385
Banbury,0.3636364,0.19873150,0.3868922,0.05073996, -1.3397750,52.06290
Stockton,0.3715953,0.27237354,0.3210117,0.03501946, -1.3289821,54.57046
Newbury,0.2307692,0.27692308,0.4307692,0.06153846, -1.3231139,51.40141
Isle of Wight,0.2606635,0.27014218,0.3696682,0.09952607, -1.3047340,50.69385
Abingdon,0.2222222,0.29629630,0.4074074,0.07407407, -1.2879529,51.67078
Shetland Islands,0.3405405,0.22162162,0.3783784,0.05945946, -1.2659409,60.52965
Rugby,0.4271845,0.21747573,0.3203883,0.03495146, -1.2650320,52.37088
Oxford,0.2956522,0.26086957,0.3739130,0.06956522, -1.2577263,51.75202
Middlesbrough,0.3565737,0.25498008,0.3406375,0.04780876, -1.2349560,54.57423
Hartlepool,0.3745247,0.25475285,0.3250951,0.04562738, -1.2129260,54.69174
Loughborough,0.3980392,0.23137255,0.3000000,0.07058824, -1.2061660,52.77210
Mansfield,0.3795181,0.25301205,0.2710843,0.09638554, -1.1986740,53.14720
Nottingham,0.3735632,0.24137931,0.2931034,0.09195402, -1.1581086,52.95478
Bicester,0.3076923,0.25464191,0.3421751,0.09549072, -1.1535899,51.89960
Leicester,0.3789683,0.24603175,0.3035714,0.07142857, -1.1397592,52.63688
Doncaster,0.3152174,0.25000000,0.3260870,0.10869565, -1.1284620,53.52282
Worksop,0.3404255,0.24468085,0.3085106,0.10638298, -1.1227450,53.30930
Basingstoke,0.2641509,0.27493261,0.3962264,0.06469003, -1.0923964,51.26654
Portsmouth,0.2606635,0.27014218,0.3838863,0.08530806, -1.0879769,50.81977
York,0.3255814,0.26744186,0.3372093,0.06976744, -1.0872979,53.95997
Selby,0.3058824,0.27058824,0.3294118,0.09411765, -1.0671890,53.78352
Helmsley,0.3694391,0.24758221,0.3133462,0.06963250, -1.0562636,54.24651
Towcester,0.3553299,0.17258883,0.4111675,0.06091371, -0.9896880,52.13511
Reading,0.2118644,0.28813559,0.4322034,0.06779661, -0.9781303,51.45426
Retford,0.3440860,0.24731183,0.3118280,0.09677419, -0.9455030,53.32136
Petersfield,0.2932692,0.28846154,0.3317308,0.08653846, -0.9389900,51.00759
Northampton,0.3797170,0.18867925,0.3750000,0.05660377, -0.9026560,52.24048
Melton Mowbray,0.4142539,0.23162584,0.2873051,0.06681514, -0.8871260,52.76640
Aylesbury,0.3314763,0.20055710,0.3760446,0.09192201, -0.8084000,51.81561
Newark-on-Trent,0.3653846,0.21794872,0.3141026,0.10256410, -0.8065700,53.07004
Malton,0.3359073,0.25868726,0.3359073,0.06949807, -0.7978970,54.13684
Chichester,0.3004484,0.26905830,0.3766816,0.05381166, -0.7749360,50.83761
Gainsborough,0.3368421,0.23157895,0.3368421,0.09473684, -0.7744650,53.40057
Milton Keynes,0.3589041,0.16438356,0.4191781,0.05753425, -0.7594171,52.04062
Aldershot,0.2608696,0.23478261,0.4173913,0.08695652, -0.7557509,51.24837
High Wycombe,0.2912621,0.23300971,0.3786408,0.09708738, -0.7482290,51.62861
Midhurst,0.2909091,0.24545455,0.3954545,0.06818182, -0.7372740,50.98690
Kettering,0.4095634,0.21621622,0.2993763,0.07484407, -0.7302490,52.39632
Wellingborough,0.3702032,0.20316027,0.3453725,0.08126411, -0.6939640,52.30242
Corby,0.4123711,0.21030928,0.2907216,0.08659794, -0.6842333,52.49230
Bognor Regis,0.2990654,0.25233645,0.3925234,0.05607477, -0.6730610,50.78300
Scunthorpe,0.3333333,0.24731183,0.3225806,0.09677419, -0.6544130,53.58865
Grantham,0.3902439,0.23170732,0.2804878,0.09756098, -0.6435820,52.91252
Whitby,0.3810445,0.23597679,0.3133462,0.06963250, -0.6133470,54.48634
Slough,0.3235294,0.23529412,0.3823529,0.05882353, -0.5950406,51.51054
Guildford,0.2702703,0.29729730,0.3603604,0.07207207, -0.5704090,51.23622
Woking,0.2935780,0.28440367,0.3486239,0.07339450, -0.5600349,51.31677
Lincoln,0.3500000,0.26250000,0.2875000,0.10000000, -0.5405790,53.23069
Bedford,0.4078947,0.17368421,0.3473684,0.07105263, -0.4667782,52.13864
Heathrow,0.3564356,0.27722772,0.3069307,0.05940594, -0.4542955,51.47002
Driffield,0.3468208,0.23121387,0.3410405,0.08092486, -0.4433770,54.00600
Beverley,0.3406593,0.23076923,0.3406593,0.08791209, -0.4350930,53.84196
Luton,0.4721408,0.12316716,0.3431085,0.06158358, -0.4200255,51.87867
Scarborough,0.4052045,0.22676580,0.2899628,0.07806691, -0.3997520,54.28311
Worthing,0.2967581,0.26184539,0.3815461,0.05985037, -0.3728820,50.81787
Dorking,0.3113208,0.21698113,0.3962264,0.07547170, -0.3323780,51.23220
Hull,0.3111111,0.24444444,0.3444444,0.10000000, -0.3274198,53.76762
Horsham,0.2932331,0.26315789,0.3834586,0.06015038, -0.3258580,51.06288
Biggleswade,0.4082192,0.18082192,0.3205479,0.09041096, -0.2642200,52.08694
Peterborough,0.3736264,0.24395604,0.3032967,0.07912088, -0.2405299,52.56950
Welwyn Garden City,0.2975746,0.19869403,0.4253731,0.07835821, -0.2086610,51.80317
Bridlington,0.3359073,0.23552124,0.3474903,0.08108108, -0.1988020,54.08535
Stevenage,0.4203655,0.17232376,0.3368146,0.07049608, -0.1966120,51.90376
Crawley,0.2740741,0.28888889,0.3777778,0.05925926, -0.1872275,51.10914
Huntingdon,0.3798077,0.21634615,0.3389423,0.06490385, -0.1825520,52.33146
Hove,0.3266833,0.27680798,0.3366584,0.05985037, -0.1687490,50.82793
Spalding,0.4264706,0.20798319,0.2899160,0.07563025, -0.1537024,52.79010
Brighton,0.3266833,0.27680798,0.3366584,0.05985037, -0.1371630,50.82253
London,0.2975746,0.19869403,0.4169776,0.08675373, -0.1277583,51.50735
Grimsby,0.3089888,0.24719101,0.3426966,0.10112360, -0.0807840,53.56747
Boston,0.3396226,0.26415094,0.3081761,0.08805031, -0.0265770,52.97894
Royston,0.3921053,0.17368421,0.3473684,0.08684211, -0.0240660,52.04814
Louth_Lincs,0.3401361,0.22448980,0.3401361,0.09523810, -0.0077110,53.36596
Lewes,0.2980132,0.31125828,0.3245033,0.06622517,  0.0087800,50.87387
Chatteris,0.3592965,0.23366834,0.3467337,0.06030151,  0.0540120,52.45610
Uckfield,0.2715232,0.32450331,0.3245033,0.07947020,  0.0959130,50.96641
Cambridge,0.4016854,0.17696629,0.3117978,0.10955056,  0.1218170,52.20534
Bishop's Stortford,0.3983740,0.16802168,0.3387534,0.09485095,  0.1536502,51.87216
Wisbech,0.3522727,0.25227273,0.3272727,0.06818182,  0.1587970,52.66632
Sevenoaks,0.2721576,0.22202328,0.4207699,0.08504924,  0.1908980,51.27241
Tunbridge Wells,0.2727273,0.31934732,0.3333333,0.07459207,  0.2636950,51.13238
Eastbourne,0.2582781,0.32450331,0.3245033,0.09271523,  0.2904720,50.76803
Brentwood,0.3181818,0.18274583,0.4081633,0.09090909,  0.3071749,51.62047
Skegness,0.3265306,0.27210884,0.3061224,0.09523810,  0.3378810,53.14640
Downham Market,0.3571429,0.22959184,0.3520408,0.06122449,  0.3854720,52.60661
King's Lynn,0.3290488,0.23907455,0.3547558,0.07712082,  0.4022963,52.75168
Bexhill,0.2482270,0.34751773,0.3049645,0.09929078,  0.4662071,50.84991
Chelmsford,0.4509804,0.20261438,0.2516340,0.09477124,  0.4685497,51.73559
Mildenhall,0.3233696,0.19565217,0.3994565,0.08152174,  0.5156095,52.34757
Medway,0.3245614,0.26900585,0.2953216,0.11111111,  0.5417861,51.40474
Braintree,0.3826087,0.21449275,0.3014493,0.10144928,  0.5509269,51.88009
Gillingham,0.3217391,0.28405797,0.2840580,0.11014493,  0.5514380,51.38632
Hastings,0.2587413,0.34731935,0.2913753,0.10256410,  0.5734530,50.85426
Maldon,0.3571429,0.27380952,0.2648810,0.10416667,  0.6714480,51.73180
Southend,0.3363636,0.29696970,0.2696970,0.09696970,  0.7077123,51.54593
Bury St Edmunds,0.3424658,0.20273973,0.3424658,0.11232877,  0.7104932,52.24292
Thetford,0.3070652,0.22826087,0.3831522,0.08152174,  0.7516570,52.41286
Ashford,0.2561983,0.29476584,0.3278237,0.12121212,  0.8750190,51.14647
Faversham,0.3211009,0.33639144,0.2629969,0.07951070,  0.8893580,51.31599
Colchester,0.3333333,0.29100529,0.2671958,0.10846561,  0.8918740,51.89593
New Romney,0.2727273,0.30536131,0.3193473,0.10256410,  0.9394730,50.98512
Canterbury,0.3211009,0.33639144,0.2446483,0.09785933,  1.0789089,51.28023
Ipswich,0.3076923,0.31282051,0.2820513,0.09743590,  1.1482200,52.05674
Clacton,0.3114754,0.30054645,0.2677596,0.12021858,  1.1530350,51.78953
Folkestone,0.2928571,0.31904762,0.2976190,0.09047619,  1.1694560,51.08140
Sheringham,0.3160622,0.24870466,0.3575130,0.07772021,  1.2109589,52.94442
Harwich,0.2945736,0.33074935,0.2764858,0.09819121,  1.2602970,51.93473
Norwich,0.3005618,0.23595506,0.3792135,0.08426966,  1.2973550,52.63089
Cromer,0.3160622,0.24870466,0.3575130,0.07772021,  1.3018660,52.93145
Dover,0.2844037,0.31804281,0.2996942,0.09785933,  1.3134027,51.12788
Felixstowe,0.2945736,0.33074935,0.2764858,0.09819121,  1.3512550,51.96173
Margate,0.3271028,0.34267913,0.2305296,0.09968847,  1.3868339,51.38965
Ramsgate,0.3211009,0.31804281,0.2629969,0.09785933,  1.4198950,51.33555
Great Yarmouth,0.2767857,0.27380952,0.3541667,0.09523810,  1.7280470,52.59823
Lowestoft,0.2946429,0.27380952,0.3363095,0.09523810,  1.7534490,52.48114
Swaffham,0.3316062,0.23316062,0.3730570,0.06217617,  0.6874810,52.64747
Dereham,0.3316062,0.21761658,0.3730570,0.07772021,  0.9378270,52.68162
Ely,0.3753425,0.19726027,0.3616438,0.06575342,  0.2623630,52.39954
March,0.3412888,0.24343675,0.3436754,0.07159905,  0.0886220,52.55172
St Neots,0.3816156,0.18384401,0.3593315,0.07520891, -0.2651030,52.23008
Banham,0.2837079,0.24157303,0.3848315,0.08988764,  1.0402849,52.45125
Holt,0.3160622,0.24870466,0.3575130,0.07772021,  1.0867470,52.90936
Hunstanton,0.3275862,0.25862069,0.3362069,0.07758621,  0.4910320,52.93891
Horncastle,0.3694268,0.22292994,0.3057325,0.10191083, -0.1124500,53.20731
Market Weighton,0.3255814,0.24418605,0.3488372,0.08139535, -0.6677465,53.86484
Hawes,0.3267974,0.27450980,0.3594771,0.03921569, -2.1968695,54.30383
Reeth,0.3802281,0.24334601,0.3307985,0.04562738, -1.9428115,54.38946
Aysgarth,0.3185841,0.29646018,0.3451327,0.03982301, -1.9967434,54.29159
Stanhope,0.3641732,0.22834646,0.3602362,0.04724409, -2.0113020,54.74946
Keswick,0.4261084,0.21182266,0.3325123,0.02955665, -3.1347060,54.60128
Oxenholme,0.3413462,0.25480769,0.3653846,0.03846154, -2.7243328,54.30134
