index,placename,longitude,latitude,where_is_x,where_is_x_at,where_to_is_x,where_x_about,where_x_to
172,Exeter,-3.533899,50.71841,0.4439167116273876,0.15731113795999122,0.01,0.09261635748860804,0.22020067759586076
173,Torquay,-3.525315,50.46192,0.2763381693671022,0.10572309139881328,0.01,0.01,0.19401338856346573
174,Thurso,-3.5220800000000003,58.59356999999999,0.1541489451352303,0.17339440904952336,0.01,0.07003533121256982,0.01
175,Livingston,-3.518068,55.90071,0.3340967081130658,0.06724830722774143,0.04036494989423409,0.43986408081484957,0.01
176,Rhyl,-3.4916339999999995,53.319140000000004,0.21326943583643826,0.15028871559438087,0.01,0.02568573179924617,0.015267322610641563
177,Tiverton,-3.491207,50.90205,0.1914608245949712,0.08862414267115651,0.01,0.05173056272043384,0.15374046259732832
178,Tiverton,-3.491207,50.90205,0.1914608245949712,0.08862414267115651,0.01,0.05173056272043384,0.15374046259732832
179,Minehead,-3.481152,51.20428,0.14457995225127396,0.08643556208646999,0.38326156611596945,0.023729942456908952,0.16925788174550618
180,Dunfermline,-3.452151,56.071740000000005,0.31671911366473837,0.0503413314684582,0.03938123151580629,0.5266771171149217,0.01
181,Perth,-3.4308381000000003,56.39499,0.20182510029932185,0.06665685688178814,0.01,0.6921042993201784,0.01
182,Prestatyn,-3.4076129999999996,53.33651,0.17915354046453108,0.12984090244860472,0.01,0.02273177828432721,0.013511524426385629
183,Builth Wells,-3.4045919999999996,52.15002,0.1584667177259354,0.09362563394174232,0.01,0.01,0.19983490807994553
184,Braemar,-3.3979439,57.00646999999999,0.01,0.01,0.01,0.028595129920703004,0.01
185,Brecon,-3.391463,51.94895,0.19081641222748563,0.09761025637044839,0.20253275936135784,0.01,0.29814508584258936
186,Merthyr Tydfil,-3.381646,51.74873,0.36933211551256145,0.12887330663277574,0.2812636731282653,0.01,0.5796609636312661
187,Llandrindod Wells,-3.377742,52.2417,0.13550659107421956,0.08889568457164461,0.01,0.01,0.08534764773476342
188,Corwen,-3.369242,52.98005,0.09957981025311999,0.1179257832240299,0.01,0.01,0.01
189,Cockermouth,-3.367985,54.66326,0.1529398995183079,0.40117567393413667,0.01,0.05543700071795754,0.01
190,Lockerbie,-3.349008,55.122240000000005,0.22116676828690668,0.42239153840412774,0.01,0.22084874704371277,0.01
191,Blairgowrie,-3.3378318,56.58941,0.15369380720507403,0.057872012288711305,0.01,0.5134415513841104,0.01
192,Elgin,-3.318485,57.64945,0.2850050766224408,0.2670346950318843,0.01,0.22491354691759283,0.01
193,Newtown,-3.313106,52.51211,0.11786357920261543,0.14578615854020843,0.01,0.01,0.11261985001868549
194,Ruthin,-3.3103108,53.114869999999996,0.17360758926895353,0.17492188241485254,0.01,0.01,0.01
195,Ruthin,-3.3103108,53.114869999999996,0.17360758926895353,0.17492188241485254,0.01,0.01,0.01
196,Sidmouth,-3.2375599999999998,50.67865,0.17423674730753946,0.0694165934742784,0.01,0.01,0.09898489535586366
197,Barrow-in-Furness,-3.2188939999999997,54.10896999999999,0.26608061601444727,0.4922480438285787,0.01,0.01,0.01
198,Peebles,-3.1936419999999996,55.65306999999999,0.16824470515698095,0.037002887070301256,0.02610735020369224,0.25863315096257355,0.01
199,Edinburgh,-3.1882669999999997,55.95325,0.5812725308382936,0.11205274567135637,0.06644424052594754,0.8886126824871662,0.01
200,Cardiff,-3.17909,51.48158,0.5417205870569565,0.23284214141420906,1.0,0.01,0.5047142608289028
201,Llangollen,-3.1716599999999997,52.96921,0.12997296512082995,0.1664711945112443,0.01,0.01,0.01
202,Kirkcaldy,-3.158137,56.11682,0.35341933611432214,0.07419278970755053,0.043323058390111156,0.7725258093955545,0.01
203,Welshpool,-3.146407,52.66035,0.17142215100160377,0.2792074425701449,0.01,0.01,0.09135724397010704
204,Mold,-3.1419029999999997,53.1672,0.25932319904534745,0.230768794747111,0.01,0.03340037016691021,0.01
205,Mold,-3.1419029999999997,53.1672,0.25932319904534745,0.230768794747111,0.01,0.03340037016691021,0.01
206,Taunton,-3.106849,51.01534,0.2895813848584048,0.1517836304782848,0.01,0.01,0.284820193369806
207,Wick,-3.093716,58.43894,0.14459946932695728,0.1610749676726975,0.01,0.06574082044466095,0.01
208,John o' Groats,-3.0688997000000002,58.63734,0.01,0.0399197465227604,0.01,0.02350665000289545,0.01
209,Dalkeith,-3.066606,55.893119999999996,0.28845904847470155,0.05100697033823604,0.03971794113044877,0.49183351348445553,0.01
210,Oswestry,-3.056412,52.85715,0.2240111925237297,0.3331734837224007,0.01,0.01,0.040926147510632484
211,Blackpool,-3.0356748,53.81751,0.3871970671811932,0.6762791645091198,0.01,0.01,0.01
212,Birkenhead,-3.023009,53.389990000000004,0.38053441323709875,0.29249121167870035,0.01,0.03745539524960227,0.022263085327014678
213,Cupar,-3.010137,56.32023,0.1600653853503683,0.02602340343603278,0.022804537046875253,0.3388706061696326,0.01
214,Southport,-3.010113,53.64571,0.3152941420725949,0.47196097447255647,0.01,0.01,0.01
215,Bridgwater,-3.003632,51.12789,0.34215486656487637,0.14666257948140884,0.35241538668728184,0.01,0.41502783469675447
216,Langholm,-2.998913,55.153059999999996,0.09391080481362823,0.22646316540689282,0.01,0.13280228823148935,0.01
217,Newport,-2.997664,51.58415,0.3754720054235632,0.1471604948382377,0.9068963462214488,0.01,0.4240673797474603
218,Axminster,-2.9949369999999997,50.78273,0.18754444600860587,0.11417297019100078,0.01,0.01,0.18415145476469075
219,Wrexham,-2.9924939999999998,53.043040000000005,0.3125790612829752,0.3734134950658042,0.01,0.01,0.01
220,Liverpool,-2.9915726,53.40837,0.5986657969619008,0.46468879770558286,0.01,0.05297077142452134,0.03148526078817032
221,Weston-super-Mare,-2.977255,51.347409999999996,0.30386290585557973,0.12448573695039578,0.5004107232931927,0.01,0.36832312464687195
222,Dundee,-2.9707209999999997,56.462019999999995,0.38878766131839165,0.09721140589256068,0.01,1.0,0.01
223,Kirkwall,-2.9622491,58.984669999999994,0.15441526677697834,0.16754417185611842,0.01,0.06799596080683873,0.01
224,Ambleside,-2.961333,54.428740000000005,0.23309684579694473,0.6134243225533716,0.01,0.07447593523152128,0.01
225,Orkney Islands,-2.9605206,58.980940000000004,0.1598723273253813,0.17208931169138064,0.01,0.06958037650069848,0.01
226,Lyme Regis,-2.936639,50.725159999999995,0.16672631337358143,0.09210795951419233,0.01,0.01,0.15547314596189987
227,Carlisle,-2.932931,54.892469999999996,0.36236542853496123,0.676551929970982,0.01,0.10263595608245399,0.01
228,Chester,-2.893075,53.19339,0.3906708305612715,0.3935354858753791,0.01,0.01,0.01
229,Forfar,-2.889062,56.64356,0.2016227994772037,0.07475503271255468,0.01,0.6149639122352126,0.01
230,Morecambe,-2.864968,54.074169999999995,0.22266617856581172,0.46005660218386957,0.01,0.01,0.01
231,Selkirk,-2.838524,55.55066,0.20869893803803946,0.05593867569902261,0.032161957452025325,0.35047462087573333,0.01
232,Galashiels,-2.814449,55.62373,0.19585034072313645,0.05200562462973271,0.030646162934208097,0.3643164291603862,0.01
233,Lancaster,-2.8007399,54.046569999999996,0.31468090392979226,0.6479382732707372,0.01,0.01,0.01
234,St Andrews,-2.7967214,56.339780000000005,0.23175956180260726,0.050723651903653584,0.030152099716826888,0.4779241383558631,0.01
235,Hawick,-2.780914,55.42706,0.17064758062610438,0.14424155136305747,0.01,0.40802180957572654,0.01
236,Bridport,-2.758301,50.733579999999996,0.17533095157047776,0.10739127190966476,0.01,0.01,0.17144077832054455
237,Shrewsbury,-2.7553267999999997,52.7073,0.36819971486808356,0.49778578233842724,0.01,0.01,0.14725765020507314
238,Penrith,-2.752708,54.6641,0.31375510335954515,0.5875921390696974,0.01,0.10721141414151995,0.01
239,Kendal,-2.74629,54.32801,0.2736455248068731,0.6525056812455742,0.01,0.08793842248535333,0.01
240,Street,-2.7429189999999997,51.12468,0.1358720854750874,0.08695023234965964,0.01,0.01,0.27274416040897154
241,Glastonbury,-2.718454,51.14743,0.16889950727998526,0.11453854976100829,0.01,0.01,0.3159166341107922
242,Hereford,-2.715974,52.0564,0.31279369702133475,0.27203246857135827,0.01,0.01,0.05287120436439057
