placename,preposition_dropped,preposition_retained,longitude,latitude
Great Yarmouth,0.023529412,0.9764706,  1.7280470,52.59823
Lowestoft,0.021978022,0.9780220,  1.7534490,52.48114
Swaffham,0.015584416,0.9844156,  0.6874810,52.64747
Dereham,0.015584416,0.9844156,  0.9378270,52.68162
Ely,0.016042781,0.9839572,  0.2623630,52.39954
March,0.019472617,0.9805274,  0.0886220,52.55172
St Neots,0.018163471,0.9818365, -0.2651030,52.23008
Banham,0.023143684,0.9768563,  1.0402849,52.45125
Holt,0.020092089,0.9799079,  1.0867470,52.90936
Cromer,0.020547945,0.9794521,  1.3018660,52.93145
Hunstanton,0.024144869,0.9758551,  0.4910320,52.93891
Horncastle,0.014240506,0.9857595, -0.1124500,53.20731
Market Weighton,0.023139221,0.9768608, -0.6677465,53.86484
Hawes,0.033412888,0.9665871, -2.1968695,54.30383
Reeth,0.026258206,0.9737418, -1.9428115,54.38946
Aysgarth,0.029629630,0.9703704, -1.9967434,54.29159
Stanhope,0.025751073,0.9742489, -2.0113020,54.74946
Keswick,0.034912718,0.9650873, -3.1347060,54.60128
Oxenholme,0.057831325,0.9421687, -2.7243328,54.30134
