placename,preposition_dropped,preposition_retained,longitude,latitude
Holyhead,0.214017522,0.7859825, -4.6330380,53.30944
Ayr,0.000000000,1.0000000, -4.6291790,55.45856
Dumbarton,0.004279601,0.9957204, -4.5645540,55.94529
Bude,0.004938272,0.9950617, -4.5436780,50.82664
Isle of Man,0.175572519,0.8244275, -4.5126331,54.27697
Kilmarnock,0.000000000,1.0000000, -4.4987920,55.61472
Newton Stewart,0.000000000,1.0000000, -4.4831640,54.96030
Liskeard,0.004796163,0.9952038, -4.4647190,50.45552
Altnaharra,0.004070556,0.9959294, -4.4426550,58.28023
Pwllheli,0.214824121,0.7851759, -4.4176339,52.88882
Lairg,0.004070556,0.9959294, -4.4024140,58.02206
Launceston,0.004796163,0.9952038, -4.3604516,50.63683
Carmarthen,0.004866180,0.9951338, -4.3121310,51.85762
Llangefni,0.221665623,0.7783344, -4.3114020,53.25579
Caernarfon,0.220858896,0.7791411, -4.2739110,53.13955
Cumnock,0.000000000,1.0000000, -4.2658289,55.45355
Aberaeron,0.028846154,0.9711538, -4.2581619,52.24279
Alness,0.004070556,0.9959294, -4.2568250,57.69595
Glasgow,0.004279601,0.9957204, -4.2518060,55.86424
Dalwhinnie,0.004037685,0.9959623, -4.2427830,56.93660
Inverness,0.004070556,0.9959294, -4.2247210,57.47777
Saltash,0.004796163,0.9952038, -4.2164300,50.40921
Bideford,0.004975124,0.9950249, -4.2066660,51.01668
Invergordon,0.004070556,0.9959294, -4.1728820,57.68811
Llanelli,0.005063291,0.9949367, -4.1602480,51.68089
Plymouth,0.004796163,0.9952038, -4.1426565,50.37546
Tavistock,0.004796163,0.9952038, -4.1416540,50.55112
Porthmadog,0.220653789,0.7793462, -4.1333840,52.92784
Bangor,0.181654676,0.8183453, -4.1292630,53.22739
Tywyn,0.210396040,0.7896040, -4.0872490,52.58701
Aberystwyth,0.165909091,0.8340909, -4.0829200,52.41530
Lampeter,0.009732360,0.9902676, -4.0785090,52.11290
Barnstaple,0.004975124,0.9950249, -4.0583380,51.07816
