placename,am_not,amnt,m_not,longitude,latitude
Rothesay,0.1998851,0.00098465578,0.7991302, -5.0557930,55.83596
Truro,0.1390253,0.00000000000,0.8609747, -5.0510410,50.26320
Milford Haven,0.1291796,0.00000000000,0.8708204, -5.0426971,51.71431
Stranraer,0.1775195,0.00000000000,0.8224805, -5.0240550,54.90337
Fishguard,0.1308875,0.00000000000,0.8691125, -4.9759890,51.99393
Inchnadamph,0.1874793,0.00025089238,0.8122698, -4.9742950,58.15221
Haverfordwest,0.1293827,0.00000000000,0.8706173, -4.9713190,51.80047
Dunoon,0.1826829,0.00106676149,0.8162503, -4.9262140,55.95097
Pembroke,0.1281669,0.00000000000,0.8718331, -4.9086370,51.67404
Girvan,0.1960289,0.00084132593,0.8031297, -4.8542179,55.24016
Wadebridge,0.1359740,0.00000000000,0.8640260, -4.8364560,50.51665
Invergarry,0.2010197,0.00000000000,0.7989803, -4.8002610,57.07095
St Austell,0.1351378,0.00000000000,0.8648622, -4.7834252,50.34038
Greenock,0.1877056,0.00103896104,0.8112554, -4.7719830,55.95648
Helensburgh,0.1925417,0.00117762512,0.8062807, -4.7340140,56.00232
Bodmin,0.1397101,0.00000000000,0.8602899, -4.7188629,50.47150
Tenby,0.1273535,0.00000000000,0.8726465, -4.7035790,51.67274
Camelford,0.1591868,0.00000000000,0.8408132, -4.6823640,50.62206
Irvine,0.2181602,0.00062492188,0.7812148, -4.6696364,55.61157
Cardigan,0.1478583,0.00000000000,0.8521417, -4.6608640,52.08370
Holyhead,0.1539700,0.00000000000,0.8460300, -4.6330380,53.30944
Ayr,0.1989952,0.00077721645,0.8002276, -4.6291790,55.45856
Dumbarton,0.1995524,0.00116754232,0.7992800, -4.5645540,55.94529
Bude,0.1581683,0.00000000000,0.8418317, -4.5436780,50.82664
Isle of Man,0.1989640,0.00000000000,0.8010360, -4.5126331,54.27697
Kilmarnock,0.2180673,0.00079732100,0.7811354, -4.4987920,55.61472
Newton Stewart,0.1898926,0.00182296941,0.8082844, -4.4831640,54.96030
Liskeard,0.1483337,0.00000000000,0.8516663, -4.4647190,50.45552
Altnaharra,0.1900766,0.00024083196,0.8096825, -4.4426550,58.28023
Pwllheli,0.1461233,0.00000000000,0.8538767, -4.4176339,52.88882
Lairg,0.1873994,0.00024250976,0.8123581, -4.4024140,58.02206
Launceston,0.1557548,0.00000000000,0.8442452, -4.3604516,50.63683
Carmarthen,0.1256074,0.00000000000,0.8743926, -4.3121310,51.85762
Llangefni,0.1492081,0.00000000000,0.8507919, -4.3114020,53.25579
Caernarfon,0.1441057,0.00000000000,0.8558943, -4.2739110,53.13955
Cumnock,0.2327878,0.00000000000,0.7672122, -4.2658289,55.45355
Aberaeron,0.1543776,0.00078580316,0.8448366, -4.2581619,52.24279
Alness,0.1762703,0.00017218102,0.8235575, -4.2568250,57.69595
Glasgow,0.1734131,0.00053727831,0.8260497, -4.2518060,55.86424
Dalwhinnie,0.2200000,0.00000000000,0.7800000, -4.2427830,56.93660
Inverness,0.1501594,0.00000000000,0.8498406, -4.2247210,57.47777
Saltash,0.1469255,0.00000000000,0.8530745, -4.2164300,50.40921
Bideford,0.1603612,0.00000000000,0.8396388, -4.2066660,51.01668
Invergordon,0.1769183,0.00017281400,0.8229089, -4.1728820,57.68811
Llanelli,0.1162893,0.00000000000,0.8837107, -4.1602480,51.68089
Plymouth,0.1468554,0.00000000000,0.8531446, -4.1426565,50.37546
Tavistock,0.1458116,0.00000000000,0.8541884, -4.1416540,50.55112
Porthmadog,0.1405683,0.00000000000,0.8594317, -4.1333840,52.92784
Bangor,0.1463270,0.00000000000,0.8536730, -4.1292630,53.22739
Tywyn,0.1577558,0.00080197821,0.8414422, -4.0872490,52.58701
Aberystwyth,0.1552937,0.00079654829,0.8439097, -4.0829200,52.41530
Lampeter,0.1378234,0.00000000000,0.8621766, -4.0785090,52.11290
Barnstaple,0.1565801,0.00000000000,0.8434199, -4.0583380,51.07816
Tain,0.1924200,0.00023106574,0.8073489, -4.0552300,57.81150
Okehampton,0.1399254,0.00000000000,0.8600746, -4.0042630,50.73831
Llandeilo,0.1631799,0.00000000000,0.8368201, -3.9914300,51.88469
Motherwell,0.2222780,0.00000000000,0.7777220, -3.9810968,55.78321
Golspie,0.1985976,0.00023551452,0.8011669, -3.9760860,57.97341
Airdrie,0.1911579,0.00000000000,0.8088421, -3.9625660,55.86627
Swansea,0.1419034,0.00000000000,0.8580966, -3.9436460,51.62144
Stirling,0.1778757,0.00158660203,0.8205377, -3.9369029,56.11652
Tregaron,0.1551286,0.00080187103,0.8440695, -3.9343850,52.22000
Tregaron,0.1551286,0.00080187103,0.8440695, -3.9343850,52.22000
Castle Douglas,0.2044038,0.00124636477,0.7943498, -3.9314140,54.94042
Dolgellau,0.1503889,0.00000000000,0.8496111, -3.8844000,52.74215
Aberfeldy,0.1617647,0.00073529412,0.8375000, -3.8669690,56.62175
Machynlleth,0.1597607,0.00080197821,0.8394373, -3.8534850,52.59027
Brora,0.1953577,0.00080559891,0.8038367, -3.8525480,58.01216
Llandudno,0.1232847,0.00000000000,0.8767153, -3.8276090,53.32406
Llandudno,0.1232847,0.00000000000,0.8767153, -3.8276090,53.32406
Aviemore,0.1904762,0.00000000000,0.8095238, -3.8238120,57.19449
Dalbeattie,0.2071771,0.00125182558,0.7915710, -3.8225270,54.93422
Falkirk,0.1874390,0.00117210393,0.8113889, -3.7839131,56.00188
Kingsbridge,0.1454341,0.00000000000,0.8545659, -3.7774930,50.28395
Pitlochry,0.1564103,0.00000000000,0.8435897, -3.7297110,56.70436
Colwyn Bay,0.1208784,0.00000000000,0.8791216, -3.7276400,53.29318
Totnes,0.1601583,0.00000000000,0.8398417, -3.6857970,50.43374
Grantown-on-Spey,0.2039769,0.00000000000,0.7960231, -3.6096280,57.33041
Dumfries,0.1844223,0.00128741551,0.8142903, -3.6051200,55.07086
Whitehaven,0.2133725,0.00000000000,0.7866275, -3.5892330,54.54970
Dartmouth,0.1614592,0.00000000000,0.8385408, -3.5788070,50.35252
Bridgend,0.1563877,0.00000000000,0.8436123, -3.5769450,51.50429
Paignton,0.1591865,0.00000000000,0.8408135, -3.5642350,50.43508
Workington,0.2328907,0.00000000000,0.7671093, -3.5427520,54.64357
Llanidloes,0.1687500,0.00000000000,0.8312500, -3.5401950,52.44779
Exeter,0.1668548,0.00000000000,0.8331452, -3.5338990,50.71841
Torquay,0.1618069,0.00000000000,0.8381931, -3.5253150,50.46192
Thurso,0.1936868,0.00081832300,0.8054949, -3.5220800,58.59357
Livingston,0.1872618,0.00090727636,0.8118309, -3.5180680,55.90071
Rhyl,0.1213861,0.00000000000,0.8786139, -3.4916340,53.31914
Tiverton,0.1825726,0.00000000000,0.8174274, -3.4912070,50.90205
Tiverton,0.1825726,0.00000000000,0.8174274, -3.4912070,50.90205
Minehead,0.1970339,0.00000000000,0.8029661, -3.4811520,51.20428
Dunfermline,0.2103199,0.00000000000,0.7896801, -3.4521510,56.07174
Perth,0.2168305,0.00000000000,0.7831695, -3.4308381,56.39499
Prestatyn,0.1212371,0.00000000000,0.8787629, -3.4076130,53.33651
Builth Wells,0.1932713,0.00000000000,0.8067287, -3.4045920,52.15002
Braemar,0.1793478,0.00000000000,0.8206522, -3.3979439,57.00647
Brecon,0.1547218,0.00000000000,0.8452782, -3.3914630,51.94895
Merthyr Tydfil,0.1271790,0.00000000000,0.8728210, -3.3816460,51.74873
Llandrindod Wells,0.1540881,0.00000000000,0.8459119, -3.3777420,52.24170
Corwen,0.1069405,0.00000000000,0.8930595, -3.3692420,52.98005
Cockermouth,0.2338462,0.00000000000,0.7661538, -3.3679850,54.66326
Lockerbie,0.1837154,0.00136845706,0.8149162, -3.3490080,55.12224
Blairgowrie,0.1940389,0.00486618005,0.8010949, -3.3378318,56.58941
Elgin,0.2337496,0.00255464093,0.7636957, -3.3184850,57.64945
Newtown,0.1788079,0.00000000000,0.8211921, -3.3131060,52.51211
Ruthin,0.1256868,0.00000000000,0.8743132, -3.3103108,53.11487
Ruthin,0.1256868,0.00000000000,0.8743132, -3.3103108,53.11487
Sidmouth,0.1666667,0.00000000000,0.8333333, -3.2375600,50.67865
Barrow-in-Furness,0.1441388,0.00000000000,0.8558612, -3.2188940,54.10897
Peebles,0.1775127,0.00144613160,0.8210412, -3.1936420,55.65307
Edinburgh,0.1620724,0.00137564655,0.8365519, -3.1882670,55.95325
Cardiff,0.1359397,0.00018221464,0.8638781, -3.1790900,51.48158
Llangollen,0.1444362,0.00000000000,0.8555638, -3.1716600,52.96921
Kirkcaldy,0.2119267,0.00080224629,0.7872710, -3.1581370,56.11682
Welshpool,0.1432292,0.00000000000,0.8567708, -3.1464070,52.66035
Mold,0.1225071,0.00000000000,0.8774929, -3.1419030,53.16720
Mold,0.1225071,0.00000000000,0.8774929, -3.1419030,53.16720
Taunton,0.1567817,0.00000000000,0.8432183, -3.1068490,51.01534
Wick,0.2190657,0.00231000770,0.7786243, -3.0937160,58.43894
John o' Groats,0.2193437,0.00236276850,0.7782936, -3.0688997,58.63734
Dalkeith,0.1895345,0.00105005250,0.8094155, -3.0666060,55.89312
Oswestry,0.1398601,0.00000000000,0.8601399, -3.0564120,52.85715
Blackpool,0.1217941,0.00000000000,0.8782059, -3.0356748,53.81751
Birkenhead,0.1658854,0.00016579792,0.8339488, -3.0230090,53.38999
Cupar,0.1550004,0.00233325288,0.8426663, -3.0101370,56.32023
Southport,0.1367860,0.00000000000,0.8632140, -3.0101130,53.64571
Bridgwater,0.1555785,0.00000000000,0.8444215, -3.0036320,51.12789
Langholm,0.1681686,0.00000000000,0.8318314, -2.9989130,55.15306
