placename,am_not,amnt,m_not,longitude,latitude
Melton Mowbray,0.1609334,0.00000000000,0.8390666, -0.8871260,52.76640
Aylesbury,0.1513394,0.00050070934,0.8481599, -0.8084000,51.81561
Newark-on-Trent,0.1321244,0.00000000000,0.8678756, -0.8065700,53.07004
Malton,0.1376734,0.00000000000,0.8623266, -0.7978970,54.13684
Chichester,0.1558112,0.00000000000,0.8441888, -0.7749360,50.83761
Gainsborough,0.1574550,0.00000000000,0.8425450, -0.7744650,53.40058
Milton Keynes,0.1676979,0.00000000000,0.8323021, -0.7594171,52.04062
Aldershot,0.1410675,0.00000000000,0.8589325, -0.7557509,51.24837
High Wycombe,0.1734888,0.00000000000,0.8265112, -0.7482290,51.62861
Midhurst,0.1252163,0.00000000000,0.8747837, -0.7372740,50.98690
Kettering,0.1466951,0.00000000000,0.8533049, -0.7302490,52.39632
Wellingborough,0.1501032,0.00000000000,0.8498968, -0.6939640,52.30242
Corby,0.1544180,0.00000000000,0.8455820, -0.6842333,52.49230
Bognor Regis,0.1579916,0.00000000000,0.8420084, -0.6730610,50.78300
Scunthorpe,0.1558287,0.00000000000,0.8441713, -0.6544130,53.58865
Grantham,0.1478509,0.00000000000,0.8521491, -0.6435820,52.91252
Whitby,0.1399526,0.00101660454,0.8590308, -0.6133470,54.48633
Slough,0.1622449,0.00000000000,0.8377551, -0.5950406,51.51054
Guildford,0.1602531,0.00038500780,0.8393619, -0.5704090,51.23622
Woking,0.1637238,0.00000000000,0.8362762, -0.5600349,51.31677
Lincoln,0.1390309,0.00000000000,0.8609691, -0.5405790,53.23069
Bedford,0.1520374,0.00000000000,0.8479626, -0.4667782,52.13864
Heathrow,0.2197566,0.00000000000,0.7802434, -0.4542955,51.47002
Driffield,0.1305732,0.00000000000,0.8694268, -0.4433770,54.00600
Beverley,0.1286069,0.00008090179,0.8713122, -0.4350930,53.84196
Luton,0.1657003,0.00000000000,0.8342997, -0.4200255,51.87867
Scarborough,0.1305703,0.00110031175,0.8683294, -0.3997520,54.28311
Worthing,0.1697790,0.00000000000,0.8302210, -0.3728820,50.81787
Dorking,0.1317891,0.00000000000,0.8682109, -0.3323780,51.23220
Hull,0.1279126,0.00008016246,0.8720073, -0.3274198,53.76762
Horsham,0.1429632,0.00000000000,0.8570368, -0.3258580,51.06288
Biggleswade,0.1853130,0.00000000000,0.8146870, -0.2642200,52.08694
Peterborough,0.1398592,0.00000000000,0.8601408, -0.2405299,52.56950
Welwyn Garden City,0.1460606,0.00029991902,0.8536395, -0.2086610,51.80317
Bridlington,0.1316200,0.00085190970,0.8675280, -0.1988020,54.08535
Stevenage,0.1461534,0.00126951885,0.8525771, -0.1966120,51.90376
Crawley,0.1469945,0.00000000000,0.8530055, -0.1872275,51.10914
Huntingdon,0.1482077,0.00000000000,0.8517923, -0.1825520,52.33146
Hove,0.1390613,0.00005557265,0.8608831, -0.1687490,50.82793
Spalding,0.1441748,0.00000000000,0.8558252, -0.1537024,52.79010
Brighton,0.1406445,0.00005320056,0.8593023, -0.1371630,50.82253
London,0.1684630,0.00015305633,0.8313839, -0.1277583,51.50735
Grimsby,0.1485554,0.00000000000,0.8514446, -0.0807840,53.56747
Boston,0.1475837,0.00000000000,0.8524163, -0.0265770,52.97894
Royston,0.1378446,0.00000000000,0.8621554, -0.0240660,52.04814
Louth,0.1477746,0.00000000000,0.8522254, -0.0077110,53.36596
Lewes,0.1660454,0.00000000000,0.8339546,  0.0087800,50.87387
Chatteris,0.1409684,0.00206043956,0.8569712,  0.0540120,52.45610
Uckfield,0.1650347,0.00000000000,0.8349653,  0.0959130,50.96641
Cambridge,0.1709087,0.00050400685,0.8285873,  0.1218170,52.20534
Bishop's Stortford,0.1521516,0.00000000000,0.8478484,  0.1536502,51.87216
Wisbech,0.1301024,0.00000000000,0.8698976,  0.1587970,52.66632
Sevenoaks,0.1712748,0.00000000000,0.8287252,  0.1908980,51.27241
Tunbridge Wells,0.1553208,0.00000000000,0.8446792,  0.2636950,51.13238
Eastbourne,0.1609779,0.00000000000,0.8390221,  0.2904720,50.76803
Brentwood,0.1541406,0.00000000000,0.8458594,  0.3071749,51.62047
Skegness,0.1562072,0.00000000000,0.8437928,  0.3378810,53.14640
Downham Market,0.1305908,0.00000000000,0.8694092,  0.3854720,52.60661
King's Lynn,0.1135365,0.00000000000,0.8864635,  0.4022963,52.75168
Bexhill,0.1629919,0.00000000000,0.8370081,  0.4662071,50.84991
Chelmsford,0.1611683,0.00042025636,0.8384114,  0.4685497,51.73559
Mildenhall,0.1758879,0.00000000000,0.8241121,  0.5156095,52.34757
Medway,0.1611028,0.00112528132,0.8377719,  0.5417861,51.40474
Braintree,0.1701159,0.00000000000,0.8298841,  0.5509269,51.88009
Gillingham,0.1594393,0.00112149533,0.8394393,  0.5514380,51.38632
Hastings,0.1615776,0.00000000000,0.8384224,  0.5734530,50.85426
Maldon,0.1545802,0.00034698126,0.8450729,  0.6714480,51.73181
Southend,0.1426090,0.00075805433,0.8566330,  0.7077123,51.54593
Bury St Edmunds,0.1746889,0.00000000000,0.8253111,  0.7104932,52.24292
Thetford,0.1480911,0.00000000000,0.8519089,  0.7516570,52.41286
Ashford,0.1697368,0.00000000000,0.8302632,  0.8750190,51.14647
Faversham,0.1580750,0.00000000000,0.8419250,  0.8893580,51.31599
Colchester,0.1505948,0.00000000000,0.8494052,  0.8918740,51.89593
New Romney,0.1671910,0.00000000000,0.8328090,  0.9394730,50.98512
Canterbury,0.1594043,0.00000000000,0.8405957,  1.0789089,51.28023
Ipswich,0.1319790,0.00000000000,0.8680210,  1.1482200,52.05674
Clacton,0.1531857,0.00000000000,0.8468143,  1.1530350,51.78953
Folkestone,0.1630281,0.00000000000,0.8369719,  1.1694560,51.08140
Sheringham,0.1793211,0.00000000000,0.8206789,  1.2109589,52.94442
Harwich,0.1354892,0.00000000000,0.8645108,  1.2602970,51.93473
Norwich,0.1355050,0.00000000000,0.8644950,  1.2973550,52.63089
Cromer,0.1699007,0.00000000000,0.8300993,  1.3018660,52.93145
Dover,0.1570328,0.00000000000,0.8429672,  1.3134027,51.12788
Felixstowe,0.1369808,0.00000000000,0.8630192,  1.3512550,51.96173
Margate,0.1515462,0.00000000000,0.8484538,  1.3868339,51.38965
Ramsgate,0.1488476,0.00000000000,0.8511524,  1.4198950,51.33555
Great Yarmouth,0.1552380,0.00055674121,0.8442053,  1.7280470,52.59823
Lowestoft,0.1603853,0.00056111475,0.8390536,  1.7534490,52.48114
Swaffham,0.1498120,0.00000000000,0.8501880,  0.6874810,52.64747
Dereham,0.1706103,0.00000000000,0.8293897,  0.9378270,52.68162
Ely,0.1502433,0.00243309002,0.8473236,  0.2623630,52.39954
March,0.1475575,0.00000000000,0.8524425,  0.0886220,52.55172
St Neots,0.1314526,0.00000000000,0.8685474, -0.2651030,52.23008
Banham,0.1529575,0.00000000000,0.8470425,  1.0402849,52.45125
Holt,0.1652122,0.00000000000,0.8347878,  1.0867470,52.90936
Cromer,0.1699007,0.00000000000,0.8300993,  1.3018660,52.93145
Hunstanton,0.1217829,0.00000000000,0.8782171,  0.4910320,52.93891
Horncastle,0.1665354,0.00000000000,0.8334646, -0.1124500,53.20731
Market Weighton,0.1328655,0.00000000000,0.8671345, -0.6677465,53.86484
Hawes,0.1725352,0.00000000000,0.8274648, -2.1968695,54.30383
Reeth,0.1507143,0.00000000000,0.8492857, -1.9428115,54.38946
Aysgarth,0.1579336,0.00000000000,0.8420664, -1.9967434,54.29159
Stanhope,0.1877551,0.00000000000,0.8122449, -2.0113020,54.74946
Keswick,0.1598883,0.00000000000,0.8401117, -3.1347060,54.60128
Oxenholme,0.1541838,0.00084949738,0.8449667, -2.7243328,54.30134
