placename,goal_theme_ditransitive,prepositional_dative,theme_goal_ditransitive,longitude,latitude
Truro,0.08859060,0.8147651,0.09664430, -5.0510410,50.26320
Milford Haven,0.10322581,0.8000000,0.09677419, -5.0426971,51.71431
Stranraer,0.39774330,0.5183357,0.08392102, -5.0240550,54.90337
Fishguard,0.10884354,0.7959184,0.09523810, -4.9759890,51.99393
Inchnadamph,0.43248175,0.5054745,0.06204380, -4.9742950,58.15221
Haverfordwest,0.09584665,0.8083067,0.09584665, -4.9713190,51.80047
Dunoon,0.43620690,0.4982759,0.06551724, -4.9262140,55.95097
Pembroke,0.10191083,0.7898089,0.10828025, -4.9086370,51.67404
Girvan,0.40681004,0.5197133,0.07347670, -4.8542179,55.24016
Wadebridge,0.08859060,0.8147651,0.09664430, -4.8364560,50.51665
Invergarry,0.43248175,0.5054745,0.06204380, -4.8002610,57.07095
St Austell,0.08859060,0.8201342,0.09127517, -4.7834252,50.34038
Greenock,0.46022727,0.4829545,0.05681818, -4.7719830,55.95648
Helensburgh,0.44971537,0.4857685,0.06451613, -4.7340140,56.00232
Bodmin,0.08835341,0.8152610,0.09638554, -4.7188629,50.47150
Tenby,0.09150327,0.7986928,0.10980392, -4.7035790,51.67274
Camelford,0.08859060,0.8147651,0.09664430, -4.6823640,50.62206
Irvine,0.41929825,0.5087719,0.07192982, -4.6696364,55.61157
Cardigan,0.08744711,0.7827927,0.12976023, -4.6608640,52.08370
Holyhead,0.13355971,0.6785512,0.18788908, -4.6330380,53.30944
Ayr,0.41783217,0.5104895,0.07167832, -4.6291790,55.45856
Dumbarton,0.45437262,0.4847909,0.06083650, -4.5645540,55.94529
Bude,0.09370817,0.8099063,0.09638554, -4.5436780,50.82664
Isle of Man,0.21953188,0.6142050,0.16626312, -4.5126331,54.27697
Kilmarnock,0.44212524,0.4952562,0.06261860, -4.4987920,55.61472
Newton Stewart,0.40329218,0.5164609,0.08024691, -4.4831640,54.96030
Liskeard,0.08859060,0.8201342,0.09127517, -4.4647190,50.45552
Altnaharra,0.43248175,0.5054745,0.06204380, -4.4426550,58.28023
Pwllheli,0.12305854,0.6786141,0.19832736, -4.4176339,52.88882
Lairg,0.43248175,0.5054745,0.06204380, -4.4024140,58.02206
Launceston,0.08859060,0.8201342,0.09127517, -4.3604516,50.63683
Carmarthen,0.09475032,0.7797695,0.12548015, -4.3121310,51.85762
Llangefni,0.16324786,0.5581197,0.27863248, -4.3114020,53.25579
Caernarfon,0.15811966,0.5581197,0.28376068, -4.2739110,53.13955
Cumnock,0.43206256,0.5034213,0.06451613, -4.2658289,55.45355
Aberaeron,0.11724138,0.7310345,0.15172414, -4.2581619,52.24279
Alness,0.43248175,0.5054745,0.06204380, -4.2568250,57.69595
Glasgow,0.45992366,0.4790076,0.06106870, -4.2518060,55.86424
Dalwhinnie,0.43248175,0.5054745,0.06204380, -4.2427830,56.93660
Inverness,0.43248175,0.5054745,0.06204380, -4.2247210,57.47777
Saltash,0.08859060,0.8201342,0.09127517, -4.2164300,50.40921
Bideford,0.09222661,0.8076416,0.10013175, -4.2066660,51.01668
Invergordon,0.43248175,0.5054745,0.06204380, -4.1728820,57.68811
Llanelli,0.10038610,0.7889318,0.11068211, -4.1602480,51.68089
Plymouth,0.09032258,0.8116129,0.09806452, -4.1426565,50.37546
Tavistock,0.08859060,0.8147651,0.09664430, -4.1416540,50.55112
Porthmadog,0.15045045,0.5666667,0.28288288, -4.1333840,52.92784
Bangor,0.15691264,0.5513147,0.29177269, -4.1292630,53.22739
Tywyn,0.16483516,0.5961538,0.23901099, -4.0872490,52.58701
Aberystwyth,0.10033445,0.6923077,0.20735786, -4.0829200,52.41530
Lampeter,0.08481532,0.7482900,0.16689466, -4.0785090,52.11290
Barnstaple,0.09961686,0.7982120,0.10217114, -4.0583380,51.07816
