placename,goal_theme_ditransitive,prepositional_dative,theme_goal_ditransitive,longitude,latitude
Milton Keynes,0.07627119,0.7807203,0.14300847, -0.7594171,52.04062
Aldershot,0.09994794,0.7844872,0.11556481, -0.7557509,51.24837
High Wycombe,0.06871421,0.8094742,0.12181156, -0.7482290,51.62861
Midhurst,0.14178168,0.7603513,0.09786700, -0.7372740,50.98690
Kettering,0.11980033,0.6405990,0.23960067, -0.7302490,52.39632
Wellingborough,0.11780822,0.6630137,0.21917808, -0.6939640,52.30242
Corby,0.12380952,0.6365079,0.23968254, -0.6842333,52.49230
Bognor Regis,0.14285714,0.7516088,0.10553411, -0.6730610,50.78300
Scunthorpe,0.23584906,0.4827044,0.28144654, -0.6544130,53.58865
Grantham,0.13681428,0.5591540,0.30403173, -0.6435820,52.91252
Whitby,0.31501832,0.4945055,0.19047619, -0.6133470,54.48633
Slough,0.07710614,0.8229415,0.09995240, -0.5950406,51.51054
Guildford,0.10251542,0.7921215,0.10536308, -0.5704090,51.23622
Woking,0.10580046,0.7967517,0.09744780, -0.5600349,51.31677
Lincoln,0.17285531,0.4961588,0.33098592, -0.5405790,53.23069
Bedford,0.09375000,0.7589286,0.14732143, -0.4667782,52.13864
Heathrow,0.07755946,0.8293692,0.09307135, -0.4542955,51.47002
Driffield,0.27761712,0.4482360,0.27414691, -0.4433770,54.00600
Beverley,0.26651081,0.4529515,0.28053770, -0.4350930,53.84196
Luton,0.06472492,0.7864078,0.14886731, -0.4200255,51.87867
Scarborough,0.32002753,0.4776325,0.20233999, -0.3997520,54.28311
Worthing,0.14516129,0.7605459,0.09429280, -0.3728820,50.81787
Dorking,0.12034384,0.7822350,0.09742120, -0.3323780,51.23220
Hull,0.25813953,0.4680233,0.27383721, -0.3274198,53.76762
Horsham,0.14893617,0.7500000,0.10106383, -0.3258580,51.06288
Biggleswade,0.09958506,0.7385892,0.16182573, -0.2642200,52.08694
Peterborough,0.13770492,0.6532787,0.20901639, -0.2405299,52.56950
Welwyn Garden City,0.07851690,0.7808070,0.14067612, -0.2086610,51.80317
Bridlington,0.27761712,0.4482360,0.27414691, -0.1988020,54.08535
Stevenage,0.07164179,0.7850746,0.14328358, -0.1966120,51.90376
Crawley,0.12658228,0.7721519,0.10126582, -0.1872275,51.10914
Huntingdon,0.12883436,0.6963190,0.17484663, -0.1825520,52.33146
Hove,0.16583541,0.7443890,0.08977556, -0.1687490,50.82793
Spalding,0.14157852,0.6362897,0.22213181, -0.1537024,52.79010
Brighton,0.16583541,0.7443890,0.08977556, -0.1371630,50.82253
London,0.09306395,0.8200764,0.08685969, -0.1277583,51.50735
Grimsby,0.22203947,0.4868421,0.29111842, -0.0807840,53.56747
Boston,0.18942384,0.5808998,0.22967640, -0.0265770,52.97894
Royston,0.06166495,0.7872559,0.15107914, -0.0240660,52.04814
Louth,0.18467852,0.5157319,0.29958960, -0.0077110,53.36596
Lewes,0.14720812,0.7563452,0.09644670,  0.0087800,50.87387
Chatteris,0.14111007,0.7036689,0.15522107,  0.0540120,52.45610
Uckfield,0.14285714,0.7602041,0.09693878,  0.0959130,50.96641
Cambridge,0.11000991,0.7680872,0.12190287,  0.1218170,52.20534
Bishop's Stortford,0.09375000,0.7744141,0.13183594,  0.1536502,51.87216
Wisbech,0.15261959,0.6492027,0.19817768,  0.1587970,52.66632
Sevenoaks,0.09777572,0.8067655,0.09545876,  0.1908980,51.27241
Tunbridge Wells,0.13054830,0.7624021,0.10704961,  0.2636950,51.13238
Eastbourne,0.14572864,0.7688442,0.08542714,  0.2904720,50.76803
Brentwood,0.09785933,0.7951070,0.10703364,  0.3071749,51.62047
Skegness,0.20071942,0.5920863,0.20719424,  0.3378810,53.14640
Downham Market,0.15096066,0.7447392,0.10430009,  0.3854720,52.60661
King's Lynn,0.16009281,0.6426914,0.19721578,  0.4022963,52.75168
Bexhill,0.13759214,0.7665848,0.09582310,  0.4662071,50.84991
Chelmsford,0.08722741,0.8037383,0.10903427,  0.4685497,51.73559
Mildenhall,0.15566038,0.7339623,0.11037736,  0.5156095,52.34757
Medway,0.11436950,0.8152493,0.07038123,  0.5417861,51.40474
Braintree,0.09751434,0.7877629,0.11472275,  0.5509269,51.88009
Gillingham,0.11470588,0.8176471,0.06764706,  0.5514380,51.38632
Hastings,0.13613861,0.7574257,0.10643564,  0.5734530,50.85426
Maldon,0.09912536,0.8075802,0.09329446,  0.6714480,51.73181
Southend,0.10495627,0.8046647,0.09037901,  0.7077123,51.54593
Bury St Edmunds,0.12926391,0.7576302,0.11310592,  0.7104932,52.24292
Thetford,0.16223909,0.7239089,0.11385199,  0.7516570,52.41286
Ashford,0.10743802,0.8044077,0.08815427,  0.8750190,51.14647
Faversham,0.10404624,0.8323699,0.06358382,  0.8893580,51.31599
Colchester,0.08946878,0.7986952,0.11183597,  0.8918740,51.89593
New Romney,0.12781955,0.7769424,0.09523810,  0.9394730,50.98512
Canterbury,0.09855072,0.8289855,0.07246377,  1.0789089,51.28023
Ipswich,0.12010676,0.7838078,0.09608541,  1.1482200,52.05674
Clacton,0.09048068,0.8133836,0.09613572,  1.1530350,51.78953
Folkestone,0.11083744,0.7906404,0.09852217,  1.1694560,51.08140
Sheringham,0.22604651,0.6567442,0.11720930,  1.2109589,52.94442
Harwich,0.10704728,0.8019625,0.09099019,  1.2602970,51.93473
Norwich,0.15744275,0.7395038,0.10305344,  1.2973550,52.63089
Cromer,0.22604651,0.6567442,0.11720930,  1.3018660,52.93145
Dover,0.10109290,0.8169399,0.08196721,  1.3134027,51.12788
Felixstowe,0.10704728,0.8019625,0.09099019,  1.3512550,51.96173
Margate,0.10000000,0.8235294,0.07647059,  1.3868339,51.38965
Ramsgate,0.10465116,0.8110465,0.08430233,  1.4198950,51.33555
Great Yarmouth,0.13132296,0.7577821,0.11089494,  1.7280470,52.59823
Lowestoft,0.12759924,0.7589792,0.11342155,  1.7534490,52.48114
Swaffham,0.17084942,0.7249035,0.10424710,  0.6874810,52.64747
Dereham,0.17197452,0.7133758,0.11464968,  0.9378270,52.68162
Ely,0.14107486,0.7610365,0.09788868,  0.2623630,52.39954
March,0.15548003,0.6992353,0.14528462,  0.0886220,52.55172
St Neots,0.09140370,0.7714908,0.13710555, -0.2651030,52.23008
Banham,0.15306122,0.7411874,0.10575139,  1.0402849,52.45125
Holt,0.22604651,0.6567442,0.11720930,  1.0867470,52.90936
Cromer,0.22604651,0.6567442,0.11720930,  1.3018660,52.93145
Hunstanton,0.19739696,0.6095445,0.19305857,  0.4910320,52.93891
Horncastle,0.17647059,0.5261438,0.29738562, -0.1124500,53.20731
Market Weighton,0.26744868,0.4475073,0.28504399, -0.6677465,53.86484
Hawes,0.24785714,0.5192857,0.23285714, -2.1968695,54.30383
Reeth,0.27106227,0.5238095,0.20512821, -1.9428115,54.38946
Aysgarth,0.24477411,0.5347269,0.22049899, -1.9967434,54.29159
Stanhope,0.27392120,0.5384615,0.18761726, -2.0113020,54.74946
Keswick,0.20896861,0.5659193,0.22511211, -3.1347060,54.60128
Oxenholme,0.17386935,0.5376884,0.28844221, -2.7243328,54.30134
