placename,amnt,arent,longitude,latitude
Portree,0.0493421053,0.9506579, -6.1960231,57.41247
Islay,0.0577235772,0.9422764, -6.1770670,55.73625
Wicklow,0.1383606557,0.8616393, -6.0445890,52.98082
Kilkeel,0.1591397849,0.8408602, -6.0070040,54.06312
Mull,0.0584362140,0.9415638, -6.0008870,56.43920
Belfast,0.1651785714,0.8348214, -5.9301200,54.59728
Broadford,0.0493421053,0.9506579, -5.9096592,57.24139
Down,0.1591397849,0.8408602, -5.7156922,54.32875
Kyle of Lochalsh,0.0493421053,0.9506579, -5.7143293,57.28261
Campbeltown,0.0471327573,0.9528672, -5.6053740,55.42412
Penzance,0.0000000000,1.0000000, -5.5375920,50.11880
Oban,0.0493421053,0.9506579, -5.4710470,56.41516
Lochgilphead,0.0481540931,0.9518459, -5.4323449,56.03829
Helston,0.0000000000,1.0000000, -5.2749960,50.10159
Redruth,0.0000000000,1.0000000, -5.2266660,50.23302
Ullapool,0.0457317073,0.9542683, -5.1613130,57.89542
Ballachulish,0.0481540931,0.9518459, -5.1337200,56.67393
Fort William,0.0485044462,0.9514956, -5.1052179,56.81982
Achnasheen,0.0475812847,0.9524187, -5.0787658,57.57859
Newquay,0.0000000000,1.0000000, -5.0737190,50.41550
Falmouth,0.0000000000,1.0000000, -5.0662700,50.15257
Rothesay,0.0488599349,0.9511401, -5.0557930,55.83596
Truro,0.0000000000,1.0000000, -5.0510410,50.26320
Milford Haven,0.0000000000,1.0000000, -5.0426971,51.71431
Stranraer,0.0413476263,0.9586524, -5.0240550,54.90337
Fishguard,0.0013670540,0.9986329, -4.9759890,51.99393
Inchnadamph,0.0464756003,0.9535244, -4.9742950,58.15221
Haverfordwest,0.0000000000,1.0000000, -4.9713190,51.80047
Dunoon,0.0492206727,0.9507793, -4.9262140,55.95097
Pembroke,0.0000000000,1.0000000, -4.9086370,51.67404
Girvan,0.0427215190,0.9572785, -4.8542179,55.24016
Wadebridge,0.0000000000,1.0000000, -4.8364560,50.51665
Invergarry,0.0475812847,0.9524187, -4.8002610,57.07095
St Austell,0.0000000000,1.0000000, -4.7834252,50.34038
Greenock,0.0489795918,0.9510204, -4.7719830,55.95648
Helensburgh,0.0492206727,0.9507793, -4.7340140,56.00232
Bodmin,0.0000000000,1.0000000, -4.7188629,50.47150
Tenby,0.0000000000,1.0000000, -4.7035790,51.67274
Camelford,0.0000000000,1.0000000, -4.6823640,50.62206
Irvine,0.0475812847,0.9524187, -4.6696364,55.61157
Cardigan,0.0000000000,1.0000000, -4.6608640,52.08370
Holyhead,0.0658885542,0.9341114, -4.6330380,53.30944
Ayr,0.0474683544,0.9525316, -4.6291790,55.45856
Dumbarton,0.0474683544,0.9525316, -4.5645540,55.94529
Bude,0.0000000000,1.0000000, -4.5436780,50.82664
Isle of Man,0.0043763676,0.9956236, -4.5126331,54.27697
Kilmarnock,0.0473559590,0.9526440, -4.4987920,55.61472
Newton Stewart,0.0355292376,0.9644708, -4.4831640,54.96030
Liskeard,0.0000000000,1.0000000, -4.4647190,50.45552
Altnaharra,0.0466321244,0.9533679, -4.4426550,58.28023
Pwllheli,0.0008616975,0.9991383, -4.4176339,52.88882
Lairg,0.0474934037,0.9525066, -4.4024140,58.02206
Launceston,0.0000000000,1.0000000, -4.3604516,50.63683
Carmarthen,0.0000000000,1.0000000, -4.3121310,51.85762
Llangefni,0.0000000000,1.0000000, -4.3114020,53.25579
Caernarfon,0.0000000000,1.0000000, -4.2739110,53.13955
Cumnock,0.0461538462,0.9538462, -4.2658289,55.45355
Aberaeron,0.0000000000,1.0000000, -4.2581619,52.24279
Alness,0.0355263158,0.9644737, -4.2568250,57.69595
Glasgow,0.0465838509,0.9534161, -4.2518060,55.86424
Dalwhinnie,0.0480854853,0.9519145, -4.2427830,56.93660
Inverness,0.0355263158,0.9644737, -4.2247210,57.47777
Saltash,0.0000000000,1.0000000, -4.2164300,50.40921
Bideford,0.0000000000,1.0000000, -4.2066660,51.01668
Invergordon,0.0352480418,0.9647520, -4.1728820,57.68811
Llanelli,0.0000000000,1.0000000, -4.1602480,51.68089
Plymouth,0.0000000000,1.0000000, -4.1426565,50.37546
Tavistock,0.0000000000,1.0000000, -4.1416540,50.55112
Porthmadog,0.0000000000,1.0000000, -4.1333840,52.92784
Bangor,0.0000000000,1.0000000, -4.1292630,53.22739
Tywyn,0.0000000000,1.0000000, -4.0872490,52.58701
Aberystwyth,0.0000000000,1.0000000, -4.0829200,52.41530
Lampeter,0.0000000000,1.0000000, -4.0785090,52.11290
Barnstaple,0.0000000000,1.0000000, -4.0583380,51.07816
Tain,0.0346375882,0.9653624, -4.0552300,57.81150
Okehampton,0.0000000000,1.0000000, -4.0042630,50.73831
Llandeilo,0.0000000000,1.0000000, -3.9914300,51.88469
Motherwell,0.0346820809,0.9653179, -3.9810968,55.78321
Golspie,0.0346375882,0.9653624, -3.9760860,57.97341
Airdrie,0.0344168260,0.9655832, -3.9625660,55.86627
Swansea,0.0000000000,1.0000000, -3.9436460,51.62144
Stirling,0.0463519313,0.9536481, -3.9369029,56.11652
Tregaron,0.0000000000,1.0000000, -3.9343850,52.22000
Tregaron,0.0000000000,1.0000000, -3.9343850,52.22000
Castle Douglas,0.0328317373,0.9671683, -3.9314140,54.94042
Dolgellau,0.0000000000,1.0000000, -3.8844000,52.74215
Aberfeldy,0.0347714102,0.9652286, -3.8669690,56.62175
Machynlleth,0.0000000000,1.0000000, -3.8534850,52.59027
Brora,0.0346375882,0.9653624, -3.8525480,58.01216
Llandudno,0.0000000000,1.0000000, -3.8276090,53.32406
Llandudno,0.0000000000,1.0000000, -3.8276090,53.32406
Aviemore,0.0346375882,0.9653624, -3.8238120,57.19449
Dalbeattie,0.0310192024,0.9689808, -3.8225270,54.93422
Falkirk,0.0351562500,0.9648438, -3.7839131,56.00188
Kingsbridge,0.0000000000,1.0000000, -3.7774930,50.28395
Pitlochry,0.0345047923,0.9654952, -3.7297110,56.70436
Colwyn Bay,0.0000000000,1.0000000, -3.7276400,53.29318
Totnes,0.0000000000,1.0000000, -3.6857970,50.43374
Grantown-on-Spey,0.0341772152,0.9658228, -3.6096280,57.33041
Dumfries,0.0281690141,0.9718310, -3.6051200,55.07086
Whitehaven,0.0000000000,1.0000000, -3.5892330,54.54970
Dartmouth,0.0000000000,1.0000000, -3.5788070,50.35252
Bridgend,0.0000000000,1.0000000, -3.5769450,51.50429
Paignton,0.0000000000,1.0000000, -3.5642350,50.43508
Workington,0.0042105263,0.9957895, -3.5427520,54.64357
Llanidloes,0.0000000000,1.0000000, -3.5401950,52.44779
Exeter,0.0000000000,1.0000000, -3.5338990,50.71841
Torquay,0.0000000000,1.0000000, -3.5253150,50.46192
Thurso,0.0341772152,0.9658228, -3.5220800,58.59357
Livingston,0.0337922403,0.9662078, -3.5180680,55.90071
Rhyl,0.0000000000,1.0000000, -3.4916340,53.31914
Tiverton,0.0000000000,1.0000000, -3.4912070,50.90205
Tiverton,0.0000000000,1.0000000, -3.4912070,50.90205
Minehead,0.0000000000,1.0000000, -3.4811520,51.20428
Dunfermline,0.0343074968,0.9656925, -3.4521510,56.07174
Perth,0.0345047923,0.9654952, -3.4308381,56.39499
Prestatyn,0.0000000000,1.0000000, -3.4076130,53.33651
Builth Wells,0.0000000000,1.0000000, -3.4045920,52.15002
Braemar,0.0341772152,0.9658228, -3.3979439,57.00647
Brecon,0.0000000000,1.0000000, -3.3914630,51.94895
Merthyr Tydfil,0.0000000000,1.0000000, -3.3816460,51.74873
Llandrindod Wells,0.0000000000,1.0000000, -3.3777420,52.24170
Corwen,0.0000000000,1.0000000, -3.3692420,52.98005
Cockermouth,0.0000000000,1.0000000, -3.3679850,54.66326
Lockerbie,0.0233853007,0.9766147, -3.3490080,55.12224
Blairgowrie,0.0341772152,0.9658228, -3.3378318,56.58941
Elgin,0.0341772152,0.9658228, -3.3184850,57.64945
Newtown,0.0000000000,1.0000000, -3.3131060,52.51211
Ruthin,0.0000000000,1.0000000, -3.3103108,53.11487
Ruthin,0.0000000000,1.0000000, -3.3103108,53.11487
Sidmouth,0.0000000000,1.0000000, -3.2375600,50.67865
Barrow-in-Furness,0.0000000000,1.0000000, -3.2188940,54.10897
Peebles,0.0335403727,0.9664596, -3.1936420,55.65307
Edinburgh,0.0344387755,0.9655612, -3.1882670,55.95325
Cardiff,0.0000000000,1.0000000, -3.1790900,51.48158
Llangollen,0.0000000000,1.0000000, -3.1716600,52.96921
Kirkcaldy,0.0345710627,0.9654289, -3.1581370,56.11682
Welshpool,0.0000000000,1.0000000, -3.1464070,52.66035
Mold,0.0000000000,1.0000000, -3.1419030,53.16720
Mold,0.0000000000,1.0000000, -3.1419030,53.16720
