placename,past participle,present participle,longitude,latitude
Dingle,0.1715089,0.82849110,-10.2640135,52.14094
Tralee,0.1727108,0.82728921, -9.6999325,52.27131
Killarney,0.1668092,0.83319076, -9.5044265,52.05994
Bantry,0.1657092,0.83429076, -9.4539805,51.68035
Mayo,0.1700405,0.82995951, -9.4289369,54.01526
Ballycastle,0.1430605,0.85693950, -9.3724643,54.27967
Abbeyfeale,0.1727108,0.82728921, -9.2970823,52.38618
Ennistymon,0.1775510,0.82244898, -9.2934951,52.94037
Galway,0.1823298,0.81767023, -9.0567905,53.27067
Claremorris,0.1627397,0.83726027, -9.0017356,53.72388
Clare,0.1767327,0.82326733, -8.9811351,52.90453
Adare,0.1726137,0.82738626, -8.7925892,52.56363
Charleville,0.1665938,0.83340621, -8.6810176,52.36206
Mallow,0.1644016,0.83559842, -8.6539164,52.13898
Limerick,0.1732902,0.82670980, -8.6267343,52.66384
Loughrea,0.1831147,0.81688534, -8.5660931,53.19891
Sligo,0.1672548,0.83274524, -8.4760888,54.27661
Cork,0.1649077,0.83509235, -8.4756035,51.89851
Nenagh,0.1656174,0.83438257, -8.1983400,52.86350
Roscommon,0.1628624,0.83713757, -8.1890955,53.62759
Tipperary,0.1661498,0.83385024, -8.1618514,52.47379
Donegal,0.1453851,0.85461492, -8.1096143,54.65383
Leitrim,0.1494576,0.85054239, -8.0020132,54.12469
Athlone,0.1727837,0.82721626, -7.9406898,53.42393
Longford,0.1778377,0.82216234, -7.7932573,53.72763
Offaly,0.1717756,0.82822441, -7.7122229,53.23569
Fermanagh,0.1674975,0.83250249, -7.6318728,54.34383
Enniskillen,0.1674975,0.83250249, -7.6315336,54.34382
Doon,0.1624549,0.83754513, -7.6096400,54.18593
Westmeath,0.1419327,0.85806726, -7.4653217,53.53453
Strabane,0.1429475,0.85705250, -7.4633103,54.82739
Balivanich,0.2637634,0.73623665, -7.3743509,57.47227
Cavan,0.1503132,0.84968685, -7.3633319,53.98972
Mullingar,0.1361595,0.86384055, -7.3401868,53.52582
Laois,0.1408126,0.85918743, -7.3323007,52.99430
Omagh,0.1415759,0.85842409, -7.3099597,54.59771
Derry,0.1452442,0.85475578, -7.3085748,54.99661
