placename,dont_have,havent,havent_got,longitude,latitude
Midhurst,0.5600000,0.08000000,0.36000000, -0.7372740,50.98690
Kettering,0.5796178,0.00000000,0.42038217, -0.7302490,52.39632
Wellingborough,0.6178344,0.00000000,0.38216561, -0.6939640,52.30242
Corby,0.4935065,0.00000000,0.50649351, -0.6842333,52.49230
Bognor Regis,0.5937500,0.06250000,0.34375000, -0.6730610,50.78300
Scunthorpe,0.5937500,0.03125000,0.37500000, -0.6544130,53.58865
Grantham,0.5666667,0.00000000,0.43333333, -0.6435820,52.91252
Whitby,0.6031746,0.01587302,0.38095238, -0.6133470,54.48633
Slough,0.7586207,0.03448276,0.20689655, -0.5950406,51.51054
Guildford,0.7777778,0.07407407,0.14814815, -0.5704090,51.23622
Woking,0.8148148,0.03703704,0.14814815, -0.5600349,51.31677
Lincoln,0.5000000,0.03333333,0.46666667, -0.5405790,53.23069
Bedford,0.7257143,0.00000000,0.27428571, -0.4667782,52.13864
Heathrow,0.8387097,0.00000000,0.16129032, -0.4542955,51.47002
Driffield,0.5000000,0.03125000,0.46875000, -0.4433770,54.00600
Beverley,0.5000000,0.03125000,0.46875000, -0.4350930,53.84196
Luton,0.7159763,0.00000000,0.28402367, -0.4200255,51.87867
Scarborough,0.6333333,0.03333333,0.33333333, -0.3997520,54.28311
Worthing,0.6129032,0.06451613,0.32258065, -0.3728820,50.81787
Dorking,0.8730159,0.00000000,0.12698413, -0.3323780,51.23220
Hull,0.5151515,0.03030303,0.45454545, -0.3274198,53.76762
Horsham,0.7741935,0.06451613,0.16129032, -0.3258580,51.06288
Biggleswade,0.7906977,0.00000000,0.20930233, -0.2642200,52.08694
Peterborough,0.6103896,0.00000000,0.38961039, -0.2405299,52.56950
Welwyn Garden City,0.7741935,0.00000000,0.22580645, -0.2086610,51.80317
Bridlington,0.5161290,0.03225806,0.45161290, -0.1988020,54.08535
Stevenage,0.7428571,0.00000000,0.25714286, -0.1966120,51.90376
Crawley,0.7611940,0.02985075,0.20895522, -0.1872275,51.10914
Huntingdon,0.6326531,0.03061224,0.33673469, -0.1825520,52.33146
Hove,0.6666667,0.06666667,0.26666667, -0.1687490,50.82793
Spalding,0.6538462,0.00000000,0.34615385, -0.1537024,52.79010
Brighton,0.6666667,0.06666667,0.26666667, -0.1371630,50.82253
London,0.7676768,0.00000000,0.23232323, -0.1277583,51.50735
Grimsby,0.5692308,0.03076923,0.40000000, -0.0807840,53.56747
Boston,0.5102041,0.04081633,0.44897959, -0.0265770,52.97894
Royston,0.6632653,0.03061224,0.30612245, -0.0240660,52.04814
Louth_Lincs,0.5238095,0.03174603,0.44444444, -0.0077110,53.36596
Lewes,0.7419355,0.03225806,0.22580645,  0.0087800,50.87387
Chatteris,0.6804734,0.03550296,0.28402367,  0.0540120,52.45610
Uckfield,0.7777778,0.03174603,0.19047619,  0.0959130,50.96641
Cambridge,0.6526316,0.03157895,0.31578947,  0.1218170,52.20534
Bishop's Stortford,0.8253968,0.00000000,0.17460317,  0.1536502,51.87216
Wisbech,0.5568182,0.03409091,0.40909091,  0.1587970,52.66632
Sevenoaks,0.8644068,0.00000000,0.13559322,  0.1908980,51.27241
Tunbridge Wells,0.7704918,0.00000000,0.22950820,  0.2636950,51.13238
Eastbourne,0.7500000,0.03125000,0.21875000,  0.2904720,50.76803
Brentwood,0.7413793,0.00000000,0.25862069,  0.3071749,51.62047
Skegness,0.4677419,0.03225806,0.50000000,  0.3378810,53.14640
Downham Market,0.5621622,0.03243243,0.40540541,  0.3854720,52.60661
King's Lynn,0.5573770,0.03278689,0.40983607,  0.4022963,52.75168
Bexhill,0.7187500,0.03125000,0.25000000,  0.4662071,50.84991
Chelmsford,0.7000000,0.00000000,0.30000000,  0.4685497,51.73559
Mildenhall,0.5735294,0.02941176,0.39705882,  0.5156095,52.34757
Medway,0.7666667,0.00000000,0.23333333,  0.5417861,51.40474
Braintree,0.6708861,0.02531646,0.30379747,  0.5509269,51.88009
Gillingham,0.7666667,0.00000000,0.23333333,  0.5514380,51.38632
Hastings,0.7096774,0.03225806,0.25806452,  0.5734530,50.85426
Maldon,0.6875000,0.00000000,0.31250000,  0.6714480,51.73181
Southend,0.7000000,0.00000000,0.30000000,  0.7077123,51.54593
Bury St Edmunds,0.5606061,0.03030303,0.40909091,  0.7104932,52.24292
Thetford,0.5076923,0.03076923,0.46153846,  0.7516570,52.41286
Ashford,0.6551724,0.00000000,0.34482759,  0.8750190,51.14647
Faversham,0.7000000,0.00000000,0.30000000,  0.8893580,51.31599
Colchester,0.5844156,0.02597403,0.38961039,  0.8918740,51.89593
New Romney,0.6756757,0.00000000,0.32432432,  0.9394730,50.98512
Canterbury,0.6206897,0.00000000,0.37931034,  1.0789089,51.28023
Ipswich,0.5135135,0.02702703,0.45945946,  1.1482200,52.05674
Clacton,0.5526316,0.02631579,0.42105263,  1.1530350,51.78953
Folkestone,0.6551724,0.00000000,0.34482759,  1.1694560,51.08140
Sheringham,0.4687500,0.03125000,0.50000000,  1.2109589,52.94442
Harwich,0.5135135,0.02702703,0.45945946,  1.2602970,51.93473
Norwich,0.5312500,0.03125000,0.43750000,  1.2973550,52.63089
Cromer,0.4687500,0.03125000,0.50000000,  1.3018660,52.93145
Dover,0.6551724,0.00000000,0.34482759,  1.3134027,51.12788
Felixstowe,0.4864865,0.02702703,0.48648649,  1.3512550,51.96173
Margate,0.6129032,0.00000000,0.38709677,  1.3868339,51.38965
Ramsgate,0.6451613,0.00000000,0.35483871,  1.4198950,51.33555
Great Yarmouth,0.5000000,0.03125000,0.46875000,  1.7280470,52.59823
Lowestoft,0.5072464,0.02898551,0.46376812,  1.7534490,52.48114
Swaffham,0.5312500,0.03125000,0.43750000,  0.6874810,52.64747
Dereham,0.5312500,0.03125000,0.43750000,  0.9378270,52.68162
Ely,0.6353591,0.03314917,0.33149171,  0.2623630,52.39954
March,0.6162791,0.03488372,0.34883721,  0.0886220,52.55172
St Neots,0.6860465,0.00000000,0.31395349, -0.2651030,52.23008
Banham,0.5076923,0.03076923,0.46153846,  1.0402849,52.45125
Holt,0.5000000,0.03125000,0.46875000,  1.0867470,52.90936
Cromer,0.4687500,0.03125000,0.50000000,  1.3018660,52.93145
Hunstanton,0.4310345,0.03448276,0.53448276,  0.4910320,52.93891
Horncastle,0.5555556,0.03174603,0.41269841, -0.1124500,53.20731
Market Weighton,0.5312500,0.03125000,0.43750000, -0.6677465,53.86484
Hawes,0.6875000,0.08333333,0.22916667, -2.1968695,54.30383
Reeth,0.6041667,0.06250000,0.33333333, -1.9428115,54.38946
Aysgarth,0.6708861,0.05063291,0.27848101, -1.9967434,54.29159
Stanhope,0.7118644,0.01694915,0.27118644, -2.0113020,54.74946
Keswick,0.6037736,0.05660377,0.33962264, -3.1347060,54.60128
Oxenholme,0.6274510,0.07843137,0.29411765, -2.7243328,54.30134
