variant,longitude,latitude,need_to_be_xed,need_xed,need_xing,majority_variant
NA,-233133.96053955547,7790781.293784884,0.842,0.019999999999999997,0.13799999999999998,needs to be Xed
NA,-454508.57534967264,6875568.732849514,0.6434678832174201,0.03669531155366099,0.31983680522891883,needs to be Xed
NA,-464523.0993804171,7902081.764336984,0.39235842938837734,0.2902363110898021,0.31740525952182064,needs to be Xed
NA,-473867.5913960769,7903716.555487392,0.8238545933737319,0.08004398667428847,0.09610141995197966,needs to be Xed
NA,-166080.14205862035,6658737.485859629,0.4539827509519102,0.007432638985859064,0.5385846100622308,needs Xing
NA,-274526.66603765386,7700450.50046821,0.5349254682245109,0.31880442385350016,0.14627010792198886,needs to be Xed
NA,-288489.2471288726,7670532.812981689,0.5016152651888284,0.35752344269392816,0.1408612921172434,needs to be Xed
NA,97406.66951443948,6647242.852390651,0.5153648086961207,0.021936400182022663,0.46269879112185675,needs to be Xed
NA,-425664.8047292091,7799975.074029687,0.5973854534346823,0.20549637929328285,0.1971181672720349,needs to be Xed
NA,-401821.95091314253,7827953.620533239,0.6132842613012885,0.2196224005111946,0.16709333818751684,needs to be Xed
NA,-515317.8490709154,7451377.536497721,0.3136449490697327,0.5760408794574963,0.11031417147277102,needs Xed
NA,-699111.0371850707,7335766.097361238,0.5122238633547929,0.3583859496206453,0.1293901870245619,needs to be Xed
NA,-149143.0707775581,6811506.744243429,0.5320067957671649,0.03195772166967883,0.4360354825631562,needs to be Xed
NA,-515747.43098588666,7040442.511032255,0.5291344767975531,0.016624683489542796,0.4542408397129041,needs to be Xed
NA,-459667.45451150526,7025170.177756032,0.4487821653059395,0.12022500662972235,0.43099282806433814,needs to be Xed
NA,-164722.34483356756,7085880.959602008,0.3,0.006,0.6940000000000001,needs Xing
NA,-451772.1196269923,6635130.966655371,0.5781278120127753,0.04364997609323513,0.3782222118939895,needs to be Xed
NA,-358325.6409975236,7190820.409402401,0.4534305634226935,0.04776666257951125,0.4988027739977953,needs Xing
NA,-121605.01099240522,6668577.680976788,0.5463486153579178,0.036403328973090864,0.41724805566899137,needs to be Xed
NA,-262604.53781682864,6688978.381916168,0.6679999999999999,0,0.33199999999999996,needs to be Xed
NA,-51961.51153740082,6825232.159527007,0.46445120391907824,0.042386943591268635,0.4931618524896531,needs Xing
NA,-660137.9387430075,7284096.381953328,1,0,0,needs to be Xed
NA,-223239.55023937687,7512812.638519028,0.359768868978518,0.3320525101949474,0.3081786208265345,needs to be Xed
NA,-468283.9170573771,6624245.459951866,0.5878362250701742,0.07627190806947656,0.3358918668603492,needs to be Xed
NA,-336519.82254348317,7055464.038147936,0.4273852900604495,0.048845719191213305,0.5237689907483372,needs Xing
NA,-210438.47671509522,6888526.481257551,1,0,0,needs to be Xed
NA,-276910.4616135011,7122682.479533938,0.45147089203556673,0.034563951867544476,0.5139651560968889,needs Xing
NA,-337929.77294997266,7135669.463425561,0.4008633830133569,0.027507954583203122,0.57162866240344,needs Xing
NA,61385.7973640612,6689916.220204674,0.5447345925250155,0.021589980886742608,0.4336754265882418,needs to be Xed
NA,-241045.99334768736,6596021.329284243,0.48787205520318955,0.004699080998246866,0.5074288637985637,needs Xing
NA,-168123.26659679288,7386544.967183743,0.48120108224469843,0.1662135460508725,0.35258537170442905,needs to be Xed
NA,-174324.4190189739,7397459.703454149,0.49644615529080244,0.22572453787355,0.27782930683564755,needs to be Xed
NA,-2958.538106812832,6979103.340069991,0.37701334422546523,0.04067957973678508,0.5823070760377498,needs Xing
NA,-209366.24737977437,6571766.627531886,0.638,0.019999999999999997,0.34199999999999997,needs to be Xed
NA,-195855.28946270398,7131612.398344218,0.628,0,0.37199999999999994,needs to be Xed
NA,-377535.93420422805,6790899.657867309,0.6760292438066913,0.0654857863452876,0.2584849698480211,needs to be Xed
NA,-398183.695995546,6710985.551582894,0.5652044501972623,0.05062513916635521,0.3841704106363825,needs to be Xed
NA,-334362.7847703819,6643947.060070163,0.5526699182131194,0.034402870260725554,0.41292721152615514,needs to be Xed
NA,-22130.537408684377,7186337.161902725,0.3328202260140369,0.003167443991771838,0.6640123299941912,needs Xing
NA,-307052.66277457733,6574301.183996955,0.47321737165502664,0.04457151458137316,0.4822111137636002,needs Xing
NA,-15268.915315677788,6589961.170074266,1,0,0,needs to be Xed
NA,-288084.8234188206,6702089.049496805,1,0,0,needs to be Xed
NA,-657860.2529057846,7809617.926776841,0.4504109770883215,0.2352367991522664,0.31435222375941213,needs to be Xed
NA,-636116.2279010835,7818101.701424047,0.44124304028422684,0.2467495672979512,0.312007392417822,needs to be Xed
NA,-505799.9212885998,6590684.741675179,0.5352698299958583,0.08682391646200738,0.3779062535421344,needs to be Xed
NA,-249411.70874054724,7130350.477113402,0.3530784840634588,0.025073184616328206,0.621848331320213,needs Xing
NA,-182245.1347473877,6948671.96613752,0.4595039149975511,0.03507074838803782,0.505425336614411,needs Xing
NA,79091.7412360835,6844168.757609536,0.5350169812593943,0.05187824141780902,0.4131047773227967,needs to be Xed
NA,-213157.90055568406,7031065.606213349,0.41066924606173416,0.029990721003128332,0.5593400329351375,needs Xing
NA,13560.606409964208,6837338.511988595,1,0,0,needs to be Xed
NA,-623987.3793858553,7444617.510135955,0.44405698402728716,0.3445235087312991,0.21141950724141367,needs to be Xed
NA,120103.58936033095,6671014.198547059,0.6114489633514574,0.04265948008010995,0.34589155656843273,needs to be Xed
NA,-353894.6799859882,6706926.020860399,1,0,0,needs to be Xed
NA,-518845.0071367004,6815274.203126033,0.6969966258032464,0.03478014889965734,0.26822322529709625,needs to be Xed
