placename,aint,am_not,amnt,arent,ent,int,m_not,longitude,latitude
Armagh,0.03731055,0.10658584,0.00066133921,0.00066133921,0.00000000000,0.00000000000,0.8547809, -6.6527920,54.35028
Armagh,0.03731055,0.10658584,0.00066133921,0.00066133921,0.00000000000,0.00000000000,0.8547809, -6.6527920,54.35028
Magherafelt,0.04840831,0.10563010,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.8459616, -6.6079805,54.75537
Dunvegan,0.04817604,0.10181332,0.00000000000,0.00156035746,0.00000000000,0.00000000000,0.8484503, -6.5813982,57.43660
Louth,0.04234225,0.10672598,0.00153004204,0.00033261784,0.00000000000,0.00000000000,0.8490691, -6.4889423,53.92523
Wexford,0.03070087,0.10088865,0.00127624877,0.00085083252,0.00042541626,0.00000000000,0.8658580, -6.4633381,52.33692
Craigavon,0.04185144,0.11502217,0.00000000000,0.00055432373,0.00000000000,0.00000000000,0.8425721, -6.4175653,54.44293
Stornoway,0.04504311,0.11414419,0.00014989388,0.00089936329,0.00000000000,0.00000000000,0.8397634, -6.3848692,58.20943
Drogheda,0.04687411,0.11588916,0.00185498754,0.00014269135,0.00000000000,0.00000000000,0.8352391, -6.3560985,53.71786
Rosslare,0.03068129,0.10050545,0.00127543489,0.00085028993,0.00042514496,0.00000000000,0.8662624, -6.3414908,52.25131
Newry,0.03892394,0.10534460,0.00035710035,0.00071420069,0.00000000000,0.00000000000,0.8546602, -6.3402300,54.17510
Scilly Isles,0.03587872,0.10858984,0.00000000000,0.00171007630,0.00000000000,0.00000000000,0.8538214, -6.3274966,49.92773
Ballymena,0.04273944,0.09809475,0.00000000000,0.00102986612,0.00000000000,0.00000000000,0.8581359, -6.2802213,54.86529
Banbridge,0.03976889,0.11112779,0.00000000000,0.00090042770,0.00000000000,0.00000000000,0.8482029, -6.2704803,54.34873
Dublin,0.03517162,0.11024410,0.00389049948,0.00021466351,0.00020802443,0.00000000000,0.8502711, -6.2603097,53.34981
Antrim,0.03433138,0.09969571,0.00031696600,0.00106976025,0.00000000000,0.00023772450,0.8643485, -6.2072498,54.71953
Antrim,0.03433138,0.09969571,0.00031696600,0.00106976025,0.00000000000,0.00023772450,0.8643485, -6.2072498,54.71953
Portree,0.04638101,0.10675274,0.00000000000,0.00141082918,0.00000000000,0.00000000000,0.8454554, -6.1960231,57.41247
Islay,0.04002113,0.10498109,0.00000000000,0.00093132556,0.00000000000,0.00000000000,0.8540665, -6.1770670,55.73625
Wicklow,0.03271828,0.11590640,0.00320492874,0.00056008464,0.00000000000,0.00000000000,0.8476103, -6.0445890,52.98082
Kilkeel,0.04298392,0.10188575,0.00033277870,0.00066555740,0.00000000000,0.00000000000,0.8541320, -6.0070040,54.06312
Mull,0.04598357,0.10838233,0.00084180452,0.00042090226,0.00000000000,0.00000000000,0.8443714, -6.0008870,56.43920
Belfast,0.03460456,0.10120914,0.00028062495,0.00094710921,0.00000000000,0.00021046871,0.8627481, -5.9301200,54.59728
Broadford,0.04585884,0.10653457,0.00000000000,0.00146944228,0.00000000000,0.00000000000,0.8461371, -5.9096592,57.24139
Down,0.05083665,0.11848606,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.8306773, -5.7156922,54.32875
Kyle of Lochalsh,0.04327884,0.10494557,0.00000000000,0.00134545603,0.00000000000,0.00000000000,0.8504301, -5.7143293,57.28261
Campbeltown,0.03505588,0.10200669,0.00040786361,0.00048943633,0.00000000000,0.00000000000,0.8620401, -5.6053740,55.42412
Penzance,0.03635577,0.10783662,0.00000000000,0.00172964343,0.00000000000,0.00000000000,0.8540780, -5.5375920,50.11880
Oban,0.04816915,0.10694992,0.00090956699,0.00045478350,0.00000000000,0.00000000000,0.8435166, -5.4710470,56.41516
Lochgilphead,0.04203706,0.10711956,0.00058964898,0.00088447347,0.00000000000,0.00000000000,0.8493693, -5.4323449,56.03829
Helston,0.03665457,0.10725833,0.00000000000,0.00171560541,0.00000000000,0.00000000000,0.8543715, -5.2749960,50.10159
Redruth,0.03665457,0.10725833,0.00000000000,0.00171560541,0.00000000000,0.00000000000,0.8543715, -5.2266660,50.23302
Ullapool,0.04575772,0.11465302,0.00014784400,0.00088706399,0.00000000000,0.00000000000,0.8385544, -5.1613130,57.89542
Ballachulish,0.04345171,0.10527048,0.00034013080,0.00000000000,0.00000000000,0.00000000000,0.8509377, -5.1337200,56.67393
Fort William,0.04796634,0.10500512,0.00033601637,0.00000000000,0.00000000000,0.00000000000,0.8466925, -5.1052179,56.81982
Achnasheen,0.04548969,0.11589755,0.00014988367,0.00089930202,0.00000000000,0.00000000000,0.8375636, -5.0787658,57.57859
Newquay,0.03889987,0.10559947,0.00000000000,0.00184453228,0.00000000000,0.00000000000,0.8536561, -5.0737190,50.41550
Falmouth,0.03676663,0.10682949,0.00000000000,0.00170246202,0.00000000000,0.00000000000,0.8547014, -5.0662700,50.15257
Rothesay,0.04293492,0.10417656,0.00051156502,0.00116929148,0.00000000000,0.00000000000,0.8512077, -5.0557930,55.83596
Truro,0.03866918,0.10771432,0.00000000000,0.00169116691,0.00000000000,0.00000000000,0.8519253, -5.0510410,50.26320
Milford Haven,0.05724827,0.09872146,0.00000000000,0.00101774696,0.00000000000,0.00000000000,0.8430125, -5.0426971,51.71431
Stranraer,0.03974573,0.11554514,0.00000000000,0.00154102992,0.00038525748,0.00000000000,0.8427828, -5.0240550,54.90337
Fishguard,0.05557355,0.09897014,0.00000000000,0.00103633655,0.00000000000,0.00000000000,0.8444200, -4.9759890,51.99393
Inchnadamph,0.04512671,0.11734404,0.00014604112,0.00043812337,0.00000000000,0.00000000000,0.8369451, -4.9742950,58.15221
Haverfordwest,0.05685903,0.09750997,0.00000000000,0.00104568329,0.00000000000,0.00000000000,0.8445853, -4.9713190,51.80047
Dunoon,0.04685803,0.10938414,0.00050137879,0.00083563132,0.00000000000,0.00000000000,0.8424208, -4.9262140,55.95097
Pembroke,0.05685767,0.09994314,0.00000000000,0.00101080296,0.00000000000,0.00000000000,0.8421884, -4.9086370,51.67404
Girvan,0.03843036,0.10147384,0.00051584377,0.00088430361,0.00000000000,0.00000000000,0.8586957, -4.8542179,55.24016
