placename,dinna,dinnae,dinnit,dinny,disna,disnae,disny,divent,divint,divna,divnae,divnt,divny,doesna,doesnae,doesnt,doesny,dusna,dusnae,dusny,longitude,latitude
Roscommon,0.00000000000,0.00000000000,0.000000000000,0.00274788184,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.000000000000,0.00000000000,0.0000000000,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.9972521,0.00000000000,0.0000000000,0.00000000000,0.0000000000, -8.1890955,53.62759
Tipperary,0.00000000000,0.00013758943,0.000000000000,0.00495321959,0.00000000000,0.00027517887,0.00000000000,0.00000000000,0.000000000000,0.00000000000,0.0000000000,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.9946340,0.00000000000,0.0000000000,0.00000000000,0.0000000000, -8.1618514,52.47379
Donegal,0.00036520977,0.00036520977,0.000000000000,0.00839982470,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.000000000000,0.00000000000,0.0000000000,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.9908698,0.00000000000,0.0000000000,0.00000000000,0.0000000000, -8.1096143,54.65383
Leitrim,0.00000000000,0.00000000000,0.000000000000,0.00415819627,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.000000000000,0.00000000000,0.0000000000,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.9958418,0.00000000000,0.0000000000,0.00000000000,0.0000000000, -8.0020132,54.12469
Athlone,0.00000000000,0.00000000000,0.000000000000,0.00200044454,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.000000000000,0.00000000000,0.0000000000,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.9979996,0.00000000000,0.0000000000,0.00000000000,0.0000000000, -7.9406898,53.42393
Longford,0.00000000000,0.00000000000,0.000000000000,0.00415224913,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.000000000000,0.00000000000,0.0000000000,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.9958478,0.00000000000,0.0000000000,0.00000000000,0.0000000000, -7.7932573,53.72763
Offaly,0.00123051682,0.00000000000,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.000000000000,0.00000000000,0.0000000000,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.9987695,0.00000000000,0.0000000000,0.00000000000,0.0000000000, -7.7122229,53.23569
Fermanagh,0.00040551735,0.00040551735,0.000000000000,0.00527172559,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.000000000000,0.00000000000,0.0000000000,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.9939172,0.00000000000,0.0000000000,0.00000000000,0.0000000000, -7.6318728,54.34383
Enniskillen,0.00040551735,0.00040551735,0.000000000000,0.00527172559,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.000000000000,0.00000000000,0.0000000000,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.9939172,0.00000000000,0.0000000000,0.00000000000,0.0000000000, -7.6315336,54.34382
Doon,0.00000000000,0.00000000000,0.000000000000,0.00446879142,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.000000000000,0.00000000000,0.0000000000,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.9955312,0.00000000000,0.0000000000,0.00000000000,0.0000000000, -7.6096400,54.18593
Westmeath,0.00000000000,0.00000000000,0.000000000000,0.00528434826,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.000000000000,0.00000000000,0.0000000000,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.9947157,0.00000000000,0.0000000000,0.00000000000,0.0000000000, -7.4653217,53.53453
Strabane,0.00000000000,0.00087699516,0.000000000000,0.00559084417,0.00000000000,0.00054812198,0.00000000000,0.00000000000,0.000000000000,0.00000000000,0.0000000000,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.9929840,0.00000000000,0.0000000000,0.00000000000,0.0000000000, -7.4633103,54.82739
Balivanich,0.00283023723,0.00707559306,0.000000000000,0.00339628467,0.00000000000,0.00113209489,0.00000000000,0.00000000000,0.000000000000,0.00000000000,0.0000000000,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.9838676,0.00169814234,0.0000000000,0.00000000000,0.0000000000, -7.3743509,57.47227
Cavan,0.00000000000,0.00000000000,0.000000000000,0.00372261221,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.000000000000,0.00000000000,0.0000000000,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.9962774,0.00000000000,0.0000000000,0.00000000000,0.0000000000, -7.3633319,53.98972
Mullingar,0.00000000000,0.00000000000,0.000000000000,0.00760869565,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.000000000000,0.00000000000,0.0000000000,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.9923913,0.00000000000,0.0000000000,0.00000000000,0.0000000000, -7.3401868,53.52582
Laois,0.00114489251,0.00000000000,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.000000000000,0.00000000000,0.0000000000,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.9988551,0.00000000000,0.0000000000,0.00000000000,0.0000000000, -7.3323007,52.99430
