placename,should_have,should_of,longitude,latitude
Mayo,0.9421898,0.05781017, -9.4289369,54.01526
Meath,0.9253197,0.07468031, -6.6564169,53.60555
Medway,0.8647504,0.13524961,  0.5417861,51.40474
Melton Mowbray,0.8947741,0.10522586, -0.8871260,52.76640
Merthyr Tydfil,0.8676980,0.13230196, -3.3816460,51.74873
Middlesbrough,0.7967711,0.20322893, -1.2349560,54.57423
Midhurst,0.8821267,0.11787327, -0.7372740,50.98690
Mildenhall,0.8859454,0.11405463,  0.5156095,52.34757
Milford Haven,0.8775880,0.12241201, -5.0426971,51.71431
Milton Keynes,0.8928980,0.10710198, -0.7594171,52.04062
Minehead,0.8893481,0.11065185, -3.4811520,51.20428
Mold,0.8405329,0.15946706, -3.1419030,53.16720
Mold,0.8405329,0.15946706, -3.1419030,53.16720
Monaghan,0.9194498,0.08055022, -6.9683132,54.24920
Montrose,0.9070196,0.09298035, -2.4661150,56.70692
Morecambe,0.8468404,0.15315963, -2.8649680,54.07417
Motherwell,0.9553659,0.04463415, -3.9810968,55.78321
Mull,0.9359008,0.06409918, -6.0008870,56.43920
Mullingar,0.9089775,0.09102253, -7.3401868,53.52582
Nantwich,0.8515574,0.14844263, -2.5241020,53.06719
Nenagh,0.9452333,0.05476673, -8.1983400,52.86350
New Romney,0.8835012,0.11649885,  0.9394730,50.98512
Newark-on-Trent,0.8544231,0.14557692, -0.8065700,53.07004
Newbury,0.9000892,0.09991079, -1.3231139,51.40141
Newcastle,0.8665658,0.13343424, -1.6177800,54.97825
Newcastle-under-Lyme,0.8123655,0.18763449, -2.2273002,53.01321
Newport,0.8497402,0.15025985, -2.9976640,51.58415
Newquay,0.8781310,0.12186898, -5.0737190,50.41550
Newry,0.9232156,0.07678443, -6.3402300,54.17510
Newton Stewart,0.8839551,0.11604486, -4.4831640,54.96030
Newtown,0.8804283,0.11957168, -3.3131060,52.51211
Northallerton,0.8337766,0.16622340, -1.4299590,54.33796
Northampton,0.8887101,0.11128989, -0.9026560,52.24048
Norwich,0.8918541,0.10814587,  1.2973550,52.63089
Nottingham,0.8726414,0.12735859, -1.1581086,52.95478
Nuneaton,0.8665241,0.13347591, -1.4653820,52.52049
Oban,0.9312037,0.06879629, -5.4710470,56.41516
Offaly,0.9117947,0.08820527, -7.7122229,53.23569
Okehampton,0.8998530,0.10014698, -4.0042630,50.73831
Omagh,0.9051149,0.09488515, -7.3099597,54.59771
Orkney Islands,0.9081031,0.09189693, -2.9605206,58.98094
Oswestry,0.8425330,0.15746697, -3.0564120,52.85715
Otley,0.8942497,0.10575033, -1.6917860,53.90583
Oxenholme,0.8737572,0.12624282, -2.7243328,54.30134
Oxford,0.9238322,0.07616782, -1.2577263,51.75202
Paignton,0.8891717,0.11082825, -3.5642350,50.43508
Peebles,0.9532885,0.04671149, -3.1936420,55.65307
Pembroke,0.8780928,0.12190722, -4.9086370,51.67404
Penrith,0.8388448,0.16115518, -2.7527080,54.66410
Penzance,0.8753769,0.12462306, -5.5375920,50.11880
Perth,0.9064964,0.09350357, -3.4308381,56.39499
Peterborough,0.8567994,0.14320061, -0.2405299,52.56950
Peterhead,0.9021634,0.09783663, -1.7840660,57.50812
Petersfield,0.8555422,0.14445778, -0.9389900,51.00759
Pitlochry,0.9096006,0.09039944, -3.7297110,56.70436
Plymouth,0.8765619,0.12343811, -4.1426565,50.37546
Poole,0.8705211,0.12947886, -1.9872480,50.71505
Porthmadog,0.8965436,0.10345645, -4.1333840,52.92784
Portree,0.9015330,0.09846698, -6.1960231,57.41247
Portsmouth,0.8456838,0.15431625, -1.0879769,50.81977
Prestatyn,0.8133082,0.18669184, -3.4076130,53.33651
Preston,0.8555513,0.14444868, -2.7030900,53.76320
Pwllheli,0.9046131,0.09538687, -4.4176339,52.88882
Ramsgate,0.8883489,0.11165114,  1.4198950,51.33555
Reading,0.9068742,0.09312579, -0.9781303,51.45426
Redruth,0.8747911,0.12520894, -5.2266660,50.23302
Reeth,0.8365656,0.16343441, -1.9428115,54.38946
Retford,0.8583480,0.14165198, -0.9455030,53.32136
Rhyl,0.8198828,0.18011724, -3.4916340,53.31914
Ringwood,0.8673914,0.13260859, -1.7888170,50.84495
Rochdale,0.8633644,0.13663562, -2.1561000,53.60971
Roscommon,0.9410872,0.05891277, -8.1890955,53.62759
Ross-on-Wye,0.8527137,0.14728631, -2.5824460,51.91445
Rosslare,0.9036163,0.09638369, -6.3414908,52.25131
Rotherham,0.9559668,0.04403317, -1.3635009,53.43260
Rothesay,0.9318256,0.06817443, -5.0557930,55.83596
Royston,0.8969313,0.10306871, -0.0240660,52.04814
Rugby,0.8805343,0.11946574, -1.2650320,52.37088
Ruthin,0.8178934,0.18210660, -3.3103108,53.11487
Ruthin,0.8178934,0.18210660, -3.3103108,53.11487
Salisbury,0.8965927,0.10340734, -1.7944720,51.06878
Saltash,0.8690742,0.13092582, -4.2164300,50.40921
Sark,0.8653086,0.13469139, -2.3666256,49.43007
Scarborough,0.8523557,0.14764433, -0.3997520,54.28311
Scilly Isles,0.8757304,0.12426962, -6.3274966,49.92773
Scunthorpe,0.8418319,0.15816812, -0.6544130,53.58865
Sedbergh,0.8640945,0.13590548, -2.5281740,54.32363
Sedbergh,0.8640945,0.13590548, -2.5281740,54.32363
Selby,0.8878015,0.11219845, -1.0671890,53.78352
Selkirk,0.9112368,0.08876319, -2.8385240,55.55066
Sevenoaks,0.9137971,0.08620291,  0.1908980,51.27241
Shaftesbury,0.8870863,0.11291369, -2.1980830,51.00460
Sheffield,0.9544719,0.04552812, -1.4700850,53.38113
Sheringham,0.8854896,0.11451045,  1.2109589,52.94442
Shetland Islands,0.9015667,0.09843334, -1.2659409,60.52965
Shrewsbury,0.8378189,0.16218107, -2.7553268,52.70730
Sidmouth,0.8807288,0.11927116, -3.2375600,50.67865
Skegness,0.8350611,0.16493887,  0.3378810,53.14640
Skipton,0.8823795,0.11762049, -2.0162787,53.96285
Sligo,0.9175059,0.08249410, -8.4760888,54.27661
Slough,0.8994381,0.10056185, -0.5950406,51.51054
South Shields,0.8497079,0.15029214, -1.4274060,54.99942
Southampton,0.8903431,0.10965695, -1.4043509,50.90970
Southend,0.8305518,0.16944823,  0.7077123,51.54593
Southport,0.8260120,0.17398799, -3.0101130,53.64571
Spalding,0.8504966,0.14950342, -0.1537024,52.79010
St Andrews,0.9061899,0.09381010, -2.7967214,56.33978
St Austell,0.8752887,0.12471132, -4.7834252,50.34038
St Neots,0.9058219,0.09417808, -0.2651030,52.23008
Stafford,0.8629880,0.13701199, -2.1206600,52.80669
Stanhope,0.8595825,0.14041749, -2.0113020,54.74946
Stevenage,0.8957813,0.10421874, -0.1966120,51.90376
Stirling,0.9426899,0.05731008, -3.9369029,56.11652
Stockton,0.7996130,0.20038696, -1.3289821,54.57046
Stoke-on-Trent,0.8216009,0.17839912, -2.1794040,53.00267
Stornoway,0.9258954,0.07410457, -6.3848692,58.20943
Strabane,0.9012704,0.09872956, -7.4633103,54.82739
Stranraer,0.9140745,0.08592547, -5.0240550,54.90337
Stratford-upon-Avon,0.9035593,0.09644072, -1.7082980,52.19173
Street,0.8540568,0.14594325, -2.7429190,51.12468
Sunderland,0.8415262,0.15847380, -1.3838010,54.90687
Swaffham,0.8521596,0.14784043,  0.6874810,52.64747
Swansea,0.8768722,0.12312777, -3.9436460,51.62144
Swindon,0.8709198,0.12908022, -1.7797176,51.55577
Tain,0.9116760,0.08832404, -4.0552300,57.81150
Taunton,0.8507919,0.14920811, -3.1068490,51.01534
Tavistock,0.8737369,0.12626314, -4.1416540,50.55112
Telford,0.8518574,0.14814263, -2.4672611,52.67759
Tenby,0.8774409,0.12255910, -4.7035790,51.67274
Thetford,0.8908069,0.10919310,  0.7516570,52.41286
Thirsk,0.8918761,0.10812395, -1.3413770,54.23385
Thurso,0.9092516,0.09074844, -3.5220800,58.59357
Tipperary,0.9268801,0.07311986, -8.1618514,52.47379
Tiverton,0.8918874,0.10811261, -3.4912070,50.90205
Tiverton,0.8918874,0.10811261, -3.4912070,50.90205
Torquay,0.8906059,0.10939414, -3.5253150,50.46192
Totnes,0.8802666,0.11973337, -3.6857970,50.43374
Towcester,0.8977956,0.10220441, -0.9896880,52.13511
Tralee,0.9466008,0.05339915, -9.6999325,52.27131
Tregaron,0.8951907,0.10480934, -3.9343850,52.22000
Tregaron,0.8951907,0.10480934, -3.9343850,52.22000
Trowbridge,0.8942632,0.10573683, -2.2088530,51.31966
Truro,0.8754137,0.12458626, -5.0510410,50.26320
Tunbridge Wells,0.9313182,0.06868179,  0.2636950,51.13238
Turriff,0.9029999,0.09700011, -2.4623000,57.53893
Tyrone,0.9169401,0.08305989, -7.1312320,54.49121
Tywyn,0.8969754,0.10302464, -4.0872490,52.58701
Uckfield,0.9239503,0.07604971,  0.0959130,50.96641
Ullapool,0.9249851,0.07501488, -5.1613130,57.89542
Wadebridge,0.8817987,0.11820128, -4.8364560,50.51665
Wakefield,0.8877326,0.11226742, -1.5059240,53.68330
Walsall,0.8221376,0.17786236, -1.9829190,52.58621
Warrington,0.8098998,0.19010020, -2.5969501,53.39004
Waterford,0.9005856,0.09941436, -7.1100702,52.25932
Wellingborough,0.8754245,0.12457549, -0.6939640,52.30242
Wells,0.8776523,0.12234767, -2.6445979,51.20935
Welshpool,0.8598865,0.14011354, -3.1464070,52.66035
Welwyn Garden City,0.8995312,0.10046883, -0.2086610,51.80317
Western Isles,0.9196698,0.08033018, -7.0194034,57.75989
Westmeath,0.9071506,0.09284935, -7.4653217,53.53453
Weston-super-Mare,0.9150121,0.08498793, -2.9772550,51.34741
Wetherby,0.9127014,0.08729859, -1.3848160,53.92706
Wexford,0.9008487,0.09915134, -6.4633381,52.33692
Weymouth,0.8573887,0.14261131, -2.4576210,50.61443
Whitby,0.7960748,0.20392518, -0.6133470,54.48633
