variant,longitude,latitude,preposition_dropped,preposition_retained
preposition_retained,-233133.96053955547,7790781.293784884,0,1
preposition_retained,-454508.57534967264,6875568.732849514,0.08287613458209406,0.9171238654179059
preposition_retained,-464523.0993804171,7902081.764336984,0.0600849107963031,0.9399150892036969
preposition_retained,-473867.5913960769,7903716.555487392,0.029563723351797626,0.9704362766482024
preposition_retained,-166080.14205862035,6658737.485859629,0.08863212614754566,0.9113678738524543
preposition_retained,-274526.66603765386,7700450.50046821,0.1015963372380119,0.898403662761988
preposition_retained,-288489.2471288726,7670532.812981689,0.08136293791385943,0.9186370620861406
preposition_retained,97406.66951443948,6647242.852390651,0.121705860928536,0.8782941390714639
preposition_retained,-425664.8047292091,7799975.074029687,0.07536085870146993,0.9246391412985302
preposition_retained,-401821.95091314253,7827953.620533239,0.07154469323694869,0.9284553067630513
preposition_retained,-515317.8490709154,7451377.536497721,0.11128439234470686,0.8887156076552931
preposition_retained,-699111.0371850707,7335766.097361238,0.08128915042987418,0.9187108495701259
preposition_retained,-149143.0707775581,6811506.744243429,0.16981630856978513,0.830183691430215
preposition_retained,-515747.43098588666,7040442.511032255,0.18729318305638032,0.8127068169436197
preposition_retained,-459667.45451150526,7025170.177756032,0.09249736061148048,0.9075026393885195
preposition_retained,-164722.34483356756,7085880.959602008,0.048,0.952
preposition_retained,-451772.1196269923,6635130.966655371,0.16550633410137017,0.8344936658986299
preposition_retained,-358325.6409975236,7190820.409402401,0.12144540058939238,0.8785545994106075
preposition_retained,-121605.01099240522,6668577.680976788,0.1286541703065805,0.8713458296934196
preposition_retained,-262604.53781682864,6688978.381916168,0.0026666666666666666,0.9973333333333333
preposition_retained,-51961.51153740082,6825232.159527007,0.19490453647291736,0.8050954635270827
preposition_retained,-660137.9387430075,7284096.381953328,0,1
preposition_retained,-223239.55023937687,7512812.638519028,0.06646378882692414,0.933536211173076
preposition_retained,-468283.9170573771,6624245.459951866,0.19152580312606202,0.8084741968739381
preposition_retained,-336519.82254348317,7055464.038147936,0.22548902416905403,0.7745109758309461
preposition_retained,-210438.47671509522,6888526.481257551,0,1
preposition_retained,-276910.4616135011,7122682.479533938,0.30885260870838355,0.6911473912916164
preposition_retained,-337929.77294997266,7135669.463425561,0,1
preposition_retained,61385.7973640612,6689916.220204674,0.18563376466304898,0.8143662353369511
preposition_retained,-241045.99334768736,6596021.329284243,0.102031182638782,0.897968817361218
preposition_retained,-168123.26659679288,7386544.967183743,0.10801476916715602,0.891985230832844
preposition_retained,-174324.4190189739,7397459.703454149,0.0924562682790562,0.9075437317209437
preposition_retained,-2958.538106812832,6979103.340069991,0.21768832836549248,0.7823116716345075
preposition_retained,-209366.24737977437,6571766.627531886,0,1
preposition_retained,-195855.28946270398,7131612.398344218,0,1
preposition_retained,-377535.93420422805,6790899.657867309,0.1304254325472859,0.8695745674527142
preposition_retained,-398183.695995546,6710985.551582894,0.12583204329243555,0.8741679567075644
preposition_retained,-334362.7847703819,6643947.060070163,0.2578280320411401,0.7421719679588599
preposition_retained,-22130.537408684377,7186337.161902725,0.14946784280519618,0.8505321571948039
