placename,control,doubled,longitude,latitude
New Romney,0.9982071,0.0017929477,  0.9394730,50.98512
Canterbury,0.9982356,0.0017644464,  1.0789089,51.28023
Ipswich,0.9891226,0.0108774474,  1.1482200,52.05674
Clacton,0.9906250,0.0093750000,  1.1530350,51.78953
Folkestone,0.9981742,0.0018258047,  1.1694560,51.08140
Sheringham,0.9857352,0.0142648135,  1.2109589,52.94442
Harwich,0.9892772,0.0107227959,  1.2602970,51.93473
Norwich,0.9883268,0.0116731518,  1.2973550,52.63089
Cromer,0.9857352,0.0142648135,  1.3018660,52.93145
Dover,0.9983113,0.0016887138,  1.3134027,51.12788
Felixstowe,0.9868479,0.0131521263,  1.3512550,51.96173
Margate,0.9974321,0.0025679435,  1.3868339,51.38965
Ramsgate,0.9982540,0.0017459625,  1.4198950,51.33555
Great Yarmouth,0.9829392,0.0170607603,  1.7280470,52.59823
Lowestoft,0.9830961,0.0169039146,  1.7534490,52.48114
Swaffham,0.9855876,0.0144124169,  0.6874810,52.64747
Dereham,0.9845177,0.0154823343,  0.9378270,52.68162
Ely,0.9957364,0.0042636347,  0.2623630,52.39954
March,0.9933197,0.0066802746,  0.0886220,52.55172
St Neots,0.9976740,0.0023260322, -0.2651030,52.23008
Banham,0.9852370,0.0147630148,  1.0402849,52.45125
Holt,0.9857038,0.0142961877,  1.0867470,52.90936
Cromer,0.9857352,0.0142648135,  1.3018660,52.93145
Hunstanton,0.9964664,0.0035335689,  0.4910320,52.93891
Horncastle,1.0000000,0.0000000000, -0.1124500,53.20731
Market Weighton,0.9893397,0.0106603494, -0.6677465,53.86484
Hawes,0.9875691,0.0124309392, -2.1968695,54.30383
Reeth,0.9926501,0.0073499388, -1.9428115,54.38946
Aysgarth,0.9826590,0.0173410405, -1.9967434,54.29159
Stanhope,0.9789122,0.0210878083, -2.0113020,54.74946
Keswick,0.9886664,0.0113335852, -3.1347060,54.60128
Oxenholme,0.9930748,0.0069252078, -2.7243328,54.30134
