placename,control,doubled,longitude,latitude
Camelford,0.9979374,0.0020625645, -4.6823640,50.62206
Irvine,0.9992177,0.0007822686, -4.6696364,55.61157
Cardigan,1.0000000,0.0000000000, -4.6608640,52.08370
Holyhead,0.9945504,0.0054495913, -4.6330380,53.30944
Ayr,0.9992262,0.0007737942, -4.6291790,55.45856
Dumbarton,0.9992838,0.0007162070, -4.5645540,55.94529
Bude,0.9967222,0.0032777930, -4.5436780,50.82664
Isle of Man,0.9564614,0.0435386169, -4.5126331,54.27697
Kilmarnock,0.9992422,0.0007577671, -4.4987920,55.61472
Newton Stewart,1.0000000,0.0000000000, -4.4831640,54.96030
Liskeard,0.9977941,0.0022058824, -4.4647190,50.45552
Altnaharra,0.9950739,0.0049261084, -4.4426550,58.28023
Pwllheli,0.9919355,0.0080645161, -4.4176339,52.88882
Lairg,0.9950739,0.0049261084, -4.4024140,58.02206
Launceston,0.9962145,0.0037854890, -4.3604516,50.63683
Carmarthen,1.0000000,0.0000000000, -4.3121310,51.85762
Llangefni,0.9945652,0.0054347826, -4.3114020,53.25579
Caernarfon,0.9945355,0.0054644809, -4.2739110,53.13955
Cumnock,0.9985584,0.0014416146, -4.2658289,55.45355
Aberaeron,1.0000000,0.0000000000, -4.2581619,52.24279
Alness,0.9949124,0.0050876201, -4.2568250,57.69595
Glasgow,0.9995560,0.0004440432, -4.2518060,55.86424
Dalwhinnie,1.0000000,0.0000000000, -4.2427830,56.93660
Inverness,0.9948335,0.0051664753, -4.2247210,57.47777
Saltash,0.9965724,0.0034275921, -4.2164300,50.40921
Bideford,0.9975952,0.0024048096, -4.2066660,51.01668
Invergordon,0.9949580,0.0050420168, -4.1728820,57.68811
Llanelli,1.0000000,0.0000000000, -4.1602480,51.68089
Plymouth,0.9965606,0.0034393809, -4.1426565,50.37546
Tavistock,0.9963481,0.0036518564, -4.1416540,50.55112
Porthmadog,0.9919028,0.0080971660, -4.1333840,52.92784
Bangor,0.9946381,0.0053619303, -4.1292630,53.22739
Tywyn,0.9908884,0.0091116173, -4.0872490,52.58701
Aberystwyth,0.9949749,0.0050251256, -4.0829200,52.41530
Lampeter,1.0000000,0.0000000000, -4.0785090,52.11290
Barnstaple,0.9980873,0.0019126554, -4.0583380,51.07816
Tain,0.9949410,0.0050590219, -4.0552300,57.81150
Okehampton,0.9963921,0.0036079375, -4.0042630,50.73831
Llandeilo,1.0000000,0.0000000000, -3.9914300,51.88469
Motherwell,0.9991089,0.0008910538, -3.9810968,55.78321
Golspie,0.9948980,0.0051020408, -3.9760860,57.97341
Airdrie,0.9991248,0.0008751969, -3.9625660,55.86627
Swansea,1.0000000,0.0000000000, -3.9436460,51.62144
Stirling,0.9961953,0.0038046925, -3.9369029,56.11652
Tregaron,0.9954128,0.0045871560, -3.9343850,52.22000
Tregaron,0.9954128,0.0045871560, -3.9343850,52.22000
Castle Douglas,0.9902650,0.0097349919, -3.9314140,54.94042
Dolgellau,0.9916667,0.0083333333, -3.8844000,52.74215
Aberfeldy,0.9970930,0.0029069767, -3.8669690,56.62175
Machynlleth,0.9951456,0.0048543689, -3.8534850,52.59027
Brora,0.9949664,0.0050335570, -3.8525480,58.01216
Llandudno,0.9929204,0.0070796460, -3.8276090,53.32406
Llandudno,0.9929204,0.0070796460, -3.8276090,53.32406
Aviemore,0.9951193,0.0048806941, -3.8238120,57.19449
Dalbeattie,0.9913710,0.0086289549, -3.8225270,54.93422
Falkirk,0.9937824,0.0062176166, -3.7839131,56.00188
Kingsbridge,0.9958621,0.0041379310, -3.7774930,50.28395
Pitlochry,0.9971056,0.0028943560, -3.7297110,56.70436
Colwyn Bay,0.9900936,0.0099064392, -3.7276400,53.29318
Totnes,0.9936418,0.0063581773, -3.6857970,50.43374
Grantown-on-Spey,0.9952000,0.0048000000, -3.6096280,57.33041
Dumfries,0.9907216,0.0092783505, -3.6051200,55.07086
Whitehaven,0.9895725,0.0104275287, -3.5892330,54.54970
Dartmouth,0.9936820,0.0063180063, -3.5788070,50.35252
Bridgend,1.0000000,0.0000000000, -3.5769450,51.50429
Paignton,0.9937019,0.0062981106, -3.5642350,50.43508
Workington,0.9892819,0.0107181136, -3.5427520,54.64357
Llanidloes,0.9965015,0.0034985423, -3.5401950,52.44779
Exeter,0.9931870,0.0068130204, -3.5338990,50.71841
Torquay,0.9937151,0.0062849162, -3.5253150,50.46192
Thurso,0.9966802,0.0033198082, -3.5220800,58.59357
Livingston,0.9981962,0.0018037880, -3.5180680,55.90071
Rhyl,0.9948216,0.0051783659, -3.4916340,53.31914
Tiverton,0.9928425,0.0071574642, -3.4912070,50.90205
Tiverton,0.9928425,0.0071574642, -3.4912070,50.90205
Minehead,0.9980968,0.0019031821, -3.4811520,51.20428
Dunfermline,0.9982368,0.0017631502, -3.4521510,56.07174
Perth,0.9973707,0.0026292726, -3.4308381,56.39499
Prestatyn,0.9948187,0.0051813472, -3.4076130,53.33651
Builth Wells,0.9958506,0.0041493776, -3.4045920,52.15002
Braemar,0.9956772,0.0043227666, -3.3979439,57.00647
Brecon,1.0000000,0.0000000000, -3.3914630,51.94895
Merthyr Tydfil,1.0000000,0.0000000000, -3.3816460,51.74873
Llandrindod Wells,0.9961538,0.0038461538, -3.3777420,52.24170
Corwen,0.9967828,0.0032171582, -3.3692420,52.98005
Cockermouth,0.9886792,0.0113207547, -3.3679850,54.66326
Lockerbie,0.9907216,0.0092783505, -3.3490080,55.12224
Blairgowrie,1.0000000,0.0000000000, -3.3378318,56.58941
Elgin,0.9966343,0.0033657442, -3.3184850,57.64945
Newtown,0.9968299,0.0031700745, -3.3131060,52.51211
Ruthin,0.9949066,0.0050933786, -3.3103108,53.11487
Ruthin,0.9949066,0.0050933786, -3.3103108,53.11487
Sidmouth,0.9922652,0.0077348066, -3.2375600,50.67865
Barrow-in-Furness,0.9938411,0.0061588996, -3.2188940,54.10897
Peebles,0.9993544,0.0006456473, -3.1936420,55.65307
Edinburgh,0.9981578,0.0018421861, -3.1882670,55.95325
Cardiff,0.9985649,0.0014350901, -3.1790900,51.48158
Llangollen,0.9974182,0.0025817556, -3.1716600,52.96921
Kirkcaldy,0.9981919,0.0018081366, -3.1581370,56.11682
Welshpool,0.9931845,0.0068154711, -3.1464070,52.66035
Mold,0.9923534,0.0076465590, -3.1419030,53.16720
Mold,0.9923534,0.0076465590, -3.1419030,53.16720
Taunton,0.9921729,0.0078270593, -3.1068490,51.01534
Wick,0.9966753,0.0033247137, -3.0937160,58.43894
John o' Groats,0.9966679,0.0033320992, -3.0688997,58.63734
Dalkeith,0.9980812,0.0019187720, -3.0666060,55.89312
Oswestry,0.9951372,0.0048628277, -3.0564120,52.85715
Blackpool,0.9961243,0.0038757464, -3.0356748,53.81751
Birkenhead,0.9954315,0.0045685279, -3.0230090,53.38999
Cupar,0.9982760,0.0017239728, -3.0101370,56.32023
Southport,0.9964166,0.0035833731, -3.0101130,53.64571
Bridgwater,0.9976253,0.0023747189, -3.0036320,51.12789
Langholm,0.9913337,0.0086663457, -2.9989130,55.15306
Newport,0.9984682,0.0015318149, -2.9976640,51.58415
Axminster,0.9925690,0.0074309979, -2.9949370,50.78273
Wrexham,0.9962671,0.0037328909, -2.9924940,53.04304
Liverpool,0.9957013,0.0042986786, -2.9915726,53.40837
Weston-super-Mare,0.9995841,0.0004159202, -2.9772550,51.34741
Dundee,0.9974282,0.0025717960, -2.9707210,56.46202
Kirkwall,0.9967045,0.0032954962, -2.9622491,58.98467
Ambleside,0.9899099,0.0100901386, -2.9613330,54.42874
Orkney Islands,0.9967045,0.0032954962, -2.9605206,58.98094
Lyme Regis,0.9928033,0.0071967101, -2.9366390,50.72516
Carlisle,0.9879572,0.0120428189, -2.9329310,54.89247
Chester,0.9945355,0.0054644809, -2.8930750,53.19339
Forfar,1.0000000,0.0000000000, -2.8890620,56.64356
Morecambe,0.9934522,0.0065477675, -2.8649680,54.07417
Selkirk,0.9993361,0.0006639371, -2.8385240,55.55066
Galashiels,0.9993361,0.0006639371, -2.8144490,55.62373
Lancaster,0.9937111,0.0062889315, -2.8007399,54.04657
St Andrews,0.9994111,0.0005888704, -2.7967214,56.33978
Hawick,0.9947276,0.0052724077, -2.7809140,55.42706
Bridport,0.9927885,0.0072115385, -2.7583010,50.73358
Shrewsbury,0.9957638,0.0042362410, -2.7553268,52.70730
Penrith,0.9869395,0.0130605137, -2.7527080,54.66410
Kendal,0.9929445,0.0070555033, -2.7462900,54.32801
Street,0.9980507,0.0019493177, -2.7429190,51.12468
Glastonbury,0.9982199,0.0017800633, -2.7184540,51.14743
Hereford,0.9948387,0.0051612903, -2.7159740,52.05640
Ludlow,0.9979330,0.0020670410, -2.7139129,52.36775
Preston,0.9964767,0.0035232535, -2.7030900,53.76320
Whitchurch,0.9952860,0.0047140163, -2.6820450,52.96872
Wells,0.9993939,0.0006060606, -2.6445979,51.20935
Yeovil,0.9926290,0.0073710074, -2.6333080,50.94206
Wigan,0.9986623,0.0013376932, -2.6325074,53.54506
Warrington,0.9992009,0.0007991476, -2.5969501,53.39004
Arbroath,1.0000000,0.0000000000, -2.5915430,56.55911
Bristol,1.0000000,0.0000000000, -2.5879100,51.45451
Guernsey,0.9943649,0.0056351256, -2.5852780,49.46569
Ross-on-Wye,0.9977247,0.0022753129, -2.5824460,51.91445
Jedburgh,1.0000000,0.0000000000, -2.5549369,55.47772
Sedbergh,0.9883890,0.0116110305, -2.5281740,54.32363
Sedbergh,0.9883890,0.0116110305, -2.5281740,54.32363
Nantwich,0.9938053,0.0061946903, -2.5241020,53.06719
Banff,0.9967081,0.0032918800, -2.5240380,57.66651
Dunbar,0.9993830,0.0006169666, -2.5167370,56.00209
Cinderford,0.9974293,0.0025706941, -2.5009579,51.82530
Banchory,0.9966114,0.0033885542, -2.4909599,57.05386
Blackburn,0.9991251,0.0008748906, -2.4875290,53.74858
Market Drayton,0.9941930,0.0058070136, -2.4834850,52.90355
Telford,0.9995169,0.0004831385, -2.4672611,52.67759
Montrose,0.9970395,0.0029605263, -2.4661150,56.70692
Turriff,0.9967614,0.0032385750, -2.4623000,57.53893
Weymouth,0.9949045,0.0050955414, -2.4576210,50.61443
Crewe,0.9955752,0.0044247788, -2.4438209,53.10041
Fortuneswell,0.9949174,0.0050825921, -2.4422190,50.55919
Dorchester,0.9948718,0.0051282051, -2.4411810,50.71116
Alston,0.9797550,0.0202450166, -2.4386850,54.81217
Kelso,0.9993556,0.0006443991, -2.4322070,55.60003
Wincanton,1.0000000,0.0000000000, -2.4160070,51.05569
Clitheroe,0.9977090,0.0022909507, -2.3930830,53.87110
Sark,0.9957552,0.0042447825, -2.3666256,49.43007
Bath,1.0000000,0.0000000000, -2.3590167,51.38106
Kidderminster,0.9954683,0.0045317221, -2.2496839,52.38860
Manchester,0.9970904,0.0029096478, -2.2426305,53.48076
Burnley,0.9918955,0.0081044575, -2.2405035,53.78929
Gloucester,0.9955257,0.0044742729, -2.2381560,51.86424
Newcastle-under-Lyme,0.9936861,0.0063138906, -2.2273002,53.01321
Worcester,0.9964567,0.0035433071, -2.2215750,52.19364
Trowbridge,1.0000000,0.0000000000, -2.2088530,51.31966
Shaftesbury,0.9975359,0.0024640657, -2.1980830,51.00460
Alderney,0.9957097,0.0042903110, -2.1973557,49.71500
Stoke-on-Trent,0.9936864,0.0063135742, -2.1794040,53.00267
Colne,0.9911548,0.0088452088, -2.1769910,53.85564
Blandford Forum,0.9976735,0.0023264831, -2.1653530,50.85691
Rochdale,0.9971703,0.0028297176, -2.1561000,53.60971
Jersey,0.9957687,0.0042313117, -2.1312500,49.21444
Wolverhampton,0.9963533,0.0036466775, -2.1288200,52.58697
Stafford,0.9940778,0.0059221915, -2.1206600,52.80669
Macclesfield,0.9959853,0.0040147206, -2.1192870,53.25866
Hexham,0.9765828,0.0234172351, -2.1121439,54.97266
Aberdeen,0.9966753,0.0033247137, -2.0942780,57.14972
Dudley,0.9957990,0.0042009885, -2.0811120,52.51226
Cheltenham,0.9953542,0.0046457607, -2.0782533,51.89939
Bromsgrove,0.9951523,0.0048477014, -2.0619060,52.33559
Skipton,0.9880383,0.0119617225, -2.0162787,53.96285
Fraserburgh,0.9967614,0.0032385750, -2.0076310,57.69335
Berwick,0.9992948,0.0007052020, -2.0053950,55.77024
Poole,0.9969016,0.0030983734, -1.9872480,50.71505
Walsall,0.9953563,0.0046436503, -1.9829190,52.58621
Cirencester,0.9955785,0.0044215181, -1.9682430,51.71849
Evesham,0.9916984,0.0083016257, -1.9467700,52.09215
Buxton,0.9959313,0.0040687161, -1.9148300,53.25908
Keighley,0.9861687,0.0138312586, -1.9123580,53.86780
Birmingham,0.9945295,0.0054704595, -1.8904010,52.48624
Bournemouth,0.9969674,0.0030326005, -1.8807690,50.71916
Halifax,0.9882399,0.0117600941, -1.8575400,53.72702
Salisbury,0.9981748,0.0018252493, -1.7944720,51.06878
Ringwood,0.9968557,0.0031442879, -1.7888170,50.84495
Huddersfield,0.9914742,0.0085257549, -1.7850351,53.64579
Peterhead,0.9966985,0.0033015407, -1.7840660,57.50812
Swindon,0.9968220,0.0031779661, -1.7797176,51.55577
Bradford,0.9915426,0.0084574046, -1.7593980,53.79598
Ashbourne,0.9906367,0.0093632959, -1.7321790,53.01663
Marlborough,0.9969910,0.0030090271, -1.7270620,51.42007
Stratford-upon-Avon,0.9909366,0.0090634441, -1.7082980,52.19173
Alnwick,0.9785318,0.0214682050, -1.7062990,55.41274
Otley,0.9906875,0.0093125171, -1.6917860,53.90583
Bishop Auckland,0.9978245,0.0021754895, -1.6787880,54.66382
Burton upon Trent,0.9879739,0.0120260565, -1.6371359,52.81403
Newcastle,0.9784868,0.0215131989, -1.6177800,54.97825
Durham,0.9821652,0.0178347935, -1.5848520,54.77525
Ashington,0.9766292,0.0233708170, -1.5659829,55.18298
Darlington,0.9954181,0.0045819015, -1.5594580,54.52361
Leeds,0.9939654,0.0060345616, -1.5490774,53.80076
Harrogate,0.9930931,0.0069069335, -1.5418120,53.99212
Leamington Spa,0.9915976,0.0084023807, -1.5200789,52.28519
Coventry,0.9893711,0.0106288751, -1.5196930,52.40682
Blyth,0.9773056,0.0226943823, -1.5102770,55.12696
Wakefield,0.9944214,0.0055785648, -1.5059240,53.68330
Andover,0.9946890,0.0053109530, -1.4919233,51.21120
Witney,0.9950075,0.0049925112, -1.4850544,51.78594
Barnsley,0.9944103,0.0055897149, -1.4797260,53.55263
Derby,0.9957622,0.0042377869, -1.4746186,52.92253
Sheffield,0.9955929,0.0044071354, -1.4700850,53.38113
Nuneaton,0.9940852,0.0059148265, -1.4653820,52.52049
Northallerton,0.9918510,0.0081490105, -1.4299590,54.33796
South Shields,0.9790103,0.0209896573, -1.4274060,54.99942
Chesterfield,0.9941596,0.0058403634, -1.4216290,53.23505
Southampton,0.9985421,0.0014579227, -1.4043509,50.90970
Wetherby,0.9926102,0.0073898126, -1.3848160,53.92706
Sunderland,0.9816176,0.0183823529, -1.3838010,54.90687
Rotherham,0.9959592,0.0040407928, -1.3635009,53.43260
Castleford,0.9957278,0.0042722002, -1.3459680,53.72347
Thirsk,0.9901286,0.0098713730, -1.3413770,54.23385
Banbury,0.9929006,0.0070993915, -1.3397750,52.06290
Stockton,0.9956474,0.0043525571, -1.3289821,54.57046
Newbury,0.9935801,0.0064198588, -1.3231139,51.40141
Isle of Wight,0.9984161,0.0015838564, -1.3047340,50.69385
Isle of Wight,0.9984161,0.0015838564, -1.3047340,50.69385
Abingdon,0.9940910,0.0059090014, -1.2879529,51.67078
Shetland Islands,0.9967474,0.0032526202, -1.2659409,60.52965
Rugby,0.9907905,0.0092095165, -1.2650320,52.37088
Oxford,0.9943894,0.0056106228, -1.2577263,51.75202
Middlesbrough,0.9962570,0.0037429819, -1.2349560,54.57423
Hartlepool,0.9964040,0.0035960444, -1.2129260,54.69174
Loughborough,0.9985809,0.0014191107, -1.2061660,52.77210
Mansfield,0.9984208,0.0015791552, -1.1986740,53.14720
Nottingham,0.9983437,0.0016563147, -1.1581086,52.95478
Bicester,0.9930465,0.0069534985, -1.1535899,51.89960
Leicester,0.9969517,0.0030482642, -1.1397592,52.63688
Doncaster,0.9969168,0.0030832477, -1.1284620,53.52282
Worksop,0.9959716,0.0040283906, -1.1227450,53.30930
Basingstoke,0.9949664,0.0050335570, -1.0923964,51.26654
Portsmouth,0.9985725,0.0014274763, -1.0879769,50.81977
York,0.9907121,0.0092879257, -1.0872979,53.95997
Selby,0.9928161,0.0071839080, -1.0671890,53.78352
Helmsley,0.9912485,0.0087514586, -1.0562636,54.24651
Towcester,0.9921875,0.0078125000, -0.9896880,52.13511
