variant,longitude,latitude,goal_theme_ditransitive,prepositional_dative,theme_goal_ditransitive
prepositional_dative,-233133.96053955547,7790781.293784884,0.35512067119554264,0.572198666860371,0.07268066194408639
prepositional_dative,-454508.57534967264,6875568.732849514,0.11040081440989455,0.7299285004249658,0.15967068516513952
prepositional_dative,-464523.0993804171,7902081.764336984,0.28913567350281366,0.5963686244389567,0.11449570205822959
prepositional_dative,-473867.5913960769,7903716.555487392,0.2906261613088043,0.5954355565360934,0.11393828215510236
prepositional_dative,-166080.14205862035,6658737.485859629,0.10414950450108339,0.7646702325901735,0.13118026290874307
prepositional_dative,-274526.66603765386,7700450.50046821,0.4417165182100348,0.5015648999159603,0.05671858187400484
prepositional_dative,-288489.2471288726,7670532.812981689,0.4514071975520975,0.4986000975921495,0.04999270485575294
prepositional_dative,97406.66951443948,6647242.852390651,0.08055434274416685,0.8517432922698635,0.06770236498596963
prepositional_dative,-425664.8047292091,7799975.074029687,0.3696410871874872,0.5079278118271157,0.12243110098539711
prepositional_dative,-401821.95091314253,7827953.620533239,0.3276782932620407,0.5501282417589244,0.12219346497903498
goal_theme_ditransitive,-515317.8490709154,7451377.536497721,0.5032837352874172,0.4396764843810826,0.057039780331500346
prepositional_dative,-699111.0371850707,7335766.097361238,0.24646458116994413,0.6542919889316473,0.09924342989840862
prepositional_dative,-149143.0707775581,6811506.744243429,0.08747978260608386,0.6789734550208544,0.23354676237306168
prepositional_dative,-515747.43098588666,7040442.511032255,0.14188195655176875,0.7115702226536907,0.14654782079454048
prepositional_dative,-459667.45451150526,7025170.177756032,0.16525232914012353,0.6237568618612803,0.21099080899859615
prepositional_dative,-164722.34483356756,7085880.959602008,0.2105002317225699,0.39944376677927096,0.3900560014981591
prepositional_dative,-451772.1196269923,6635130.966655371,0.13076551007050208,0.7832882465955321,0.08594624333396578
prepositional_dative,-358325.6409975236,7190820.409402401,0.09322371701711989,0.5846915823009143,0.32208470068196565
prepositional_dative,-121605.01099240522,6668577.680976788,0.08678142084322726,0.744529950398141,0.16868862875863183
prepositional_dative,-262604.53781682864,6688978.381916168,0.07758968050519678,0.7985298002065256,0.12388051928827748
prepositional_dative,-51961.51153740082,6825232.159527007,0.09721746907999848,0.7598227113312025,0.1429598195887991
prepositional_dative,-660137.9387430075,7284096.381953328,0.2173717939499515,0.6879730288630014,0.09465517718704708
prepositional_dative,-223239.55023937687,7512812.638519028,0.3402343561014499,0.563205716804983,0.09655992709356716
prepositional_dative,-468283.9170573771,6624245.459951866,0.12824729269286722,0.7850754997005343,0.08667720760659857
prepositional_dative,-336519.82254348317,7055464.038147936,0.2000523051961098,0.5703513772520925,0.2295963175517977
prepositional_dative,-210438.47671509522,6888526.481257551,0.062054450495960894,0.5967472518424976,0.34119829766154147
prepositional_dative,-276910.4616135011,7122682.479533938,0.13324464531178054,0.5574199149195015,0.3093354397687181
prepositional_dative,-337929.77294997266,7135669.463425561,0.10876103355195982,0.566248059864288,0.3249909065837522
prepositional_dative,61385.7973640612,6689916.220204674,0.10755900299046293,0.8092414173600262,0.08319957964951075
prepositional_dative,-241045.99334768736,6596021.329284243,0.0687209266022904,0.8003463439058581,0.13093272949185156
prepositional_dative,-168123.26659679288,7386544.967183743,0.2617876370465153,0.5738588486914191,0.16435351426206551
prepositional_dative,-174324.4190189739,7397459.703454149,0.2641164805119642,0.5728460953163454,0.16303742417169048
prepositional_dative,-2958.538106812832,6979103.340069991,0.261923623395334,0.6313872452780622,0.10668913132660382
prepositional_dative,-209366.24737977437,6571766.627531886,0.08046692378129552,0.7869672710810471,0.13256580513765734
prepositional_dative,-195855.28946270398,7131612.398344218,0.346648028558751,0.45546918122425345,0.1978827902169956
prepositional_dative,-377535.93420422805,6790899.657867309,0.0749572146753449,0.8393992922689386,0.0856434930557166
prepositional_dative,-398183.695995546,6710985.551582894,0.09218296655475973,0.8228439230497874,0.08497311039545276
prepositional_dative,-334362.7847703819,6643947.060070163,0.07724228432979957,0.8211056272981716,0.10165208837202881
prepositional_dative,-22130.537408684377,7186337.161902725,0.34963669606943815,0.4836021429715782,0.16676116095898366
prepositional_dative,-307052.66277457733,6574301.183996955,0.10320291987657204,0.7928414526015591,0.10395562752186877
prepositional_dative,-15268.915315677788,6589961.170074266,0.17038818162636918,0.7364311387509169,0.09318067962271381
prepositional_dative,-288084.8234188206,6702089.049496805,0.06742417331140146,0.8113388566482687,0.12123697004032982
prepositional_dative,-657860.2529057846,7809617.926776841,0.4500901868974247,0.4774161372268012,0.07249367587577409
prepositional_dative,-636116.2279010835,7818101.701424047,0.43020653888034444,0.4919761367496677,0.07781732436998785
prepositional_dative,-505799.9212885998,6590684.741675179,0.111639858387902,0.7964938193298777,0.09186632228222023
prepositional_dative,-249411.70874054724,7130350.477113402,0.14689027826683257,0.43964038604188466,0.41346933569128286
prepositional_dative,-182245.1347473877,6948671.96613752,0.08054819723324635,0.6010153859036843,0.3184364168630693
prepositional_dative,79091.7412360835,6844168.757609536,0.1198292307432257,0.784084315681596,0.09608645357517831
prepositional_dative,-213157.90055568406,7031065.606213349,0.11201236393951787,0.534390399346219,0.3535972367142632
prepositional_dative,13560.606409964208,6837338.511988595,0.07982203767962018,0.7626856853990527,0.1574922769213272
prepositional_dative,-623987.3793858553,7444617.510135955,0.42710782707926104,0.4960405645144137,0.07685160840632527
prepositional_dative,120103.58936033095,6671014.198547059,0.07573765994861287,0.8322539494788868,0.09200839057250043
prepositional_dative,-353894.6799859882,6706926.020860399,0.06722183201605103,0.8425224377178485,0.09025573026610058
