placename,sel,self,sen,longitude,latitude
Achnasheen,0.02137305699,0.9786269,0.00000000000, -5.0787658,57.57859
Newquay,0.00034982363,0.9996502,0.00000000000, -5.0737190,50.41550
Falmouth,0.00033819012,0.9993236,0.00033819012, -5.0662700,50.15257
Rothesay,0.03590150913,0.9640985,0.00000000000, -5.0557930,55.83596
Truro,0.00033910758,0.9993218,0.00033910758, -5.0510410,50.26320
Milford Haven,0.00061551087,0.9993845,0.00000000000, -5.0426971,51.71431
Stranraer,0.02262493136,0.9773751,0.00000000000, -5.0240550,54.90337
Fishguard,0.00108303249,0.9989170,0.00000000000, -4.9759890,51.99393
Inchnadamph,0.03131035885,0.9686896,0.00000000000, -4.9742950,58.15221
Haverfordwest,0.00067039106,0.9993296,0.00000000000, -4.9713190,51.80047
Dunoon,0.03156683290,0.9684332,0.00000000000, -4.9262140,55.95097
Pembroke,0.00061830173,0.9993817,0.00000000000, -4.9086370,51.67404
Girvan,0.04141679160,0.9585832,0.00000000000, -4.8542179,55.24016
Wadebridge,0.00266429840,0.9973357,0.00000000000, -4.8364560,50.51665
Invergarry,0.00927118208,0.9907288,0.00000000000, -4.8002610,57.07095
St Austell,0.00326797386,0.9967320,0.00000000000, -4.7834252,50.34038
Greenock,0.03088637460,0.9691136,0.00000000000, -4.7719830,55.95648
Helensburgh,0.03139135648,0.9686086,0.00000000000, -4.7340140,56.00232
Bodmin,0.00282352941,0.9971765,0.00000000000, -4.7188629,50.47150
Tenby,0.00060926076,0.9993907,0.00000000000, -4.7035790,51.67274
Camelford,0.00226159065,0.9977384,0.00000000000, -4.6823640,50.62206
Irvine,0.04660004345,0.9534000,0.00000000000, -4.6696364,55.61157
Cardigan,0.00000000000,1.0000000,0.00000000000, -4.6608640,52.08370
Holyhead,0.00040788579,0.9995921,0.00000000000, -4.6330380,53.30944
Ayr,0.04254322260,0.9574568,0.00000000000, -4.6291790,55.45856
Dumbarton,0.03241421039,0.9675858,0.00000000000, -4.5645540,55.94529
Bude,0.00000000000,1.0000000,0.00000000000, -4.5436780,50.82664
Isle of Man,0.00493502221,0.9944070,0.00065800296, -4.5126331,54.27697
Kilmarnock,0.04801467415,0.9519853,0.00000000000, -4.4987920,55.61472
Newton Stewart,0.05490196078,0.9450980,0.00000000000, -4.4831640,54.96030
Liskeard,0.00146092038,0.9985391,0.00000000000, -4.4647190,50.45552
Altnaharra,0.03311390385,0.9668861,0.00000000000, -4.4426550,58.28023
Pwllheli,0.00146341463,0.9985366,0.00000000000, -4.4176339,52.88882
Lairg,0.03077857649,0.9692214,0.00000000000, -4.4024140,58.02206
Launceston,0.00000000000,1.0000000,0.00000000000, -4.3604516,50.63683
Carmarthen,0.00000000000,1.0000000,0.00000000000, -4.3121310,51.85762
Llangefni,0.00046196489,0.9995380,0.00000000000, -4.3114020,53.25579
Caernarfon,0.00051737518,0.9994826,0.00000000000, -4.2739110,53.13955
Cumnock,0.05796892980,0.9420311,0.00000000000, -4.2658289,55.45355
Aberaeron,0.00046042282,0.9995396,0.00000000000, -4.2581619,52.24279
Alness,0.03109114589,0.9689089,0.00000000000, -4.2568250,57.69595
Glasgow,0.03172677697,0.9681759,0.00009727877, -4.2518060,55.86424
Dalwhinnie,0.01644736842,0.9835526,0.00000000000, -4.2427830,56.93660
Inverness,0.02404165087,0.9759583,0.00000000000, -4.2247210,57.47777
Saltash,0.00070425842,0.9991549,0.00014085168, -4.2164300,50.40921
Bideford,0.00000000000,1.0000000,0.00000000000, -4.2066660,51.01668
Invergordon,0.03105328384,0.9689467,0.00000000000, -4.1728820,57.68811
Llanelli,0.00056764428,0.9994324,0.00000000000, -4.1602480,51.68089
Plymouth,0.00069351334,0.9991678,0.00013870267, -4.1426565,50.37546
Tavistock,0.00110905730,0.9988909,0.00000000000, -4.1416540,50.55112
Porthmadog,0.00186799502,0.9981320,0.00000000000, -4.1333840,52.92784
Bangor,0.00050894902,0.9994911,0.00000000000, -4.1292630,53.22739
Tywyn,0.00046409096,0.9995359,0.00000000000, -4.0872490,52.58701
Aberystwyth,0.00047082827,0.9995292,0.00000000000, -4.0829200,52.41530
Lampeter,0.00000000000,1.0000000,0.00000000000, -4.0785090,52.11290
Barnstaple,0.00127055834,0.9985177,0.00021175972, -4.0583380,51.07816
Tain,0.03123089167,0.9687691,0.00000000000, -4.0552300,57.81150
Okehampton,0.00000000000,1.0000000,0.00000000000, -4.0042630,50.73831
Llandeilo,0.00000000000,1.0000000,0.00000000000, -3.9914300,51.88469
Motherwell,0.04243045763,0.9570568,0.00051275478, -3.9810968,55.78321
Golspie,0.03195444649,0.9680456,0.00000000000, -3.9760860,57.97341
Airdrie,0.03938690767,0.9598803,0.00073277968, -3.9625660,55.86627
Swansea,0.00086157381,0.9988512,0.00028719127, -3.9436460,51.62144
Stirling,0.03134796238,0.9686520,0.00000000000, -3.9369029,56.11652
Tregaron,0.00000000000,1.0000000,0.00000000000, -3.9343850,52.22000
Tregaron,0.00000000000,1.0000000,0.00000000000, -3.9343850,52.22000
Castle Douglas,0.01889168766,0.9811083,0.00000000000, -3.9314140,54.94042
Dolgellau,0.00000000000,1.0000000,0.00000000000, -3.8844000,52.74215
Aberfeldy,0.03458213256,0.9654179,0.00000000000, -3.8669690,56.62175
Machynlleth,0.00000000000,1.0000000,0.00000000000, -3.8534850,52.59027
Brora,0.03229519928,0.9677048,0.00000000000, -3.8525480,58.01216
Llandudno,0.00181910056,0.9981809,0.00000000000, -3.8276090,53.32406
Llandudno,0.00181910056,0.9981809,0.00000000000, -3.8276090,53.32406
Aviemore,0.00433212996,0.9956679,0.00000000000, -3.8238120,57.19449
Dalbeattie,0.01694619147,0.9830538,0.00000000000, -3.8225270,54.93422
Falkirk,0.04277967463,0.9572203,0.00000000000, -3.7839131,56.00188
Kingsbridge,0.00000000000,1.0000000,0.00000000000, -3.7774930,50.28395
Pitlochry,0.03609341826,0.9639066,0.00000000000, -3.7297110,56.70436
Colwyn Bay,0.00178023934,0.9982198,0.00000000000, -3.7276400,53.29318
Totnes,0.00066622252,0.9993338,0.00000000000, -3.6857970,50.43374
Grantown-on-Spey,0.00712589074,0.9928741,0.00000000000, -3.6096280,57.33041
Dumfries,0.01837014994,0.9816299,0.00000000000, -3.6051200,55.07086
Whitehaven,0.00636942675,0.9929936,0.00063694268, -3.5892330,54.54970
Dartmouth,0.00073837066,0.9992616,0.00000000000, -3.5788070,50.35252
Bridgend,0.00053830971,0.9994617,0.00000000000, -3.5769450,51.50429
Paignton,0.00062552127,0.9993745,0.00000000000, -3.5642350,50.43508
Workington,0.00643500644,0.9929215,0.00064350064, -3.5427520,54.64357
Llanidloes,0.00000000000,1.0000000,0.00000000000, -3.5401950,52.44779
Exeter,0.00000000000,1.0000000,0.00000000000, -3.5338990,50.71841
Torquay,0.00060753341,0.9993925,0.00000000000, -3.5253150,50.46192
Thurso,0.04564031000,0.9535373,0.00082234793, -3.5220800,58.59357
Livingston,0.02856667406,0.9714333,0.00000000000, -3.5180680,55.90071
Rhyl,0.00000000000,1.0000000,0.00000000000, -3.4916340,53.31914
Tiverton,0.00000000000,1.0000000,0.00000000000, -3.4912070,50.90205
Tiverton,0.00000000000,1.0000000,0.00000000000, -3.4912070,50.90205
Minehead,0.00000000000,0.9972590,0.00274097762, -3.4811520,51.20428
Dunfermline,0.03891697712,0.9606839,0.00039914848, -3.4521510,56.07174
Perth,0.02549342105,0.9745066,0.00000000000, -3.4308381,56.39499
Prestatyn,0.00068306011,0.9993169,0.00000000000, -3.4076130,53.33651
Builth Wells,0.00000000000,1.0000000,0.00000000000, -3.4045920,52.15002
Braemar,0.01794871795,0.9820513,0.00000000000, -3.3979439,57.00647
Brecon,0.00000000000,1.0000000,0.00000000000, -3.3914630,51.94895
Merthyr Tydfil,0.00040744262,0.9995926,0.00000000000, -3.3816460,51.74873
Llandrindod Wells,0.00000000000,1.0000000,0.00000000000, -3.3777420,52.24170
Corwen,0.00000000000,1.0000000,0.00000000000, -3.3692420,52.98005
Cockermouth,0.00589611605,0.9941039,0.00000000000, -3.3679850,54.66326
Lockerbie,0.01891723002,0.9810828,0.00000000000, -3.3490080,55.12224
Blairgowrie,0.03409090909,0.9659091,0.00000000000, -3.3378318,56.58941
Elgin,0.04824093817,0.9506930,0.00106609808, -3.3184850,57.64945
Newtown,0.00000000000,1.0000000,0.00000000000, -3.3131060,52.51211
Ruthin,0.00000000000,1.0000000,0.00000000000, -3.3103108,53.11487
Ruthin,0.00000000000,1.0000000,0.00000000000, -3.3103108,53.11487
Sidmouth,0.00000000000,1.0000000,0.00000000000, -3.2375600,50.67865
