variant,longitude,latitude,preposition_dropped,preposition_retained
preposition_retained,-233133.96053955547,7790781.293784884,0.006710162834371029,0.993289837165629
preposition_retained,-454508.57534967264,6875568.732849514,0.006311374291629866,0.9936886257083701
preposition_retained,-464523.0993804171,7902081.764336984,0.00436655216265459,0.9956334478373454
preposition_retained,-473867.5913960769,7903716.555487392,0.004721299425537074,0.995278700574463
preposition_retained,-166080.14205862035,6658737.485859629,0.0033017720682694393,0.9966982279317307
preposition_retained,-274526.66603765386,7700450.50046821,0.008938437803929103,0.9910615621960709
preposition_retained,-288489.2471288726,7670532.812981689,0.010857468998841028,0.989142531001159
preposition_retained,97406.66951443948,6647242.852390651,0.008471011596901511,0.9915289884030986
preposition_retained,-425664.8047292091,7799975.074029687,0.007884654819713307,0.9921153451802867
preposition_retained,-401821.95091314253,7827953.620533239,0.0035364265787183533,0.9964635734212816
preposition_retained,-515317.8490709154,7451377.536497721,0,1
preposition_retained,-699111.0371850707,7335766.097361238,0.004209258508926443,0.9957907414910736
preposition_retained,-149143.0707775581,6811506.744243429,0.008464336887640016,0.99153566311236
preposition_retained,-515747.43098588666,7040442.511032255,0.0010085435978064447,0.9989914564021937
preposition_retained,-459667.45451150526,7025170.177756032,7.531647225004111e-4,0.9992468352774996
preposition_retained,-164722.34483356756,7085880.959602008,0.0020284506755766005,0.9979715493244233
preposition_retained,-451772.1196269923,6635130.966655371,6.260938859398262e-4,0.9993739061140602
preposition_retained,-358325.6409975236,7190820.409402401,0.00195142465186479,0.9980485753481353
preposition_retained,-121605.01099240522,6668577.680976788,0.002727229868676885,0.9972727701313232
preposition_retained,-262604.53781682864,6688978.381916168,0.010109846308100188,0.9898901536918998
preposition_retained,-51961.51153740082,6825232.159527007,0.004264934419108966,0.9957350655808911
preposition_retained,-660137.9387430075,7284096.381953328,0.0041086822182954275,0.9958913177817046
preposition_retained,-223239.55023937687,7512812.638519028,0.0026558201747575263,0.9973441798252425
preposition_retained,-468283.9170573771,6624245.459951866,3.5968450181851706e-4,0.9996403154981814
preposition_retained,-336519.82254348317,7055464.038147936,0.06428201123234359,0.93571798876765655
preposition_retained,-210438.47671509522,6888526.481257551,0,1
preposition_retained,-276910.4616135011,7122682.479533938,0.004660659556735601,0.9953393404432644
preposition_retained,-337929.77294997266,7135669.463425561,0.003686925697360099,0.9963130743026399
preposition_retained,61385.7973640612,6689916.220204674,0.009250286754463408,0.9907497132455366
preposition_retained,-241045.99334768736,6596021.329284243,0.0030839807816201033,0.9969160192183798
preposition_retained,-168123.26659679288,7386544.967183743,0.005211857883418246,0.9947881421165817
preposition_retained,-174324.4190189739,7397459.703454149,0.004816536447647205,0.9951834635523529
preposition_retained,-2958.538106812832,6979103.340069991,0.0035721085363442386,0.9964278914636557
preposition_retained,-209366.24737977437,6571766.627531886,1.2114521523482637e-4,0.9998788547847651
preposition_retained,-195855.28946270398,7131612.398344218,2.1735313286876782e-4,0.9997826468671311
preposition_retained,-377535.93420422805,6790899.657867309,8.188756092843226e-4,0.9991811243907157
preposition_retained,-398183.695995546,6710985.551582894,0.002008373402599152,0.9979916265974008
preposition_retained,-334362.7847703819,6643947.060070163,1.4130421882238464e-4,0.9998586957811776
preposition_retained,-22130.537408684377,7186337.161902725,0.005919793659216176,0.9940802063407838
preposition_retained,-307052.66277457733,6574301.183996955,0.0023426573921155997,0.9976573426078844
preposition_retained,-15268.915315677788,6589961.170074266,0.005206090953154469,0.9947939090468455
preposition_retained,-288084.8234188206,6702089.049496805,0.009098434617621476,0.9909015653823785
preposition_retained,-657860.2529057846,7809617.926776841,0.005008671168192842,0.9949913288318072
preposition_retained,-636116.2279010835,7818101.701424047,0.006393624477875159,0.9936063755221248
preposition_retained,-505799.9212885998,6590684.741675179,0.010272691292580724,0.9897273087074193
preposition_retained,-249411.70874054724,7130350.477113402,0.0039056110590000915,0.9960943889409999
preposition_retained,-182245.1347473877,6948671.96613752,0.01369816956717697,0.986301830432823
preposition_retained,79091.7412360835,6844168.757609536,0.011006561469550435,0.9889934385304495
preposition_retained,-213157.90055568406,7031065.606213349,0.03253715508643916,0.9674628449135609
preposition_retained,13560.606409964208,6837338.511988595,0.007385252480935257,0.9926147475190648
preposition_retained,-623987.3793858553,7444617.510135955,0.02401770407434475,0.9759822959256553
preposition_retained,120103.58936033095,6671014.198547059,0.009247201343600102,0.9907527986563999
preposition_retained,-353894.6799859882,6706926.020860399,0.00321833758332289,0.9967816624166772
preposition_retained,-518845.0071367004,6815274.203126033,0.006177389813363862,0.9938226101866361
preposition_retained,-326492.3854518067,7341025.219134961,3.133518194572935e-4,0.9996866481805426
preposition_retained,52158.7140153411,6752456.634086062,0.0034202139839842887,0.9965797860160158
preposition_retained,-231350.0990954405,6781953.4675142495,3.1432341975218596e-5,0.9999685676580248
preposition_retained,-322055.63582675,7018850.630265591,0.033471690269419645,0.9665283097305803
preposition_retained,-158255.01637695075,7026594.338925578,3.1518788117219394e-4,0.9996848121188278
preposition_retained,-86265.48091737626,6592618.925168484,0.0014948878447853873,0.9985051121552145
preposition_retained,-74924.80779281152,6582997.9758701455,0.0014120889899802793,0.9985879110100199
preposition_retained,-278405.3599234148,6768599.424110748,0.0036177723829727035,0.9963822276170272
