placename,past participle,present participle,longitude,latitude
Holyhead,0.30379105,0.6962090, -4.6330380,53.30944
Ayr,0.13125621,0.8687438, -4.6291790,55.45856
Dumbarton,0.12167689,0.8783231, -4.5645540,55.94529
Bude,0.52524168,0.4747583, -4.5436780,50.82664
Isle of Man,0.36455331,0.6354467, -4.5126331,54.27697
Kilmarnock,0.13258575,0.8674142, -4.4987920,55.61472
Newton Stewart,0.15650080,0.8434992, -4.4831640,54.96030
Liskeard,0.56962025,0.4303797, -4.4647190,50.45552
Altnaharra,0.19179004,0.8082100, -4.4426550,58.28023
Pwllheli,0.47134970,0.5286503, -4.4176339,52.88882
Lairg,0.19702099,0.8029790, -4.4024140,58.02206
Launceston,0.53842187,0.4615781, -4.3604516,50.63683
Carmarthen,0.45925926,0.5407407, -4.3121310,51.85762
Llangefni,0.46648402,0.5335160, -4.3114020,53.25579
Caernarfon,0.46228710,0.5377129, -4.2739110,53.13955
Cumnock,0.13270777,0.8672922, -4.2658289,55.45355
Aberaeron,0.45000000,0.5500000, -4.2581619,52.24279
Alness,0.19702099,0.8029790, -4.2568250,57.69595
Glasgow,0.12288557,0.8771144, -4.2518060,55.86424
Dalwhinnie,0.17558887,0.8244111, -4.2427830,56.93660
Inverness,0.19702099,0.8029790, -4.2247210,57.47777
Saltash,0.57973518,0.4202648, -4.2164300,50.40921
Bideford,0.50208457,0.4979154, -4.2066660,51.01668
Invergordon,0.19543318,0.8045668, -4.1728820,57.68811
Llanelli,0.43526171,0.5647383, -4.1602480,51.68089
Plymouth,0.57973518,0.4202648, -4.1426565,50.37546
Tavistock,0.56616801,0.4338320, -4.1416540,50.55112
Porthmadog,0.47509136,0.5249086, -4.1333840,52.92784
Bangor,0.46252520,0.5374748, -4.1292630,53.22739
Tywyn,0.51219512,0.4878049, -4.0872490,52.58701
Aberystwyth,0.47404063,0.5259594, -4.0829200,52.41530
Lampeter,0.46500000,0.5350000, -4.0785090,52.11290
Barnstaple,0.46737288,0.5326271, -4.0583380,51.07816
Tain,0.19504021,0.8049598, -4.0552300,57.81150
Okehampton,0.56250000,0.4375000, -4.0042630,50.73831
Llandeilo,0.45208845,0.5479115, -3.9914300,51.88469
Motherwell,0.13201209,0.8679879, -3.9810968,55.78321
Golspie,0.19904241,0.8009576, -3.9760860,57.97341
Airdrie,0.13196776,0.8680322, -3.9625660,55.86627
Swansea,0.46125265,0.5387473, -3.9436460,51.62144
Stirling,0.12795206,0.8720479, -3.9369029,56.11652
Tregaron,0.46231156,0.5376884, -3.9343850,52.22000
Tregaron,0.46231156,0.5376884, -3.9343850,52.22000
Castle Douglas,0.25296167,0.7470383, -3.9314140,54.94042
Dolgellau,0.47210963,0.5278904, -3.8844000,52.74215
Aberfeldy,0.17817014,0.8218299, -3.8669690,56.62175
Machynlleth,0.49848943,0.5015106, -3.8534850,52.59027
Brora,0.19904241,0.8009576, -3.8525480,58.01216
Llandudno,0.46239661,0.5376034, -3.8276090,53.32406
Llandudno,0.46239661,0.5376034, -3.8276090,53.32406
Aviemore,0.19618529,0.8038147, -3.8238120,57.19449
Dalbeattie,0.28714582,0.7128542, -3.8225270,54.93422
Falkirk,0.12838802,0.8716120, -3.7839131,56.00188
Kingsbridge,0.57726269,0.4227373, -3.7774930,50.28395
Pitlochry,0.17363344,0.8263666, -3.7297110,56.70436
Colwyn Bay,0.47308260,0.5269174, -3.7276400,53.29318
Totnes,0.57961433,0.4203857, -3.6857970,50.43374
Grantown-on-Spey,0.19945726,0.8005427, -3.6096280,57.33041
