placename,needs to be Xed,needs Xed,needs Xing,longitude,latitude
Dingle,0.7519802,0.044031311,0.2039884,-10.2640135,52.14094
Tralee,0.7519802,0.044031311,0.2039884, -9.6999325,52.27131
Killarney,0.7486818,0.043092704,0.2082255, -9.5044265,52.05994
Bantry,0.7497784,0.041445035,0.2087766, -9.4539805,51.68035
Mayo,0.7215071,0.079724845,0.1987681, -9.4289369,54.01526
Ballycastle,0.6947149,0.108989329,0.1962958, -9.3724643,54.27967
Abbeyfeale,0.7519802,0.044031311,0.2039884, -9.2970823,52.38618
Ennistymon,0.7387970,0.050751880,0.2104511, -9.2934951,52.94037
Galway,0.7419560,0.051369863,0.2066741, -9.0567905,53.27067
Claremorris,0.7394816,0.054735793,0.2057827, -9.0017356,53.72388
Clare,0.7384294,0.048596596,0.2129740, -8.9811351,52.90453
Adare,0.7522623,0.044080605,0.2036571, -8.7925892,52.56363
Charleville,0.7516283,0.039405124,0.2089666, -8.6810176,52.36206
Mallow,0.7531928,0.036793027,0.2100142, -8.6539164,52.13898
Limerick,0.7514023,0.044827586,0.2037701, -8.6267343,52.66384
Loughrea,0.7449575,0.050758460,0.2042840, -8.5660931,53.19891
Sligo,0.6481009,0.138792974,0.2131061, -8.4760888,54.27661
Cork,0.7519773,0.037203398,0.2108193, -8.4756035,51.89851
Nenagh,0.7395997,0.048298141,0.2121021, -8.1983400,52.86350
Roscommon,0.7348407,0.060739979,0.2044193, -8.1890955,53.62759
Tipperary,0.7528122,0.037845567,0.2093422, -8.1618514,52.47379
Donegal,0.4914348,0.332077344,0.1764879, -8.1096143,54.65383
Leitrim,0.6568314,0.140034364,0.2031343, -8.0020132,54.12469
Athlone,0.7328993,0.053925379,0.2131753, -7.9406898,53.42393
Longford,0.7014563,0.068254561,0.2302891, -7.7932573,53.72763
Offaly,0.7194925,0.043137255,0.2373702, -7.7122229,53.23569
Fermanagh,0.5327614,0.276886069,0.1903525, -7.6318728,54.34383
Enniskillen,0.5327614,0.276886069,0.1903525, -7.6315336,54.34382
Doon,0.6159959,0.191775441,0.1922287, -7.6096400,54.18593
Westmeath,0.7201570,0.049566295,0.2302767, -7.4653217,53.53453
Strabane,0.4284231,0.401172221,0.1704047, -7.4633103,54.82739
Balivanich,0.4024565,0.355592654,0.2419509, -7.3743509,57.47227
Cavan,0.6449325,0.133246034,0.2218214, -7.3633319,53.98972
Mullingar,0.7194305,0.050251256,0.2303183, -7.3401868,53.52582
Laois,0.7274962,0.040658094,0.2318457, -7.3323007,52.99430
Omagh,0.4116430,0.419017938,0.1693391, -7.3099597,54.59771
Derry,0.3989591,0.423922003,0.1771189, -7.3085748,54.99661
Derry,0.3989591,0.423922003,0.1771189, -7.3085748,54.99661
Kilkenny,0.7356357,0.036522005,0.2278423, -7.2447879,52.65415
Tyrone,0.3990092,0.427826706,0.1731641, -7.1312320,54.49121
Waterford,0.7476897,0.038563365,0.2137469, -7.1100702,52.25932
Western Isles,0.4041617,0.356004756,0.2398335, -7.0194034,57.75989
Monaghan,0.4625963,0.364303822,0.1730999, -6.9683132,54.24920
Carlow,0.7414398,0.038686530,0.2198736, -6.9341359,52.83651
Kildare,0.7458182,0.038624795,0.2155570, -6.8194708,53.21204
Dungannon,0.3784847,0.454943050,0.1665723, -6.7669352,54.50827
Cookstown,0.3851234,0.459158846,0.1557178, -6.7443895,54.64182
Coleraine,0.3742709,0.455243533,0.1704856, -6.6646103,55.13258
Meath,0.7465051,0.041453876,0.2120410, -6.6564169,53.60555
Armagh,0.3912844,0.434403670,0.1743119, -6.6527920,54.35028
Armagh,0.3912844,0.434403670,0.1743119, -6.6527920,54.35028
Magherafelt,0.3865484,0.438654841,0.1747967, -6.6079805,54.75537
Dunvegan,0.4028940,0.356613250,0.2404927, -6.5813982,57.43660
Louth,0.6273641,0.164471462,0.2081645, -6.4889423,53.92523
Wexford,0.7384897,0.034252031,0.2272582, -6.4633381,52.33692
Craigavon,0.3540490,0.501647834,0.1443032, -6.4175653,54.44293
Stornoway,0.4059382,0.358481382,0.2355804, -6.3848692,58.20943
Drogheda,0.7445737,0.042906176,0.2125201, -6.3560985,53.71786
Rosslare,0.7341585,0.031916550,0.2339250, -6.3414908,52.25131
Newry,0.5062189,0.328180526,0.1656006, -6.3402300,54.17510
Scilly Isles,0.4749630,0.029107055,0.4959299, -6.3274966,49.92773
Ballymena,0.3779279,0.467117117,0.1549550, -6.2802213,54.86529
Banbridge,0.3722567,0.488405797,0.1393375, -6.2704803,54.34873
Dublin,0.7469805,0.040560334,0.2124591, -6.2603097,53.34981
Antrim,0.3963452,0.460088159,0.1435667, -6.2072498,54.71953
Antrim,0.3963452,0.460088159,0.1435667, -6.2072498,54.71953
Portree,0.4036116,0.355895719,0.2404927, -6.1960231,57.41247
Islay,0.3945403,0.419482189,0.1859775, -6.1770670,55.73625
Wicklow,0.7512191,0.038581823,0.2101990, -6.0445890,52.98082
Kilkeel,0.5240779,0.314036885,0.1618852, -6.0070040,54.06312
Mull,0.3921016,0.417287931,0.1906105, -6.0008870,56.43920
Belfast,0.3957991,0.464079112,0.1401218, -5.9301200,54.59728
Broadford,0.4192547,0.325370282,0.2553751, -5.9096592,57.24139
Down,0.4024579,0.454947485,0.1425946, -5.7156922,54.32875
Kyle of Lochalsh,0.4168646,0.326365796,0.2567696, -5.7143293,57.28261
Campbeltown,0.3523727,0.458820136,0.1888072, -5.6053740,55.42412
Penzance,0.4742611,0.029064039,0.4966749, -5.5375920,50.11880
Oban,0.3831181,0.432838697,0.1840432, -5.4710470,56.41516
Lochgilphead,0.3862762,0.438661088,0.1750628, -5.4323449,56.03829
Helston,0.4774697,0.029215152,0.4933152, -5.2749960,50.10159
Redruth,0.4759842,0.029215152,0.4948007, -5.2266660,50.23302
Ullapool,0.4215637,0.341633466,0.2368028, -5.1613130,57.89542
Ballachulish,0.3734671,0.416387960,0.2101449, -5.1337200,56.67393
Fort William,0.4395369,0.302315609,0.2581475, -5.1052179,56.81982
Achnasheen,0.4148345,0.353225417,0.2319401, -5.0787658,57.57859
Newquay,0.4738336,0.030609726,0.4955567, -5.0737190,50.41550
Falmouth,0.4745742,0.029128610,0.4962972, -5.0662700,50.15257
Rothesay,0.3941376,0.441690779,0.1641716, -5.0557930,55.83596
Truro,0.4759842,0.029215152,0.4948007, -5.0510410,50.26320
