placename,Y needs X Ved,Y needs X Ving,longitude,latitude
Ramsgate,0.4821429,0.5178571,  1.4198950,51.33555
Great Yarmouth,0.4135737,0.5864263,  1.7280470,52.59823
Lowestoft,0.4212766,0.5787234,  1.7534490,52.48114
Swaffham,0.3383686,0.6616314,  0.6874810,52.64747
Dereham,0.3380711,0.6619289,  0.9378270,52.68162
Ely,0.3500000,0.6500000,  0.2623630,52.39954
March,0.3135985,0.6864015,  0.0886220,52.55172
St Neots,0.3371488,0.6628512, -0.2651030,52.23008
Banham,0.3895288,0.6104712,  1.0402849,52.45125
Holt,0.3272201,0.6727799,  1.0867470,52.90936
Cromer,0.3387560,0.6612440,  1.3018660,52.93145
Hunstanton,0.3083004,0.6916996,  0.4910320,52.93891
Horncastle,0.2494432,0.7505568, -0.1124500,53.20731
Market Weighton,0.2457265,0.7542735, -0.6677465,53.86484
Hawes,0.2798450,0.7201550, -2.1968695,54.30383
Reeth,0.3069091,0.6930909, -1.9428115,54.38946
Aysgarth,0.2860344,0.7139656, -1.9967434,54.29159
Stanhope,0.3345921,0.6654079, -2.0113020,54.74946
Keswick,0.3289931,0.6710069, -3.1347060,54.60128
Oxenholme,0.2739837,0.7260163, -2.7243328,54.30134
