placename,Y needs X Ved,Y needs X Ving,longitude,latitude
Holyhead,0.3651926,0.6348074, -4.6330380,53.30944
Ayr,0.5670588,0.4329412, -4.6291790,55.45856
Dumbarton,0.5747664,0.4252336, -4.5645540,55.94529
Bude,0.5061296,0.4938704, -4.5436780,50.82664
Isle of Man,0.3822363,0.6177637, -4.5126331,54.27697
Kilmarnock,0.5744681,0.4255319, -4.4987920,55.61472
Newton Stewart,0.5518018,0.4481982, -4.4831640,54.96030
Liskeard,0.5026502,0.4973498, -4.4647190,50.45552
Altnaharra,0.5277778,0.4722222, -4.4426550,58.28023
Pwllheli,0.3785511,0.6214489, -4.4176339,52.88882
Lairg,0.5231481,0.4768519, -4.4024140,58.02206
Launceston,0.5079505,0.4920495, -4.3604516,50.63683
Carmarthen,0.5156556,0.4843444, -4.3121310,51.85762
Llangefni,0.3487072,0.6512928, -4.3114020,53.25579
Caernarfon,0.2988782,0.7011218, -4.2739110,53.13955
Cumnock,0.5424837,0.4575163, -4.2658289,55.45355
Aberaeron,0.4380242,0.5619758, -4.2581619,52.24279
Alness,0.5255814,0.4744186, -4.2568250,57.69595
Glasgow,0.5438596,0.4561404, -4.2518060,55.86424
Dalwhinnie,0.5232558,0.4767442, -4.2427830,56.93660
Inverness,0.5255814,0.4744186, -4.2247210,57.47777
Saltash,0.4973498,0.5026502, -4.2164300,50.40921
Bideford,0.5048035,0.4951965, -4.2066660,51.01668
Invergordon,0.5255814,0.4744186, -4.1728820,57.68811
Llanelli,0.4953789,0.5046211, -4.1602480,51.68089
Plymouth,0.5053286,0.4946714, -4.1426565,50.37546
Tavistock,0.5026502,0.4973498, -4.1416540,50.55112
Porthmadog,0.2946578,0.7053422, -4.1333840,52.92784
Bangor,0.2998366,0.7001634, -4.1292630,53.22739
Tywyn,0.3731853,0.6268147, -4.0872490,52.58701
Aberystwyth,0.3911383,0.6088617, -4.0829200,52.41530
Lampeter,0.4231857,0.5768143, -4.0785090,52.11290
Barnstaple,0.5048035,0.4951965, -4.0583380,51.07816
Tain,0.5277778,0.4722222, -4.0552300,57.81150
Okehampton,0.5079505,0.4920495, -4.0042630,50.73831
Llandeilo,0.4876604,0.5123396, -3.9914300,51.88469
Motherwell,0.5324675,0.4675325, -3.9810968,55.78321
Golspie,0.5277778,0.4722222, -3.9760860,57.97341
Airdrie,0.5371179,0.4628821, -3.9625660,55.86627
Swansea,0.4953789,0.5046211, -3.9436460,51.62144
Stirling,0.5227273,0.4772727, -3.9369029,56.11652
Tregaron,0.4211027,0.5788973, -3.9343850,52.22000
Tregaron,0.4211027,0.5788973, -3.9343850,52.22000
Castle Douglas,0.5165289,0.4834711, -3.9314140,54.94042
Dolgellau,0.3255814,0.6744186, -3.8844000,52.74215
Aberfeldy,0.5185185,0.4814815, -3.8669690,56.62175
Machynlleth,0.3380049,0.6619951, -3.8534850,52.59027
Brora,0.5277778,0.4722222, -3.8525480,58.01216
Llandudno,0.2998366,0.7001634, -3.8276090,53.32406
Llandudno,0.2998366,0.7001634, -3.8276090,53.32406
Aviemore,0.5324074,0.4675926, -3.8238120,57.19449
Dalbeattie,0.5104659,0.4895341, -3.8225270,54.93422
Falkirk,0.5275229,0.4724771, -3.7839131,56.00188
Kingsbridge,0.5053286,0.4946714, -3.7774930,50.28395
Pitlochry,0.5277778,0.4722222, -3.7297110,56.70436
Colwyn Bay,0.2998366,0.7001634, -3.7276400,53.29318
Totnes,0.5053286,0.4946714, -3.6857970,50.43374
Grantown-on-Spey,0.5277778,0.4722222, -3.6096280,57.33041
Dumfries,0.5138993,0.4861007, -3.6051200,55.07086
Whitehaven,0.3353752,0.6646248, -3.5892330,54.54970
Dartmouth,0.5053286,0.4946714, -3.5788070,50.35252
Bridgend,0.4954296,0.5045704, -3.5769450,51.50429
Paignton,0.5053286,0.4946714, -3.5642350,50.43508
Workington,0.3484972,0.6515028, -3.5427520,54.64357
Llanidloes,0.4055556,0.5944444, -3.5401950,52.44779
Exeter,0.5053286,0.4946714, -3.5338990,50.71841
Torquay,0.5053286,0.4946714, -3.5253150,50.46192
Thurso,0.5231481,0.4768519, -3.5220800,58.59357
Livingston,0.4928264,0.5071736, -3.5180680,55.90071
Rhyl,0.2917685,0.7082315, -3.4916340,53.31914
Tiverton,0.5026786,0.4973214, -3.4912070,50.90205
Tiverton,0.5026786,0.4973214, -3.4912070,50.90205
Minehead,0.4995633,0.5004367, -3.4811520,51.20428
Dunfermline,0.5229358,0.4770642, -3.4521510,56.07174
Perth,0.5253456,0.4746544, -3.4308381,56.39499
Prestatyn,0.2782440,0.7217560, -3.4076130,53.33651
Builth Wells,0.4271239,0.5728761, -3.4045920,52.15002
Braemar,0.5277778,0.4722222, -3.3979439,57.00647
Brecon,0.4675119,0.5324881, -3.3914630,51.94895
Merthyr Tydfil,0.4829493,0.5170507, -3.3816460,51.74873
Llandrindod Wells,0.4238715,0.5761285, -3.3777420,52.24170
Corwen,0.2975277,0.7024723, -3.3692420,52.98005
Cockermouth,0.3387829,0.6612171, -3.3679850,54.66326
