placename,Y needs X to be Ved,Y needs X Ved,Y needs X Ving,longitude,latitude
Aldershot,0.19607843,0.3921569,0.4117647, -0.7557509,51.24837
High Wycombe,0.21276596,0.3829787,0.4042553, -0.7482290,51.62861
Midhurst,0.26443769,0.3829787,0.3525836, -0.7372740,50.98690
Kettering,0.19164619,0.2063882,0.6019656, -0.7302490,52.39632
Wellingborough,0.16119403,0.2507463,0.5880597, -0.6939640,52.30242
Corby,0.17647059,0.1764706,0.6470588, -0.6842333,52.49230
Bognor Regis,0.23275862,0.3103448,0.4568966, -0.6730610,50.78300
Scunthorpe,0.20121951,0.2682927,0.5304878, -0.6544130,53.58865
Grantham,0.14906832,0.2732919,0.5776398, -0.6435820,52.91252
Whitby,0.20143885,0.2446043,0.5539568, -0.6133470,54.48633
Slough,0.33000000,0.3100000,0.3600000, -0.5950406,51.51054
Guildford,0.19811321,0.4150943,0.3867925, -0.5704090,51.23622
Woking,0.25600000,0.3680000,0.3760000, -0.5600349,51.31677
Lincoln,0.18390805,0.2643678,0.5517241, -0.5405790,53.23069
Bedford,0.22500000,0.2550000,0.5200000, -0.4667782,52.13864
Heathrow,0.33913043,0.3391304,0.3217391, -0.4542955,51.47002
Driffield,0.15646259,0.3129252,0.5306122, -0.4433770,54.00600
Beverley,0.18589744,0.2692308,0.5448718, -0.4350930,53.84196
Luton,0.21904762,0.3428571,0.4380952, -0.4200255,51.87867
Scarborough,0.16339869,0.2875817,0.5490196, -0.3997520,54.28311
Worthing,0.27118644,0.3305085,0.3983051, -0.3728820,50.81787
Dorking,0.20900322,0.3472669,0.4437299, -0.3323780,51.23220
Hull,0.17159763,0.2840237,0.5443787, -0.3274198,53.76762
Horsham,0.20491803,0.3442623,0.4508197, -0.3258580,51.06288
Biggleswade,0.24861878,0.2651934,0.4861878, -0.2642200,52.08694
Peterborough,0.13554217,0.1987952,0.6656627, -0.2405299,52.56950
Welwyn Garden City,0.30952381,0.2619048,0.4285714, -0.2086610,51.80317
Bridlington,0.14482759,0.3172414,0.5379310, -0.1988020,54.08535
Stevenage,0.24705882,0.3411765,0.4117647, -0.1966120,51.90376
Crawley,0.16164384,0.3698630,0.4684932, -0.1872275,51.10914
Huntingdon,0.16875000,0.1875000,0.6437500, -0.1825520,52.33146
Hove,0.24561404,0.3245614,0.4298246, -0.1687490,50.82793
Spalding,0.09259259,0.2222222,0.6851852, -0.1537024,52.79010
Brighton,0.24561404,0.3245614,0.4298246, -0.1371630,50.82253
London,0.29402084,0.3357104,0.3702688, -0.1277583,51.50735
Grimsby,0.19205298,0.2847682,0.5231788, -0.0807840,53.56747
Boston,0.08695652,0.2347826,0.6782609, -0.0265770,52.97894
Royston,0.23595506,0.2443820,0.5196629, -0.0240660,52.04814
Louth_Lincs,0.20000000,0.2387097,0.5612903, -0.0077110,53.36596
Lewes,0.21428571,0.3482143,0.4375000,  0.0087800,50.87387
Chatteris,0.14825581,0.1918605,0.6598837,  0.0540120,52.45610
Uckfield,0.24137931,0.3017241,0.4568966,  0.0959130,50.96641
Cambridge,0.20749280,0.2420749,0.5504323,  0.1218170,52.20534
Bishop's Stortford,0.32926829,0.3292683,0.3414634,  0.1536502,51.87216
Wisbech,0.19756098,0.2048780,0.5975610,  0.1587970,52.66632
Sevenoaks,0.17475728,0.3495146,0.4757282,  0.1908980,51.27241
Tunbridge Wells,0.22222222,0.3518519,0.4259259,  0.2636950,51.13238
Eastbourne,0.23188406,0.2536232,0.5144928,  0.2904720,50.76803
Brentwood,0.28000000,0.4300000,0.2900000,  0.3071749,51.62047
Skegness,0.16564417,0.1840491,0.6503067,  0.3378810,53.14640
Downham Market,0.22745902,0.2459016,0.5266393,  0.3854720,52.60661
King's Lynn,0.17162471,0.2471396,0.5812357,  0.4022963,52.75168
Bexhill,0.23611111,0.2430556,0.5208333,  0.4662071,50.84991
Chelmsford,0.23762376,0.4158416,0.3465347,  0.4685497,51.73559
Mildenhall,0.24027460,0.2059497,0.5537757,  0.5156095,52.34757
Medway,0.21487603,0.3884298,0.3966942,  0.5417861,51.40474
Braintree,0.25454545,0.2909091,0.4545455,  0.5509269,51.88009
Gillingham,0.21487603,0.4049587,0.3801653,  0.5514380,51.38632
Hastings,0.23611111,0.2708333,0.4930556,  0.5734530,50.85426
Maldon,0.26666667,0.3904762,0.3428571,  0.6714480,51.73181
Southend,0.22950820,0.3934426,0.3770492,  0.7077123,51.54593
Bury St Edmunds,0.25770925,0.2114537,0.5308370,  0.7104932,52.24292
Thetford,0.22745902,0.2459016,0.5266393,  0.7516570,52.41286
Ashford,0.19819820,0.3333333,0.4684685,  0.8750190,51.14647
Faversham,0.20168067,0.3361345,0.4621849,  0.8893580,51.31599
Colchester,0.27403846,0.2379808,0.4879808,  0.8918740,51.89593
New Romney,0.21238938,0.3097345,0.4778761,  0.9394730,50.98512
Canterbury,0.18487395,0.3529412,0.4621849,  1.0789089,51.28023
Ipswich,0.21910112,0.2949438,0.4859551,  1.1482200,52.05674
Clacton,0.27493261,0.2911051,0.4339623,  1.1530350,51.78953
Folkestone,0.19469027,0.3274336,0.4778761,  1.1694560,51.08140
Sheringham,0.19178082,0.3150685,0.4931507,  1.2109589,52.94442
Harwich,0.22641509,0.2991914,0.4743935,  1.2602970,51.93473
Norwich,0.18097448,0.2923434,0.5266821,  1.2973550,52.63089
Cromer,0.19178082,0.3150685,0.4931507,  1.3018660,52.93145
Dover,0.15596330,0.3853211,0.4587156,  1.3134027,51.12788
Felixstowe,0.22281167,0.3103448,0.4668435,  1.3512550,51.96173
Margate,0.15434084,0.3954984,0.4501608,  1.3868339,51.38965
Ramsgate,0.20168067,0.3529412,0.4453782,  1.4198950,51.33555
Great Yarmouth,0.18097448,0.3201856,0.4988399,  1.7280470,52.59823
Lowestoft,0.18097448,0.3201856,0.4988399,  1.7534490,52.48114
Swaffham,0.21384929,0.2566191,0.5295316,  0.6874810,52.64747
Dereham,0.19787234,0.2936170,0.5085106,  0.9378270,52.68162
Ely,0.22500000,0.2181818,0.5568182,  0.2623630,52.39954
March,0.20049505,0.2079208,0.5915842,  0.0886220,52.55172
St Neots,0.19211823,0.2216749,0.5862069, -0.2651030,52.23008
Banham,0.19489559,0.2923434,0.5127610,  1.0402849,52.45125
Holt,0.19178082,0.3150685,0.4931507,  1.0867470,52.90936
Cromer,0.19178082,0.3150685,0.4931507,  1.3018660,52.93145
Hunstanton,0.12500000,0.2968750,0.5781250,  0.4910320,52.93891
Horncastle,0.15131579,0.2302632,0.6184211, -0.1124500,53.20731
Market Weighton,0.18589744,0.2692308,0.5448718, -0.6677465,53.86484
Hawes,0.15616438,0.2684932,0.5753425, -2.1968695,54.30383
Reeth,0.13432836,0.2686567,0.5970149, -1.9428115,54.38946
Aysgarth,0.11111111,0.2814815,0.6074074, -1.9967434,54.29159
Stanhope,0.12371134,0.2721649,0.6041237, -2.0113020,54.74946
Keswick,0.15602837,0.2482270,0.5957447, -3.1347060,54.60128
Oxenholme,0.14210526,0.2657895,0.5921053, -2.7243328,54.30134
