placename,Y needs X to be Ved,Y needs X Ved,Y needs X Ving,longitude,latitude
Milford Haven,0.26923077,0.3846154,0.3461538, -5.0426971,51.71431
Stranraer,0.21052632,0.5438596,0.2456140, -5.0240550,54.90337
Fishguard,0.25000000,0.4166667,0.3333333, -4.9759890,51.99393
Inchnadamph,0.28260870,0.3369565,0.3804348, -4.9742950,58.15221
Haverfordwest,0.28846154,0.3653846,0.3461538, -4.9713190,51.80047
Dunoon,0.13227513,0.5079365,0.3597884, -4.9262140,55.95097
Pembroke,0.26605505,0.3853211,0.3486239, -4.9086370,51.67404
Girvan,0.14361702,0.5159574,0.3404255, -4.8542179,55.24016
Wadebridge,0.20661157,0.4628099,0.3305785, -4.8364560,50.51665
Invergarry,0.25806452,0.3763441,0.3655914, -4.8002610,57.07095
St Austell,0.23577236,0.4227642,0.3414634, -4.7834252,50.34038
Greenock,0.13297872,0.5053191,0.3617021, -4.7719830,55.95648
Helensburgh,0.13297872,0.5053191,0.3617021, -4.7340140,56.00232
Bodmin,0.23577236,0.4227642,0.3414634, -4.7188629,50.47150
Tenby,0.28440367,0.3669725,0.3486239, -4.7035790,51.67274
Camelford,0.20661157,0.4628099,0.3305785, -4.6823640,50.62206
Irvine,0.12299465,0.5133690,0.3636364, -4.6696364,55.61157
Cardigan,0.26732673,0.3762376,0.3564356, -4.6608640,52.08370
Holyhead,0.20535714,0.3035714,0.4910714, -4.6330380,53.30944
Ayr,0.12299465,0.5133690,0.3636364, -4.6291790,55.45856
Dumbarton,0.13297872,0.5053191,0.3617021, -4.5645540,55.94529
Bude,0.20661157,0.4628099,0.3305785, -4.5436780,50.82664
Isle of Man,0.21768707,0.4081633,0.3741497, -4.5126331,54.27697
Kilmarnock,0.11290323,0.5215054,0.3655914, -4.4987920,55.61472
Newton Stewart,0.18750000,0.5156250,0.2968750, -4.4831640,54.96030
Liskeard,0.24166667,0.4250000,0.3333333, -4.4647190,50.45552
Altnaharra,0.26086957,0.3695652,0.3695652, -4.4426550,58.28023
Pwllheli,0.20000000,0.2526316,0.5473684, -4.4176339,52.88882
Lairg,0.26086957,0.3695652,0.3695652, -4.4024140,58.02206
Launceston,0.23966942,0.4297521,0.3305785, -4.3604516,50.63683
Carmarthen,0.25217391,0.4000000,0.3478261, -4.3121310,51.85762
Llangefni,0.19148936,0.2940039,0.5145068, -4.3114020,53.25579
Caernarfon,0.19736842,0.2969925,0.5056391, -4.2739110,53.13955
Cumnock,0.12299465,0.5294118,0.3475936, -4.2658289,55.45355
Aberaeron,0.27272727,0.3434343,0.3838384, -4.2581619,52.24279
Alness,0.26086957,0.3695652,0.3695652, -4.2568250,57.69595
Glasgow,0.13368984,0.5187166,0.3475936, -4.2518060,55.86424
Dalwhinnie,0.24719101,0.4157303,0.3370787, -4.2427830,56.93660
Inverness,0.26086957,0.3913043,0.3478261, -4.2247210,57.47777
Saltash,0.20535714,0.4375000,0.3571429, -4.2164300,50.40921
Bideford,0.25000000,0.4112903,0.3387097, -4.2066660,51.01668
Invergordon,0.26086957,0.3695652,0.3695652, -4.1728820,57.68811
Llanelli,0.20547945,0.4383562,0.3561644, -4.1602480,51.68089
Plymouth,0.23148148,0.4351852,0.3333333, -4.1426565,50.37546
Tavistock,0.21929825,0.4298246,0.3508772, -4.1416540,50.55112
Porthmadog,0.19191919,0.2828283,0.5252525, -4.1333840,52.92784
Bangor,0.19148936,0.2940039,0.5145068, -4.1292630,53.22739
Tywyn,0.17045455,0.2840909,0.5454545, -4.0872490,52.58701
Aberystwyth,0.20202020,0.3737374,0.4242424, -4.0829200,52.41530
Lampeter,0.30097087,0.3495146,0.3495146, -4.0785090,52.11290
Barnstaple,0.21052632,0.4342105,0.3552632, -4.0583380,51.07816
Tain,0.26086957,0.3913043,0.3478261, -4.0552300,57.81150
Okehampton,0.22881356,0.4067797,0.3644068, -4.0042630,50.73831
Llandeilo,0.27433628,0.3716814,0.3539823, -3.9914300,51.88469
Motherwell,0.13368984,0.5187166,0.3475936, -3.9810968,55.78321
Golspie,0.26086957,0.3913043,0.3478261, -3.9760860,57.97341
Airdrie,0.13966480,0.4972067,0.3631285, -3.9625660,55.86627
Swansea,0.21917808,0.4246575,0.3561644, -3.9436460,51.62144
Stirling,0.13966480,0.5195531,0.3407821, -3.9369029,56.11652
Tregaron,0.29292929,0.3636364,0.3434343, -3.9343850,52.22000
Tregaron,0.29292929,0.3636364,0.3434343, -3.9343850,52.22000
Castle Douglas,0.15897436,0.4820513,0.3589744, -3.9314140,54.94042
Dolgellau,0.17708333,0.2395833,0.5833333, -3.8844000,52.74215
Aberfeldy,0.26506024,0.3975904,0.3373494, -3.8669690,56.62175
Machynlleth,0.15625000,0.2395833,0.6041667, -3.8534850,52.59027
Brora,0.26086957,0.3913043,0.3478261, -3.8525480,58.01216
Llandudno,0.19864177,0.2682513,0.5331070, -3.8276090,53.32406
Llandudno,0.19864177,0.2682513,0.5331070, -3.8276090,53.32406
Aviemore,0.26086957,0.3913043,0.3478261, -3.8238120,57.19449
Dalbeattie,0.18750000,0.3958333,0.4166667, -3.8225270,54.93422
Falkirk,0.13966480,0.5139665,0.3463687, -3.7839131,56.00188
Kingsbridge,0.25471698,0.4245283,0.3207547, -3.7774930,50.28395
Pitlochry,0.24691358,0.4074074,0.3456790, -3.7297110,56.70436
Colwyn Bay,0.19663866,0.2554622,0.5478992, -3.7276400,53.29318
Totnes,0.24545455,0.4090909,0.3454545, -3.6857970,50.43374
Grantown-on-Spey,0.28260870,0.3695652,0.3478261, -3.6096280,57.33041
Dumfries,0.14210526,0.4789474,0.3789474, -3.6051200,55.07086
Whitehaven,0.17266187,0.2374101,0.5899281, -3.5892330,54.54970
Dartmouth,0.25833333,0.3833333,0.3583333, -3.5788070,50.35252
Bridgend,0.21768707,0.4285714,0.3537415, -3.5769450,51.50429
Paignton,0.25833333,0.3833333,0.3583333, -3.5642350,50.43508
Workington,0.16783217,0.2447552,0.5874126, -3.5427520,54.64357
Llanidloes,0.17204301,0.3118280,0.5161290, -3.5401950,52.44779
Exeter,0.23611111,0.4375000,0.3263889, -3.5338990,50.71841
Torquay,0.25833333,0.3833333,0.3583333, -3.5253150,50.46192
Thurso,0.26086957,0.3695652,0.3695652, -3.5220800,58.59357
Livingston,0.15172414,0.4827586,0.3655172, -3.5180680,55.90071
Rhyl,0.20840065,0.2358643,0.5557351, -3.4916340,53.31914
Tiverton,0.19858156,0.4468085,0.3546099, -3.4912070,50.90205
Tiverton,0.19858156,0.4468085,0.3546099, -3.4912070,50.90205
Minehead,0.23489933,0.4161074,0.3489933, -3.4811520,51.20428
Dunfermline,0.16551724,0.4413793,0.3931034, -3.4521510,56.07174
Perth,0.21518987,0.4113924,0.3734177, -3.4308381,56.39499
