placename,where_is_x,where_is_x_at,where_to_is_x,where_x_to,longitude,latitude
Belfast,0.9954155,0.0045844522,0.00000000000,0.0000000000, -5.9301200,54.59728
Broadford,1.0000000,0.0000000000,0.00000000000,0.0000000000, -5.9096592,57.24139
Down,0.9951200,0.0048800325,0.00000000000,0.0000000000, -5.7156922,54.32875
Kyle of Lochalsh,1.0000000,0.0000000000,0.00000000000,0.0000000000, -5.7143293,57.28261
Campbeltown,0.9971040,0.0028960070,0.00000000000,0.0000000000, -5.6053740,55.42412
Penzance,0.9904080,0.0031973203,0.00045676005,0.0059378806, -5.5375920,50.11880
Oban,0.9912396,0.0077870364,0.00000000000,0.0009733795, -5.4710470,56.41516
Lochgilphead,0.9927493,0.0065256081,0.00000000000,0.0007250676, -5.4323449,56.03829
Helston,0.9901300,0.0034545155,0.00000000000,0.0064155289, -5.2749960,50.10159
Redruth,0.9904255,0.0031914894,0.00045592705,0.0059270517, -5.2266660,50.23302
Ullapool,0.9923894,0.0062675512,0.00000000000,0.0013430467, -5.1613130,57.89542
Ballachulish,0.9959115,0.0040884594,0.00000000000,0.0000000000, -5.1337200,56.67393
Fort William,1.0000000,0.0000000000,0.00000000000,0.0000000000, -5.1052179,56.81982
Achnasheen,0.9923310,0.0063156168,0.00000000000,0.0013533465, -5.0787658,57.57859
Newquay,0.9913197,0.0033756631,0.00048223758,0.0048223758, -5.0737190,50.41550
Falmouth,0.9912550,0.0032218472,0.00046026388,0.0050629027, -5.0662700,50.15257
Rothesay,0.9933588,0.0060374321,0.00000000000,0.0006037432, -5.0557930,55.83596
Truro,0.9912321,0.0032302723,0.00046146747,0.0050761421, -5.0510410,50.26320
Milford Haven,0.9897611,0.0070884747,0.00000000000,0.0031504332, -5.0426971,51.71431
Stranraer,0.9931857,0.0068143101,0.00000000000,0.0000000000, -5.0240550,54.90337
Fishguard,0.9881402,0.0075471698,0.00000000000,0.0043126685, -4.9759890,51.99393
Inchnadamph,0.9924937,0.0061816771,0.00000000000,0.0013246451, -4.9742950,58.15221
Haverfordwest,0.9897287,0.0071108770,0.00000000000,0.0031603898, -4.9713190,51.80047
Dunoon,0.9924880,0.0068290462,0.00000000000,0.0006829046, -4.9262140,55.95097
Pembroke,0.9914040,0.0070330815,0.00000000000,0.0015629070, -4.9086370,51.67404
Girvan,0.9966814,0.0033185841,0.00000000000,0.0000000000, -4.8542179,55.24016
Wadebridge,0.9909016,0.0036885246,0.00049180328,0.0049180328, -4.8364560,50.51665
Invergarry,1.0000000,0.0000000000,0.00000000000,0.0000000000, -4.8002610,57.07095
St Austell,0.9912228,0.0033758440,0.00045011253,0.0049512378, -4.7834252,50.34038
Greenock,0.9909649,0.0083400904,0.00000000000,0.0006950075, -4.7719830,55.95648
Helensburgh,0.9884423,0.0107872095,0.00000000000,0.0007705150, -4.7340140,56.00232
Bodmin,0.9910944,0.0036103979,0.00048138639,0.0048138639, -4.7188629,50.47150
Tenby,0.9913454,0.0070810386,0.00000000000,0.0015735641, -4.7035790,51.67274
Camelford,0.9962580,0.0026728439,0.00106913756,0.0000000000, -4.6823640,50.62206
Irvine,0.9945785,0.0021214740,0.00000000000,0.0033000707, -4.6696364,55.61157
Cardigan,0.9836431,0.0104089219,0.00000000000,0.0059479554, -4.6608640,52.08370
Holyhead,0.9924092,0.0054220134,0.00000000000,0.0021688053, -4.6330380,53.30944
Ayr,0.9948504,0.0020150758,0.00000000000,0.0031345623, -4.6291790,55.45856
Dumbarton,0.9908434,0.0081927711,0.00000000000,0.0009638554, -4.5645540,55.94529
Bude,0.9947183,0.0026408451,0.00000000000,0.0026408451, -4.5436780,50.82664
Isle of Man,0.9857448,0.0142551675,0.00000000000,0.0000000000, -4.5126331,54.27697
Kilmarnock,0.9943326,0.0022176591,0.00000000000,0.0034496920, -4.4987920,55.61472
Newton Stewart,0.9960221,0.0039779006,0.00000000000,0.0000000000, -4.4831640,54.96030
Liskeard,0.9929073,0.0040255591,0.00000000000,0.0030670927, -4.4647190,50.45552
Altnaharra,0.9924647,0.0062055071,0.00000000000,0.0013297515, -4.4426550,58.28023
Pwllheli,0.9962359,0.0000000000,0.00000000000,0.0037641154, -4.4176339,52.88882
Lairg,0.9926621,0.0060430074,0.00000000000,0.0012949302, -4.4024140,58.02206
Launceston,0.9954819,0.0025100402,0.00000000000,0.0020080321, -4.3604516,50.63683
Carmarthen,0.9940437,0.0049636003,0.00000000000,0.0009927201, -4.3121310,51.85762
Llangefni,0.9947043,0.0052956752,0.00000000000,0.0000000000, -4.3114020,53.25579
Caernarfon,0.9965431,0.0034568850,0.00000000000,0.0000000000, -4.2739110,53.13955
Cumnock,0.9927599,0.0031856357,0.00000000000,0.0040544454, -4.2658289,55.45355
Aberaeron,0.9914700,0.0039806653,0.00000000000,0.0045493318, -4.2581619,52.24279
Alness,0.9926600,0.0060447468,0.00000000000,0.0012953029, -4.2568250,57.69595
Glasgow,0.9950770,0.0040071212,0.00017173377,0.0007441797, -4.2518060,55.86424
Dalwhinnie,0.9928741,0.0071258907,0.00000000000,0.0000000000, -4.2427830,56.93660
Inverness,0.9925571,0.0061294346,0.00000000000,0.0013134503, -4.2247210,57.47777
Saltash,0.9924346,0.0042938931,0.00000000000,0.0032715376, -4.2164300,50.40921
Bideford,0.9929386,0.0027159153,0.00000000000,0.0043454644, -4.2066660,51.01668
Invergordon,0.9926409,0.0060604471,0.00000000000,0.0012986672, -4.1728820,57.68811
Llanelli,0.9928503,0.0039323165,0.00107244995,0.0021448999, -4.1602480,51.68089
Plymouth,0.9924684,0.0042746641,0.00000000000,0.0032568870, -4.1426565,50.37546
Tavistock,0.9926179,0.0041011620,0.00000000000,0.0032809296, -4.1416540,50.55112
Porthmadog,0.9956459,0.0000000000,0.00000000000,0.0043541364, -4.1333840,52.92784
Bangor,0.9933910,0.0066089693,0.00000000000,0.0000000000, -4.1292630,53.22739
Tywyn,0.9944763,0.0024549918,0.00000000000,0.0030687398, -4.0872490,52.58701
Aberystwyth,0.9931627,0.0024862737,0.00000000000,0.0043509790, -4.0829200,52.41530
Lampeter,0.9914229,0.0040026684,0.00000000000,0.0045744782, -4.0785090,52.11290
Barnstaple,0.9926884,0.0028121485,0.00000000000,0.0044994376, -4.0583380,51.07816
Tain,0.9931893,0.0056088382,0.00000000000,0.0012018939, -4.0552300,57.81150
Okehampton,0.9939920,0.0026702270,0.00000000000,0.0033377837, -4.0042630,50.73831
Llandeilo,0.9938049,0.0046463604,0.00000000000,0.0015487868, -3.9914300,51.88469
Motherwell,0.9937413,0.0033379694,0.00000000000,0.0029207232, -3.9810968,55.78321
Golspie,0.9930100,0.0057565072,0.00000000000,0.0012335373, -3.9760860,57.97341
Airdrie,0.9936207,0.0046394742,0.00000000000,0.0017398028, -3.9625660,55.86627
Swansea,0.9917846,0.0037654039,0.00102692834,0.0034230945, -3.9436460,51.62144
Stirling,0.9931507,0.0057077626,0.00000000000,0.0011415525, -3.9369029,56.11652
Tregaron,0.9942227,0.0025676688,0.00000000000,0.0032095860, -3.9343850,52.22000
Tregaron,0.9942227,0.0025676688,0.00000000000,0.0032095860, -3.9343850,52.22000
Castle Douglas,0.9877317,0.0122682661,0.00000000000,0.0000000000, -3.9314140,54.94042
Dolgellau,0.9971584,0.0007103955,0.00000000000,0.0021311864, -3.8844000,52.74215
Aberfeldy,0.9948142,0.0051858254,0.00000000000,0.0000000000, -3.8669690,56.62175
Machynlleth,0.9930085,0.0025423729,0.00000000000,0.0044491525, -3.8534850,52.59027
Brora,0.9933322,0.0056419462,0.00000000000,0.0010258084, -3.8525480,58.01216
Llandudno,0.9918600,0.0073260073,0.00000000000,0.0008140008, -3.8276090,53.32406
Llandudno,0.9918600,0.0073260073,0.00000000000,0.0008140008, -3.8276090,53.32406
Aviemore,0.9929731,0.0058557360,0.00000000000,0.0011711472, -3.8238120,57.19449
Dalbeattie,0.9876408,0.0123592420,0.00000000000,0.0000000000, -3.8225270,54.93422
Falkirk,0.9926092,0.0033594625,0.00000000000,0.0040313550, -3.7839131,56.00188
Kingsbridge,0.9921900,0.0035795639,0.00000000000,0.0042303938, -3.7774930,50.28395
Pitlochry,0.9950820,0.0049180328,0.00000000000,0.0000000000, -3.7297110,56.70436
Colwyn Bay,0.9921661,0.0070505288,0.00000000000,0.0007833921, -3.7276400,53.29318
Totnes,0.9957306,0.0007115750,0.00000000000,0.0035578748, -3.6857970,50.43374
Grantown-on-Spey,1.0000000,0.0000000000,0.00000000000,0.0000000000, -3.6096280,57.33041
Dumfries,0.9909663,0.0086035602,0.00000000000,0.0004301780, -3.6051200,55.07086
Whitehaven,0.9800157,0.0199843260,0.00000000000,0.0000000000, -3.5892330,54.54970
Dartmouth,0.9959276,0.0006787330,0.00000000000,0.0033936652, -3.5788070,50.35252
Bridgend,0.9870354,0.0034572169,0.00345721694,0.0060501296, -3.5769450,51.50429
Paignton,0.9945605,0.0022902949,0.00000000000,0.0031491555, -3.5642350,50.43508
Workington,0.9855552,0.0144447788,0.00000000000,0.0000000000, -3.5427520,54.64357
Llanidloes,0.9886040,0.0056980057,0.00000000000,0.0056980057, -3.5401950,52.44779
Exeter,0.9943036,0.0030157489,0.00000000000,0.0026806657, -3.5338990,50.71841
Torquay,0.9940557,0.0024317752,0.00000000000,0.0035125642, -3.5253150,50.46192
Thurso,0.9929179,0.0061377781,0.00000000000,0.0009442736, -3.5220800,58.59357
Livingston,0.9973196,0.0006700916,0.00000000000,0.0020102747, -3.5180680,55.90071
Rhyl,0.9945610,0.0046620047,0.00000000000,0.0007770008, -3.4916340,53.31914
Tiverton,0.9944643,0.0033214418,0.00000000000,0.0022142945, -3.4912070,50.90205
Tiverton,0.9944643,0.0033214418,0.00000000000,0.0022142945, -3.4912070,50.90205
Minehead,0.9962312,0.0025125628,0.00000000000,0.0012562814, -3.4811520,51.20428
Dunfermline,0.9992215,0.0007785130,0.00000000000,0.0000000000, -3.4521510,56.07174
Perth,1.0000000,0.0000000000,0.00000000000,0.0000000000, -3.4308381,56.39499
Prestatyn,0.9935815,0.0051347882,0.00000000000,0.0012836970, -3.4076130,53.33651
Builth Wells,0.9944238,0.0055762082,0.00000000000,0.0000000000, -3.4045920,52.15002
Braemar,0.9949580,0.0050420168,0.00000000000,0.0000000000, -3.3979439,57.00647
Brecon,0.9920189,0.0035471475,0.00000000000,0.0044339344, -3.3914630,51.94895
Merthyr Tydfil,0.9888133,0.0032901952,0.00131607809,0.0065803904, -3.3816460,51.74873
Llandrindod Wells,0.9867550,0.0066225166,0.00000000000,0.0066225166, -3.3777420,52.24170
Corwen,0.9924262,0.0045443070,0.00000000000,0.0030295380, -3.3692420,52.98005
Cockermouth,0.9792945,0.0207055215,0.00000000000,0.0000000000, -3.3679850,54.66326
