placename,past participle,present participle,longitude,latitude
Dunoon,0.1791921,0.82080789, -4.9262140,55.95097
Pembroke,0.6044881,0.39551192, -4.9086370,51.67404
Girvan,0.1625940,0.83740602, -4.8542179,55.24016
Wadebridge,0.7180974,0.28190255, -4.8364560,50.51665
Invergarry,0.2641166,0.73588342, -4.8002610,57.07095
St Austell,0.7204176,0.27958237, -4.7834252,50.34038
Greenock,0.1784056,0.82159437, -4.7719830,55.95648
Helensburgh,0.1784056,0.82159437, -4.7340140,56.00232
Bodmin,0.7204176,0.27958237, -4.7188629,50.47150
Tenby,0.6057234,0.39427663, -4.7035790,51.67274
Camelford,0.7197674,0.28023256, -4.6823640,50.62206
Irvine,0.1563940,0.84360599, -4.6696364,55.61157
Cardigan,0.5859107,0.41408935, -4.6608640,52.08370
Holyhead,0.6204994,0.37950058, -4.6330380,53.30944
Ayr,0.1378378,0.86216216, -4.6291790,55.45856
Dumbarton,0.1781335,0.82186650, -4.5645540,55.94529
Bude,0.7171362,0.28286385, -4.5436780,50.82664
Isle of Man,0.3456523,0.65434774, -4.5126331,54.27697
Kilmarnock,0.1713441,0.82865595, -4.4987920,55.61472
Newton Stewart,0.2777778,0.72222222, -4.4831640,54.96030
Liskeard,0.7204176,0.27958237, -4.4647190,50.45552
Altnaharra,0.2870515,0.71294852, -4.4426550,58.28023
Pwllheli,0.6267281,0.37327189, -4.4176339,52.88882
Lairg,0.2870515,0.71294852, -4.4024140,58.02206
Launceston,0.7218310,0.27816901, -4.3604516,50.63683
Carmarthen,0.6084034,0.39159664, -4.3121310,51.85762
Llangefni,0.6159849,0.38401507, -4.3114020,53.25579
Caernarfon,0.6449912,0.35500879, -4.2739110,53.13955
Cumnock,0.1518771,0.84812287, -4.2658289,55.45355
Aberaeron,0.5676157,0.43238434, -4.2581619,52.24279
Alness,0.2764977,0.72350230, -4.2568250,57.69595
Glasgow,0.1805592,0.81944083, -4.2518060,55.86424
Dalwhinnie,0.2562715,0.74372848, -4.2427830,56.93660
Inverness,0.2772861,0.72271386, -4.2247210,57.47777
Saltash,0.7254673,0.27453271, -4.2164300,50.40921
Bideford,0.6703911,0.32960894, -4.2066660,51.01668
Invergordon,0.2773498,0.72265023, -4.1728820,57.68811
Llanelli,0.6068702,0.39312977, -4.1602480,51.68089
Plymouth,0.7254673,0.27453271, -4.1426565,50.37546
Tavistock,0.7231308,0.27686916, -4.1416540,50.55112
Porthmadog,0.6330275,0.36697248, -4.1333840,52.92784
Bangor,0.6325445,0.36745546, -4.1292630,53.22739
Tywyn,0.5968198,0.40318021, -4.0872490,52.58701
Aberystwyth,0.5569767,0.44302326, -4.0829200,52.41530
Lampeter,0.5844776,0.41552239, -4.0785090,52.11290
Barnstaple,0.6489488,0.35105117, -4.0583380,51.07816
Tain,0.2879499,0.71205008, -4.0552300,57.81150
Okehampton,0.7376910,0.26230900, -4.0042630,50.73831
Llandeilo,0.6242700,0.37573005, -3.9914300,51.88469
Motherwell,0.1835004,0.81649963, -3.9810968,55.78321
Golspie,0.2855051,0.71449488, -3.9760860,57.97341
Airdrie,0.1883621,0.81163787, -3.9625660,55.86627
Swansea,0.6287594,0.37124060, -3.9436460,51.62144
Stirling,0.1921017,0.80789826, -3.9369029,56.11652
Tregaron,0.5742874,0.42571255, -3.9343850,52.22000
Tregaron,0.5742874,0.42571255, -3.9343850,52.22000
Castle Douglas,0.4328244,0.56717557, -3.9314140,54.94042
Dolgellau,0.6178490,0.38215103, -3.8844000,52.74215
Aberfeldy,0.1993834,0.80061665, -3.8669690,56.62175
Machynlleth,0.6129256,0.38707436, -3.8534850,52.59027
Brora,0.2854962,0.71450382, -3.8525480,58.01216
