variant,longitude,latitude,preposition_dropped,preposition_retained
preposition_retained,-233133.96053955547,7790781.293784884,0.014964261736004856,0.9850357382639952
preposition_retained,-454508.57534967264,6875568.732849514,0.05083066728396154,0.9491693327160384
preposition_retained,-464523.0993804171,7902081.764336984,0.028064288208049765,0.9719357117919502
preposition_retained,-473867.5913960769,7903716.555487392,0.028121141417986467,0.9718788585820135
preposition_retained,-166080.14205862035,6658737.485859629,0.005538486327681879,0.994461513672318
preposition_retained,-274526.66603765386,7700450.50046821,0.02403626332100128,0.9759637366789987
preposition_retained,-288489.2471288726,7670532.812981689,0.03157584958483333,0.9684241504151667
preposition_retained,97406.66951443948,6647242.852390651,0.028187548068505975,0.971812451931494
preposition_retained,-425664.8047292091,7799975.074029687,0.016188579185286288,0.9838114208147137
preposition_retained,-401821.95091314253,7827953.620533239,0.013384367224122772,0.9866156327758773
preposition_retained,-515317.8490709154,7451377.536497721,0.018491449203119348,0.9815085507968806
preposition_retained,-699111.0371850707,7335766.097361238,0.02158738443562269,0.9784126155643774
preposition_retained,-149143.0707775581,6811506.744243429,0.04317290934739631,0.9568270906526037
preposition_retained,-515747.43098588666,7040442.511032255,0.04607977305186029,0.9539202269481396
preposition_retained,-459667.45451150526,7025170.177756032,0.056119092706336304,0.9438809072936637
preposition_retained,-164722.34483356756,7085880.959602008,0.027017727677273326,0.9729822723227266
preposition_retained,-451772.1196269923,6635130.966655371,0.032776528974406395,0.9672234710255936
preposition_retained,-358325.6409975236,7190820.409402401,0.027297232289690016,0.9727027677103101
preposition_retained,-121605.01099240522,6668577.680976788,0.05168857540704375,0.9483114245929563
preposition_retained,-262604.53781682864,6688978.381916168,0.03201992176841572,0.9679800782315843
preposition_retained,-51961.51153740082,6825232.159527007,0.011252096647634562,0.9887479033523655
preposition_retained,-660137.9387430075,7284096.381953328,0,1
preposition_retained,-223239.55023937687,7512812.638519028,0.03195079126508683,0.9680492087349132
preposition_retained,-468283.9170573771,6624245.459951866,0.03032568655889562,0.9696743134411043
preposition_retained,-336519.82254348317,7055464.038147936,0.22312231291281884,0.7768776870871812
preposition_retained,-210438.47671509522,6888526.481257551,0,1
preposition_retained,-276910.4616135011,7122682.479533938,0.13922156281292006,0.8607784371870799
preposition_retained,-337929.77294997266,7135669.463425561,0.06325119285939765,0.9367488071406024
preposition_retained,61385.7973640612,6689916.220204674,0.03650086657443605,0.963499133425564
preposition_retained,-241045.99334768736,6596021.329284243,0.02113726224183311,0.9788627377581669
preposition_retained,-168123.26659679288,7386544.967183743,0.026067390221104752,0.9739326097788952
preposition_retained,-174324.4190189739,7397459.703454149,0.035135402710278985,0.964864597289721
